,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Main Story,Completion,Main+Extras,Personal Notes,Completionist,Progress,Retired Notes,Speedrun,100% Speedrun
0,10267,qu1ckie,PC,9h,NR,,3561465,Completed,Replay,9h,,,,,,,,
1,10267,MazowskiMaz,PC,10h,NR,,11253681,Completed,First,10h,"March 26, 2017",,,,,,,
2,10267,IamRedBlue,PC,11h 28m,80%,Curious to see how long a rushed Main Story Only playthrough would last? I timed it.,11579146,Completed,Replay,11h 28m 47s,"April 26, 2020",,,,,,,
3,10267,Edusoner,PC,15h,NR,,3888933,Completed,First,15h,,40h,,,,,,
4,10267,Private,PC,15h,90%,,7982136,Completed,First,15h,"May 18, 2016",,,,,,,
5,10267,,PC,16h,NR,,1185900,Completed,First,16h,,22h,,,,,,
6,10267,Private,PC,16h,70%,,10742637,Completed,First,16h,"January 03, 2020",,,,,,,
7,10267,vecperec,PC,17h,60%,,1743521,Completed,First,17h,"August 31, 2015",,,,,,,
8,10267,uvehj,PC,17h 30m,NR,,1454205,Completed,First,17h 30m,"May 07, 2017",,,,,,,
9,10267,valefordm,PC,18h,40%,,10834176,Completed,First,18h,,,,,,,,
10,10267,Ghost3030,PC,18h 50m,40%,,1257089,Completed,First,18h 50m,"July 06, 2012",,,,,,,
11,10267,,PC,19h 39m,NR,,9071384,Completed,First,19h 39m,,,,,,,,
12,10267,,PC,20h,NR,,940460,Completed,First,20h,,,,,,,,
13,10267,,PC,20h,NR,,10821209,Completed,First,20h,,35h,,,,,,
14,10267,Sentry,PC,20h,NR,,10838476,Completed,First,20h,"January 27, 2020",,,,,,,
15,10267,foxchild666,PC,20h,90%,,2170781,Completed,First,20h,"December 01, 2015",30h 36m,Neutral Ending.,,,,,
16,10267,,PC,20h 20m,NR,,7811806,Completed,First,20h 20m 20s,,30h 30m 27s,,55h 30m 30s,,,,
17,10267,edheng,PC,20h 33m,60%,,10169217,Completed,First,20h 33m,2017,,,,,,,
18,10267,giobot,PC,20h 59m,NR,,1356046,Completed,First,20h 59m,"May 22, 2015",,,,,,,
19,10267,FaTaLzK,PC,21h,NR,,3148823,Completed,First,21h,"June 28, 2016",,,,,,,
20,10267,smacd,PC,21h 10m,70%,Almost no side quests,331197,Completed,First,21h 10m,"October 14, 2016",,,,,,,
21,10267,Hinkelvinkel,PC,21h 20m,70%,,4392012,Completed,First,21h 20m,"June 10, 2017",,,,,,,
22,10267,TeenJackBauer,PC,21h 30m,NR,Medium difficulty,148234,Completed,First,21h 30m,"March 02, 2014",,,,,,,
23,10267,Ivstan14,PC,21h 34m,NR,,1386698,Completed,First,21h 34m,"July 04, 2015",,,,,,,
24,10267,ildo,PC,21h 35m,NR,,902528,Completed,First,21h 35m,"July 08, 2014",,,,,,,
25,10267,DannosPlz,PC,21h 50m,70%,,1360897,Completed,First,21h 50m,"May 25, 2015",,,,,,,
