,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Main Story,Completion,Main+Extras,Completionist,Progress,Speedrun,Personal Notes,100% Speedrun,Retired Notes
0,10270,,PC,13h 45m,NR,,11955465,Completed,Replay,13h 45m 23s,,,,,,,,
1,10270,SirMorokei,PC,13h 51m,NR,,10426293,Completed,First,13h 51m,"November 15, 2019",,,,,,,
2,10270,,PC,14h 30m,NR,My 5th time playing through and found a way to do it super quick,2285944,Completed,Replay,14h 30m 53s,,,,,,,,
3,10270,NeuVox,PlayStation 4,15h,70%,,5987130,Completed,First,15h,"March 10, 2016",50h,70h,,,,,
4,10270,,PC,15h 09m,NR,,11149373,Completed,First,15h 09m,,,,,,,,
5,10270,,Xbox One,15h 14m,NR,,3446699,Completed,First,15h 14m 02s,,76h 52m 19s,142h 02m 55s,,,,,
6,10270,,PlayStation 4,16h 13m,NR,,1362579,Completed,First,16h 13m,,22h 42m,,,,,,
7,10270,,PC,16h 48m,NR,,6382155,Completed,First,16h 48m,,,,,,,,
8,10270,,PC,17h,NR,,5686573,Completed,First,17h,,,,,,,,
9,10270,,PC,17h 08m,NR,Tiny bit more than just story. Skipped most dialog.,12000140,Completed,Replay,17h 08m,,,,,,,,
10,10270,LaWraWaN,PC,17h 08m,NR,DeathMarch. Tiny bit more than just story. Skipped most dialog.,12000203,Completed,Replay,17h 08m,"June 15, 2020",,,,,,,
11,10270,,PC,17h 30m,NR,,4098312,Completed,First,17h 30m,,,,,,,,
12,10270,maxducks,Nintendo Switch,18h 16m,90%,,11125761,Playing Completed,First,18h 16m 23s,"March 09, 2020",,,80h 16m 23s /,,,,
13,10270,,PlayStation 4,19h,NR,Not 50 hours long,7911666,Completed,First,19h,,,,,,,,
14,10270,,Xbox One,19h 11m,NR,,1759400,Completed,First,19h 11m 32s,,,,,,,,
15,10270,llocousc,PC,19h 30m,NR,,3182945,Completed,First,19h 30m,"July 05, 2016",,,,,,,
16,10270,,PlayStation 4,19h 35m,NR,,4259121,Completed,First,19h 35m,,,,,,,,
17,10270,,PlayStation 4,19h 45m,NR,,4656315,Completed,Replay,19h 45m 38s,,65h 05m 57s,165h 08m 05s,,,,,
18,10270,,PlayStation 4,20h,NR,,4150147,Completed,First,20h,,,,,,,,
19,10270,,PlayStation 4,20h,NR,,4150148,Completed,First,20h,,,,,,,,
20,10270,,PC,20h,NR,,10640386,Completed,Replay,20h,,,,,,,,
21,10270,DrDRA,PlayStation 4,20h,NR,,5032270,Completed,First,20h,"August 30, 2017",,,,,,,
22,10270,,PC,20h 08m,NR,,10510153,Completed,Replay,20h 08m 52s,,,,,,,,
