,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Main Story,Completion,Main+Extras,Completionist,Vs.,Personal Notes,Progress,Speedrun,Co-Op,Retired Notes,100% Speedrun
0,10469,,PC,5h,NR,,1223446,Completed,First,5h,,,,,,,,,,
1,10469,,PC,5h,NR,,6687140,Completed,First,5h,,,,,,,,,,
2,10469,Kaidren,PC,5h,NR,,2341850,Completed,First,5h,"January 03, 2016",,,,,,,,,
3,10469,Kauk,PC,5h,70%,,5203774,Completed,First,5h,"September 12, 2015",,,,,,,,,
4,10469,jerry12321,PC,5h,NR,,1050046,Completed,First,5h,"December 06, 2014",,,,,,,,,
5,10469,Saliyah88,PC,5h 15m,NR,,11560725,Completed,Replay,5h 15m 22s,,,,,,,,,,
6,10469,andrewl3779,PC,5h 16m,NR,,4268802,Completed,Replay,5h 16m 03s,"April 03, 2017",,,,,,,,,
7,10469,,PlayStation 3,5h 32m,NR,it was easy,6014197,Completed,First,5h 32m,,10h 50m,20h,,,,,,,
8,10469,Jach,PC,5h 36m,NR,,4618471,Completed,First,5h 36m,,,,,,,,,,
9,10469,,PC,5h 45m,NR,On Hard,11560724,Completed,First,5h 45m,,,,,,,,,,
10,10469,,PC,5h 50m,NR,,1347386,Completed,First,5h 50m,,,,,,,,,,
11,10469,Renerte,PC,5h 54m,NR,,4957069,Completed,First,5h 54m 57s,"July 20, 2017",,,,,,,,,
12,10469,,PC,6h,NR,,988202,Completed,First,6h,,9h,,,,,,,,
13,10469,,PC,6h,NR,,3140780,Completed,First,6h,,,,,,,,,,
14,10469,,PC,6h,NR,,6084184,Completed,First,6h,,,,,,,,,,
15,10469,,PC,6h,NR,,9006006,Completed,First,6h,,,,,,,,,,
16,10469,,PC,6h,NR,,9488601,Completed,First,6h,,,,,,,,,,
17,10469,,PC,6h,NR,,11204015,Completed,First,6h,,,,,,,,,,
18,10469,Akitrotro,PC,6h,NR,,7813609,Completed,Replay,6h,"December 24, 2018",,,,,,,,,
19,10469,Blurbs,PC,6h,NR,,10909455,Completed,First,6h,"January 10, 2020",,,,,,,,,
20,10469,Cooltato,Xbox 360,6h,90%,,10929318,Completed,Replay,6h,,,,,,,,,,
21,10469,Private,PC,6h,80%,75% completed according to pop-up,5921493,Completed,First,6h,"March 03, 2018",8h,,,,,,,,
