,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Completion,Main Story,Main+Extras,Completionist,Vs.,Progress,Personal Notes,Speedrun,Co-Op
0,12707,solairesflair,PC,7h 30m,NR,,6594834,Completed,First,"February 19, 2014",7h 30m,,,,,,,
1,12707,Verranicus,PC,8h 16m,NR,,7175400,Completed,Replay,,8h 16m 52s,,,,,,,
2,12707,,Xbox 360,9h,NR,,768889,Completed,First,,9h,,,,,,,
3,12707,,Xbox One,9h 15m,NR,,11598731,Completed,First,,9h 15m 34s,22h 15m 53s,38h 24m 34s,,,,,
4,12707,jono51,PC,9h 30m,60%,Quit during sequence 8 (of 12) - boredom/not willing to grind ship upgrades.,4311119,Completed,First,"December 27, 2017",9h 30m,,,,,,,
5,12707,,PlayStation 3,10h,NR,,477948,Completed,First,,10h,,,,,,,
6,12707,Fb2g,PC,10h,NR,,3827452,Completed,First,"December 10, 2013",10h,45h,50h,10h,,,,
7,12707,Maverickx,Xbox 360,10h,NR,,1276071,Completed,First,"March 18, 2014",10h,,,,,,,
8,12707,malawar78,PlayStation 4,10h,100%,,706184,Completed,First,,10h,30h,60h,,,,,
9,12707,,PlayStation 4,10h 13m,NR,,6973196,Completed,Replay,,10h 13m 26s,,,,,,,
10,12707,PemposPista,PC,10h 54m,NR,,11467207,Completed,Replay,"April 20, 2020",10h 54m,,,,,,,
11,12707,cabriolet6,PC,11h 04m,80%,,6440489,Completed,First,"June 19, 2018",11h 04m 25s,,,,,,,
12,12707,Nikaobueno,Xbox 360,11h 30m,80%,,2153682,Completed,First,"November 25, 2015",11h 30m,18h 30m,,,,,,
13,12707,,Xbox 360,12h,NR,,499803,Completed,First,,12h,31h 33m 39s,,2h 58m 33s,,,,
14,12707,,PC,12h,NR,,3996576,Completed,First,,12h,,,,,,,
15,12707,,Nintendo Switch,12h,NR,,11985053,Completed,First,,12h,23h,65h,,,,,
16,12707,Dereklions,PlayStation 4,12h,NR,,11416544,Completed,First,"April 11, 2020",12h,,,,,,,
17,12707,Skrimir,PC,12h,NR,,8130529,Completed,First,"January 26, 2019",12h,,,,,,,
18,12707,lipt00n,PC,12h,70%,,2725369,Completed,First,"March 14, 2016",12h,,,,,,,
19,12707,Private,PC,12h,NR,,11135436,Completed,First,"March 11, 2020",12h,15h,,,,,,
20,12707,,Xbox 360,12h 07m,NR,,1146603,Completed,First,,12h 07m,18h 22m 32s,45h,,,,,
21,12707,,PC,12h 30m,NR,,578325,Completed,First,,12h 30m,,,,,,,
22,12707,slickochet,PC,12h 30m,NR,,478122,Completed,First,"November 20, 2013",12h 30m,,,,,,,
23,12707,,Xbox One,12h 30m,NR,,2354929,Completed,Replay,,12h 30m 15s,,,,,,,
24,12707,FznRfq,PC,12h 35m,70%,,3662553,Completed,First,"November 23, 2016",12h 35m 22s,,,,,,,
25,12707,,PlayStation 3,12h 46m,NR,I just wanted to quit on every than,11718002,Completed,First,,12h 46m 01s,43h 12m 42s,94h 28m 08s,,,,,
26,12707,,Xbox 360,13h,NR,,576452,Completed,First,,13h,,,20h,,,,
27,12707,Scorpus,PC,13h 04m,90%,,1220498,Completed,Replay,"March 01, 2015",13h 04m,,,,,,,
28,12707,Tusk,PC,13h 18m,60%,,5289542,Completed,First,"November 08, 2017",13h 18m,,,,,,,
29,12707,Private,PlayStation 3,13h 21m,NR,,2087933,Completed,First,"November 17, 2015",13h 21m,,,,,,,
30,12707,all2surreal,PC,13h 40m,100%,,656777,Completed,First,"October 04, 2014",13h 40m,,,,,,,
31,12707,Everdred,Xbox One,13h 43m,70%,Main missions only.,4505468,Completed,Replay,"August 31, 2017",13h 43m,,,,,,,
32,12707,Duchu26,PC,13h 54m,90%,,3822215,Completed,Replay,"January 11, 2018",13h 54m 15s,,,,,,,
33,12707,,Nintendo Switch,13h 56m,NR,,11426636,Completed,First,,13h 56m 15s,,,,,,,
34,12707,,Xbox One,14h,NR,,1337063,Completed,First,,14h,33h,,,,,,
35,12707,,PlayStation 4,14h,NR,,4739388,Completed,Replay,,14h,48h,52h,,,,,
36,12707,HTViper,PlayStation 4,14h,80%,,627356,Completed,First,"February 12, 2014",14h,,,,,,,
37,12707,HowlinMadSnake,PlayStation 3,14h,80%,,1522969,Completed,First,"April 19, 2014",14h,,,,,,,
38,12707,yakuzza187,PlayStation 4,14h,90%,,626786,Backlog Completed,First,"February 12, 2014",14h,,,,16h /,,,
