,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Completion,Main Story,Main+Extras,Completionist,Co-Op,Progress,Speedrun,Personal Notes,Retired Notes,Vs.
0,1274,CaptSkully,PC,5h 36m,90%,"Wasnt really a Speed run, just skipped every side quest and went straight for the Main Missions.",3238373,Completed,Replay,"July 18, 2013",5h 36m 18s,,,,,,,,
1,1274,pie_masters,PC,6h,80%,,2458147,Completed,First,"July 10, 2015",6h,,,,,,,,
2,1274,Mr_Dankman,PC,7h 31m,100%,,9114043,Completed,Replay,"June 10, 2019",7h 31m 20s,30h 10m 05s,60h 47m 10s,,,,,,
3,1274,,Xbox 360,7h 33m,NR,,1962831,Completed,First,,7h 33m 54s,12h 54m 22s,,,,,,,
4,1274,lewdmeat,PC,8h 32m,90%,,8940385,Replay Completed,Replay,"June 13, 2019",8h 32m 01s,,,,,,,,
5,1274,,PlayStation 4,9h,NR,,1301084,Completed,Replay,,9h,,,,,,,,
6,1274,,PC,9h 30m,NR,Without exploiting the game at all and just doing main story missons,4286854,Completed,Replay,,9h 30m,,,,,,,,
7,1274,,PC,9h 56m,NR,,5959155,Completed,Replay,,9h 56m 31s,,,,,,,,
8,1274,,Xbox One,9h 59m,NR,,11716910,Completed,Replay,,9h 59m 02s,,,,,,,,
9,1274,,PC,10h,NR,,6069547,Completed,Replay,,10h,14h,20h,20h,,,,,
10,1274,Gagerzzzz,PC,10h,100%,"Did just a few side quests, mostly stuck to the story.",5930282,Completed,Replay,"March 04, 2018",10h,,,,,,,,
11,1274,Reple,PC,10h,100%,,627643,Playing Completed,Replay,"February 12, 2014",10h,,,,550h /,,,,
12,1274,Velreth,PC,10h,NR,,9112391,Completed,First,"July 08, 2019",10h,30h,250h,,,,,,
13,1274,ryuson2000,PC,10h,NR,,8123244,Completed,First,"January 25, 2019",10h,,,,,,,,
14,1274,Private,PC,10h,60%,,8209542,Completed,First,"June 14, 2019",10h,,,,,,,,
15,1274,,PC,10h 24m,NR,,6373627,Completed,First,,10h 24m,,,,,,,,
16,1274,ByeBye,PC,10h 43m,NR,,5388679,Completed,First,"November 27, 2017",10h 43m,,,,,,,,
17,1274,JourneyOver,PC,10h 59m,NR,,8939413,Completed,First,"June 12, 2019",10h 59m 50s,,,,,,,,
18,1274,Everdred,Xbox One,11h 25m,NR,,9682104,Completed,Replay,"September 19, 2019",11h 25m,,,,,,,,
19,1274,,PC,11h 51m,NR,,7947098,Completed,Replay,,11h 51m 19s,,,,,,,,
20,1274,,PlayStation 4,11h 55m,NR,,11328718,Completed,Replay,,11h 55m 52s,,,,,,,,
