,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Main Story,Completion,Progress,Main+Extras,Completionist,Personal Notes,Co-Op,Speedrun,100% Speedrun
0,14443,,PC,5h 12m,NR,,593398,Completed,First,5h 12m,,,,,,,,
1,14443,VirarNeeda,PC,5h 14m,60%,Easy difficulty. Beat story at 68% completion. Replay.,836151,Replay Completed,Replay,5h 14m,"July 21, 2014",,,,,,,
2,14443,Mokatavatah,PC,5h 18m,NR,,8820949,Completed,First,5h 18m,"June 14, 2019",,,,,,,
3,14443,EhLeeUht,PC,5h 42m,NR,,5111476,Completed,Replay,5h 42m,"September 29, 2017",,,,,,,
4,14443,andrewl3779,PlayStation 3,5h 44m,NR,Normal difficulty. Ignored a lot of optional content,6612002,Completed,First,5h 44m 53s,"July 18, 2018",,,,,,,
5,14443,cabriolet6,PC,5h 51m,80%,,7269650,Completed,First,5h 51m 22s,"October 18, 2018",,,,,,,
6,14443,Neo1771991,PC,5h 57m,NR,,8508109,Replay Completed,Replay,5h 57m,"March 24, 2019",5h 57m /,,,,,,
7,14443,Tusk,PC,5h 57m,60%,First playthrough 62% completion,4785996,Completed,First,5h 57m,"July 19, 2017",,,,,,,
8,14443,,PC,6h,NR,,5003676,Completed,Replay,6h,,,11h,,,,,
9,14443,,PlayStation 4,6h,NR,Good game,10913944,Completed,Replay,6h,,,,,,,,
10,14443,Akunamus,PC,6h,NR,,11356765,Completed,First,6h,"November 19, 2019",,9h,,,,,
11,14443,Azrathiel,PC,6h,NR,,3232974,Completed,Replay,6h,"July 16, 2016",,,,,,,
12,14443,Private,PC,6h,80%,,5936671,Completed,First,6h,"March 05, 2018",,8h,,,,,
13,14443,DylanWE,PC,6h,NR,,6228892,Completed,First,6h,"May 10, 2018",,,,,,,
14,14443,MartinPuchovsky,PC,6h,NR,,8138186,Completed,Replay,6h,"January 02, 2019",,,,,,,
15,14443,Poplecznik,PC,6h,NR,,10583257,Completed,Replay,6h,"December 13, 2019",,,,,,,
16,14443,UnearthlyTrance,PC,6h,NR,,1229006,Completed,First,6h,"March 05, 2015",,,,,,,
17,14443,intrus1,PC,6h,NR,,5841434,Completed,First,6h,"February 14, 2018",,,,,,,
18,14443,Homesick89,PC,6h 27m,80%,,6835865,Completed,First,6h 27m 52s,"August 19, 2018",,,,,,,
19,14443,Duchu26,PC,6h 31m,90%,"22,49",6400187,Completed,Replay,6h 31m,"July 26, 2018",,11h 13m,,,,,
20,14443,,PC,6h 35m,NR,,11303748,Completed,Replay,6h 35m,,,,,,,,
21,14443,bordje,PC,6h 40m,100%,,2584012,Completed,First,6h 40m,,,,,,,,
22,14443,Private,PC,6h 48m,90%,,4393445,Completed Retired,First,6h 48m,"May 07, 2017",,,,,,,
23,14443,MoonBear,PC,6h 50m,NR,,11705562,Completed,First,6h 50m,"May 11, 2020",,,,,,,
24,14443,celynn,PC,6h 54m,80%,Story on easy and hard plus all achievements,2207042,Completed,Replay,6h 54m,"December 20, 2015",,15h 59m,28h 32m,,,,
25,14443,,PC,7h,NR,,493040,Completed,Replay,7h,,,,,,,,
26,14443,,PC,7h,NR,,1370130,Completed,First,7h,,,,,,,,
27,14443,,PC,7h,NR,,3320729,Completed,Replay,7h,,,,,,,,
