,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Completion,Main Story,Main+Extras,Completionist,Progress,Personal Notes,Speedrun,Retired Notes
0,15221,Private,PlayStation 4,31h 38m,NR,[Safe] 3rd run to finish up Platinum. Only focused on Mementos requests.,4486811,Replay Custom List Completed,Replay,"May 27, 2017",31h 38m,,,,,,
1,15221,Zezitto,PlayStation 4,34h,100%,,5995968,Completed,First,"March 17, 2018",34h,59h,139h,,,,
2,15221,,PlayStation 4,35h 50m,NR,,6406792,Completed,First,,35h 50m 30s,,,,,,
3,15221,pandeng,PlayStation 4,38h,NR,,8030187,Completed,First,"January 05, 2019",38h,,,,,,
4,15221,,PlayStation 4,40h 31m,NR,,5122727,Completed,First,,40h 31m 03s,,,,,,
5,15221,,PlayStation 4,41h 36m,NR,,4659388,Completed,First,,41h 36m 42s,106h 57m 28s,110h 16m 32s,,,,
6,15221,,PlayStation 4,45h 27m,NR,,11631494,Completed,First,,45h 27m,51h,92h 13m,,,,
7,15221,,PlayStation 4,45h 27m,NR,,11631498,Completed,First,,45h 27m,51h,92h 13m,,,,
8,15221,ChrisHD,PlayStation 4,49h 50m,90%,,5490473,Completed,Replay,,49h 50m,122h 24m,218h 27m,,,,
9,15221,,PlayStation 4,49h 58m,NR,,4532522,Completed,First,,49h 58m 32s,,,,,,
10,15221,FreeCandy69,PlayStation 4,50h,NR,must NG+,10513614,Replay Completed,Replay,"November 30, 2018",50h,80h,150h,400h /,,,
11,15221,Private,PlayStation 4,50h,NR,,6829279,Completed,First,"August 14, 2018",50h,70h,,,,,
12,15221,,PlayStation 3,50h 04m,NR,,10439347,Completed,First,,50h 04m,65h 22m,,,,,
13,15221,,PlayStation 4,50h 20m,NR,,4328624,Completed,First,,50h 20m 19s,,,,,,
14,15221,,PlayStation 4,50h 30m,NR,Done in 8 runs having fun only,8256772,Completed,Replay,,50h 30m 10s,70h,355h,,,,
15,15221,,PlayStation 4,50h 33m,NR,,7937300,Completed,First,,50h 33m,,,,,,
16,15221,,PlayStation 3,51h 11m,NR,,6291885,Completed,First,,51h 11m,,,,,,
17,15221,Doomes,PlayStation 4,51h 11m,80%,,4303209,Completed,First,"April 12, 2017",51h 11m,,,,,,
18,15221,Doc_251,PlayStation 4,52h 30m,NR,,6056469,Completed,First,"July 29, 2017",52h 30m,73h 08m,,,,,
19,15221,Private,PlayStation 4,53h 23m,NR,,11752485,Replay Completed,Replay,,53h 23m,,,,,,
20,15221,izZzi,PlayStation 4,55h 50m,80%,,6446092,Completed,First,"June 21, 2018",55h 50m,,,,,,
21,15221,roencaelarus,PlayStation 4,56h,NR,,4922065,Completed,First,,56h,74h,,,,,
22,15221,ViruzTT,PlayStation 4,57h,NR,,4556560,Completed,First,,57h,,,,,,
23,15221,,PlayStation 4,57h 18m,NR,,8163341,Completed,First,,57h 18m,,,,,,
24,15221,,Emulated,57h 46m,NR,,9340532,Completed,First,,57h 46m,,,,,,
25,15221,,PlayStation 4,58h 15m,NR,,8787905,Completed,Replay,,58h 15m 36s,,,,,,
26,15221,,PlayStation 4,58h 23m,NR,,4429323,Completed,First,,58h 23m,,,,,,
27,15221,,PlayStation 4,58h 25m,NR,,4335258,Completed,First,,58h 25m 05s,,,,,,
28,15221,pika77888,PlayStation 4,59h 29m,NR,,4299304,Playing Completed,First,"April 11, 2017",59h 29m,,,,,,
29,15221,ElectrickShadow,PlayStation 4,59h 30m,NR,,8272234,Completed,First,"December 13, 2018",59h 30m,,,,,,
30,15221,,PlayStation 4,60h,NR,,4345287,Completed,First,,60h,90h,113h,,,,
31,15221,,PlayStation 4,60h,NR,,4762645,Completed,First,,60h,,113h,,,,
32,15221,,PlayStation 4,60h,NR,,4974622,Completed,First,,60h,,,,,,
33,15221,,PlayStation 4,60h,NR,,5012524,Completed,First,,60h,92h,170h,,,,
34,15221,,PlayStation 4,60h,NR,,8878675,Completed,First,,60h,,,,,,
35,15221,AnotherNihm,PlayStation 4,60h,NR,,9206852,Replay Completed,Replay,,60h,,200h,200h /,,,
36,15221,Droll_O,PlayStation 4,60h,NR,,5745132,Completed,Replay,"June 15, 2017",60h,85h,140h,,,,
37,15221,galaxy435,PlayStation 4,60h,NR,,10695137,Completed,First,"December 31, 2019",60h,100h,150h,,,,
38,15221,sturdyserpent,PlayStation 4,60h,90%,,7395278,Completed,First,,60h,,80h,,,,
39,15221,,PlayStation 4,60h 12m,NR,,5844942,Completed,First,,60h 12m,,,,,,
40,15221,Private,PlayStation 4,60h 15m,NR,,11752484,Replay Completed,Replay,,60h 15m,,,,,,
41,15221,,PlayStation 4,60h 24m,NR,,11081464,Completed,First,,60h 24m,,,,,,
42,15221,,PlayStation 4,60h 43m,NR,,8638673,Completed,First,,60h 43m 35s,,,,,,
43,15221,,PlayStation 4,61h 10m,NR,,8040227,Completed,First,,61h 10m,,,,,,
44,15221,Private,PlayStation 4,61h 53m,NR,,11753189,Completed,Replay,,61h 53m,,,,,,
