,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Main Story,Main+Extras,Completion,Personal Notes,Completionist,Co-Op,Progress,Speedrun
0,16638,Private,PC,8h 16m,100%,,3578780,Completed,First,8h 16m,16h 31m,,,,,,
1,16638,,PC,8h 20m,NR,,4549006,Completed,First,8h 20m,,,,,,,
2,16638,Ultraviper,PC,8h 20m,NR,,4549008,Completed,First,8h 20m,,,,,,,
3,16638,,PC,8h 32m,NR,,2059727,Completed,Replay,8h 32m 16s,,,,,,,
4,16638,Nord,PC,9h 06m,100%,,991717,Completed,First,9h 06m 37s,,"October 09, 2014",,,,,
5,16638,Jerromy,PC,9h 32m,80%,,10399680,Completed,Replay,9h 32m 15s,,"October 28, 2019",,,,,
6,16638,BrickTrain,PC,9h 58m,30%,,6308586,Completed,First,9h 58m,,"April 24, 2020",,,,,
7,16638,adrian4370,PlayStation 4,10h,NR,,2584968,Replay Completed,Replay,10h,12h,,,,,,
8,16638,Kronikolizon,PlayStation 4,10h 05m,70%,,984613,Completed,First,10h 05m,,"January 13, 2015",,,,,
9,16638,,PC,10h 30m,NR,On easy,1062746,Completed,First,10h 30m,,,,,,,
10,16638,cellemir,PlayStation 4,10h 30m,NR,,2048389,Completed,First,10h 30m,,"November 05, 2015",,,,,
11,16638,Everdred,Xbox One,10h 54m,NR,Replay on hardest difficulty.,8565388,Completed,Replay,10h 54m,,"April 10, 2019",,,,,
12,16638,Private,Xbox One,10h 54m,NR,,9157435,Completed,Replay,10h 54m 26s,,"April 30, 2017",4/29/17,,,,
13,16638,,PC,11h,NR,,1154875,Completed,First,11h,,,,,,,
14,16638,,PC,11h,NR,,4104186,Completed,First,11h,12h 15m,,,,,,
15,16638,,PC,11h,NR,,6239442,Completed,First,11h,,,,,,,
16,16638,,PC,11h,NR,,11589583,Completed,First,11h,,,,,,,
17,16638,,PC,11h,NR,,12044241,Completed,Replay,11h,,,,,,,
18,16638,raindroplet,PC,11h,80%,,6176060,Completed,First,11h,,"July 06, 2018",,,,,
19,16638,saunachum,PC,11h,NR,Novice,11657300,Completed,First,11h,,"May 05, 2020",,,,,
20,16638,lewdmeat,PC,11h 15m,90%,Difficulty - Hard (4/5),8903387,Replay Completed,Replay,11h 15m 37s,,"June 09, 2019","Difficulty Setting: Hard (4/5)
This used to be the highest (and therefore hardest) difficulty in the game, until around a month or so after when
Novice (easiest) and Nightmare (hardest) were added. Nightmare made me very frustrated, so Hard is the way Alien: Isolation was meant to be played (as stated in its in-game description).",,,,
21,16638,suseonhwa,PC,11h 17m,NR,,11652331,Completed,First,11h 17m 55s,,"May 04, 2020",,,,,
22,16638,Private,PC,11h 30m,90%,,10223478,Completed,First,11h 30m,,,,,,,
23,16638,JDelwynn,PlayStation 4,11h 32m,80%,Platinum Trophy,2584690,Completed Retired,First,11h 32m,,"January 06, 2015",,22h 55m,,,
24,16638,zeuswaffle19,PC,11h 37m,70%,,11147578,Completed,First,11h 37m,,"March 13, 2020",,,,,
25,16638,nship,PC,11h 58m,60%,,11598579,Completed,First,11h 58m 49s,,"May 12, 2020",,,,,
26,16638,Allicere,PC,12h,NR,,6800608,Completed,First,12h,,"August 09, 2018",,,,,
27,16638,alexisplaying,PC,12h,90%,,1013336,Completed,First,12h,,"November 06, 2014",,,,,
28,16638,electrofox,PC,12h,NR,,2311596,Completed,First,12h,,"May 08, 2017",,,,,
29,16638,spaceman619,PC,12h,NR,,3301063,Completed,First,12h,,"August 07, 2016",,,,,
30,16638,Renzy,PC,12h 16m,NR,,11689334,Completed,First,12h 16m,,,,,,,
31,16638,,PC,12h 20m,NR,,11661501,Completed,First,12h 20m,,,,,,,
32,16638,,PC,12h 30m,NR,,974076,Completed,First,12h 30m,,,,,,,
33,16638,,PC,12h 30m,NR,,1088705,Completed,First,12h 30m,,,,,,,
34,16638,Marcus54j,PC,12h 30m,80%,,6195506,Completed,First,12h 30m,,"October 30, 2017",,,,,
35,16638,wolfer255,PC,12h 30m,NR,,2934147,Completed,First,12h 30m,,"May 03, 2016",,,,,
36,16638,Everdred,PlayStation 4,12h 31m,80%,"Started on hard, finished on normal.",3097276,Completed,First,12h 31m,,"June 25, 2016",,,,,
37,16638,nsalinardi,PC,12h 31m,90%,,11439524,Completed,First,12h 31m 58s,,"April 26, 2020",,,,,
38,16638,jacobss239,Xbox One,12h 37m,90%,,10516789,Completed,First,12h 37m 03s,,"November 29, 2019",,,,,
39,16638,humra,PC,12h 57m,50%,,4078787,Completed,First,12h 57m,,"March 05, 2017",,,,,
40,16638,Chickenmonster,PC,12h 59m,NR,Beat on hard + DLC,5445068,Completed,First,12h 59m 46s,13h 44m 26s,"December 16, 2017",,,,,
41,16638,,PC,13h,NR,,10862742,Completed,First,13h,,,,,,,
42,16638,Okerlund,PC,13h,NR,,10674084,Completed,First,13h,,"December 27, 2019",,,,,
43,16638,Ripa,PC,13h,NR,,7730716,Completed,First,13h,,,,,,,
44,16638,Varney23,PC,13h,NR,,2431558,Completed,First,13h,,"November 01, 2016",,,,,
45,16638,Veeky3391,PC,13h,90%,,8416230,Replay Completed,Replay,13h,,"February 16, 2019",,,,,
46,16638,Private,PC,13h,100%,,6034920,Completed,Replay,13h,,,,,,,
47,16638,wolfinboy,Xbox One,13h 03m,NR,,11269647,Completed,First,13h 03m,,"March 27, 2020",,,,,
48,16638,jlcfreitas,PC,13h 05m,NR,,2713414,Completed,First,13h 05m,,,,,,,
49,16638,Benebec,PC,13h 06m,80%,,1485471,Completed,First,13h 06m,,"April 05, 2014",,,13h 06m,,
50,16638,EhLeeUht,PC,13h 06m,NR,,5115583,Completed,Replay,13h 06m,,"September 30, 2017",,,,,
51,16638,sansa,PC,13h 06m,NR,,6774404,Completed,First,13h 06m,,,,,,,
52,16638,mcollier416,PC,13h 08m,90%,,4465479,Completed,First,13h 08m,,"May 23, 2017",,,,,
53,16638,Freety,PC,13h 12m,NR,,2863312,Completed,First,13h 12m,,"April 16, 2016",,,,,
54,16638,Private,PlayStation 4,13h 15m,90%,,975263,Completed,First,13h 15m,,"January 01, 2015",,,,,
55,16638,Private,PC,13h 15m,80%,,7263205,Completed,First,13h 15m 53s,,"October 30, 2018",,,,,
56,16638,markx182,PC,13h 24m,90%,,1194627,Completed,First,13h 24m,,"February 15, 2015",,,,,
57,16638,Molda,PC,13h 25m,80%,,1332697,Completed,First,13h 25m,,"May 06, 2015",,,,,
58,16638,,PC,13h 30m,NR,,975395,Completed,First,13h 30m,,,,,,,
59,16638,Rubius,PC,13h 35m,NR,,1088931,Completed,First,13h 35m,,"December 31, 2014",,,,,
60,16638,Spizzik,PC,13h 36m,NR,,3598142,Completed,First,13h 36m,,"November 01, 2017",,,,,
61,16638,,PC,13h 40m,NR,,11814375,Completed,First,13h 40m,,,,,,,
62,16638,SlipperyWW,PC,13h 50m,NR,"Played main story, didn't spend as much time reading emails and such as I would have liked, mostly because of the alien.",1014509,Completed,First,13h 50m,,"November 05, 2014","Really enjoyed this. The way all the gameplay elements blend together makes is really fun to play. Would love to play again on easy, maybe, to spend more time looking for things I missed, especially emails.",,,,
63,16638,,PlayStation 4,14h,NR,GameSpot Review,965701,Completed,First,14h,,,,,,,
64,16638,,PC,14h,NR,,971725,Completed,First,14h,,,,,,,
65,16638,,PC,14h,NR,,6201946,Completed,First,14h,,,,,,,
66,16638,,PC,14h,NR,,9120691,Completed,First,14h,,,,,,,
67,16638,,PC,14h,NR,,11645154,Completed,First,14h,,,,,,,
68,16638,AysenKld,PC,14h,90%,,5037777,Completed,First,14h,,"July 27, 2015",,,,,
69,16638,Chado,PC,14h,NR,,4549159,Completed,First,14h,,"June 09, 2017",,,,,
70,16638,Foxy43,PC,14h,NR,,8845384,Completed,Replay,14h,,"May 26, 2019",,,,,
71,16638,Gothicpolar,PC,14h,NR,,5538152,Completed,First,14h,,2016,,,,,
72,16638,KamikotoGasai,PC,14h,70%,,3514561,Completed,First,14h,,"October 12, 2016",,,,,
73,16638,ManosPer23,PC,14h,NR,,11416406,Completed,First,14h,,"May 01, 2019",,,,,
74,16638,Rodimuss,PC,14h,NR,,2567062,Completed,First,14h,,"February 13, 2016",,,,,
75,16638,Spasmoid,PC,14h,NR,,977978,Completed,First,14h,,"October 12, 2014",,,,,
76,16638,gexthegecko,PC,14h,NR,,1338633,Completed,Replay,14h,,"December 31, 2014","Noticed that you can bluff with the flamethrower, by that I mean you can aim it at an approaching alien, and it will stop and hesitate, expecting a blast of flame. This is useful if you have little to no fuel left for the flamethrower.",,,,
77,16638,hahe71,PC,14h,NR,,3743754,Completed,First,14h,,,,,,,
78,16638,inautumn,PC,14h,NR,"hard mode, no human kills, and no deaths",990996,Replay Completed,Replay,14h,,"October 24, 2014",,,,,
79,16638,kyletx500,PC,14h,NR,,11544530,Completed,First,14h,,"April 23, 2020",,,,,
80,16638,skynoff,PC,14h,NR,"Normal difficulty, average exploration",4179439,Completed,First,14h,,,,,,,
81,16638,whyrecon,PC,14h,60%,,4415495,Completed,First,14h,,"May 05, 2016",,,,,
82,16638,Ursus,PC,14h 15m,NR,,1374749,Playing Completed,First,14h 15m 12s,,"June 05, 2015",,,,,
83,16638,,PC,14h 21m,NR,,8645685,Completed,First,14h 21m,,,,,,,
84,16638,,PC,14h 24m,NR,,1581318,Completed,First,14h 24m,,,,,,,
85,16638,SuccinctAndPunchy,PC,14h 24m,NR,,1404640,Completed,First,14h 24m,,"July 15, 2015",,,,,
86,16638,Private,Xbox One,14h 24m,100%,,2858197,Completed,First,14h 24m,,"May 18, 2015",,,,,
87,16638,Thekoolbean,Xbox One,14h 30m,70%,,966616,Completed,First,14h 30m,,"October 12, 2014",,,,,
88,16638,Private,PC,14h 36m,50%,,1184232,Completed,First,14h 36m,,"February 08, 2015",,,,,
89,16638,maxz2040,Xbox One,14h 49m,NR,,11803153,Completed,First,14h 49m,,"June 06, 2020",,,,,
