,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Main Story,Completion,Main+Extras,Progress,Completionist,Personal Notes,Speedrun
0,16886,Verranicus,PC,5h 59m,NR,,7208764,Completed,First,5h 59m 11s,,,,,,
1,16886,,PC,6h,NR,,5533054,Completed,First,6h,,,,,,
2,16886,,PC,6h,NR,,11200726,Completed,First,6h,,,,,,
3,16886,Snacksy99,PlayStation 4,6h,NR,,5245204,Completed,First,6h,"October 31, 2017",,,,,
4,16886,nsalinardi,PC,6h,80%,,11383170,Completed,First,6h,,,,,,
5,16886,LopperUK,PC,6h 12m,NR,"Played on normal, just killed everything, ignored all optional content.",5213045,Completed,Replay,6h 12m,"October 24, 2017",,,,,
6,16886,deathstroke458,PlayStation 4,6h 21m,NR,,8485999,Completed,Replay,6h 21m,"March 08, 2020",,,,,
7,16886,f00d4tehg0dz,PC,6h 30m,90%,,737729,Completed,First,6h 30m,"May 22, 2014",,,,,
8,16886,llocousc,PC,6h 30m,NR,,4849119,Completed,First,6h 30m,"May 27, 2014",,,,,
9,16886,KevinWI,PC,6h 32m,100%,,5269697,Completed,Replay,6h 32m,"November 04, 2017",,,,,
10,16886,Tusk,PC,6h 32m,60%,Just the Wyatt timeline.,4707797,Completed,First,6h 32m,"July 09, 2017",,,,,
11,16886,ntylerwetrust,PC,6h 34m,100%,,5229221,Completed,Replay,6h 34m 04s,"November 01, 2017",,,,,
12,16886,Private,PC,6h 37m,NR,,5757830,Completed,First,6h 37m 22s,"February 01, 2018",,,,,
13,16886,0leg,PC,6h 40m,70%,,10671353,Completed,First,6h 40m,"December 27, 2019",,,,,
14,16886,VirarNeeda,PC,6h 40m,20%,Easiest difficulty. First playthrough.,736250,Completed,First,6h 40m,"May 22, 2014",,,,,
15,16886,blackjaw,Xbox 360,6h 40m,NR,,776392,Completed,First,6h 40m,"June 26, 2014",,,,,
16,16886,VonDozier,PlayStation 4,6h 40m,60%,easy,2285692,Completed,First,6h 40m 21s,"December 28, 2015",,,,,
17,16886,Ajsuenb,PC,6h 45m,NR,,5188716,Completed,First,6h 45m 06s,"October 18, 2017",,,,,
18,16886,Mokatavatah,PC,6h 57m,NR,,8955555,Completed,First,6h 57m,"December 12, 2019",,,,,
19,16886,,PC,7h,NR,Too short,788496,Completed,First,7h,,,,,,
20,16886,,PC,7h,NR,,1049159,Completed,First,7h,,,,,,
21,16886,,PC,7h,NR,,5581656,Completed,First,7h,,,,,,
22,16886,,PC,7h,NR,,8474628,Completed,First,7h,,,,,,
23,16886,ChrisHD,PC,7h,60%,,9690478,Completed,First,7h,,,,,,
24,16886,DevoidLazarus,PC,7h,NR,,8440221,Completed,First,7h,"September 06, 2019",,,,,
25,16886,FateNeo,PC,7h,NR,,8071679,Completed,First,7h,"January 20, 2019",,,,,
26,16886,Gojira1988,PC,7h,NR,,3849305,Completed,First,7h,,,,,,
27,16886,Kolden,PC,7h,NR,,8846092,Completed,First,7h,"May 26, 2019",8h,,,,
28,16886,colinnoel,PC,7h,NR,,4037881,Completed,First,7h,"February 07, 2017",,,,,
29,16886,craigx1995,PC,7h,70%,,7775693,Completed,First,7h,"December 18, 2018",,,,,
30,16886,m4ggick,PC,7h,NR,baby difficulty,9091838,Completed,Replay,7h,"July 04, 2019",,,,,
31,16886,Private,PC,7h,NR,,10180309,Completed,First,7h,"October 03, 2019",,,,,
32,16886,,PC,7h 05m,NR,,9094110,Completed,First,7h 05m,,,,,,
33,16886,,PC,7h 10m,NR,,5692305,Completed,First,7h 10m,,,,,,
34,16886,Barch,PlayStation 4,7h 14m,NR,,9296160,Backlog Completed,Replay,7h 14m 52s,"August 05, 2019",,7h 14m 52s /,,,
35,16886,Warthog,PC,7h 15m,NR,,11839544,Completed,First,7h 15m 29s,"May 28, 2020",,,,,
36,16886,Moddr1n,PC,7h 17m,80%,,8671931,Completed,First,7h 17m 05s,"May 07, 2019",,,,,
37,16886,,PC,7h 20m,NR,,11286913,Completed,Replay,7h 20m,,,,,,
38,16886,ViperDC,PC,7h 20m,NR,,10377374,Completed,First,7h 20m,"November 07, 2019",,,,,
39,16886,coldfusuin,PlayStation 4,7h 20m,NR,,5296860,Completed,First,7h 20m,"November 10, 2017",,,,,
40,16886,,PC,7h 21m,NR,,5383984,Completed,First,7h 21m 07s,,,,,,
41,16886,PurpleCrab,PlayStation 4,7h 23m,80%,,5283418,Completed,First,7h 23m 04s,"November 12, 2017",,,,,
42,16886,bombashay,PlayStation 4,7h 24m,80%,,739485,Completed,First,7h 24m 49s,"May 20, 2014",,,,,
43,16886,,PC,7h 26m,NR,,11905503,Completed,First,7h 26m,,,,,,
44,16886,Barch,PlayStation 4,7h 26m,NR,,6814720,Backlog Completed,First,7h 26m 45s,"August 15, 2018",,7h 26m 45s /,,,
45,16886,ChristmasDog,PC,7h 30m,NR,,8995560,Completed,First,7h 30m,"June 18, 2019",,,,,
46,16886,Gagerzzzz,PC,7h 30m,90%,,5521610,Completed,Replay,7h 30m,"December 26, 2017",,,,,
47,16886,HRPrime,PC,7h 30m,90%,One timeline,4599697,Completed,First,7h 30m,,,,23h,,
48,16886,HorridGnu41,PC,7h 30m,NR,,6341065,Completed,First,7h 30m,"May 28, 2018",,,,,
49,16886,LauraSofia,PC,7h 30m,NR,,9053858,Completed,First,7h 30m,"June 29, 2019",,,,,
50,16886,Ravssssssss,PC,7h 30m,NR,,3979883,Completed,First,7h 30m,"January 28, 2017",,,,,
51,16886,horgr,PC,7h 30m,NR,,1483278,Completed,First,7h 30m,"July 14, 2015",,,,,
52,16886,horgr,PC,7h 30m,NR,,1948516,Completed,First,7h 30m,"October 05, 2015",,,,,
53,16886,Private,PC,7h 30m,NR,,6152470,Completed,First,7h 30m,"April 21, 2018",,,,,
54,16886,smmac41,PlayStation 4,7h 30m,80%,,2192344,Completed,First,7h 30m,"December 06, 2015",,,,,
55,16886,,PC,7h 30m,NR,,9003112,Completed,First,7h 30m 20s,,,,,,
56,16886,,PC,7h 32m,NR,,6202283,Completed,First,7h 32m 41s,,,,,,
57,16886,Stanvdo,PC,7h 33m,90%,,3696690,Completed,First,7h 33m,"November 30, 2016",,,,,
58,16886,CamLFC,PC,7h 34m,70%,,6910606,Completed,First,7h 34m 21s,"August 14, 2018",,,,First playthrough,
59,16886,,PC,7h 35m,NR,,10333083,Completed,First,7h 35m 55s,,,,,,
60,16886,AdamRhodes536,Xbox One,7h 40m,NR,,11119812,Completed,First,7h 40m 07s,"March 29, 2020",,,,,
61,16886,martin,PC,7h 42m,90%,,1370150,Completed,First,7h 42m,"June 02, 2015",,,,,
62,16886,,PC,7h 45m,NR,,2758734,Completed,First,7h 45m,,,,,,
63,16886,,PC,7h 45m,NR,,3259020,Completed,First,7h 45m,,9h 30m,,,,
64,16886,,PC,7h 50m,NR,,5244162,Completed,First,7h 50m,,,,,,
65,16886,,PC,7h 50m,NR,,10802244,Completed,First,7h 50m,,8h 25m,,,,
66,16886,Jamyjet,PC,7h 50m,NR,,745182,Completed,First,7h 50m,"June 01, 2014",,,,,
67,16886,sirrgeoff,PC,7h 50m,80%,,3976658,Completed,First,7h 50m,"January 24, 2017",,,,,
68,16886,Curwel,PC,7h 50m,NR,,6803221,Completed,First,7h 50m 46s,"January 13, 2018",,,,,
69,16886,sagesfootball20,Xbox One,7h 51m,NR,,8269922,Completed,First,7h 51m,"July 01, 2019",,,,Gamepass,
70,16886,Electry,PC,7h 55m,NR,,5443115,Completed,First,7h 55m,"December 09, 2017",,,,,
71,16886,KingM,PlayStation 4,7h 55m,70%,,1088410,Completed,First,7h 55m 12s,"December 31, 2014",,,,,
72,16886,Hinkelvinkel,PC,7h 59m,100%,,1019387,Completed,First,7h 59m 53s,"November 16, 2014",,,,,
73,16886,,PC,8h,NR,,740148,Completed,First,8h,,,,,,
74,16886,,PC,8h,NR,,1099777,Completed,First,8h,,,,,,
75,16886,,PC,8h,NR,,1115879,Completed,First,8h,,,,,,
76,16886,,PC,8h,NR,,1136102,Completed,Replay,8h,,15h,,33h,,
77,16886,,PC,8h,NR,,1162603,Completed,First,8h,,,,,,
78,16886,,PC,8h,NR,,1421749,Completed,First,8h,,,,,,
79,16886,,PC,8h,NR,,2023600,Completed,First,8h,,,,,,
80,16886,,PC,8h,NR,,2317628,Completed,First,8h,,,,,,
81,16886,,PC,8h,NR,,2473340,Completed,First,8h,,,,,,
82,16886,,PC,8h,NR,,3650912,Completed,First,8h,,,,,,
83,16886,,PC,8h,NR,,4362986,Completed,First,8h,,,,,,
84,16886,,PC,8h,NR,,4590963,Completed,First,8h,,,,,,
85,16886,,PC,8h,NR,,5064554,Completed,First,8h,,,,,,
86,16886,,PC,8h,NR,,5378006,Completed,First,8h,,,,,,
87,16886,,PC,8h,NR,,5404773,Completed,First,8h,,,,,,
88,16886,,PC,8h,NR,,6461499,Completed,First,8h,,,,,,
89,16886,,PC,8h,NR,,6537060,Completed,First,8h,,,,,,
90,16886,,PC,8h,NR,,6611001,Completed,First,8h,,,,,,
91,16886,,PC,8h,NR,,8538113,Completed,First,8h,,,,,,
92,16886,,PC,8h,NR,,8740481,Completed,Replay,8h,,,,,,
93,16886,,PC,8h,NR,,9229655,Completed,First,8h,,,,,,
94,16886,,PC,8h,NR,,9335629,Completed,First,8h,,,,,,
95,16886,1ndigoo,PC,8h,NR,,2712186,Completed,First,8h,"March 10, 2016",,,,,
96,16886,AkD,PC,8h,NR,,10537481,Completed,First,8h,"December 04, 2019",,,,,
97,16886,Alkahzane,PC,8h,NR,,3057337,Completed,First,8h,"June 05, 2016",,,,,
98,16886,Cooperserus,PC,8h,NR,,9457219,Completed,First,8h,"August 26, 2019",,,,,
99,16886,Private,PC,8h,80%,,10492204,Completed,First,8h,"August 15, 2017",,,,,
100,16886,Private,PC,8h,NR,,11678144,Completed,First,8h,"May 08, 2020",,,,,
101,16886,Faxe,PC,8h,NR,,10633945,Completed,First,8h,"December 22, 2019",,,,,
102,16886,Fistberg,PC,8h,70%,,2549748,Completed,First,8h,,,,,Fergus timeline only.,
103,16886,Gzhavve,PC,8h,NR,,8939383,Completed,First,8h,"June 11, 2019",,,,,
104,16886,L0cke89,Xbox One,8h,NR,,1349838,Completed,First,8h,"May 18, 2015",10h,,15h,,
105,16886,Private,PC,8h,NR,,1503466,Completed Retired,First,8h,"July 18, 2015",,,,,
106,16886,Morotov,PC,8h,NR,,11856226,Completed,First,8h,"May 21, 2018",,,,,
107,16886,ScafTheChamp,PlayStation 4,8h,90%,,6536955,Completed,First,8h,"July 06, 2018",,,,,
108,16886,ShikenNuggets,PC,8h,NR,,2409542,Playing Replay Completed,First,8h,,,,,,
109,16886,Sir_Harris,PC,8h,90%,,4518636,Completed,First,8h,"June 02, 2017",,,,"The game was completed on hard difficulty, and I had explored the first half of the game before but lost a save and continued it around a year later.",
110,16886,Skelly,PC,8h,NR,,6323310,Completed Retired,First,8h,"May 30, 2018",,,,,
111,16886,Private,PC,8h,70%,,11025686,Completed,First,8h,,,,,,
112,16886,Tottie,PC,8h,NR,,10467943,Completed,First,8h,"July 09, 2018",,,,,
113,16886,Vandral,PC,8h,NR,,11808534,Completed,First,8h,"December 08, 2017",,,,,
114,16886,Zapkaos,PlayStation 4,8h,80%,,6911679,Completed,First,8h,"September 12, 2018",,,,,
115,16886,amphoterism,PC,8h,NR,,5506405,Completed,First,8h,"December 23, 2017",,,,,
