,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Main Story,Completion,Main+Extras,Completionist,Personal Notes,Progress
0,18005,,Xbox One,7h 09m,NR,,6144540,Completed,First,7h 09m 39s,,,,,
1,18005,Rezruel,PC,7h 21m,NR,,5128469,Completed,First,7h 21m,"October 03, 2017",28h 21m,,,
2,18005,,PlayStation 4,7h 34m,NR,,1412506,Completed,First,7h 34m 12s,,,,,
3,18005,,Xbox One,7h 43m,NR,,1409260,Completed,First,7h 43m 21s,,9h 51m 53s,,,
4,18005,,PlayStation 4,7h 57m,NR,,1409255,Completed,First,7h 57m 54s,,10h 36m 23s,,,
5,18005,cabriolet6,PC,8h 26m,80%,,7337340,Completed,First,8h 26m 25s,"October 26, 2018",,,,
6,18005,,PC,8h 30m,NR,,2834563,Completed,First,8h 30m,,26h 21m,47h 45m,,
7,18005,,PC,8h 30m,NR,,4605084,Completed,First,8h 30m,,59h,,,
8,18005,,PlayStation 4,8h 30m,NR,,1756320,Completed,First,8h 30m 50s,,,,,
9,18005,smaczny,PC,8h 38m,NR,,3793619,Completed,First,8h 38m,,,,,
10,18005,tobesplays,PC,9h,NR,,11537824,Completed,First,9h,,,,,
11,18005,,PlayStation 4,9h 34m,NR,,1577786,Completed,First,9h 34m,,,,,
12,18005,andrewl3779,PC,9h 41m,NR,Normal Completion. Additional content was ignored.,6571797,Completed,First,9h 41m 26s,"July 11, 2018",,,,
13,18005,,PlayStation 4,10h,NR,,4864512,Completed,First,10h,,,,,
14,18005,Beat_Ginger,PlayStation 4,10h,NR,,1627137,Completed,First,10h,,25h,,,
15,18005,Dereklions,PlayStation 4,10h,NR,,11416524,Completed,First,10h,"April 11, 2020",,,,
16,18005,HenryVIIII,Xbox One,10h,90%,,1465116,Completed,First,10h,"July 10, 2015",20h,32h 16m,,
17,18005,MediocreZone,PlayStation 4,10h,NR,,1901639,Completed,First,10h,"August 29, 2015",55h,100h,,
18,18005,evilsniperxv,Xbox One,10h,NR,,2103634,Completed,First,10h,"November 18, 2015",,,,
