,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Completion,Main Story,Completionist,Main+Extras,Personal Notes,Progress,Co-Op
0,19266,SO_X_GAME,PC,5h,NR,Without cutscenes.,8233047,Completed,First,"February 09, 2019",5h,,,,,
1,19266,,PC,6h,NR,53%,10667768,Completed,First,,6h,,,,,
2,19266,Elites,PC,6h,NR,6 hours on the dot for main story. First play thru. Didnt even rush it really. How did everyone else get such high times,4354308,Completed,First,"April 25, 2017",6h,,,,,
3,19266,,Xbox One,6h 12m,NR,,5627866,Completed,First,,6h 12m 46s,,,,,
4,19266,,Xbox One,6h 30m,NR,No Challenge Tombs or side quests. Some cut scenes skipped.,2087317,Completed,First,,6h 30m,,,,,
5,19266,Ajsuenb,PC,6h 35m,NR,,6214051,Completed,First,"May 05, 2018",6h 35m,,,,,
6,19266,Doomes,PlayStation 4,6h 46m,80%,,5086846,Completed,First,"September 22, 2017",6h 46m,,,,,
7,19266,CyDi,PC,6h 57m,90%,,3628522,Completed,First,"November 15, 2016",6h 57m 54s,,,,,
8,19266,cabriolet6,PC,6h 59m,80%,,3555949,Completed,First,"November 05, 2016",6h 59m 59s,,,,,
9,19266,RadekParek,PC,7h,NR,,3842399,Completed,Replay,"July 05, 2018",7h,,,,,
10,19266,benipersia,Xbox One,7h,NR,,4122193,Completed,First,"January 27, 2015",7h,,,,,
11,19266,psxsquall,PC,7h,80%,,5138893,Completed,Replay,"October 07, 2017",7h,,,,,
12,19266,FznRfq,PC,7h 10m,90%,Difficulty Level: Survivor (Hardest),3529812,Completed,First,"October 18, 2016",7h 10m 56s,,,,,
13,19266,zpattack12,PC,7h 16m,NR,,6159396,Completed,First,,7h 16m,,,,,
14,19266,Everdred,Xbox One,7h 20m,80%,Normal difficulty.,4206198,Completed,First,"April 15, 2017",7h 20m,,,,,
15,19266,tobesplays,PC,7h 20m,NR,,11537796,Completed,First,,7h 20m,,,,,
16,19266,nsalinardi,PC,7h 23m,90%,,11915764,Completed,First,"June 08, 2020",7h 23m 41s,,,,,
17,19266,Adrien104,Xbox One,7h 27m,NR,,6076721,Completed,Replay,"April 03, 2018",7h 27m 15s,,,,,
18,19266,,PC,7h 28m,NR,,6881100,Completed,First,,7h 28m 37s,,,,,
19,19266,Hakaana,PlayStation 4,7h 30m,60%,,6048966,Completed,First,"October 08, 2018",7h 30m,,,,,
20,19266,SirMick56,PC,7h 30m,80%,,3518294,Completed,First,"October 17, 2016",7h 30m,,,,,
21,19266,baggafx,PC,7h 30m,NR,,10201439,Completed,First,"October 08, 2019",7h 30m,,,,,
22,19266,Private,PC,7h 31m,60%,,9012333,Completed,First,"July 19, 2019",7h 31m 53s,,,,,
23,19266,SarcasmAbound,PlayStation 4,7h 38m,80%,"All collectibles found, all side missions and challenges completed.",3555626,Completed Retired,First,"October 29, 2016",7h 38m 49s,,14h 36m,,,
24,19266,,Xbox One,7h 45m,NR,,10889936,Completed,Replay,,7h 45m,,,,,
25,19266,,PC,7h 45m,NR,Rushed,11667145,Completed,Replay,,7h 45m,,,,,
26,19266,vu1ken,PC,7h 45m,80%,,11404152,Completed,First,"April 11, 2020",7h 45m 24s,,,,,
27,19266,morphinapg,PlayStation 4,7h 52m,100%,"No exploring, didn't pick up most items.",3660409,Completed,Replay,"November 23, 2016",7h 52m 27s,,,,,
28,19266,,PC,7h 53m,NR,,2539603,Completed,First,,7h 53m,,,,,
29,19266,,PC,7h 57m,NR,,8039028,Completed,First,,7h 57m,,,,,
30,19266,,PC,8h,NR,,5906694,Completed,First,,8h,,,,,
31,19266,,PC,8h,NR,,6093872,Completed,First,,8h,,,,,
32,19266,Dragon_Eyes,PC,8h,NR,,2526066,Completed,First,"February 05, 2016",8h,35h,12h,,,
33,19266,Kauk,PC,8h,80%,,5203753,Completed,First,"April 19, 2016",8h,,,,,
34,19266,Merijnj,PC,8h,80%,,5304953,Completed,First,"November 11, 2017",8h,,,,,
35,19266,VonDozier,PC,8h,70%,"58%, easy",3305469,Completed,First,"August 17, 2016",8h,,,,,
36,19266,pigge,PC,8h,30%,"got all upgrades and did all tombs, didnt think too hard about finishing challenges",2508592,Completed,First,"January 31, 2016",8h,,,,,
37,19266,Sinrah,PC,8h 02m,80%,,5786764,Completed,First,"February 06, 2018",8h 02m,,,,,
38,19266,Thalaban,PlayStation 4,8h 02m,90%,,4604918,Completed,First,"June 21, 2017",8h 02m 07s,,,,,
39,19266,andrewl3779,PC,8h 03m,NR,,4305389,Completed,First,"April 13, 2017",8h 03m 11s,,,,,
40,19266,chadilak,PC,8h 04m,90%,,5892989,Completed,First,"April 02, 2020",8h 04m,,,,,
41,19266,modaren,PC,8h 09m,NR,,3680385,Completed,First,"November 26, 2016",8h 09m,,,,,
42,19266,DeathKillerNOR,PC,8h 10m,NR,https://www.youtube.com/playlist?list=PLFswjBcT5amyWDkyzoldebEi6RcejuudX,11805380,Completed,First,"June 30, 2018",8h 10m,,,,,
43,19266,KevinWI,PC,8h 16m,80%,,6963087,Completed,First,"September 09, 2018",8h 16m,,,,,
44,19266,ogman69,PC,8h 24m,90%,,3372636,Completed,First,"November 11, 2015",8h 24m,,,,,
45,19266,,Xbox One,8h 25m,NR,,3444023,Completed,First,,8h 25m,,,,,
46,19266,uvehj,PC,8h 25m,NR,,11697334,Completed,First,"May 27, 2020",8h 25m,,,,,
47,19266,Excelsior,PlayStation 4,8h 25m,70%,Normal difficulty. A few side-missions and challenges.,6401314,Completed,First,"January 18, 2019",8h 25m 13s,,,,,
48,19266,Damnboy,PC,8h 30m,NR,,2503569,Completed,First,"January 30, 2016",8h 30m,,10h,,,
49,19266,Rogkone,PC,8h 30m,NR,,3967089,Completed,First,"January 24, 2017",8h 30m,,,,,
50,19266,lona91,PC,8h 30m,NR,,3239183,Completed,First,"July 19, 2016",8h 30m,,,,,
51,19266,Volvicgott,PC,8h 32m,NR,,10518548,Completed,First,,8h 32m,,,,,
52,19266,AhkmedWithers,PC,8h 40m,NR,,11943360,Completed,First,,8h 40m,,,,,
53,19266,bennolan13,Xbox One,8h 40m,NR,,2949909,Completed,First,"May 11, 2016",8h 40m,,,,,
54,19266,elpiop,PC,8h 40m,NR,,11149779,Completed,First,2016,8h 40m,,,,,
55,19266,,PC,8h 43m,NR,,5320292,Completed,First,,8h 43m 37s,,,,,
56,19266,,Xbox One,8h 46m,NR,,4301010,Completed,First,,8h 46m 32s,,,,,
57,19266,Magic_Pterodactyl,PC,8h 48m,NR,,2646970,Completed,First,"February 24, 2016",8h 48m,,,,,
58,19266,bendikts,PC,8h 50m,NR,,3783468,Completed,First,"February 22, 2016",8h 50m,,,,,
59,19266,,Xbox One,8h 53m,NR,Did 2 side missions only,3895543,Completed,First,,8h 53m,,,,,
60,19266,,PC,8h 55m,NR,,4398648,Completed,First,,8h 55m,,,,,
