,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Main Story,Completion,Completionist,Main+Extras,Speedrun,100% Speedrun,Progress,Personal Notes,Vs.,Co-Op
0,20077,,PlayStation 4,7h 58m,NR,,2972935,Completed,First,7h 58m 12s,,,,,,,,,
1,20077,,PlayStation 4,8h,NR,On crushing,3109695,Completed,First,8h,,,,,,,,,
2,20077,,PlayStation 4,8h,NR,,10710050,Completed,First,8h,,,,,,,,,
3,20077,javiercruzgh,PlayStation 4,8h,NR,,12011173,Completed,First,8h,"May 21, 2020",,,,,,,,
4,20077,supernova1234,PlayStation 4,8h,NR,,8039226,Completed,First,8h,"December 30, 2017",,,,,,,,
5,20077,,PlayStation 4,8h 09m,NR,,8138860,Completed,Replay,8h 09m 11s,,,,,,,,,
6,20077,,PlayStation 4,8h 12m,NR,,6937468,Completed,First,8h 12m,,,,,,,,,
7,20077,,PlayStation 4,8h 26m,NR,,2951119,Completed,First,8h 26m 14s,,,,,,,,,
8,20077,,PlayStation 4,8h 41m,NR,"Short, extras are just random treasures, no actual side events",10238822,Completed,First,8h 41m,,,,,,,,,
9,20077,,PlayStation 4,9h,NR,,6513206,Completed,First,9h,,,,,,,,,
10,20077,,PlayStation 4,9h,NR,,7687889,Completed,First,9h,,,,,,,,,
11,20077,Private,PlayStation 4,9h,NR,,3993357,Completed,First,9h,"February 05, 2017",,,,,,,,
12,20077,SuperiorLui,PlayStation 4,9h,NR,,5804415,Completed,First,9h,"February 09, 2018",,,,,,,,
13,20077,,PlayStation 4,9h 02m,NR,,6444979,Completed,First,9h 02m 55s,,,,,,,,,
14,20077,,PlayStation 4,9h 09m,NR,,4202490,Completed,First,9h 09m 52s,,,,,,,,,
15,20077,,PlayStation 4,9h 12m,NR,,2962498,Completed,First,9h 12m 25s,,,,,,,,,
16,20077,,PlayStation 4,9h 18m,NR,,3715940,Completed,First,9h 18m 54s,,,,,,,,,
17,20077,,PlayStation 4,9h 26m,NR,,4398344,Completed,Replay,9h 26m 26s,,,,,,,,,
18,20077,,PlayStation 4,9h 30m,NR,,3012669,Completed,First,9h 30m 22s,,,,,,,,,
19,20077,vishwas,PlayStation 4,9h 37m,NR,,7128945,Completed,First,9h 37m 02s,"September 27, 2018",,,,,,,,
20,20077,,PlayStation 4,10h,NR,,6037010,Completed,Replay,10h,,,,,,,,,
21,20077,Bushlitter,PlayStation 4,10h,NR,,5443283,Completed,First,10h,"December 09, 2017",25h,,,,,,,
22,20077,MrFirebugJr,PlayStation 4,10h,90%,,3491221,Completed,First,10h,"May 16, 2016",,,,,,,,
23,20077,Private,PlayStation 4,10h,NR,,3360130,Completed,First,10h,"June 16, 2016",17h 15m 12s,13h 14m 13s,,,,,,
24,20077,dmgash,PlayStation 4,10h,NR,,11828811,Completed,Replay,10h,"May 24, 2020",,,,,,,,
25,20077,luchristoni,PlayStation 4,10h,NR,,9337360,Completed,First,10h,,,,,,,,,
26,20077,samiii11,PlayStation 4,10h,80%,,11944577,Completed,First,10h,"May 09, 2020",30h,,5h 20m,,,,,
27,20077,,PlayStation 4,10h 18m,NR,,3911742,Completed,First,10h 18m 18s,,,,,,,,,
28,20077,,PlayStation 4,10h 25m,NR,,8790696,Completed,First,10h 25m 50s,,,,,,,,,
29,20077,Joshster_1,PlayStation 4,10h 29m,90%,,2985333,Completed,First,10h 29m 36s,"May 18, 2016",,,,,,,,
30,20077,,PlayStation 4,10h 30m,NR,,6086801,Completed,First,10h 30m 07s,,20h 05m 59s,14h 55m 45s,,,,,,
31,20077,ziggystardust65,PlayStation 4,10h 37m,90%,,6057406,Completed,First,10h 37m,"April 23, 2018",,,,,,,,
32,20077,,PlayStation 4,10h 38m,NR,,3037855,Completed,First,10h 38m 12s,,27h 31m 50s,,,6h 12m 32s,,,,
33,20077,,PlayStation 4,10h 45m,NR,"Beat it in 2 nights but satared at like 10 every night, very fun game",4871545,Completed,First,10h 45m,,,,,,,,,
34,20077,MarcosBellido,PlayStation 4,10h 55m,NR,buenardo,10290462,Completed,First,10h 55m 32s,"October 23, 2019",,,,,,,,
35,20077,typ12,PlayStation 4,10h 56m,NR,,10551020,Completed,First,10h 56m,,,,,,,,,
36,20077,theplump,PlayStation 4,10h 59m,100%,,11354384,Completed,Replay,10h 59m,"April 05, 2020",,,,,,,,
37,20077,Akitrotro,PlayStation 4,11h,NR,,3919143,Completed,First,11h,"January 10, 2017",,,,,,,,
38,20077,LautocheV,PlayStation 4,11h,NR,,3189553,Completed,First,11h,"May 20, 2016",,,,,,,,
39,20077,Private,PlayStation 4,11h,NR,,5781423,Completed,First,11h,,,,,,,,,
40,20077,besighyawn,PlayStation 4,11h,90%,Crushing Mode,4994339,Replay Completed,Replay,11h,"September 01, 2017",,,,,,,,
41,20077,ismail777b,PlayStation 4,11h,80%,,6954738,Completed,First,11h,"July 24, 2018",,,,,,,,
42,20077,paulmuaddib,PlayStation 4,11h,NR,,4050759,Completed,First,11h,,,,,,,,,
43,20077,,PlayStation 4,11h 02m,NR,,9135489,Completed,First,11h 02m,,,11h 30m,,,,,,
44,20077,xkhaosxmagmusx,PlayStation 4,11h 05m,NR,,12008612,Completed,Replay,11h 05m 24s,"June 15, 2020",,,,,,,,
45,20077,,PlayStation 4,11h 06m,NR,I managed to die multiple times but still finished in 11 hours,3851453,Completed,First,11h 06m 52s,,,,,,,,,
46,20077,,PlayStation Now,11h 10m,NR,,10640296,Completed,First,11h 10m,,,,,,,,,
47,20077,fg01,PlayStation 4,11h 10m,90%,,9302623,Completed,First,11h 10m,"August 04, 2019",,11h 40m,,,,,,
48,20077,Freak0104,PlayStation 4,11h 11m,NR,,9661024,Replay Completed,Replay,11h 11m,"April 26, 2020",,,,,13h 45m /,,,
49,20077,Private,PlayStation 4,11h 15m,70%,,3025743,Completed,First,11h 15m,"June 03, 2016",,,,,,,,
50,20077,Blazkinie,PlayStation 4,11h 17m,NR,,6971016,Completed,First,11h 17m,"September 04, 2018",,,,,,,,
51,20077,molemelester,PlayStation 4,11h 17m,100%,,8048173,Completed,First,11h 17m,"April 29, 2019",,,,,,,,
52,20077,Flourite,PlayStation 4,11h 20m,80%,,3055763,Completed,First,11h 20m,"June 05, 2016",,,,,,,,
53,20077,Shy_Citizen,PlayStation 4,11h 22m,NR,,5508814,Completed,First,11h 22m 40s,"December 24, 2017",,,,,,,,
54,20077,,PlayStation 4,11h 24m,NR,,4565957,Completed,First,11h 24m 34s,,,,,,,,,
55,20077,,PlayStation 4,11h 24m,NR,,11675253,Completed,First,11h 24m 59s,,,,,,,,,
