,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Completion,Main Story,Main+Extras,Completionist,Progress,Vs.,Personal Notes,Co-Op,Speedrun
0,20221,tylercyrus95,PlayStation 4,7h 27m,NR,,11623505,Completed,First,"May 01, 2020",7h 27m 58s,,,,,,,
1,20221,,PlayStation 4,7h 35m,NR,this was a 7 and a half hour attempt at a speedrun,11383508,Completed,Replay,,7h 35m,,,,,,,
2,20221,,PlayStation 4,7h 35m,NR,Only main story on normal,7236987,Completed,Replay,,7h 35m 27s,,,,,,,
3,20221,Private,PlayStation 4,8h,NR,,11481332,Completed,First,"March 30, 2020",8h,,,,,,,
4,20221,mudu0912,PlayStation 4,8h,80%,,8950001,Completed,First,,8h,,,,,,,
5,20221,robertaxin,PlayStation 4,8h,NR,,11212449,Completed,Replay,"March 21, 2020",8h,,,,,,,
6,20221,niftynick,PlayStation 4,8h 30m,100%,"This was my fifth time completing the game, which I did so that my girlfriend could watch the story (which she loved).",4167761,Replay Completed,Replay,,8h 30m,,,,,,,
7,20221,,PlayStation 4,8h 40m,NR,,1272755,Completed,First,,8h 40m 26s,,,,,,,
8,20221,DiamondGamerPro,PlayStation 4,8h 41m,NR,,11683478,Completed,First,"May 09, 2020",8h 41m 01s,,,,,,,
9,20221,,PlayStation 4,9h,NR,,1827942,Completed,First,,9h,11h,27h,,,,,
10,20221,FoxyShazam94,PlayStation 4,9h,NR,,3614644,Completed,Replay,"November 11, 2016",9h,,,,,,,
11,20221,Ibuki,PlayStation 4,9h,NR,,12033999,Completed,Replay,"June 18, 2020",9h,,,,,,,
12,20221,Private,PlayStation 4,9h,NR,,1146879,Completed,First,"August 23, 2014",9h,,,,,,,
13,20221,dancheman24,PlayStation 4,9h,100%,,10853175,Replay Completed,Replay,"December 21, 2019",9h,,,,,,,
14,20221,ecoli_killer,PlayStation 4,9h,NR,,11310621,Completed,First,,9h,,,,,,,
15,20221,,PlayStation 4,9h,NR,,1441217,Completed,Replay,,9h 37s,,,,,,,
16,20221,boticide24,PlayStation 4,9h 07m,100%,,11406307,Replay Completed,Replay,"March 17, 2015",9h 07m,,,9h 07m /,,,,
17,20221,shockzz1234,PlayStation 4,9h 09m,NR,,11834352,Completed,Replay,"May 26, 2020",9h 09m 51s,,,,,,,
18,20221,,PlayStation 4,9h 20m,NR,,8491884,Completed,Replay,,9h 20m,,,,400h,,,
19,20221,Everdred,PlayStation 4,9h 21m,90%,Normal difficulty.,1051855,Completed,First,"December 08, 2014",9h 21m,,,,,,,
20,20221,BrickTrain,PlayStation 4,9h 28m,60%,,10519336,Completed,First,"December 01, 2019",9h 28m,,,,,,,
21,20221,,PlayStation 4,9h 30m,NR,,921627,Completed,First,,9h 30m,11h,,,,,,
22,20221,,PlayStation 4,9h 30m,NR,,7259227,Completed,First,,9h 30m,,,,,,,
23,20221,,PlayStation 4,9h 31m,NR,,4938289,Completed,First,,9h 31m 14s,,,,,,,
24,20221,Private,PlayStation 4,9h 32m,100%,,7542790,Completed,First,"November 11, 2019",9h 32m 49s,,,,,,,
25,20221,Benebec,PlayStation 4,9h 33m,NR,,1973012,Completed,First,"February 08, 2015",9h 33m,,,,,,,
26,20221,,PlayStation 4,9h 35m,NR,,5411721,Completed,First,,9h 35m,,,,,,,
27,20221,,PlayStation 4,9h 35m,NR,Survivor,5219599,Completed,Replay,,9h 35m 45s,,,,,,,
28,20221,,PlayStation 4,9h 36m,NR,,5219602,Completed,Replay,,9h 36m 45s,,,,,,,
29,20221,kuki26535,PlayStation 4,9h 37m,NR,,1413644,Completed,First,"April 26, 2015",9h 37m,,,,,,,
30,20221,zeron46,PlayStation 4,9h 37m,100%,,1434514,Completed,First,,9h 37m,,,,,,,
31,20221,,PlayStation 4,9h 39m,NR,,880584,Completed,First,,9h 39m,10h 47m,,,,,,
32,20221,,PlayStation 4,9h 42m,NR,,10660578,Completed,First,,9h 42m 26s,,,,,,,
33,20221,BrianWritesCode,PlayStation 4,9h 46m,100%,,5622080,Completed,Replay,"January 13, 2018",9h 46m,,,,,,,
34,20221,,PlayStation 4,9h 47m,NR,,12023625,Completed,Replay,,9h 47m,,,,,,,
35,20221,,PlayStation 4,9h 55m,NR,,900779,Completed,First,,9h 55m 30s,,,,,,,
36,20221,,PlayStation 4,9h 57m,NR,,4164909,Completed,First,,9h 57m,,,,,,,
37,20221,Majorben123,PlayStation 4,9h 57m,NR,,11529854,Completed,First,"May 02, 2020",9h 57m,,,,,,,
38,20221,Beowulf94,PlayStation 4,9h 58m,100%,,10511316,Completed,First,"June 18, 2020",9h 58m 29s,,,,,,,
39,20221,,PlayStation 4,9h 59m,NR,First playthrough on PS4 after finishing on PS3 previously,909670,Completed,Replay,,9h 59m,,,,,,,
40,20221,,PlayStation 4,10h,NR,,872495,Completed,First,,10h,,,,,,,
41,20221,,PlayStation 4,10h,NR,,874909,Completed,First,,10h,,,,,,,
42,20221,,PlayStation 4,10h,NR,,1198600,Completed,First,,10h,,,,,,,
43,20221,,PlayStation 4,10h,NR,,1314023,Completed,First,,10h,,,,,,,
44,20221,,PlayStation 4,10h,NR,,1391080,Completed,First,,10h,,,,,,,
45,20221,,PlayStation 4,10h,NR,,2063217,Completed,First,,10h,11h,,,,,,
46,20221,,PlayStation 4,10h,NR,,2967873,Completed,Replay,,10h,,,,,,,
47,20221,,PlayStation 4,10h,NR,,11589089,Completed,First,,10h,,,,,,,
48,20221,Ahmso,PlayStation 4,10h,100%,,3933551,Completed,First,"January 16, 2017",10h,,,,,,,
49,20221,BattleSpctr,PlayStation 4,10h,NR,,11950066,Replay Completed,Replay,"May 10, 2020",10h,,,,,,,
50,20221,Gman450,PlayStation 4,10h,90%,,10256764,Completed,First,"October 16, 2019",10h,,,,,,,
51,20221,Gunloader420,PlayStation 4,10h,90%,,11727875,Completed,First,"May 13, 2020",10h,,,,,,,
52,20221,Scafidi94,PlayStation 4,10h,NR,,3935780,Completed,Replay,,10h,,,,,,,
53,20221,Private,PlayStation 4,10h,90%,,11556619,Completed,First,"May 05, 2020",10h,,,,,,,
54,20221,VincentVael,PlayStation 4,10h,90%,,10419266,Completed,First,"October 06, 2019",10h,,,,,,,
55,20221,dancheman24,PlayStation 4,10h,100%,,10853173,Completed,First,"September 29, 2015",10h,,,,,,,
56,20221,flyingtoaster99,PlayStation 4,10h,90%,,1283375,Completed,First,"April 20, 2015",10h,,,,,,,
57,20221,gamerjeffro,PlayStation 4,10h,NR,,4894117,Completed,First,"December 05, 2018",10h,,,,,,,
58,20221,Private,PlayStation 4,10h,NR,,3565982,Completed,First,"November 16, 2016",10h,12h,,,,,,
59,20221,jamesrm869,PlayStation 4,10h,100%,Main story + left behind,3316064,Completed,First,"August 10, 2016",10h,12h 30m,,,,,,
60,20221,paulmuaddib,PlayStation 4,10h,100%,,4006006,Completed,First,,10h,,,,,,,
61,20221,raddrax_,PlayStation 4,10h,NR,,5172677,Completed,First,"October 12, 2017",10h,,,,,,,
62,20221,starfall100,PlayStation 4,10h,100%,,9287414,Completed,First,"December 20, 2018",10h,,,,,,,
63,20221,virtualdreams04,PlayStation 4,10h,100%,,8146489,Completed,First,"June 20, 2018",10h,,,,,,,
64,20221,Private,PlayStation 4,10h 03m,100%,,8688223,Completed,First,"July 07, 2018",10h 03m,,,,,7/7 - 7/7,,
65,20221,antonmannen,PlayStation 4,10h 03m,100%,Main Story (10:03:20) + Left Behind (01:37:03),11915892,Completed,First,"June 17, 2020",10h 03m 20s,11h 40m 23s,,,,,,
66,20221,Private,PlayStation 4,10h 08m,100%,3rd playthrough,10643258,Replay Completed,Replay,"March 21, 2020",10h 08m,,,10h 08m /,,,,
67,20221,,PlayStation 4,10h 08m,NR,One of the best games ever made.... Highly Recommend playing the Uncharted Games too :),2883054,Completed,Replay,,10h 08m 50s,,,,,,,
68,20221,,PlayStation 4,10h 11m,NR,,4126550,Completed,First,,10h 11m 23s,11h 11m 23s,12h 11m 23s,,,,,
69,20221,HecTiicClaw,PlayStation 4,10h 12m,90%,,4845032,Completed,First,"August 02, 2017",10h 12m 24s,,,,,,,
70,20221,Retroagv,PlayStation 4,10h 13m,70%,66 collectibles,6249618,Completed,First,,10h 13m,,,,,,,
71,20221,,PlayStation 4,10h 14m,NR,,10497907,Completed,First,,10h 14m 51s,,,,,,,
72,20221,RiseOfTheNinja,PlayStation 4,10h 16m,80%,,10193908,Completed,Replay,"October 06, 2019",10h 16m,,,,,,,
73,20221,automaticfox,PlayStation 4,10h 19m,90%,,2808005,Completed,First,"May 24, 2016",10h 19m 06s,,,,,,,
74,20221,Moist_Wrist,PlayStation 4,10h 20m,80%,left behind dlc for extra,11004409,Completed,First,"March 14, 2020",10h 20m,12h 06m,,,,,,
75,20221,frejon,PlayStation 4,10h 20m,90%,,11437663,Completed,First,"April 13, 2020",10h 20m 12s,11h 35m 23s,,,,,,
76,20221,,PlayStation 4,10h 22m,NR,,8839510,Completed,First,,10h 22m 16s,,,,,,,
77,20221,Private,PlayStation 4,10h 23m,NR,,2499557,Completed,First,"January 29, 2016",10h 23m,,,,,,,
78,20221,rrector1845,PlayStation 4,10h 24m,90%,,5650535,Completed,First,"January 13, 2018",10h 24m,,,,,,,
79,20221,Melbo,PlayStation 4,10h 25m,80%,,10296882,Completed,First,,10h 25m 09s,,,,,,,
80,20221,humpydoe,PlayStation 4,10h 25m,90%,,8208886,Completed,First,"May 29, 2020",10h 25m 22s,12h 25m 22s,15h 25m 22s,,,,,
81,20221,SONICCIANCI,PlayStation 4,10h 25m,NR,,6140276,Completed,First,"April 18, 2018",10h 25m 50s,,,,,,,
82,20221,gamefreak1,PlayStation 4,10h 26m,NR,,5446599,Completed,First,"December 10, 2017",10h 26m 41s,,,,,,,
83,20221,,PlayStation 4,10h 30m,NR,,1767727,Completed,First,,10h 30m,,,,,,,
84,20221,,PlayStation 4,10h 30m,NR,,3907532,Completed,First,,10h 30m,,,,,,,
85,20221,Smashdevil,PlayStation 4,10h 30m,NR,,8357816,Completed,First,"February 25, 2019",10h 30m,,,,,,,
86,20221,Thekoolbean,PlayStation 4,10h 30m,90%,,878001,Completed,First,"August 15, 2014",10h 30m,,,,,,,
87,20221,jeenyus024,PlayStation 4,10h 30m,NR,normal difficulty,10226520,Completed,First,,10h 30m,,,,,,,
88,20221,Raytreau,PlayStation 4,10h 32m,NR,,4746033,Completed,First,July 2017,10h 32m,,,,,,,
89,20221,civoreb,PlayStation 4,10h 33m,80%,,4546479,Completed,First,"June 08, 2017",10h 33m,,,,,Good post apocalyptic game. Reminds me of Children of Men but with zombies.,,
90,20221,raptordmg,PlayStation 4,10h 33m,NR,,9207510,Completed,First,"July 23, 2019",10h 33m,,,,,,,
91,20221,andrewl3779,PlayStation 4,10h 34m,NR,,1241045,Completed,First,"March 12, 2015",10h 34m 41s,,,,,,,
92,20221,Bazzadwarf,PlayStation 4,10h 35m,80%,,3112341,Completed,First,"July 08, 2016",10h 35m 53s,,,,,,,
93,20221,Nossda,PlayStation 4,10h 35m,80%,,11827543,Completed,First,"May 24, 2020",10h 35m 55s,,,,,,,
94,20221,LogLadyLand,PlayStation 4,10h 38m,100%,,11915452,Completed,First,"June 07, 2020",10h 38m 14s,,,,,,,
95,20221,,PlayStation 4,10h 39m,NR,,6654984,Completed,Replay,,10h 39m,,,,,,,
96,20221,,PlayStation 4,10h 39m,NR,,3155748,Completed,First,,10h 39m 40s,,,,,,,
97,20221,BruunGaming,PlayStation 4,10h 40m,NR,,9037840,Completed,First,"June 26, 2019",10h 40m 41s,,,,,,,
98,20221,LaughinggCatt,PlayStation 4,10h 43m,NR,Estimate: 40-80 hours,3978365,Completed Retired,Replay,"January 28, 2017",10h 43m 29s,,,,100h,,,
99,20221,xwinsus,PlayStation 4,10h 43m,80%,,7667478,Completed,First,"December 13, 2018",10h 43m 54s,,,,,,,
100,20221,Private,PlayStation 4,10h 44m,100%,"Died a couple times, took my time and didn't skip any cutscenes",4233384,Completed,First,"January 12, 2017",10h 44m 19s,,,,,,,
101,20221,,PlayStation 4,10h 45m,NR,,5271079,Completed,First,,10h 45m,,,,,,,
102,20221,Private,PlayStation 4,10h 47m,NR,,12032888,Completed,First,"June 18, 2020",10h 47m 51s,,,,,,,
103,20221,Private,PlayStation 4,10h 48m,NR,,1073911,Completed,First,,10h 48m,,,,,,,
104,20221,,PlayStation 4,10h 48m,NR,,875894,Completed,First,,10h 48m 21s,,,,,,,
105,20221,cberry31,PlayStation 4,10h 50m,NR,,8995364,Completed,First,"June 04, 2020",10h 50m 57s,,,,,,,
106,20221,ethxyz,PlayStation 4,10h 52m,100%,Survivor difficulty. Died three or four times.,11703928,Replay Completed,Replay,"November 18, 2019",10h 52m 48s,,,,,,,
107,20221,SirMorokei,PlayStation 4,10h 54m,90%,,10979254,Completed,First,"February 12, 2020",10h 54m,,,,,,,
108,20221,rskogl2,PlayStation 4,10h 54m,80%,,5706682,Completed,First,"February 21, 2018",10h 54m,,,,,,,
