,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Completion,Main Story,Personal Notes,Main+Extras,Speedrun,Completionist,Co-Op,Progress
0,21248,dameenie,Xbox One,5h 37m,NR,,3286952,Completed,First,"February 17, 2016",5h 37m 42s,,,,,,
1,21248,Private,PC,6h,70%,,8209541,Completed,First,"June 15, 2019",6h,,,,,,
2,21248,TheOnlyJackster,PC,6h 55m,80%,,3081290,Completed,Replay,"June 12, 2016",6h 55m 52s,* Recorded for YouTube - https://goo.gl/fn6jJD *,,,,,
3,21248,,PC,7h,NR,,994853,Completed,First,,7h,,,,,,
4,21248,Private,PC,7h 29m,40%,,4479684,Completed Retired,First,"May 25, 2017",7h 29m 28s,,,,,,
5,21248,KubaSypka,PC,7h 30m,NR,,8695156,Playing Completed,First,"May 01, 2019",7h 30m 01s,,12h 53m 01s,4h 30m 01s,,,
6,21248,ByeBye,PC,7h 33m,NR,,5397841,Completed,First,"November 29, 2017",7h 33m,,,,,,
7,21248,,PC,8h,NR,,2464321,Completed,Replay,,8h,,,,,,
8,21248,,PC,8h 59m,NR,,11617580,Completed,Replay,,8h 59m,,,,,,
9,21248,ArshesL,PC,8h 59m,NR,,11617594,Completed,Replay,"May 01, 2020",8h 59m,,,,,,
10,21248,schizophreniak,PC,9h,NR,,1505682,Completed,First,"May 17, 2015",9h,,,,,,
11,21248,ASmallPotato,PC,10h,70%,,5953821,Custom List Completed,First,"April 27, 2019",10h,,,,,,
12,21248,Bazzadwarf,PC,10h,80%,,2666387,Completed,First,"May 28, 2017",10h,,,,,,
13,21248,DrDoodle,PC,10h,NR,,8521348,Completed,Replay,"November 25, 2018",10h,,16h,,35h,,
14,21248,llocousc,PC,10h,NR,,4002051,Completed,First,"February 02, 2017",10h,,,,,,
15,21248,Otorino,PC,10h 20m,60%,,10683231,Completed,First,"July 13, 2019",10h 20m,,,,,,
16,21248,,PC,10h 30m,NR,,2834570,Completed,First,,10h 30m,,,,,8h 15m,
17,21248,Tangerz,PC,10h 49m,60%,,9330226,Completed,First,"August 08, 2019",10h 49m 04s,,,,,,
18,21248,Radxical,PC,10h 50m,NR,,3477899,Completed,First,"October 02, 2016",10h 50m,,,,,,
19,21248,boby38119,PC,11h,NR,,10755423,Completed,First,"January 05, 2020",11h,,,,,,
20,21248,KPD2,PlayStation 4,11h 06m,60%,,10758991,Completed,First,"January 05, 2020",11h 06m 54s,,,,,,
21,21248,bendikts,PC,11h 30m,NR,,11079225,Completed,First,"March 12, 2020",11h 30m,,,,,,
22,21248,,PC,11h 40m,NR,,2287450,Completed,First,,11h 40m,,,,,,
23,21248,typ12,PC,11h 42m,NR,,10554422,Completed,First,,11h 42m,,,,,,
24,21248,,PC,12h,NR,,4907306,Completed,First,,12h,,,,,12h,
25,21248,DarkklawLive,PC,12h,NR,,8545790,Playing Completed,First,"April 12, 2019",12h,,,,,,
26,21248,Joshster_1,PlayStation 3,12h,80%,,3566161,Completed,First,"October 30, 2014",12h,,20h,,60h,,
27,21248,setsunarip,PC,12h,50%,,2201947,Completed,First,2015,12h,,,,,,
28,21248,coldfusuin,PC,12h 06m,NR,,5298427,Completed,First,"November 11, 2017",12h 06m,,,,,,
29,21248,WillSnow,PC,12h 08m,NR,,6631700,Completed,First,,12h 08m,,,,,,
30,21248,modaren,PC,12h 15m,NR,lvl 24,9014763,Completed,First,"June 22, 2019",12h 15m,,,,,,
31,21248,wenchwogg,PlayStation 4,12h 20m,30%,,3689135,Completed,First,"November 24, 2016",12h 20m 13s,,,,,,
32,21248,Gayfraud,PC,12h 29m,70%,"Co-opping with a friend on TVHM, second runthrough of all missions and content that we could find. Still too short.",1389789,Completed,First,"October 05, 2016",12h 29m 17s,,,,15h 57m 12s,,
33,21248,,PC,12h 30m,NR,,8973295,Completed,First,,12h 30m,,,,,12h 30m,
34,21248,,PC,12h 30m,NR,main story + very few side quests,11346289,Completed,First,,12h 30m,,,,,,
35,21248,BigFoot17,PC,12h 30m,60%,,11787099,Completed,First,"May 07, 2020",12h 30m,,,,,12h 30m,
36,21248,micycle,PC,12h 45m,NR,Completed story. Level 27. Some side missions completed.,993341,Playing Completed,First,"October 26, 2014",12h 45m,,,,,,12h 45m /
37,21248,,PC,13h,NR,,989857,Completed,First,,13h,,,,,,
38,21248,,PC,13h,NR,,1344155,Completed,First,,13h,,,,,,
39,21248,,PC,13h,NR,,7574124,Completed,First,,13h,,16h,,20h,,
40,21248,,PC,13h,NR,,8265473,Completed,First,,13h,,,,,,
41,21248,jean013,PC,13h,NR,,8663233,Completed,First,"April 23, 2019",13h,,,,,13h,
42,21248,Private,PC,13h,NR,,6278947,Completed,First,,13h,,38h,,,,
43,21248,veeX,PC,13h,70%,,11160582,Completed,First,"March 15, 2020",13h,,,,,,
44,21248,Private,PC,13h,70%,,7169538,Completed,First,"April 15, 2019",13h,,,,,,
45,21248,VirarNeeda,PC,13h 06m,40%,Main story + 23 optional missions. First playthrough.,986030,Completed,First,"October 20, 2014",13h 06m,,,,,,
46,21248,sapphirone,PC,13h 47m,NR,,984288,Completed,First,"October 24, 2014",13h 47m,,,,,,
47,21248,,PC,13h 50m,NR,"Only ~10 extra quests, 26 lvl",988203,Completed,First,,13h 50m,,,,,,
48,21248,MuffinDude,PC,13h 53m,NR,,2229579,Completed,First,"December 14, 2015",13h 53m,,,,,,
49,21248,,PC,14h,NR,,984767,Completed,First,,14h,,,,,,
50,21248,,PC,14h,NR,,2924251,Completed,First,,14h,,,,,,
51,21248,,PC,14h,NR,,9576536,Completed,First,,14h,,,,,,
52,21248,Azareth,PC,14h,NR,25% Steam Achievement,2415128,Completed,First,"April 08, 2015",14h,,,,,,
53,21248,GnomishTheorist,PC,14h,NR,,2573201,Completed,First,,14h,,,,,,
54,21248,Kal_wardin,PC,14h,60%,,11550185,Completed,First,"September 01, 2019",14h,,,,,,
55,21248,Private,PC,14h,70%,,8471958,Completed,First,"March 23, 2019",14h,,,,,,
56,21248,realaY,PC,14h,NR,,1371375,Completed,First,"March 28, 2015",14h,,,,,,
57,21248,vodkano,PlayStation 4,14h,NR,,5447737,Completed,First,"February 01, 2017",14h,,,,,,
58,21248,Everdred,Xbox One,14h 20m,NR,,9682105,Completed,First,"September 19, 2019",14h 20m,,,,,,
59,21248,AephK,PC,14h 22m,NR,,3728645,Completed,First,,14h 22m,,,,,,
60,21248,,Xbox One,14h 24m,NR,so good,3682641,Completed,First,,14h 24m 51s,,,,,7h 20m 08s,
61,21248,BrickTrain,PC,14h 25m,60%,,7599185,Completed,First,"May 23, 2020",14h 25m,,24h 20m,,,,
62,21248,DrTopic,PlayStation 4,14h 28m,50%,,9068948,Completed,First,"June 30, 2019",14h 28m,,,,,,
63,21248,,PC,14h 30m,NR,,7920962,Completed,Replay,,14h 30m,,,,,,
64,21248,Private,PC,14h 33m,NR,,5443509,Completed,First,"December 09, 2017",14h 33m 11s,,,,,,
65,21248,MorphineBear,PC,14h 43m,NR,"Normal mode, level 24 Gladiator, 15/63 achievements",9506363,Completed,First,"September 01, 2019",14h 43m 06s,,,,,,
66,21248,eagleclaw6,Linux,14h 48m,NR,,2248104,Completed,Replay,,14h 48m,,,,,,
67,21248,,PC,15h,NR,,982552,Completed,First,,15h,,17h,,,,
68,21248,,PC,15h,NR,,9667858,Completed,First,,15h,,,,,15h,
69,21248,,PC,15h,NR,,11144126,Completed,First,,15h,,,,,,
70,21248,343kassie,PlayStation 4,15h,NR,,8964392,Completed,First,"June 15, 2019",15h,,,,,,
71,21248,Private,PC,15h,70%,,9033591,Completed,First,"March 14, 2020",15h,,,,,,
72,21248,NicolasDSTR,PC,15h,60%,,10751759,Completed,First,"April 04, 2019",15h,,,,,,
73,21248,Pew,PC,15h,NR,,5461423,Completed,First,"December 13, 2017",15h,,,,,,
74,21248,fetahundenyoda,PC,15h,90%,,3469737,Completed,First,"September 29, 2016",15h,,,,,,
75,21248,saltypatches,PC,15h,70%,,9389388,Completed,First,"August 18, 2019",15h,,,,,,
76,21248,JTHP,Xbox One,15h 20m,NR,,8652756,Completed,First,"April 21, 2019",15h 20m 22s,,,,,,
77,21248,Grubthuggery,PC,15h 30m,NR,,8441525,Completed,First,"March 10, 2019",15h 30m,,,,,,
78,21248,RayanRal,PC,15h 30m,NR,,9571805,Completed,First,"September 08, 2019",15h 30m,,,,,,
79,21248,,Mac,16h,NR,,9172224,Completed,Replay,,16h,,20h,,,,
80,21248,,PC,16h,NR,,11697589,Completed,First,,16h,,,,,,
81,21248,Chadworthy,Xbox One,16h,NR,,10593933,Completed,First,"December 14, 2019",16h,,,,,,
82,21248,Jandern,PC,16h,60%,,5782879,Completed,First,"February 05, 2018",16h,,,,,16h,
83,21248,Lewf,PC,16h,NR,,1038756,Completed,First,"November 28, 2014",16h,,,,,,
84,21248,artur102430,PC,16h,NR,,11766380,Replay Completed,First,"August 27, 2017",16h,,,,,,
85,21248,iDoDemGames,PC,16h,NR,,11672748,Completed,First,"May 07, 2020",16h,,25h,,,,
86,21248,liorfigman,Xbox 360,16h,80%,,4048980,Completed,First,,16h,,,,,,
87,21248,milanith,PC,16h,NR,,3966674,Completed,First,,16h,,,,,,
88,21248,shiuan,PC,16h,70%,,3001143,Completed,First,"May 22, 2016",16h,,,,,,
89,21248,,PlayStation 4,16h 02m,NR,,3155818,Completed,First,,16h 02m 13s,,,,,,
90,21248,SarcasmAbound,PlayStation 3,16h 08m,80%,50th Platinum trophy,1047878,Completed Retired,First,"February 21, 2015",16h 08m 25s,,18h 58m 17s,,36h 10m 14s,,
91,21248,Metakirby22,Mac,16h 22m,NR,,3072335,Completed,First,"November 29, 2016",16h 22m 02s,,,,,,
92,21248,orels1,PC,16h 30m,90%,,988956,Completed,First,"October 22, 2014",16h 30m,,,,,,
93,21248,Kiritaku,PC,16h 40m,NR,,1091211,Completed,First,"November 22, 2014",16h 40m,,,,,,
94,21248,bobiroka,PC,16h 42m,70%,,3460822,Completed,First,"July 12, 2017",16h 42m,,,,,,
95,21248,Mooddie,PC,16h 43m,NR,,11810741,Completed,First,"May 22, 2020",16h 43m,,,,,,
96,21248,2007kiet,Xbox One,17h,NR,,2188547,Completed,First,"December 06, 2015",17h,,,,,,
97,21248,Bobanate,PC,17h,NR,,11214768,Completed,First,"March 21, 2020",17h,,,,,,
98,21248,FiliSh,PC,17h,NR,,11133113,Completed,First,"March 11, 2020",17h,,,,,,
99,21248,JdeRin,PC,17h,70%,,1012966,Completed,First,"November 05, 2014",17h,,,,,,
100,21248,Private,Xbox 360,17h,NR,,1387271,Completed,First,,17h,,24h,,,,
101,21248,Naelyth,PC,17h,NR,,3471457,Completed,First,"September 30, 2016",17h,,,,,,
102,21248,Realtione,PC,17h,70%,,5026312,Completed,First,"October 26, 2014",17h,,,,,,
103,21248,Skrimir,PC,17h,NR,,10182599,Completed,First,"October 03, 2019",17h,,,,,,
104,21248,Private,PC,17h,NR,,1001491,Playing Completed,First,"November 01, 2014",17h,,,,,,18h /
105,21248,Private,Xbox 360,17h,NR,,990224,Completed,First,"October 21, 2014",17h,,,,,,
106,21248,demonofnight,PlayStation 4,17h,NR,,3898855,Completed,First,,17h,,,,,,
107,21248,dranrab,PC,17h,NR,,1086545,Completed,First,"June 08, 2018",17h,,,,,,
108,21248,gplayersv,PC,17h,80%,,10231566,Completed,First,"October 11, 2019",17h,,,,,,
