,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Completion,Main Story,Main+Extras,Personal Notes,Co-Op,Completionist,Progress,100% Speedrun,Speedrun
0,21680,ntylerwetrust,PC,2h 31m,40%,"Everything on regular, used a trainer to play with my kid",7787593,Completed,First,"January 04, 2019",2h 31m 24s,,,,,,,
1,21680,lewdmeat,PC,2h 45m,80%,Difficulty - Regular (2/2),9080509,Replay Completed,Replay,"July 04, 2019",2h 45m 20s,,,,,,,
2,21680,Kringus,PC,2h 54m,NR,,9263491,Completed,Replay,"July 30, 2019",2h 54m 24s,,,,,,,
3,21680,Sparell,Xbox One,2h 59m,NR,,5921631,Completed,First,"May 31, 2018",2h 59m,,,,,,,
4,21680,Mechoshira,PC,3h,80%,,6493928,Completed,First,"June 29, 2018",3h,,,,,,,
5,21680,avidrunner,PC,3h,NR,,7410139,Completed,First,,3h,,,,,,,
6,21680,,Xbox One,3h 40m,NR,,5118742,Completed,First,,3h 40m,,,,,,,
7,21680,rlm82,PC,3h 45m,90%,,8754106,Completed,First,"May 11, 2019",3h 45m,,,,,,,
8,21680,,PC,4h,NR,,5117775,Completed,First,,4h,6h 30m,,,,,,
9,21680,,PC,4h,NR,,5351557,Completed,First,,4h,,,,,,,
10,21680,JHolleworth,PC,4h,100%,"Ended up with a total of 69 deaths after beating The Devil, nice. Gotta give this another run with Mugman at some point.",10722295,Completed,First,"May 17, 2018",4h,,"Ended up with a total of 69 deaths after beating The Devil, nice. Gotta give this another run with Mugman at some point.",,,,,
11,21680,Mkaybe,PC,4h,NR,All bosses incl. Devil,6605976,Completed,First,"July 17, 2018",4h,,,,,,,
12,21680,SlightlyAbovAvrg,PC,4h,100%,"Pacifist all the run n' gun section and S ranked the first two bosses. Can't do Hildaberg, but still attempting.",5218406,Completed,First,"October 21, 2017",4h,9h,,,,,,
13,21680,metareven,PC,4h,NR,,7903227,Completed,First,"January 01, 2019",4h,,,,,,,
14,21680,nyarlathotep88,PC,4h 04m,NR,,8826916,Completed,First,,4h 04m,,,,,,,
15,21680,nealosis,PC,4h 04m,70%,,5119682,Completed,First,"October 29, 2017",4h 04m 02s,,,,,,,
16,21680,,PC,4h 15m,NR,,5143265,Completed,First,,4h 15m,,,,,,,
17,21680,,PC,4h 30m,NR,,7382595,Completed,First,,4h 30m,,,,,,,
18,21680,Tarbolin,PC,4h 30m,80%,,11157618,Completed,First,"March 15, 2020",4h 30m,,,4h 30m,,,,
19,21680,berticus,PC,4h 30m,NR,,5264609,Completed,First,"November 02, 2017",4h 30m,,,,,,,
20,21680,ShellshockPrime,Nintendo Switch,4h 36m,NR,Went with Mugman.,10263386,Completed,Replay,"April 29, 2019",4h 36m 40s,,,,,,,
21,21680,tobesplays,PC,4h 40m,NR,,11537704,Completed,First,,4h 40m,,,,,,,
22,21680,,PC,4h 42m,NR,,5118207,Completed,First,,4h 42m,,,,,,,
23,21680,ShinRaikdou,Nintendo Switch,4h 52m,90%,,10443925,Completed,First,"November 18, 2019",4h 52m,,,,,,,
24,21680,Dekonker,PC,4h 54m,NR,,5152736,Completed,First,"October 07, 2017",4h 54m,,Never even attempted the simple version of anything.,,,,,
25,21680,,PC,5h,NR,,10802547,Completed,First,,5h,,,,,,,
