,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Main Story,Completion,Main+Extras,Completionist,Personal Notes,Progress,Co-Op,Speedrun,100% Speedrun
0,21702,,PlayStation 4,5h 20m,NR,It was great the ending made me cry haha. The music and atmosphere of the game every scene fit so well.,4547045,Completed,First,5h 20m 53s,,,,,,,,
1,21702,Felypson,PlayStation 4,6h 30m,100%,,5002093,Completed,First,6h 30m,June 2017,9h,11h,,,,,
2,21702,Tusk,PC,6h 37m,50%,,4709965,Completed,First,6h 37m 40s,"July 12, 2017",,,,,,,
3,21702,ArturGG,PC,7h,NR,,9319287,Completed,First,7h,"August 07, 2019",,,,,,,
4,21702,Mellori,PC,7h 25m,NR,,5682674,Completed,Replay,7h 25m,"July 01, 2018",9h 09m,9h 20m,,,,,
5,21702,automaticfox,PlayStation 4,7h 55m,90%,,1875548,Completed,First,7h 55m,"December 22, 2015",,,,,,,
6,21702,,PC,8h,NR,,8137983,Completed,First,8h,,,,,,,,
7,21702,TrueFool,PC,8h,NR,Don't bother with 100%,8226203,Completed,First,8h,"February 08, 2019",11h,14h,,,,,
8,21702,deadman_m,PC,8h,90%,,9462710,Completed,First,8h,"April 01, 2019",10h 30m,,,,,,
9,21702,ikari88,PlayStation 4,8h,50%,,5218086,Completed,First,8h,"October 26, 2017",,,,,,,
10,21702,scam,PlayStation 4,8h,NR,,2987927,Completed,First,8h,"June 12, 2016",,,,,,,
11,21702,vlaki007,PC,8h,NR,,3524464,Completed,First,8h,"October 16, 2016",,,,,,,
12,21702,Ordinary,PC,8h 16m,60%,,10615185,Completed,First,8h 16m,"August 05, 2015",8h 16m 01s,9h 26m 50s,,,,,
13,21702,PowerFlunky8837,Xbox One,8h 24m,NR,,9236689,Completed,First,8h 24m,"July 26, 2019",,,10 optional photos taken,,,,
14,21702,Dwoop,Xbox One,8h 26m,NR,,2615304,Completed,First,8h 26m 01s,"February 19, 2016",,,,,,,
15,21702,ladangf,PC,8h 32m,90%,,8132957,Completed,First,8h 32m,2018,,,,,,,
16,21702,littleasskiicker,PlayStation 4,8h 37m,NR,,11559103,Completed,Replay,8h 37m 24s,"June 07, 2017",,31h 34m 19s,,,,,
17,21702,Gumballgala,PC,8h 45m,70%,,4461970,Completed,First,8h 45m,,,,,,,,
18,21702,RobinMicek,PC,8h 50m,NR,,11723724,Completed,Replay,8h 50m,"May 13, 2020",,,,,,,
19,21702,,PC,9h,NR,,5268909,Completed,First,9h,,,,,,,,
20,21702,,PC,9h,NR,,6681780,Completed,First,9h,,,,,,,,
21,21702,,PC,9h,NR,,8301806,Completed,First,9h,,10h 45m,,,,,,
22,21702,Drogean,PC,9h,90%,,2993830,Completed,First,9h,"February 20, 2016",,,,,,,
