,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Completion,Main Story,Personal Notes,Main+Extras,Progress,Speedrun,Completionist
0,2602,PossesseDCoW,PC,4h 16m,NR,,4909876,Completed,Replay,"August 15, 2017",4h 16m 55s,,,,,
1,2602,,PlayStation 3,4h 30m,NR,,5947957,Completed,Replay,,4h 30m,,,,,
2,2602,shadowbreakqr,PC,4h 30m,NR,,11675663,Completed,Replay,,4h 30m,"ghost, shadow, clean hands",,,,
3,2602,Private,PC,4h 38m,NR,,2901301,Completed,First,"April 24, 2016",4h 38m 52s,,,,,
4,2602,,PC,4h 42m,NR,,3637617,Completed,First,,4h 42m,,,,,
5,2602,,PC,5h,NR,,3631337,Completed,First,,5h,,,,,
6,2602,,PC,5h,NR,,10497501,Completed,Replay,,5h,,,,,
7,2602,BlehblehFreak,PC,5h,NR,,3635587,Completed,First,"November 17, 2016",5h,,,,,
8,2602,Fadasa,PC,5h,NR,,7506668,Completed,First,,5h,,,,,
9,2602,Private,PC,5h,80%,,3075771,Completed,First,"June 10, 2016",5h,,,,,
10,2602,Slanderous,PC,5h,NR,,3506997,Completed,First,"October 10, 2016",5h,,24h,,,
11,2602,definer,PC,5h,80%,,477960,Completed,First,"November 15, 2013",5h,,,,,
12,2602,xJakeyy,PC,5h,NR,,371950,Completed,First,"August 12, 2013",5h,,,,,
13,2602,AdmiralAuschwitz,PC,5h 06m,NR,,1419641,Completed,Replay,"June 27, 2015",5h 06m,,,,,
14,2602,RealAKP,PC,5h 10m,NR,,2653563,Backlog Completed,First,"December 09, 2016",5h 10m,,,5h 32m /,,
15,2602,,PlayStation 3,5h 15m,NR,,385257,Completed,Replay,,5h 15m 49s,,,,3h 05m 26s,
16,2602,,PC,5h 24m,NR,,3959841,Completed,First,,5h 24m 22s,,,,,
17,2602,,PC,5h 30m,NR,,1132497,Completed,Replay,,5h 30m,,,,,
18,2602,,PC,5h 30m,NR,,4952909,Completed,First,,5h 30m,,,,,
19,2602,OxoTheAlien,PC,5h 30m,NR,,6952884,Completed,First,"July 24, 2018",5h 30m,,,,,
20,2602,SF2K01,PC,5h 30m,NR,,348245,Completed,First,"July 28, 2013",5h 30m,,22h,,,
21,2602,Deathglider,PC,5h 31m,NR,,3188197,Completed,Replay,,5h 31m,,,,,
22,2602,,PC,5h 36m,NR,"Great game, I really want to start speedrunning it!",296882,Completed,Replay,,5h 36m 17s,,,,,
23,2602,schwingy,PC,5h 40m,NR,,10499215,Completed,First,"November 27, 2019",5h 40m,,,,,
24,2602,tobesplays,PC,5h 40m,NR,,11537737,Completed,First,,5h 40m,,,,,
25,2602,uvehj,PC,5h 40m,NR,"Normal, low chaos ending",8894394,Completed,First,"June 04, 2019",5h 40m,,,,,
26,2602,cabriolet6,PC,5h 41m,80%,,2051533,Completed,First,"November 08, 2015",5h 41m 47s,,,,,
27,2602,slickochet,PC,5h 45m,NR,,533212,Completed,First,"January 16, 2014",5h 45m,,,,,
28,2602,,PlayStation 3,6h,NR,,296866,Completed,Replay,,6h,"My mostly blood and steel, high chaos playthrough on normal. Didn't collect anything, just killed everyone on the map with no disregard.",,,,
29,2602,,PC,6h,NR,,1391509,Completed,First,,6h,,,,,
30,2602,,PC,6h,NR,,3905792,Completed,Replay,,6h,,,,,
31,2602,,PC,6h,NR,,4664666,Completed,First,,6h,,,,,
32,2602,,PC,6h,NR,Low Chaos ending.,10699792,Completed,First,,6h,,,,,
33,2602,,PC,6h,NR,,11260275,Completed,Replay,,6h,,12h,,,
34,2602,AlfredoSanchez,PC,6h,80%,,10973966,Completed,First,"February 11, 2020",6h,,,,,
35,2602,KaaseDase,PC,6h,NR,,3862607,Completed,First,"January 03, 2017",6h,,,,,
36,2602,Satoko,PC,6h,NR,,7281144,Completed,First,,6h,,,,,
37,2602,SleXxor,PC,6h,100%,,9087033,Completed,First,"October 27, 2016",6h,,,,,
38,2602,Valefar,Xbox 360,6h,NR,,523228,Completed,First,"May 12, 2015",6h,,,,,
39,2602,VonDozier,PC,6h,70%,easy,1184245,Completed,First,"February 26, 2015",6h,,,,,
40,2602,kguzman226,PC,6h,NR,,7972661,Completed,First,"April 10, 2019",6h,,,,,
41,2602,likwitsnake,PC,6h,70%,,184306,Completed,First,"October 13, 2012",6h,,,,,
42,2602,yellowsacred,PC,6h,NR,,3400224,Completed,First,"October 07, 2015",6h,,6h 30m,,,
43,2602,yukiloid,PC,6h,NR,,3863292,Completed,Replay,"January 03, 2017",6h,,9h,,,
44,2602,mrcrimpbiscuit,Xbox 360,6h 04m,90%,,497866,Completed,First,,6h 04m,,18h 28m,,,
45,2602,,PlayStation 4,6h 08m,NR,,3698483,Completed,First,,6h 08m 44s,,,,,
46,2602,xScaryKidx,PC,6h 15m,70%,,49747,Completed,First,"February 06, 2013",6h 15m 45s,,,,,
47,2602,,Xbox 360,6h 25m,NR,Full play through finished with high chaos,3178606,Completed,Replay,,6h 25m,,,,,
48,2602,,PC,6h 30m,NR,,4606720,Completed,First,,6h 30m,,,,,
49,2602,,PC,6h 30m,NR,,6839770,Completed,First,,6h 30m,,,,,
50,2602,Private,PC,6h 30m,90%,"Stealth + no-kill playthrough with all side missions, runes and bone charms.",4882816,Completed,First,"August 09, 2017",6h 30m,,10h,,,
51,2602,Criminux,PC,6h 30m,70%,,3988610,Completed,First,"January 30, 2017",6h 30m,,,,,
52,2602,Everdred,Xbox 360,6h 30m,90%,"Main objectives only,",368,Completed,First,"November 05, 2012",6h 30m,,,,,
53,2602,junilla,Xbox 360,6h 30m,NR,,6316646,Backlog Replay Completed,Replay,,6h 30m,,20h,,,34h 30m
54,2602,,PlayStation 4,6h 31m,NR,,5461720,Completed,First,,6h 31m,,,,,
55,2602,SeaRobin,PC,6h 31m,80%,,3839163,Completed,First,"July 13, 2015",6h 31m 22s,,7h 12m 11s,,,
56,2602,GRT42,PC,6h 32m,NR,,10593286,Completed,First,"December 14, 2019",6h 32m,,,,,
57,2602,Private,PC,6h 44m,70%,,1354014,Completed,First,"May 24, 2015",6h 44m 43s,,,,,
58,2602,Curwel,PC,6h 48m,NR,,6803219,Completed,First,"April 18, 2018",6h 48m 12s,,,,,
59,2602,Sabeckaz,PC,6h 50m,NR,,1576266,Completed,First,"August 17, 2015",6h 50m,,,,,
60,2602,aviggo77,PC,6h 50m,NR,,7177088,Completed,First,"July 06, 2016",6h 50m,,,,,
61,2602,demidivine,PC,6h 50m,70%,,3987293,Completed,Replay,"September 22, 2016",6h 50m,,,,,
62,2602,Tusk,PC,6h 53m,90%,,4605068,Completed,First,"June 22, 2017",6h 53m,,,,,
63,2602,,PC,6h 54m,NR,,2088150,Completed,Replay,,6h 54m 29s,,,,4h 21m 53s,
64,2602,,PC,7h,NR,,536773,Completed,First,,7h,,,,,
65,2602,,PC,7h,NR,,549619,Completed,First,,7h,,,,,
66,2602,,PC,7h,NR,,744470,Completed,First,,7h,,,,,
67,2602,,PC,7h,NR,,2570109,Completed,First,,7h,,,,,
68,2602,,PC,7h,NR,,3646472,Completed,First,,7h,,,,,
69,2602,,PC,7h,NR,,3850412,Completed,First,,7h,,,,,
70,2602,,PC,7h,NR,,3886974,Completed,Replay,,7h,,,,,
71,2602,,PC,7h,NR,,3951939,Completed,First,,7h,,,,,
72,2602,,PC,7h,NR,Main story only low chaos,7887153,Completed,First,,7h,,,,,
73,2602,,PC,7h,NR,,11130086,Completed,First,,7h,,,,,
74,2602,Centauri2002,PC,7h,NR,,1231443,Completed,First,,7h,,,,,
75,2602,Drowerhd,PC,7h,NR,,4278326,Completed,First,,7h,,,,,
76,2602,Evilist,PC,7h,NR,,1320410,Completed,First,"December 26, 2013",7h,,,,,
77,2602,Gagerzzzz,PC,7h,80%,,6051347,Completed,Replay,"March 28, 2018",7h,,,,,
78,2602,Happypillow,PC,7h,NR,,10754113,Completed,First,"January 05, 2020",7h,,,,,
79,2602,Jol2Smoove,PC,7h,NR,,5770152,Completed,Replay,"February 03, 2018",7h,,,,,
80,2602,Joojooyoghurt,PC,7h,NR,,8626954,Completed,First,"April 16, 2019",7h,,8h 12m,,,
81,2602,Nameloc,PC,7h,NR,Casual play through,1561205,Completed,First,"July 02, 2015",7h,,,,,
82,2602,Napalmnewt,PC,7h,90%,,330367,Completed,First,"July 27, 2013",7h,,,,,
83,2602,Terminuz,PC,7h,NR,,11194298,Completed,First,"December 09, 2018",7h,,,,,
84,2602,ThatGuyNextDoor,PC,7h,NR,,8633304,Completed,First,"April 17, 2019",7h,,,,,
85,2602,Unicdas,PC,7h,60%,,906463,Completed,First,"August 22, 2014",7h,,,,,
86,2602,Yodamanjaro,PC,7h,NR,,894062,Completed,First,"August 14, 2014",7h,,,,,
87,2602,crazydaveonline,PC,7h,NR,,4825518,Completed,First,"July 28, 2017",7h,,,,,
88,2602,derobo,PC,7h,NR,,3590832,Completed,First,"November 06, 2016",7h,,,,,
89,2602,ei02028,PC,7h,90%,,846976,Completed,First,"June 22, 2013",7h,,,,,
90,2602,fpoe,PC,7h,NR,,837893,Completed,First,,7h,,,,,
91,2602,hypocrite,PC,7h,80%,,3443825,Completed,First,"October 07, 2016",7h,,8h,,,
92,2602,inevias,PC,7h,NR,,1231800,Completed,First,"December 08, 2012",7h,,,,,
93,2602,invena,PC,7h,NR,,8207647,Completed,First,"February 04, 2019",7h,,,,,
94,2602,jono51,PC,7h,90%,"Main story, normal difficulty, chaos/no stealth",9066706,Completed,First,"August 24, 2019",7h,,,,,
95,2602,mickeyd,PlayStation 3,7h,90%,full stealth on hard difficulty,1341905,Replay Completed,Replay,"May 12, 2015",7h,,,,,
96,2602,samiii11,PC,7h,90%,,8202309,Completed,First,"February 04, 2019",7h,,,,,
97,2602,sphinxie,PC,7h,NR,,8464996,Completed,First,"December 29, 2014",7h,,,,,
98,2602,timcanpies,PC,7h 02m,NR,,1449672,Completed,First,"July 08, 2015",7h 02m,,,,,
99,2602,Ferality,PC,7h 05m,NR,,1421930,Completed,First,"June 26, 2015",7h 05m,,,,,
100,2602,,PC,7h 06m,NR,Second hardest difficulty. Low chaos,7281462,Completed,First,,7h 06m 58s,,,,,
101,2602,,PlayStation 3,7h 10m,NR,,660778,Completed,First,,7h 10m,,,,,
102,2602,,PC,7h 10m,NR,,3274662,Completed,First,,7h 10m,,,,,
103,2602,Truji,PC,7h 10m,NR,,3849147,Completed,First,"January 01, 2017",7h 10m,,,,,
104,2602,Voxia,PC,7h 10m,NR,,5201034,Completed,First,"January 01, 2015",7h 10m,,,,,
105,2602,Norem26,PC,7h 12m,NR,,8552557,Completed,First,"June 01, 2019",7h 12m,,,,,
106,2602,Mil3s,PlayStation 3,7h 14m,70%,,5411224,Completed,First,"December 02, 2017",7h 14m 38s,,,,,
107,2602,civoreb,PlayStation 4,7h 16m,80%,,5572375,Completed,First,"January 02, 2018",7h 16m,Good game and good tale of revenge.,,,,
108,2602,BAMitsPat,PC,7h 18m,70%,,508689,Completed,First,"February 26, 2014",7h 18m,,,,,
109,2602,EhLeeUht,PC,7h 18m,NR,,5079017,Completed,Replay,"September 21, 2017",7h 18m,,,,,
110,2602,,PC,7h 20m,NR,,3691362,Completed,Replay,,7h 20m,,,,,
111,2602,Gaist,PC,7h 24m,NR,,213992,Completed,First,"December 26, 2012",7h 24m,,,,,
112,2602,,PlayStation 4,7h 25m,NR,,4039752,Completed,Replay,,7h 25m,,,,,
113,2602,Remco32,PC,7h 25m,80%,,305451,Completed,First,,7h 25m,,,,,
114,2602,MEXPILOT,PlayStation 3,7h 25m,NR,,141959,Completed,First,"October 27, 2012",7h 25m 14s,,,,,
115,2602,,Xbox 360,7h 30m,NR,,908982,Completed,Replay,,7h 30m,,,,,
116,2602,,PC,7h 30m,NR,,1279767,Completed,Replay,,7h 30m,,,,,
117,2602,BananaCreamPie7,PC,7h 30m,80%,,376885,Completed,First,"August 16, 2013",7h 30m,,,,,
118,2602,MoonBear,PC,7h 30m,NR,,11705616,Completed,First,"May 11, 2020",7h 30m,,,,,
119,2602,sansa,PC,7h 30m,NR,,6774443,Completed,First,,7h 30m,,,,,
120,2602,TheGameBeater,PC,7h 33m,NR,Easy difficulty,269465,Completed,First,"May 30, 2013",7h 33m 59s,,,,,
121,2602,AMCinka,PC,7h 37m,NR,,5720420,Completed,First,"January 27, 2018",7h 37m,,,,,
122,2602,UserOne,PC,7h 37m,NR,,10323729,Completed,First,,7h 37m,,,,,
123,2602,AephK,PC,7h 42m,NR,,3728711,Completed,First,,7h 42m,,,,,
124,2602,SuccinctAndPunchy,PC,7h 48m,NR,,1404685,Completed,First,"July 04, 2015",7h 48m,god i'm bad at stealth games,,,,
125,2602,Belgio,PC,7h 50m,NR,,9360561,Completed,First,"August 13, 2019",7h 50m,,,,,
126,2602,Private,PC,7h 50m,90%,"Følte virkelig ikke at jeg skippet eller rushet noe, men gjorde ikke alle side missons eller alt non-lethal.",3836622,Completed,First,"February 08, 2017",7h 50m,"Bought it cheap during sale, was really hyped, but didnt become addicted to it at the start,which was dissapointing. But after a couple of missions I really started liking it, and it was alot of fun. Very nice game with really smooth gameplay. Story is also pretty cool. I liked the mechanics but didnt actually use almost any of them.Managed to get through the game with very few kills. Cool world, but didnt like the dark ""zombie"" parts.All in all really good,could easily replay with ALT routes.",,,,
127,2602,DuckYde,PC,7h 56m,NR,,8460584,Completed,First,"March 13, 2019",7h 56m,,,,,
128,2602,,,8h,NR,,419987,Completed,First,,8h,,,,,
129,2602,,PC,8h,NR,,573431,Completed,First,,8h,,,,,
130,2602,,PC,8h,NR,,952702,Completed,First,,8h,,,,,
131,2602,,PC,8h,NR,,2471964,Completed,First,,8h,,,,,
132,2602,,PC,8h,NR,Good ending.,3043117,Completed,First,,8h,,,,,
