,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Main Story,Main+Extras,Completionist,Completion,Progress,Personal Notes,Speedrun,100% Speedrun
0,26286,OnsideStg,PC,5h 38m,NR,,8751909,Completed,First,5h 38m 12s,16h 53m 15s,24h 36m 29s,,,,,
1,26286,,Nintendo Switch,5h 40m,NR,,11991346,Completed,Replay,5h 40m,,,,,,,
2,26286,,Nintendo Switch,5h 40m,NR,,11991350,Completed,Replay,5h 40m 12s,,,,,,,
3,26286,,Nintendo Switch,8h 07m,NR,,11924323,Completed,First,8h 07m,62h 08m,196h 56m,,,,,
4,26286,ban_evasion,PC,8h 12m,100%,,11360607,Replay Completed,Replay,8h 12m 06s,15h 26m 10s,,"April 05, 2020",,,,
5,26286,slickochet,PC,9h 55m,NR,In game timer. Walkthrough used when lost. 44% item completion.,5565767,Completed,First,9h 55m 29s,,,"February 28, 2018",,,,
6,26286,,PC,10h,NR,,10367608,Completed,First,10h,,,,,,,
7,26286,ArturGG,Nintendo Switch,10h,NR,,9319275,Completed,First,10h,,,"August 07, 2019",,,,
8,26286,,PC,10h 22m,NR,,8928045,Completed,First,10h 22m 30s,,,,,,,
9,26286,uvehj,PC,10h 24m,NR,,8315579,Completed,First,10h 24m,,,"February 20, 2019",,,,
10,26286,AidanAK47,PC,10h 53m,70%,,4611162,Completed,First,10h 53m 06s,,,"August 23, 2017",,,,
11,26286,Private,PC,11h 36m,80%,,4852927,Completed,First,11h 36m 11s,,,"October 15, 2017",,,,
12,26286,adampayne,PC,11h 38m,NR,,4895733,Completed,First,11h 38m,,,"August 11, 2017",,,,
13,26286,,PC,12h,NR,,7959532,Completed,Replay,12h,18h,26h,,,,,
14,26286,King_K,Xbox One,12h,90%,,7318648,Completed,First,12h,20h,34h,"July 04, 2019",,,,
15,26286,yeee707,Nintendo Switch,12h 12m,NR,,6468213,Completed,First,12h 12m,,,"July 15, 2018",,,,
16,26286,varex,PC,12h 13m,90%,44% completion rate.,4648176,Completed,First,12h 13m 20s,,,"July 20, 2017",,,,
17,26286,Roberoo,Nintendo Switch,12h 21m,NR,,6681753,Completed,First,12h 21m,,,"August 16, 2018",,,,
18,26286,Ciclon,PC,12h 45m,90%,57% completon,7496765,Completed,First,12h 45m 37s,,,"May 31, 2019",,,,
19,26286,Metakirby22,Nintendo Switch,12h 56m,NR,"Ending 2, 3",6908443,Completed,First,12h 56m 22s,17h 52m 07s,,"November 28, 2018",,,,
20,26286,noslied001,PC,13h,NR,60%,7100872,Playing Completed,First,13h,,,"September 22, 2018",,,,
21,26286,,PC,13h 10m,NR,,6619248,Completed,First,13h 10m 36s,,,,,,,
22,26286,Minhs2,PC,13h 17m,70%,,7191419,Completed,First,13h 17m 21s,,,"April 08, 2019",,,,
23,26286,TresLeches,Nintendo Switch,13h 24m,80%,,11827906,Completed,First,13h 24m 07s,,,"May 27, 2020",,,,
24,26286,Trashdaw,PC,13h 40m,NR,,10817898,Completed,First,13h 40m,,,"January 15, 2020",,,,
25,26286,,PC,13h 52m,NR,,4395474,Completed,First,13h 52m 15s,,,,,,,
26,26286,Private,PC,13h 59m,NR,,7115393,Completed,First,13h 59m 23s,20h 05m 36s,,"September 26, 2018",,,,
27,26286,,PC,14h,NR,,6452756,Completed,First,14h,19h,28h,,,,,
28,26286,Shenpai,PC,14h,NR,,11527707,Playing Completed,First,14h,,,,48h /,,,
29,26286,angbad,PC,14h,NR,,4683052,Completed,First,14h,16h,,"July 01, 2017",,,,
30,26286,alejo58,Nintendo Switch,14h 04m,100%,"49%, The Hollow Knight Ending",11382947,Replay Completed,Replay,14h 04m 19s,,,"April 07, 2020",,,,
