,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Main Story,Main+Extras,Completionist,Completion,Personal Notes,Progress,Co-Op
0,26706,,PlayStation 4,7h 23m,NR,,2925825,Completed,First,7h 23m 46s,18h 34m 30s,34h 43m 50s,,,,
1,26706,tobesplays,PC,8h 20m,NR,,11537817,Completed,First,8h 20m,,,,,,
2,26706,kuda0,Xbox One,8h 35m,NR,,6130143,Completed,First,8h 35m 08s,,,"April 16, 2018",,,
3,26706,,Xbox One,10h,NR,,2089420,Completed,First,10h,20h,,,,,
4,26706,,PlayStation 4,11h,NR,,2014048,Completed,First,11h,,,,,,
5,26706,aogbm12,PlayStation 4,11h,60%,,2355359,Completed,First,11h,14h,,"November 05, 2015",,,
6,26706,liorfigman,PC,11h,80%,,4048961,Completed,First,11h,,,,,,
7,26706,iRain,PlayStation 4,11h 14m,NR,,2011030,Completed,First,11h 14m,,,"October 27, 2015",,,
8,26706,,PlayStation 4,12h,NR,,5459259,Completed,First,12h,,,,,,
9,26706,VirarNeeda,PC,12h 01m,NR,"100% sync. 100% on all missions, activities, perks, collectables, everything. A *LOT* of this time was spent collecting.",2768079,Completed,First,12h 01m 12s,,50h 35m 33s,"March 24, 2016",,,
10,26706,SarcasmAbound,PlayStation 4,12h 09m,80%,63rd Platinum.,2211391,Completed Retired,First,12h 09m 25s,19h 23m 12s,19h 57m 05s,"March 23, 2016",Collectibles....,,
11,26706,,PlayStation 4,12h 10m,NR,,2016222,Completed,First,12h 10m,,,,,,
12,26706,GRT42,PC,12h 25m,NR,,11211966,Completed,First,12h 25m,,,"March 21, 2020",,,
13,26706,TheOnlyJackster,PC,12h 34m,80%,,3177238,Completed,First,12h 34m 10s,,,"August 16, 2016",* Recorded for YouTube - https://goo.gl/RDi09J *,,
14,26706,,PlayStation 4,12h 34m,NR,,2009948,Completed,First,12h 34m 18s,20h 28m 31s,34h 51m 43s,,,,
15,26706,MuffinDude,PC,12h 42m,NR,,2132202,Completed,First,12h 42m,,,"November 24, 2015",,,
16,26706,PossesseDCoW,PC,12h 48m,NR,,5982137,Completed,First,12h 48m 10s,,,"March 13, 2018",,,
17,26706,Dispator,PC,13h,NR,,6381397,Completed,First,13h,41h,,"June 10, 2018",,,
18,26706,Tottie,PC,13h,NR,,10467969,Completed,First,13h,,,"October 09, 2019",,,
19,26706,accident4prone,Xbox One,13h,NR,,2055656,Completed,First,13h,,51h,"November 06, 2015",,,
20,26706,sphinxie,PC,13h,NR,,8464943,Completed,First,13h,,,"February 11, 2017",,,
21,26706,steve3003,PC,13h,NR,,6361494,Completed,First,13h,,,"June 06, 2018",,,
22,26706,xDarkProdigy,PC,13h,NR,,4087945,Completed,First,13h,,,"February 19, 2017",,,
23,26706,cabriolet6,PC,13h 03m,80%,,6681114,Completed,First,13h 03m 25s,,,"July 27, 2018",,,
24,26706,ahaptism,PC,13h 29m,NR,,11582416,Completed,First,13h 29m,,,,,,
25,26706,Echdout,PC,13h 34m,60%,,5712696,Completed,First,13h 34m 15s,,,"January 26, 2018",,,
26,26706,,PC,13h 44m,NR,,11240396,Completed,First,13h 44m 07s,,,,,,
27,26706,Moddr1n,PC,13h 54m,70%,,8316135,Completed,First,13h 54m 12s,,,"October 13, 2018",,,
28,26706,,PlayStation 4,14h,NR,,4340870,Completed,First,14h,20h,,,,,
29,26706,,PC,14h,NR,,7297923,Completed,First,14h,20h,,,,,
30,26706,DeeMoney,PlayStation 4,14h,NR,,2447469,Completed,First,14h,,,"January 19, 2016",,,
31,26706,Edward979797,PlayStation 4,14h,40%,,10993382,Completed,First,14h,,,"November 03, 2015",,,
32,26706,Joutai,PC,14h,70%,,3442507,Completed,First,14h,21h,,,,,
33,26706,Private,PC,14h,NR,,10467765,Completed,First,14h,,,March 2019,,,
34,26706,Olkkiman,PC,14h,NR,,11108258,Completed,First,14h,,,"March 06, 2020",,,
35,26706,Parker195,PC,14h,50%,,7258734,Completed,First,14h,,,"August 17, 2018",,,
36,26706,Potmonkey,PlayStation 4,14h,NR,,2567868,Completed Retired,First,14h,,,"February 13, 2016",,,
37,26706,Private,PlayStation 4,14h,NR,,3147206,Completed,First,14h,,,"March 31, 2016",,,
38,26706,sansa,PC,14h,NR,,6775501,Completed,First,14h,,,,,,
39,26706,skybluu,PlayStation 4,14h,NR,,3421137,Completed,First,14h,,,"September 12, 2016",,,
40,26706,,PlayStation 4,14h 03m,NR,,2032447,Completed,First,14h 03m,,,,,,
41,26706,Terlan_357,PC,14h 22m,80%,,2164842,Completed,First,14h 22m,47h 33m,75h 02m,"November 30, 2015",,,
42,26706,JepzHD,PC,14h 23m,40%,,8254452,Completed,First,14h 23m,,,,,,
