,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Main Story,Completion,Main+Extras,Completionist,Personal Notes,Progress,Speedrun
0,26729,,PlayStation 4,7h 21m,NR,,10805608,Completed,Replay,7h 21m,,,,,,
1,26729,,Xbox One,7h 42m,NR,I rushed through everything.,3063882,Completed,Replay,7h 42m,,,,,,
2,26729,B4sketC4se,PC,9h 18m,80%,,7910726,Completed,First,9h 18m,"January 13, 2020",,,,,
3,26729,,PC,10h,NR,,6071318,Completed,First,10h,,,,,,
4,26729,,PC,10h 05m,NR,,4118962,Completed,First,10h 05m,,,,,,
5,26729,,PC,10h 05m,NR,,2173866,Completed,First,10h 05m 05s,,,,,,
6,26729,,PC,10h 06m,NR,,7838962,Completed,Replay,10h 06m 19s,,,,,,
7,26729,Soupdudes,PlayStation 4,10h 30m,NR,It is quick as long as you do quests back to back and do limited gear retrieval in between quests,4956730,Replay Completed,Replay,10h 30m,"August 24, 2017",25h 46m,205h 15m,,,
8,26729,,PlayStation 4,10h 30m,NR,,7733072,Completed,Replay,10h 30m 45s,,,,,,
9,26729,,Xbox One,10h 41m,NR,only took 10hours and 41 min to complete the main story on the institues side,2489155,Completed,Replay,10h 41m,,,,,,
10,26729,,PlayStation 4,10h 50m,NR,,2834068,Completed,Replay,10h 50m,,,,,,
11,26729,,Xbox One,10h 53m,NR,,11658015,Completed,First,10h 53m 13s,,,,,,
12,26729,,PC,11h 21m,NR,,4655941,Completed,First,11h 21m 32s,,,,,,
13,26729,pkruth,PC,11h 27m,NR,,2554607,Completed,First,11h 27m,"February 10, 2016",,,Is this the end?? Shaun died and a small sequence,,
14,26729,,PC,11h 30m,NR,,4577410,Completed,Replay,11h 30m 25s,,,,,,
15,26729,,PC,12h,NR,,2395980,Completed,First,12h,,,,,,
16,26729,Tethys,Xbox One,12h 10m,70%,,7076567,Completed,First,12h 10m,"May 01, 2020",,,,,
17,26729,MuffinDude,PC,12h 22m,NR,,2108743,Completed,First,12h 22m,"November 19, 2015",,,,,
18,26729,cabriolet6,PC,12h 44m,70%,,3385975,Completed,First,12h 44m,"September 03, 2016",,,,,
19,26729,Private,PC,12h 44m,NR,,4803633,Completed,Replay,12h 44m,"July 22, 2017",,,p,,
20,26729,,Xbox One,13h,NR,,6708886,Completed,First,13h,,55h,,,,
21,26729,,PC,13h,NR,The main story is fairly short and can be beat very quickly by someone who has played the game multiple times.,7919866,Completed,Replay,13h,,80h,117h,,,
22,26729,vecperec,PC,13h,10%,,2190458,Completed,First,13h,"December 06, 2015",,,,,
23,26729,Everdred,Xbox One,13h 04m,70%,"2 side quests, institute path.",5727812,Completed,First,13h 04m,"January 25, 2018",,,,,
24,26729,AlfredoSanchez,PC,13h 20m,90%,,10978851,Completed,First,13h 20m,"February 11, 2020",,,,,
25,26729,,PlayStation 4,13h 23m,NR,,4833054,Completed,First,13h 23m,,74h,100h,,,
26,26729,ShadionicZX,PC,13h 25m,90%,,9045355,Custom List Completed,First,13h 25m 30s,"March 21, 2020",,,,,
27,26729,,PC,13h 33m,NR,,2277272,Completed,First,13h 33m,,,,,,
28,26729,Private,PC,13h 35m,NR,,4803115,Completed,Replay,13h 35m,"July 22, 2017",,,n.s,,
