,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Completion,Main Story,Personal Notes,Main+Extras,Completionist,Progress,Vs.,Speedrun,Co-Op,Retired Notes,100% Speedrun
0,2708,lewdmeat,PC,4h 01m,100%,,11847043,Replay Completed,Replay,"May 27, 2020",4h 01m 28s,,,,,,,,,
1,2708,whitenoize,PC,4h 49m,100%,"Ultra-Nightmare Difficulty (hardest one), my third playthrough.",10891321,Completed,Replay,"January 27, 2020",4h 49m,,,,,,,,,
2,2708,,PC,5h,NR,Played on lowest difficulty,7836957,Completed,First,,5h,,,,,,,,,
3,2708,slickochet,Nintendo Switch,5h,NR,Arcade mode. I'm too young to die difficulty.,5487189,Completed,Replay,"February 05, 2018",5h,,,,,,,,,
4,2708,,PC,5h 10m,NR,,6670267,Completed,First,,5h 10m 54s,,,,,,,,,
5,2708,Private,PC,5h 15m,90%,Casual playthrough on Ultra Violence. Skipped nearly all rune challenges and didn't bother looking for secrets.,8551877,Completed,Replay,"March 31, 2019",5h 15m,,,,,,,,,
6,2708,TheAutisticGamer,PC,5h 22m,80%,I'm Too Young To Die Difficulty. One Secret Level. A Few Other Secrets.,9433669,Completed,Replay,"March 07, 2020",5h 22m 06s,,,,,,,,,
7,2708,,PC,5h 45m,NR,,10850560,Completed,First,,5h 45m,,,,,,,,,
8,2708,Private,PC,5h 50m,80%,,5629754,Completed,First,"January 16, 2018",5h 50m,,,,,,,,,
9,2708,lawcash,PC,5h 55m,60%,Hurt me plenty difficulty. Took me a couple of tries to kill the last boss.,9385881,Completed,First,"August 21, 2019",5h 55m,,,,,,,,,
10,2708,,PC,6h,NR,,2968092,Completed,First,,6h,,,,,,,,,
11,2708,,PC,6h,NR,,11426293,Completed,First,,6h,,,,,,,,,
12,2708,ASmallPotato,PC,6h,60%,,5982543,Custom List Completed,First,"March 18, 2018",6h,,,,,,,,,
13,2708,Private,PC,6h,NR,,6119540,Completed,First,"November 20, 2018",6h,,,,,,,,,
14,2708,LANITTAJA,PC,6h,NR,,8863440,Completed,First,,6h,,,,,,,,,
15,2708,Lariat,PlayStation 4,6h,NR,,10337474,Backlog Completed,First,"May 05, 2020",6h,,,,,,,,,
16,2708,Private,PC,6h,80%,,7086129,Completed,First,,6h,,,,,,,,,
17,2708,Strnadik,PC,6h,NR,,7109797,Completed,First,"September 24, 2018",6h,,,,,,,,,
18,2708,cerebralx,Xbox One,6h,NR,Main story COMPLETE. Difficulty: I'M TOO YOUNG TO DIE.,3751499,Completed,First,"September 02, 2017",6h,,,,,,,,,
19,2708,danya140,PC,6h,NR,,11284120,Completed,First,"March 29, 2020",6h,,,,,,,,,
20,2708,Melbo,PC,6h 01m,80%,,10276904,Completed,First,,6h 01m 42s,,,,,,,,,
21,2708,Private,PC,6h 09m,80%,Hurt me plenty (medium) difficulty,9062839,Completed,First,"July 01, 2019",6h 09m 48s,Start: 2019-06-30 | Beat: 2019-07-01,,,,,,,,
22,2708,Tusk,PC,6h 16m,60%,,4707793,Completed,First,"July 09, 2017",6h 16m,,,,,,,,,
23,2708,jcbvickers,PC,6h 16m,60%,,7036248,Completed,First,,6h 16m,,,,,,,,,
24,2708,thatpower,PC,6h 17m,80%,,11307040,Completed,First,"April 05, 2020",6h 17m 04s,,,,,,,,,
25,2708,bdzz,PC,6h 18m,NR,,6814034,Completed,First,"August 12, 2018",6h 18m,,,,,,,,,
26,2708,CyDi,PC,6h 26m,90%,,4224274,Completed,First,"March 23, 2017",6h 26m 31s,,,,,,,,,
27,2708,Dr_Njitram,PC,6h 27m,NR,,5379372,Completed,First,"November 25, 2017",6h 27m,,,,,,,,,
28,2708,Doode,PC,6h 30m,NR,,11150055,Completed,Replay,,6h 30m,,,,,,,,,
29,2708,RiotBr3aker,PC,6h 30m,90%,,5780051,Completed,First,"February 05, 2018",6h 30m,,,,,,,,,
30,2708,Doomes,PlayStation 4,6h 31m,80%,,5068887,Completed,First,"September 18, 2017",6h 31m,,,,,,,,,
31,2708,Private,Nintendo Switch,6h 31m,NR,,10972235,Completed,Replay,,6h 31m 55s,,23h,,,,,,,
32,2708,Crohm,PC,6h 34m,NR,,6177929,Completed,First,"April 27, 2018",6h 34m,,,,,,,,,
33,2708,RevelGrande,PC,6h 35m,NR,,11384721,Completed,First,"April 17, 2020",6h 35m 21s,,,,,,,,,
34,2708,Matthew94,PC,6h 40m,NR,,10158691,Completed,First,"September 28, 2019",6h 40m,,,,,,,,,
35,2708,MrROBINKONG,PC,6h 40m,100%,Hurt me plenty Difficulty,8199273,Completed,First,"December 24, 2019",6h 40m 41s,Finshed in one sitting,,,,,,,,
36,2708,pitis,PC,6h 45m,NR,"""Hurt me plenty"" difficulty",11287457,Completed,First,"March 29, 2020",6h 45m,,,,,,,,,
37,2708,roastedcharizard,PC,6h 48m,90%,,3971641,Completed,First,"June 03, 2017",6h 48m 42s,,,,,,,,,
38,2708,Kronikolizon,PlayStation 4,6h 52m,80%,,3517735,Completed,First,"June 11, 2016",6h 52m,,,,,,,,,
39,2708,VirarNeeda,PC,6h 53m,40%,"First playthrough. ""I'm too young to die"" difficulty.",3302868,Completed,First,"August 08, 2016",6h 53m,,,,,,,,,
40,2708,,PC,7h,NR,,3453143,Completed,First,,7h,,,,,,,,,
41,2708,,PC,7h,NR,,4051274,Completed,First,,7h,,,,,,,,,
42,2708,,PC,7h,NR,,4638630,Completed,First,,7h,,,,,,,,,
43,2708,,PC,7h,NR,,5066234,Completed,First,,7h,,,,,,,,,
44,2708,,PC,7h,NR,,7841389,Completed,First,,7h,,,,,,,,,
45,2708,,PC,7h,NR,,9313690,Completed,First,,7h,,,,,,,,,
46,2708,,PC,7h,NR,,9340685,Completed,First,,7h,,,,,,,,,
47,2708,,PC,7h,NR,Very fun. Played 2 times before but didn't make it far.,10998212,Completed,First,,7h,,,,,,,,,
48,2708,Akitrotro,PC,7h,NR,,11188055,Completed,First,"March 19, 2020",7h,,,,,,,,,
49,2708,Bazladaz,PC,7h,NR,,10893220,Completed,First,"March 19, 2020",7h,,,,,,,,,
50,2708,BillEQ,PC,7h,NR,,3747686,Completed,First,"December 10, 2016",7h,,,,,,,,,
51,2708,DrySilver,PC,7h,NR,,10421672,Completed,First,"November 13, 2019",7h,,,,,,,,,
52,2708,Elficzek,PC,7h,70%,,11201444,Completed,First,"March 20, 2020",7h,,,,,,,,,
53,2708,Private,PC,7h,NR,,5384421,Completed,First,"November 26, 2017",7h,,,,,,,,,
54,2708,Invictus,PC,7h,70%,,8106898,Completed,First,"January 23, 2019",7h,,,,,,,,,
55,2708,King_K,Xbox One,7h,80%,,7780019,Completed,First,"January 02, 2019",7h,,15h,,,,,,,
56,2708,LamarVultureMan,PC,7h,NR,,8392618,Completed,First,,7h,,,,,,,,,
57,2708,MistSF,PC,7h,NR,,11696694,Completed,First,"May 10, 2020",7h,,,,,,,,,
58,2708,NoOseV,PC,7h,NR,,5341852,Completed,First,"November 17, 2017",7h,,,,,,,,,
59,2708,StenGhun,PC,7h,NR,,11506818,Completed,First,"April 20, 2020",7h,,,,,,,,,
60,2708,Yekii,Xbox One,7h,90%,,11296981,Completed,First,"March 30, 2020",7h,,,,,,,,,
61,2708,goatarooni,PC,7h,80%,,4549349,Completed,First,"June 09, 2017",7h,,,,,,,,,
62,2708,joboj,PC,7h,NR,,10903172,Completed,First,"January 28, 2020",7h,,,,,,,,,
63,2708,Private,PC,7h,NR,,10180308,Completed,First,"October 03, 2019",7h,,,,,,,,,
64,2708,skyRival,Xbox One,7h,NR,,7930814,Completed,First,"January 03, 2019",7h,,,,,,,,,
65,2708,spikely7000,PC,7h,NR,,11785605,Completed,First,"May 19, 2020",7h,,,,,,,,,
66,2708,yigitkoparan123,PC,7h,80%,,6991330,Completed,First,"August 01, 2019",7h,,,,,,,,,
67,2708,Husky,Xbox One,7h 01m,100%,,11447593,Completed,First,"February 10, 2020",7h 01m,,,,,,,,,
68,2708,KingM,PlayStation 4,7h 03m,50%,,3405125,Completed,First,"September 11, 2016",7h 03m 20s,,,,,,,,,
69,2708,InfamousComic,PlayStation 4,7h 04m,NR,,3316943,Completed,First,"August 10, 2016",7h 04m 32s,,,,,,,,,
70,2708,YoungHades,PlayStation 4,7h 07m,80%,,8742335,Completed,First,"October 11, 2019",7h 07m 54s,,,,,,,,,
71,2708,,PlayStation 4,7h 09m,NR,,4578750,Completed,First,,7h 09m,,,,,,,,,
72,2708,uvehj,PC,7h 10m,NR,Hurt Me Plenty,9375743,Completed,First,"August 16, 2019",7h 10m,,,,,,,,,
73,2708,,PC,7h 12m,NR,,3931874,Completed,First,,7h 12m,,,,,,,,,
74,2708,DeathPotato,Xbox One,7h 19m,NR,,11158536,Completed,First,"March 08, 2020",7h 19m,,,,,,,,,
75,2708,Cidbress,PC,7h 19m,80%,,10862975,Completed,First,,7h 19m 38s,,,,,,,,,
76,2708,D4L41L4M4,PC,7h 19m,80%,,9280183,Completed,Replay,"March 30, 2020",7h 19m 44s,,,,,,,,,
77,2708,Robz8,PC,7h 20m,NR,,11176770,Completed,First,"March 17, 2020",7h 20m,,,,,,,,,
78,2708,Thraesheios,PC,7h 20m,90%,,10989275,Completed,Replay,"February 14, 2020",7h 20m,,,,,,,,,
79,2708,,PC,7h 24m,NR,,10504677,Completed,First,,7h 24m,,,,,,,,,
80,2708,cabriolet6,PC,7h 29m,90%,,3841022,Completed,First,"January 03, 2017",7h 29m 33s,,,,,,,,,
81,2708,,PC,7h 30m,NR,,2970370,Completed,First,,7h 30m,,9h,33h,,,,,,
82,2708,Lohot,PC,7h 30m,NR,,10322510,Completed,Replay,"August 01, 2019",7h 30m,,,,,,,,,
