,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Main Story,Completion,Main+Extras,Progress,Completionist,Co-Op,Personal Notes,Vs.,Retired Notes,Speedrun
0,27100,,PlayStation 4,19h 27m,NR,,8199422,Completed,Replay,19h 27m 58s,,,,,,,,,
1,27100,Dereklions,PlayStation 4,20h,NR,,11416507,Completed,First,20h,"April 11, 2020",,,,,,,,
2,27100,,Xbox One,22h 02m,NR,,10601354,Completed,First,22h 02m,,,,,,,,,
3,27100,Jatisha43,PlayStation 4,22h 06m,100%,,8480773,Completed,First,22h 06m,"February 28, 2019",,,,,,,,
4,27100,dioomicida,Xbox One,22h 59m,90%,"Completed the epilogue, getting the achievement 'Endless Summer'.",7415933,Completed,First,22h 59m,"November 10, 2018",29h 58m,,,,,,,
5,27100,,Xbox One,23h 45m,NR,,7948711,Completed,First,23h 45m,,,,,,,,,
6,27100,,Xbox One,24h,NR,,7845966,Completed,First,24h,,,,,,,,,
7,27100,,PlayStation 4,24h 31m,NR,,7371570,Completed,First,24h 31m 16s,,,,,,,,,
8,27100,,PlayStation 4,24h 57m,NR,,10463737,Completed,First,24h 57m,,,,,,,,,
9,27100,,PlayStation 4,24h 58m,NR,,10568820,Completed,First,24h 58m 10s,,,,,,,,,
10,27100,,Xbox One,25h 12m,NR,,7869448,Completed,First,25h 12m,,,,,,,,,
11,27100,,Xbox One,25h 36m,NR,"With some extras, but not all.",8523574,Completed,First,25h 36m,,,,,,,,,
12,27100,,Xbox One,25h 37m,NR,,7337230,Completed,First,25h 37m 48s,,,,,,,,,
13,27100,,PC,26h 04m,NR,,10414176,Completed,First,26h 04m,,,,,,,,,
14,27100,SamMGladen,PlayStation 4,26h 04m,NR,,8564590,Completed,First,26h 04m 06s,,,,,,,,,
15,27100,ElectrickShadow,PlayStation 4,26h 21m,NR,,11545151,Completed,First,26h 21m,"April 24, 2020",,,,,,,,
16,27100,,PlayStation 4,26h 23m,NR,,10375014,Completed,First,26h 23m,,47h 57m,,,,,,,
17,27100,,PC,26h 39m,NR,,10568691,Completed,First,26h 39m,,,,,,,,,
18,27100,Everdred,Xbox One,26h 52m,80%,"21:57 for achievement ""Redemption"" (Beat Red Dead Redemption). 26:52 for 100% story completion. 67% total completion.",7234407,Completed,First,26h 52m,"October 31, 2018",,,,,,,,
19,27100,,PlayStation 4,27h,NR,,10417665,Completed,First,27h,,,,,,,,,
20,27100,bonay53,PlayStation 4,27h 05m,NR,,11159606,Completed,First,27h 05m,"March 14, 2020",,,,,,,,
21,27100,Gradono,PlayStation 4,27h 10m,70%,I should've played the Side missions more,9056076,Completed,First,27h 10m,"June 19, 2019",,,,,,,,
22,27100,sixpixel,Xbox One,28h,NR,good game lots of westen stuff shooting,7610667,Completed,First,28h,"November 13, 2018",,,,,,,,
23,27100,,Xbox One,28h 05m,NR,Nice,7407408,Completed,First,28h 05m,,,,,,,,,
24,27100,hornybanana69,PlayStation 4,28h 11m,NR,,9013793,Completed,First,28h 11m,"June 22, 2019",,,,,,,,
25,27100,,PlayStation 4,28h 21m,NR,,10418183,Completed,First,28h 21m,,40h 56m,,,,,,,
26,27100,,Xbox One,28h 30m,NR,Rushed heavily through missions but didn't skip cuptscenes,9346041,Completed,First,28h 30m 19s,,,,,,,,,
27,27100,,PlayStation 4,29h 40m,NR,Rushed,9159981,Completed,First,29h 40m,,,,,,,,,
28,27100,,PC,30h,NR,Skipped cut-scenes,10612002,Completed,First,30h,,,,,,,,,
29,27100,ArturGG,PlayStation 4,30h,NR,,9319244,Completed,First,30h,"August 07, 2019",,,,,,,,
30,27100,King_K,Xbox One,30h,80%,,7364590,Completed,First,30h,"November 27, 2018",50h,,,,,,,
31,27100,ManWithNoNames58,PlayStation 4,30h,100%,,10605958,Completed,First,30h,"February 07, 2019",,,,,,,,
32,27100,ktpanks,PlayStation 4,30h,90%,,9004287,Completed,First,30h,"June 20, 2019",,,,,,,,
33,27100,,Xbox One,30h 01m,NR,,7374710,Completed,First,30h 01m,,,,,,,,,
34,27100,TacoLord424,Xbox One,30h 32m,100%,,11117894,Replay Completed,First,30h 32m 42s,"April 13, 2019",,134h 34m 23s /,,,,,,
35,27100,,PlayStation 4,30h 45m,NR,,10949839,Completed,Replay,30h 45m,,,,,,,,,
36,27100,,PC,30h 46m,NR,,11544557,Completed,First,30h 46m,,,,,,,,,
37,27100,SirMorokei,PC,31h,NR,,11848506,Completed,First,31h,"May 27, 2020",,,,,,,,
38,27100,,PlayStation 4,31h 46m,NR,Did 2 bounties and a few other smalls things.,11236936,Completed,First,31h 46m,,,,,,,,,
39,27100,Zsombro,PlayStation 4,32h 01m,100%,,10382921,Completed,First,32h 01m,,,,,,,,,
40,27100,crescens22,PlayStation 4,32h 20m,90%,,11877446,Completed,First,32h 20m,"December 15, 2018",,,,,,,,
41,27100,RaduL,PC,33h,NR,Main Story using Fast Travel and Train transport.,10410754,Completed,Replay,33h,"November 10, 2019",,,,,,,,
42,27100,RobinMicek,PlayStation 4,33h 20m,NR,,11182281,Completed,First,33h 20m,"March 15, 2020",,,,,,,,
43,27100,TulioHenriqueBC,PlayStation 4,33h 30m,NR,,7751295,Completed,First,33h 30m,"December 16, 2018",64h,,,,,,,
