,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Main Story,Completion,Main+Extras,Completionist,Progress,Speedrun,Personal Notes,Co-Op
0,30385,MagVinAnc,PC,2h 16m,80%,,8927306,Completed,First,2h 16m,,,,,,,
1,30385,oracle49,PC,2h 21m,80%,All 3 Routes,3985662,Completed,First,2h 21m,"August 20, 2016",8h 15m,,,,,
2,30385,KlausKappa,PC,2h 30m,NR,,11798088,Completed,First,2h 30m,"May 20, 2020",,,,,,
3,30385,,PC,3h,NR,,2024104,Completed,First,3h,,5h,13h,,,,
4,30385,,PC,3h,NR,,8365090,Completed,First,3h,,,,,,,
5,30385,,PC,3h,NR,,10415375,Completed,First,3h,,,,,,,
6,30385,Digiclone,PC,3h,NR,,8270005,Completed,Replay,3h,"February 15, 2019",,,,,,
7,30385,ayanami3,PlayStation Vita,3h,NR,,6538302,Completed,Replay,3h,"July 07, 2018",4h,,,,,
8,30385,barneydankosaur,PC,3h,NR,,1846278,Completed,First,3h,"September 20, 2015",16h,,,,,
9,30385,minecarman,PC,3h,100%,,11171301,Replay Completed,Replay,3h,"March 17, 2017",5h,10h,75h 40m /,1h 50m,,
10,30385,Private,PC,3h,80%,,7228291,Completed,First,3h,"October 11, 2018",,,,,,
11,30385,Private,PC,3h 10m,70%,,9076284,Completed,First,3h 10m 18s,"July 12, 2019",,,,,,
12,30385,datdude43,Nintendo Switch,3h 11m,NR,Genocide Playthough,10174899,Playing Completed,Replay,3h 11m 07s,"October 02, 2019",,,30h /,,,
13,30385,vaguelymaybe,PC,3h 15m,NR,"attempted No Mercy run, but ended neutral (killed all bosses and encounters I got)",1947463,Replay Completed,Replay,3h 15m,"October 13, 2015",,,,,,
14,30385,beearmy,PC,3h 20m,70%,,4315880,Completed,First,3h 20m,"April 16, 2017",,,,,,
15,30385,QueenSassafras,PC,3h 21m,NR,,2790977,Completed,First,3h 21m,,,14h,,,,
16,30385,,PC,3h 25m,NR,,4145259,Completed,First,3h 25m 50s,,,,,,,
17,30385,,Mac,3h 30m,NR,,2536847,Completed,Replay,3h 30m,,,,,,,
18,30385,,PC,3h 30m,NR,"Neutral - all bosses killed except Toriel, Mettaton EX and Asgore",5398884,Completed,First,3h 30m,,,,,,,
19,30385,cyniford,Nintendo Switch,3h 34m,NR,,9008537,Completed,First,3h 34m,"September 24, 2018",5h 54m 35s,,,,,
20,30385,dannyhermy,Nintendo Switch,3h 38m,90%,Neutral Run,7972994,Completed,First,3h 38m 10s,"February 20, 2019",,,,,,
21,30385,idanlego1001,PC,3h 39m,NR,,8158303,Completed,Replay,3h 39m 46s,"January 29, 2019",,,,,,
22,30385,awesomenash,Nintendo Switch,3h 44m,NR,,10437844,Completed,First,3h 44m,"November 16, 2019",,,,,,
23,30385,Gumballgala,PC,3h 45m,80%,,4462964,Completed,First,3h 45m,,,,,,,
24,30385,videomonte,Nintendo Switch,3h 45m,NR,,7851498,Completed,First,3h 45m,"May 22, 2019",,,,,,
25,30385,,PC,3h 46m,NR,True pacifist,11123999,Completed,Replay,3h 46m,,4h 06m 35s,,,,,
26,30385,Jokey665,PC,3h 46m,NR,,3184236,Completed,First,3h 46m,"July 05, 2016",,,,,,
27,30385,,PC,3h 48m,NR,,7503651,Completed,First,3h 48m 52s,,,,,,,
28,30385,dyggaming,PC,3h 49m,NR,,9065147,Completed,First,3h 49m 22s,"July 01, 2019",,,,,,
29,30385,,PC,3h 50m,NR,,2134991,Completed,First,3h 50m,,,,,,,
30,30385,,Nintendo Switch,3h 50m,NR,,9517755,Completed,First,3h 50m,,,,,,,
31,30385,Duder963,PC,3h 50m,100%,Trying to get EVERY little thing,2695001,Completed,First,3h 50m,"February 29, 2016",22h,50h,,,,
32,30385,Sai077,Nintendo Switch,3h 50m,NR,Killed everything except one dog,7373529,Completed,First,3h 50m,"November 03, 2018",,,,,,
