,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Completion,Main Story,Main+Extras,Completionist,Speedrun,Personal Notes,Progress
0,319,Arkkis,Xbox 360,4h 58m,90%,,346371,Backlog Replay Completed,First,"July 27, 2013",4h 58m 02s,,,,,
1,319,Dearive,PC,5h,100%,,7652472,Completed,First,"December 06, 2018",5h,8h,36h,,,
2,319,JamTarty,PC,5h,70%,,4614524,Completed,First,"May 31, 2017",5h,,,,,
3,319,KPD2,PC,5h 30m,70%,,5066246,Completed,First,"September 18, 2017",5h 30m,,,,,
4,319,saaata,,5h 31m,NR,,85380,Completed,First,,5h 31m,,,,,
5,319,,,6h,NR,,283785,Completed,First,,6h,,,,,
6,319,,,6h,NR,,283797,Completed,First,,6h,,,,,
7,319,Le_Don,PC,6h,80%,,10861804,Completed,First,"February 28, 2012",6h,,,,,
8,319,Vario,Xbox 360,6h,90%,,65650,Completed,First,,6h,,,,,
9,319,Private,PC,6h,NR,,1072074,Completed,First,,6h,,,,,
10,319,Private,PC,6h,NR,,529771,Completed,First,,6h,,,,,
11,319,buzzbomber,PC,6h,80%,,699779,Completed,First,"December 20, 2012",6h,,,,,
12,319,lemonito,Xbox 360,6h,NR,,113853,Completed,First,"April 30, 2012",6h,,,,,
13,319,nsalinardi,PC,6h,80%,,11382736,Completed,First,,6h,,,,,
14,319,savepointsam,Xbox 360,6h,90%,,1323163,Completed,First,"April 25, 2015",6h,,,,,
15,319,CHELSEAFC,Xbox 360,6h 20m,90%,,157286,Completed,First,"May 01, 2010",6h 20m,,,,,
16,319,Xymjak,PC,6h 20m,80%,"All achievements, without dlc",798817,Completed,First,"January 05, 2017",6h 20m,13h 15m,19h 35m,,,
17,319,tobesplays,PC,6h 20m,NR,,11537790,Completed,First,,6h 20m,,,,,
18,319,lawcash,PC,6h 29m,70%,Normal difficulty,9474828,Completed,First,"September 01, 2019",6h 29m,,,,,
19,319,,,6h 30m,NR,,283789,Completed,First,,6h 30m,,,,,
20,319,,,6h 30m,NR,,283790,Completed,First,,6h 30m,,,,,
21,319,,PC,6h 30m,NR,,688678,Completed,First,,6h 30m,,,,,
22,319,,PC,6h 30m,NR,,6928459,Completed,First,,6h 30m,,,,,
23,319,Thalaban,Xbox 360,6h 48m,90%,,2134832,Completed,First,"November 25, 2015",6h 48m 12s,,,,,
24,319,Mokatavatah,PC,6h 59m,NR,,8820947,Completed,First,"July 01, 2019",6h 59m,,,,,
25,319,,Xbox 360,7h,NR,,283777,Completed,First,,7h,,,,,
26,319,,,7h,NR,,283799,Completed,First,,7h,,,,,
27,319,,Xbox 360,7h,NR,,283807,Completed,First,,7h,,,,,
28,319,,PC,7h,NR,,283820,Completed,First,,7h,,,,,
29,319,,PC,7h,NR,,326662,Completed,First,,7h,,,,,
30,319,,PC,7h,NR,,4509200,Completed,First,,7h,,,,,
31,319,FaTaLzK,PC,7h,100%,,320720,Completed,First,"July 12, 2013",7h,,,,,
32,319,Fran71,PC,7h,90%,,189683,Completed,First,,7h,,,,,
33,319,Horus_II,PC,7h,100%,,5158021,Completed,First,,7h,,,,,
34,319,JaKiNaBoX,PC,7h,NR,,703862,Completed,First,"April 24, 2014",7h,,,,,
35,319,Private,PC,7h,80%,,11485416,Completed,First,"January 19, 2016",7h,,,,,
36,319,Muzt,PC,7h,NR,,10162965,Completed,First,"October 17, 2018",7h,,,,,
37,319,TJB47,Xbox 360,7h,NR,,1292445,Completed,Replay,,7h,10h,25h,4h,,
38,319,VonDozier,Xbox 360,7h,70%,,84297,Completed,First,"August 22, 2010",7h,,,,,
39,319,doskir,PC,7h,NR,,319013,Completed,First,"July 10, 2013",7h,,,,,
40,319,gilchrd,PC,7h,NR,,2781254,Completed,First,"March 27, 2016",7h,,,,,
41,319,llocousc,PC,7h,NR,,4302932,Completed,First,"April 12, 2016",7h,,,,,
42,319,OverdoseT,PC,7h 02m,NR,Normal difficulty / i got a bug in my game that i can´t see cutscenes so i skipped all,8160607,Completed,First,"January 30, 2019",7h 02m,,,,,
43,319,FznRfq,PC,7h 02m,70%,Difficulty - Normal (hardest available),4141436,Completed,First,"March 03, 2017",7h 02m 55s,,,,,
