,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Completion,Main Story,Main+Extras,Completionist,Personal Notes,Progress,Retired Notes,Co-Op
0,34716,PapaStalin,PC,9h 14m,60%,,6680889,Completed,First,"July 28, 2018",9h 14m,,,,,,
1,34716,JoseSLD,Nintendo Switch,12h,80%,,10202223,Completed,First,"October 08, 2019",12h,,,,,,
2,34716,Alicenko,PC,15h,NR,,4745630,Completed,First,"July 13, 2017",15h,,,,,,
3,34716,,Xbox One,15h 20m,NR,,5581122,Completed,First,,15h 20m,,,,,,
4,34716,,Nintendo Switch,16h 31m,NR,Finished Joja route before the end of fall,10963122,Completed,Replay,,16h 31m,,,,,,
5,34716,,PlayStation 4,20h,NR,,5306126,Completed,First,,20h,,,,,,
6,34716,SixthRoman,Nintendo Switch,21h,NR,,5135090,Completed Retired,First,"October 31, 2017",21h,,,,,,
7,34716,cidsa,PC,21h,NR,,3372848,Completed,First,"August 28, 2016",21h,,,,,,
8,34716,fonewearl88,PC,23h,100%,,11636847,Completed,Replay,"October 01, 2019",23h,,,,,,
9,34716,Kryon,Nintendo Switch,25h,NR,,8447458,Custom List Completed,First,"March 11, 2019",25h,,,,,,
10,34716,Wrathzog,PC,25h,NR,"1 yr, 1 season; Married; All Gold Equipment; 30 levels into Skull Dungeon",4341159,Completed,First,"April 21, 2017",25h,,,,,,
11,34716,flyingtoaster99,PC,25h,90%,,3649038,Completed,First,"November 21, 2016",25h,,,,,,
12,34716,mrbaggs,Xbox One,25h,NR,,5689131,Completed,First,,25h,,,,,,
13,34716,KohakuZeta,PC,28h,80%,,5485923,Completed,Replay,"October 02, 2017",28h,,,,,,
14,34716,yamamayu,PC,28h,NR,,4369797,Playing Completed,First,"April 30, 2017",28h,,,,,,
15,34716,kplaysallthethings,PC,30h,NR,,11731854,Completed,Replay,,30h,,,,,,
16,34716,lovelace,Nintendo Switch,30h,100%,Finished Community Center + 1 Mio.,5349196,Completed,Replay,"November 19, 2017",30h,,,,,,
17,34716,bmz_3,PlayStation Vita,33h,90%,,11463919,Completed,First,,33h,,,,,,
18,34716,sapphirone,PC,33h 53m,NR,,3522441,Completed,First,"October 15, 2016",33h 53m,,,,,,
19,34716,,PC,35h,NR,,11332631,Completed,First,,35h,,,,,,
20,34716,BloodGod65,PC,35h,90%,,3807750,Completed,First,"October 07, 2018",35h,,,,,,
21,34716,Tonokai,PC,35h,NR,,6245742,Completed,First,"May 14, 2018",35h,,,,,,
22,34716,caseyt210,Mac,35h,80%,,9059911,Completed,First,"July 13, 2019",35h,,,,,,
23,34716,,PC,38h,NR,,3155913,Completed,First,,38h,,,,,,
24,34716,ethnictrailmix,PC,38h,80%,,8738778,Completed,First,"September 26, 2018",38h,,,,,,
25,34716,niceTCyou,Nintendo Switch,39h 07m,90%,"1 year, bottom of mines, most community rooms",6345413,Completed,First,"May 24, 2018",39h 07m,,,,,,
26,34716,VonDozier,PC,39h 19m,100%,community center done,8548210,Completed,First,"March 30, 2019",39h 19m,,,,,,
27,34716,sansa,PC,39h 33m,NR,,6774565,Completed,First,,39h 33m,,,,,,
28,34716,,PC,40h,NR,,11371572,Completed,First,,40h,60h,180h,,,,
29,34716,Faldown,Nintendo Switch,40h,90%,,6319352,Completed,First,,40h,,,,,,
30,34716,Hootinglance,Nintendo Switch,40h,NR,"completion of the community center, reached year 3, and grandpa was fully impressed",10302002,Completed,First,"October 21, 2019",40h,,,,,,
31,34716,pollo200,Nintendo Switch,40h,80%,,11608609,Completed,First,"April 30, 2019",40h,,,,,,
32,34716,riquerico,Nintendo Switch,40h,90%,Year 1 complete. 2 rooms in the community center + many other bundles. 1 max friendship. Mines lv80.,6003492,Completed,First,"March 18, 2018",40h,,,,,,
33,34716,sl3dge,Nintendo Switch,40h,NR,,11083755,Completed,First,,40h,,,,,,
34,34716,sturdyserpent,Nintendo Switch,40h,100%,,7395377,Completed,First,,40h,,,,,,
35,34716,,Nintendo Switch,40h 32m,NR,,5244364,Completed,Replay,,40h 32m 07s,,,,,,
36,34716,Onryo,PC,41h,NR,,5075555,Completed,First,"September 20, 2017",41h,,,,,,
37,34716,,PlayStation 4,43h 20m,NR,,5638415,Completed,First,,43h 20m 05s,87h 50m 23s,232h 54m,,,,
38,34716,,PC,44h,NR,,7413721,Completed,Replay,,44h,,,,,,
39,34716,cmiiller,PC,44h,NR,,9161245,Completed Retired,First,,44h,,,,,,
40,34716,HouseGames,PC,45h,100%,(2 Years),4175617,Completed,First,,45h,105h,,,,,
41,34716,thewhitepawn,Nintendo Switch,45h,NR,,7641924,Completed,First,"June 10, 2019",45h,,,,,,
42,34716,ArticunoBreeze,PlayStation 4,46h,80%,,10153474,Completed,First,,46h,,,,,,
43,34716,Hallibell,PC,46h 38m,90%,,11524174,Completed,First,"April 18, 2020",46h 38m,,,,,,
44,34716,MysticsLibrary,PC,47h 50m,NR,,6728024,Completed,First,"November 04, 2018",47h 50m,,,,,,
45,34716,ClassicMozilla,PC,48h,NR,To Marriage,4068613,Completed,First,,48h,,,,,,
46,34716,Private,PC,48h,100%,,4814581,Completed,First,"July 25, 2017",48h,,,,,,
47,34716,Private,PC,48h,NR,,4379390,Completed,First,"May 09, 2017",48h,,,,,,
48,34716,Ghost3030,PC,48h 02m,100%,,5347740,Custom List Completed,First,"November 18, 2017",48h 02m,,,Completed community center.,,,
49,34716,DrunkenYoYo,Nintendo Switch,48h 39m,70%,,5385726,Completed,First,"January 04, 2018",48h 39m 56s,,,,,,
50,34716,jordanestep24,PC,48h 46m,100%,,8980321,Completed,Replay,"June 16, 2019",48h 46m,,,,,,
51,34716,Daytona,PlayStation 4,48h 50m,NR,,8048445,Playing Completed,First,,48h 50m,,,,80h 16m /,,
52,34716,,PlayStation 4,48h 56m,NR,,3974148,Completed,First,,48h 56m,,,,,,
53,34716,Grimluck343,PC,49h,100%,,2702228,Completed,First,"February 01, 2017",49h,,,,,,
54,34716,Optim,PC,49h,90%,,9255622,Completed,First,"April 05, 2020",49h,,,,,,
55,34716,,PC,50h,NR,,4007374,Completed,First,,50h,70h,,,,,
56,34716,,PC,50h,NR,,4123863,Completed,Replay,,50h,60h,250h 46m,,,,
57,34716,,Xbox One,50h,NR,,8538919,Completed,First,,50h,65h,,,,,
58,34716,,PC,50h,NR,,10423863,Completed,First,,50h,80h,200h,,,,
59,34716,,PC,50h,NR,,11593486,Completed,First,,50h,100h,170h,,,,
60,34716,Private,Xbox One,50h,NR,,10767204,Completed,First,December,50h,85h,,,,,
61,34716,Alex5101,Nintendo Switch,50h,NR,,6684627,Completed,First,,50h,,,,,,
62,34716,DeepFrost,PlayStation 4,50h,NR,,8848409,Completed,First,"May 26, 2019",50h,100h,,,,,
63,34716,Donmandingo,Nintendo Switch,50h,NR,,6768136,Completed,First,"September 20, 2018",50h,90h 05m,,,,,
64,34716,LimpBagel,Nintendo Switch,50h,NR,,10836023,Completed,First,"January 31, 2019",50h,,,,,,
65,34716,NanoTox,PC,50h,90%,,5765369,Completed,First,"April 02, 2018",50h,80h,120h,,,,
66,34716,PerverseImp,PC,50h,NR,,3445640,Completed,First,"March 23, 2016",50h,,,,,,
67,34716,XnxteX,Nintendo Switch,50h,80%,,10923204,Completed,First,,50h,,,,,,
68,34716,albaxus,PC,50h,NR,,4877842,Completed,First,,50h,,,,,,
69,34716,aupa78,Android,50h,90%,,11562498,Completed,First,"March 26, 2020",50h,,,,,,
70,34716,eYaYosei,Nintendo Switch,50h,NR,,10764434,Completed,First,"December 25, 2019",50h,,,,,,
71,34716,julia0812,Nintendo Switch,50h,70%,,9582135,Completed,First,"August 01, 2018",50h,,,,,,
72,34716,limpscarab,PlayStation 4,50h,NR,,8716870,Completed,First,,50h,,,,,,
73,34716,repyh,PC,50h,90%,,8961205,Completed,First,,50h,,,,,,
74,34716,HecTiicClaw,Nintendo Switch,50h 23m,100%,,5420664,Completed,First,"December 05, 2017",50h 23m,,,,,,
75,34716,SakuraLilia,Nintendo Switch,50h 30m,NR,,7928395,Completed,First,"March 16, 2018",50h 30m,,,,,,
76,34716,,PC,50h 55m,NR,,2683977,Completed,First,,50h 55m,,,,,,
77,34716,BraggerCrab,PC,51h,80%,,6958567,Completed,First,,51h,,,,,,
78,34716,I_am_nobody,PC,51h,NR,,5033996,Completed,First,"March 29, 2016",51h,,,,,,
79,34716,Tijuanabadger,Nintendo Switch,51h,NR,,6226974,Completed,First,"July 31, 2018",51h,,,,,,
80,34716,berticus,PC,51h,NR,Restored community center and got low hanging achievements (24/50) in Fall 2,4431370,Completed,First,"May 13, 2017",51h,,,,,,
81,34716,rgvigueras,PC,51h,NR,,11697523,Completed,First,"May 10, 2020",51h,,,,,,
82,34716,skrilla,PC,51h 20m,80%,,3753452,Completed,First,July 2016,51h 20m,,,,,,
83,34716,,Nintendo Switch,51h 25m,NR,,10742624,Completed,First,,51h 25m,120h,275h,,,,
84,34716,,PlayStation 4,52h,NR,,4735347,Completed,First,,52h,,,,,,
85,34716,Private,PlayStation 4,52h,90%,,6282392,Completed,First,"June 02, 2018",52h,,,,,,
86,34716,Private,PC,52h,NR,,7390116,Completed,First,"July 14, 2018",52h,,,,,,
87,34716,thetallic,PC,52h,70%,,3401390,Completed,First,"August 10, 2016",52h,,,,,,
88,34716,,PC,53h,NR,,11839405,Completed,First,,53h,,,,,,
89,34716,MessyPizzaBoy,Nintendo Switch,53h,NR,Finished Community Center,5624470,Completed,First,"December 31, 2017",53h,55h,,,,,
90,34716,WinNytHepOOh,PC,53h,90%,Time needed until restoration of the Pelican Town Community Center.,2734921,Completed,First,"March 16, 2016",53h,,,,,,
91,34716,Flourite,PC,53h 12m,100%,,3170285,Completed,First,"July 02, 2016",53h 12m,,,,,,
92,34716,Private,PC,54h,NR,,11994843,Completed,First,,54h,,,,,,
93,34716,skulldragon47,PC,54h,NR,,11030952,Completed,First,"February 21, 2020",54h,,,,,,
94,34716,,PC,54h 20m,NR,,6487549,Completed,First,,54h 20m,,,,,,
95,34716,,PC,55h,NR,Earn 100k & rebuild the community center,2757987,Completed,First,,55h,,,,,,
96,34716,,Nintendo Switch,55h,NR,,5380698,Completed,First,,55h,,,,,,
97,34716,Euleriano,Nintendo Switch,55h,NR,,5588801,Playing Completed,First,"January 05, 2018",55h,85h,,,,,
98,34716,OneMinusTwoPlus,Nintendo Switch,55h,80%,,10678360,Completed,First,"December 28, 2019",55h,,,,,,
99,34716,Private,Nintendo Switch,55h,70%,,8038351,Completed,First,"November 14, 2018",55h,,,,,,
100,34716,drivec,Xbox One,55h,90%,,4129159,Completed,First,"February 01, 2017",55h,,,,,,
101,34716,ingrey,PlayStation 4,55h,NR,,4746350,Completed,Replay,,55h,80h,110h,,,,
