,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Completion,Main Story,Main+Extras,Completionist,Personal Notes,Speedrun,Progress,100% Speedrun,Co-Op
0,3521,milkinc,PC,14h 30m,NR,,3485308,Completed,Replay,"October 04, 2016",14h 30m,,,,,,,
1,3521,,,15h,NR,,286706,Completed,First,,15h,,,,,,,
2,3521,Kehltusa,Nintendo Switch,15h,NR,With 3x Speed,11644119,Completed,First,"May 03, 2020",15h,,,,,,,
3,3521,Mewa,Nintendo Switch,15h,90%,,11414389,Completed,First,"April 06, 2020",15h,,,,,,,
4,3521,dankenava31,Nintendo Switch,15h,80%,,10760585,Completed,First,"April 26, 2020",15h,,,,,,,
5,3521,shakl25,PC,15h,NR,,10322153,Completed,First,"May 12, 2014",15h,40h,50h,,,,,
6,3521,,Nintendo Switch,15h 05m,NR,,11898903,Completed,First,,15h 05m 11s,,,,,,,
7,3521,leetvivi,,15h 10m,100%,,440123,Completed,Replay,"October 09, 2013",15h 10m 33s,,,,,,,
8,3521,deathstroke458,PlayStation,15h 23m,NR,,10636820,Completed,First,"December 23, 2019",15h 23m,,,,,,,
9,3521,Sombritude,PC,18h 05m,NR,,11100384,Completed,First,"March 05, 2020",18h 05m,,,,,,,
10,3521,,PlayStation 4,18h 13m,NR,,2347691,Completed,First,,18h 13m,,,,,,,
11,3521,fengz03,PC,18h 33m,70%,,10911965,Completed,First,"July 21, 2019",18h 33m 27s,,,,,,,
12,3521,,PlayStation,18h 40m,NR,,394101,Completed,Replay,,18h 40m,36h 32m,77h 05m,,,,,
13,3521,TraxDave,Nintendo Switch,19h,NR,,8958871,Completed,First,"February 24, 2020",19h,,,,,,,
14,3521,bman8503,PlayStation,19h,NR,,10239073,Completed,Replay,"October 13, 2019",19h,30h,45h,,,,,
15,3521,bookraider3,PlayStation 4,19h,NR,,8413379,Completed,Replay,"March 05, 2019",19h,,,,,,,
16,3521,pasha_pirozhok,PlayStation 4,19h 32m,NR,,2195640,Completed,First,"December 13, 2015",19h 32m,,,,,,,
17,3521,,PC,19h 45m,NR,,1006245,Completed,First,,19h 45m,,,,,,,
18,3521,Bearfox,PC,19h 50m,NR,All characters set to level 50 at the start of the game. Story run only.,2368299,Completed,First,"August 17, 2016",19h 50m,,,,,,,
19,3521,Impetris,Nintendo Switch,20h,100%,3x speed on Switch plus cheat mode sometimes,7547120,Completed,First,"June 19, 2019",20h,,,,,,,
20,3521,alevit,Nintendo Switch,20h,NR,,8282619,Completed,First,"June 22, 2019",20h,,,,,,,
21,3521,leyeti,Nintendo Switch,20h,90%,,11178459,Completed,First,"April 26, 2020",20h,,,,,,,
22,3521,Private,Nintendo Switch,20h 08m,NR,,8951275,Completed,Replay,"March 03, 2020",20h 08m,,,"Main Story Completed, (Approx 20:08, 19/01/2020 - 03/03/2020)",,,,
23,3521,,Nintendo Switch,20h 13m,NR,,8524843,Completed,First,,20h 13m 25s,,,,,,,
24,3521,XDDX,PC,21h,NR,"No side quests, main story only.",642003,Completed,First,"February 23, 2014",21h,,,,,,,
25,3521,all2surreal,PlayStation 4,21h,100%,,4736963,Completed,Replay,"July 11, 2017",21h,,,,,,,
26,3521,Private,Nintendo Switch,21h 02m,90%,,10899521,Completed,First,"April 13, 2019",21h 02m,,,,,,,
27,3521,Private,PC,21h 02m,100%,,4107381,Completed,First,"March 27, 2017",21h 02m 49s,,,,,,,
28,3521,,PlayStation,21h 20m,NR,Kill Sephiroth,1551872,Completed,Replay,,21h 20m 31s,30h 21m 12s,52h 53m 11s,,13h 03m 02s,,,
29,3521,Critter2003,PlayStation 4,21h 27m,NR,Triple speed cheat used,2345678,Completed,Replay,"January 04, 2016",21h 27m,,,,,,,
30,3521,,PlayStation,21h 30m,NR,No materia playthrough.,286757,Completed,Replay,,21h 30m,,,,,,,
31,3521,,PlayStation,21h 30m,NR,Initial Equip/ no Accessory playthrough.,286758,Completed,Replay,,21h 30m,,,,,,,
32,3521,,PlayStation,21h 37m,NR,with getting ultimate weapons,3651245,Completed,Replay,,21h 37m,,,,,,,
33,3521,currygrenade,PlayStation,21h 41m,100%,,1358032,Completed,First,,21h 41m,,,,,,,
34,3521,,PlayStation 4,22h,NR,Everything complete except Aeris final limit and Ruby/Emerald weapon,2238161,Completed,Replay,,22h,30h,,,,,,
35,3521,mauhlin12,Nintendo Switch,22h,60%,Used turbo mode.,10963147,Completed,Replay,"February 08, 2020",22h,,,,,,,
36,3521,vposud,Nintendo Switch,22h 02m,NR,,8684684,Completed,First,"April 23, 2019",22h 02m 22s,,,,,,,
37,3521,IM_A_BIG_DB,PlayStation 4,22h 12m,80%,,4975432,Completed,Replay,"August 27, 2017",22h 12m,,,,,,,
38,3521,Private,Nintendo Switch,22h 20m,NR,,11347860,Completed,First,"April 04, 2020",22h 20m,,,,,,,
39,3521,ShinjiTFP,Nintendo Switch,22h 30m,70%,,8806054,Completed,First,"July 10, 2019",22h 30m,,,,,,,
40,3521,Oreoxz,Nintendo Switch,22h 30m,NR,,10752913,Completed,First,"December 26, 2019",22h 30m 40s,,,,,,,
41,3521,,PlayStation 4,22h 50m,NR,Main story,11399492,Completed,First,,22h 50m,,,,,,,
42,3521,,,23h,NR,,286702,Completed,First,,23h,,,,,,,
43,3521,,PlayStation 4,23h,NR,,2316876,Completed,First,,23h,,,,,,,
44,3521,,PlayStation 4,23h,NR,,2684434,Completed,First,,23h,,,,,,,
45,3521,Alexsanlo,Nintendo Switch,23h,80%,,10614054,Completed,First,"December 29, 2019",23h,,,,,,,
46,3521,Dra9onborn711,PlayStation,23h,80%,,9103120,Completed,First,,23h,,,,,,,
47,3521,Private,Nintendo Switch,23h,90%,,8576879,Completed,Replay,"April 11, 2019",23h,,,,,,,
48,3521,avalynnrose,PC,23h,NR,,11720301,Completed,First,"May 12, 2020",23h,,,,,,,
49,3521,Private,PC,23h,NR,,527847,Completed,First,"January 11, 2014",23h,,,,,,,
50,3521,electrophants,Nintendo Switch,23h,NR,,10386885,Completed,First,"December 01, 2019",23h,,,,,,,
51,3521,timooney,Nintendo Switch,23h,80%,,8523441,Completed,First,"September 24, 2019",23h,,,,,,,
52,3521,zpattack12,PC,23h,90%,Approximate using IGT. In real time probably ~an hour more?,5870949,Completed,First,"February 20, 2018",23h,,,,,,,
53,3521,TheDragonClaw,Nintendo Switch,23h 10m,NR,,11321847,Completed,First,"April 07, 2020",23h 10m,,,,,,,
54,3521,Katon2099,PlayStation 4,23h 12m,NR,,4719854,Completed,First,,23h 12m,,,,,,,
55,3521,Skyloftgames,Nintendo Switch,23h 19m,80%,"This time is not 100% accurate. My logged time is 19:19, but that doesn't account for resets",11552947,Completed,First,"May 22, 2020",23h 19m,,,,,,,
56,3521,,PlayStation 3,23h 30m,NR,,713675,Completed,Replay,,23h 30m,,,,,,,
57,3521,Wanderer23,Nintendo Switch,23h 30m,NR,,11188977,Completed,First,"May 03, 2020",23h 30m,,,,,,,
58,3521,,PlayStation 4,23h 51m,NR,,4101464,Completed,First,,23h 51m,,,,,,,
59,3521,DamTheLad,PlayStation,23h 57m,NR,,1127974,Completed,First,,23h 57m,,,,,,,
60,3521,,PlayStation,24h,NR,Solo character playthrough.,286759,Completed,Replay,,24h,,,,,,,
61,3521,Private,Nintendo Switch,24h,70%,,12011955,Completed,First,"June 16, 2020",24h,,,,,,,
62,3521,Joetherapper,PlayStation,24h,90%,,10466531,Completed,First,,24h,,,,,,,
63,3521,dmuma,PlayStation,24h 17m,100%,,15079,Completed,First,,24h 17m 09s,,,,,,,
64,3521,,,25h,NR,,286696,Completed,First,,25h,,,,,,,
65,3521,,PlayStation,25h,NR,,2213452,Completed,First,,25h,,55h,,,,,
66,3521,ADIPY,Nintendo Switch,25h,NR,,10818334,Completed,Replay,,25h,,,,,,,
67,3521,CrimsonAurora,Nintendo Switch,25h,NR,,11420560,Completed,First,"April 19, 2020",25h,,,,,,,
68,3521,King_K,Nintendo Switch,25h,80%,,8527349,Completed,First,"July 25, 2019",25h,28h,30h,,,,,
69,3521,KonoPez,Nintendo Switch,25h,80%,,8961204,Completed,First,"July 10, 2019",25h,,,,,,,
70,3521,Snudion,Nintendo Switch,25h,NR,,11195139,Completed,First,"May 15, 2020",25h,,,,,,,
71,3521,andrelvb,Nintendo Switch,25h,50%,,8916297,Completed,First,"June 08, 2019",25h,,,,,,,
72,3521,brunohcsv1997,PlayStation,25h,NR,,11261434,Completed,First,,25h,,,,,,,
73,3521,djitalianice,PlayStation 4,25h,NR,,2240666,Completed,First,"December 17, 2015",25h,,36h,,,,,
74,3521,pauluap,PlayStation 3,25h,90%,,42468,Completed,First,,25h,,,,,,,
75,3521,ringoluo,Nintendo Switch,25h,90%,,11396907,Completed,First,"April 05, 2020",25h,,,,,,,
76,3521,wskOsc,PC,25h,NR,,747853,Completed,Replay,"May 02, 2014",25h,28h 30m,,,18h,,,
77,3521,zim_ek,Nintendo Switch,25h,NR,,8658956,Completed,First,"May 05, 2019",25h,,,,,,,
78,3521,basedDAVE,Nintendo Switch,25h 05m,NR,,11433396,Completed,First,"May 09, 2020",25h 05m 46s,,,,,,,
79,3521,Doomes,PlayStation,25h 13m,70%,"No sidequests, time to final hit on Sephiroth",4065172,Completed,First,"February 14, 2017",25h 13m 41s,,,,,,,
80,3521,cabal901,PC,25h 30m,NR,,3635651,Completed,First,"November 16, 2016",25h 30m,,,,,,,
81,3521,Darthaegis,PC,25h 50m,60%,,9443560,Completed,First,"August 24, 2019",25h 50m,,,,,,,
82,3521,RasereiHojo,PlayStation 3,25h 57m,90%,,372234,Completed,First,"February 17, 2012",25h 57m 54s,31h 17m 22s,,,,,,
83,3521,CyDi,PC,26h,90%,,11605478,Completed,First,"April 29, 2020",26h,,,,,,,
84,3521,Private,Nintendo Switch,26h,NR,,11767661,Completed,First,"May 16, 2020",26h,,,,,,,
85,3521,Mapacherrr,Nintendo Switch,26h,NR,,11832185,Completed,First,"March 07, 2020",26h,,,,,,,
86,3521,MrMista,Nintendo Switch,26h,NR,,8725698,Completed,First,"May 06, 2019",26h,,,,,,,
87,3521,Tash92,PlayStation,26h,NR,,3753370,Replay Completed,Replay,"December 11, 2016",26h,28h,,,,,,
88,3521,aquova,PlayStation,26h,NR,,4864114,Completed,First,"March 23, 2017",26h,,,,,,,
89,3521,cammanb64,Nintendo Switch,26h,NR,,8999820,Completed,First,"June 19, 2019",26h,,,,,,,
90,3521,miked879,PlayStation,26h 13m,90%,,1419183,Completed,Replay,"July 25, 2015",26h 13m,,,"Played on PSN (PSVita)
Disc 1: Level 38 - 17:26
Disc 2: Level 53 - 25:46
Disc 3 (final save): Level 53 - 26:13",,,,
91,3521,MilwaukeeMeg,PlayStation 4,26h 30m,NR,,2541770,Completed,First,"February 08, 2016",26h 30m,,,,,,,
92,3521,Darksage5,PC,26h 32m,90%,,5506424,Completed,First,"March 24, 2018",26h 32m,,,,,,,
93,3521,,Nintendo Switch,26h 44m,NR,I had x3 speed on through all the wilf battles so that shortened my time,8592378,Completed,First,,26h 44m,,,,,,,
94,3521,500kevc,PC,26h 46m,90%,,8547733,Completed,First,"April 17, 2019",26h 46m,,,,,,,
95,3521,CaptainAmerica,Nintendo Switch,26h 58m,80%,,6963627,Completed,First,"April 04, 2019",26h 58m,,,,,,,
96,3521,,,27h,NR,,286726,Completed,First,,27h,,,,,,,
97,3521,,PlayStation,27h,NR,,1157175,Completed,Replay,,27h,,,,,,,
98,3521,Ekler,PlayStation,27h,100%,,4868421,Completed,First,,27h,35h,,,,,,
99,3521,Jackinator,PC,27h,100%,,4815763,Completed,First,"July 25, 2017",27h,,,,,,,
100,3521,Mowntana,PlayStation,27h,NR,,11878005,Completed,Replay,"May 31, 2020",27h,,,,,,,
101,3521,SplashFTW,Nintendo Switch,27h,90%,,11267279,Completed,First,"January 25, 2020",27h,,,,,,,
102,3521,Weepboop,PC,27h,80%,,11145473,Completed,First,"March 13, 2020",27h,,,,,,,
103,3521,dud0,Nintendo Switch,27h,NR,,11647464,Completed,First,"May 27, 2020",27h,,,,,,,
104,3521,nebyelats,Nintendo Switch,27h,NR,,11448398,Completed,First,"April 18, 2020",27h,,,,,,,
105,3521,sebafeu27,Nintendo Switch,27h,NR,,10901171,Completed,First,"January 28, 2020",27h,,,,,,,
106,3521,bobbacon,Nintendo Switch,27h 14m,NR,,9348610,Completed,First,"August 18, 2019",27h 14m,,,,,,,
107,3521,Ragnaroek,PlayStation 4,27h 35m,100%,,10606058,Completed,Replay,"January 26, 2020",27h 35m,,,,,,,
108,3521,,PC,28h,NR,"Obtained all ultimate weapons but only a few Level 4 limit breaks, ended at level ~55",11829565,Completed,First,,28h,,,,,,,
109,3521,Acelo,PlayStation Vita,28h,70%,,6034800,Completed,First,,28h,,,,,,,
110,3521,Kayteaface,Nintendo Switch,28h,90%,,10849473,Completed,First,"May 25, 2020",28h,,,,,,,
111,3521,Nainetsu,PC,28h,90%,,4119437,Replay Completed,Replay,"February 26, 2017",28h,,,,,,,
112,3521,Raz,PlayStation 4,28h,NR,,10965306,Completed,First,"February 22, 2020",28h,35h,,,,,,
113,3521,Sertara,Nintendo Switch,28h,100%,,9007598,Completed,First,"June 30, 2019",28h,,,,,,,
114,3521,TresLeches,Nintendo Switch,28h,100%,,11827575,Completed,First,"May 23, 2020",28h,,,,,,,
115,3521,mdterpsrule,Nintendo Switch,28h,80%,With 3x speed used most of the game,11098260,Completed,First,"December 29, 2019",28h,,,,,,,
116,3521,Tidus_360,PlayStation,28h 05m,90%,"Last save before final battle 27:29 (took about 30min). Casual, got vincent.",933376,Completed,First,"March 26, 2015",28h 05m,,,,,,,
117,3521,lagdotcom,PlayStation,28h 10m,90%,recent playthrough to educate a non-FF fan,33530,Completed,First,,28h 10m,,,,,,,
118,3521,TheDiggleGod,Nintendo Switch,28h 25m,90%,,8240094,Completed,First,"February 22, 2020",28h 25m,,,,,,,
119,3521,,PC,28h 26m,NR,,3729613,Completed,First,,28h 26m,,,,,,,
120,3521,theplump,PlayStation 4,28h 28m,100%,,2283743,Completed,First,"April 15, 2016",28h 28m,,,,,,,
121,3521,,PlayStation Vita,28h 29m,NR,,286750,Completed,First,,28h 29m,,,,,,,
122,3521,Jamix012,,28h 29m,NR,,184289,Completed,First,"October 03, 2012",28h 29m,,,,,,,
123,3521,HallowedSinn,PlayStation 4,28h 30m,NR,,5687747,Completed,First,"January 03, 2018",28h 30m,,,,,,,
124,3521,SimplyBLG,PC,28h 30m,90%,,8646038,Completed,First,"April 20, 2019",28h 30m,,,,,,,
125,3521,Valentn07,PC,28h 43m,80%,,11162439,Completed,First,"March 12, 2020",28h 43m,,,,,,,
126,3521,starfireliz,PlayStation Vita,28h 46m,NR,,948408,Completed,First,"September 24, 2014",28h 46m,,,,,,,
127,3521,Biendeo,PC,28h 50m,NR,"Got some side things, but not a lot.",993006,Completed,First,"March 08, 2015",28h 50m 19s,,,,,,,
