,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Main Story,Completion,Completionist,Progress,Main+Extras,Personal Notes,Speedrun
0,36755,,PC,4h 10m,NR,Only slight backtracking. Less than 50% of secrets found.,6426439,Completed,First,4h 10m,,,,,,
1,36755,ParticularSteve,Xbox One,4h 21m,90%,,11135268,Completed,Replay,4h 21m,"March 11, 2020",,,,,
2,36755,Tarbolin,PC,4h 30m,80%,,11005043,Completed,Replay,4h 30m,"February 17, 2020",,,,,
3,36755,typ12,PC,4h 33m,NR,Time from save file,10640342,Completed,First,4h 33m,"December 23, 2019",,,,,
4,36755,Private,PC,4h 35m,NR,75%,7191646,Completed,First,4h 35m 55s,"October 11, 2018",,,,,
5,36755,Sap1ing,PC,4h 40m,NR,,9661321,Completed,Replay,4h 40m,"September 16, 2019",,,,,
6,36755,KingMus,PC,4h 42m,NR,,6062904,Completed,First,4h 42m 59s,"March 31, 2018",,,,,
7,36755,Rederdex,PC,4h 58m,NR,,11818812,Playing Completed,First,4h 58m,"May 23, 2020",,,,,
8,36755,Rin,PC,5h,NR,,6625074,Completed,First,5h,,,,,,
9,36755,Doomes,PC,5h 06m,80%,,5338417,Completed,First,5h 06m 32s,"November 16, 2017",,,,,
10,36755,,PC,5h 21m,NR,Just played through it casually,3859076,Completed,First,5h 21m,,,,,,
11,36755,Private,PC,5h 22m,60%,,9012322,Completed,First,5h 22m 18s,"July 13, 2019",,,,,
12,36755,acousticfigure,PC,5h 28m,NR,,3839978,Completed,First,5h 28m,"December 31, 2016",,,,,
13,36755,rabelloo,PC,5h 28m,80%,,8136307,Completed,First,5h 28m 56s,"January 26, 2019",,,,,
14,36755,Muhyo,PC,5h 29m,NR,,11688646,Completed,First,5h 29m 40s,"May 09, 2020",,,,,
15,36755,Darkness4589,PC,5h 30m,NR,,11158730,Completed,First,5h 30m,"March 15, 2020",,,,,
16,36755,rem02,PC,5h 30m,90%,100% at the end,2928912,Completed,First,5h 30m 15s,"May 01, 2016",7h 37m 44s,,,,
17,36755,,Nintendo Switch,5h 32m,NR,,11191265,Completed,First,5h 32m 18s,,,,,,
18,36755,zlypomidor,PC,5h 36m,NR,,11236743,Completed,First,5h 36m,"March 24, 2020",,,,,
19,36755,Cass_se,PC,5h 37m,NR,,11507052,Completed,First,5h 37m,"April 20, 2020",,,,,
20,36755,Private,PC,5h 38m,100%,,11425221,Completed,First,5h 38m,"April 12, 2020",6h 58m 13s,,,,
21,36755,Jeen0808,PC,5h 38m,NR,,11246136,Completed,First,5h 38m 05s,"March 25, 2020",,,,,
22,36755,CDeltaT,PC,5h 38m,90%,,5982085,Completed,First,5h 38m 51s,,,,,,
23,36755,Axiol,PC,5h 39m,90%,,7562649,Completed,First,5h 39m,"November 29, 2018",,,,,
24,36755,,PC,5h 41m,NR,,5595753,Completed,First,5h 41m,,,,,,
25,36755,cellslayer78,Xbox One,5h 42m,70%,,9052238,Completed,First,5h 42m 17s,"June 28, 2019",,,,,
26,36755,Everdred,Xbox One,5h 44m,100%,75% total completion. Hard difficulty.,7795473,Completed,First,5h 44m 32s,"December 21, 2018",,,,,
27,36755,Private,Xbox One,5h 49m,80%,,11143227,Completed,First,5h 49m 53s,"March 12, 2020",,,,,
28,36755,Dunnington,Xbox One,5h 52m,100%,"Hard. 81% completion. 7/12 life orbs, 10/15 energy cells.",7803915,Replay Completed,Replay,5h 52m,"February 26, 2019",,5h 52m /,,,
29,36755,humra,PC,5h 52m,90%,,4242139,Completed,First,5h 52m,"March 30, 2017",,,,,
30,36755,,Nintendo Switch,5h 53m,NR,,10622771,Completed,First,5h 53m 57s,,,,,,
31,36755,Matribeiro,PC,5h 55m,NR,,5813488,Playing Completed,First,5h 55m 08s,"February 11, 2018",,,,,
32,36755,Private,PC,5h 56m,90%,,8095895,Replay Completed,Replay,5h 56m,,,,,,
33,36755,Quetsacloatl,PC,5h 57m,90%,some little detour for like 30 minutes,11391658,Completed,First,5h 57m,"April 09, 2020",,,,,
34,36755,,PC,6h,NR,,6685538,Completed,Replay,6h,,7h,,6h 30m,,
35,36755,Akai_Kaminari,PC,6h,90%,,11175762,Completed,First,6h,"March 18, 2020",,,,,
36,36755,Ashurav2,PC,6h,NR,,5724625,Completed,First,6h,"January 25, 2018",,,,,
37,36755,Coolgum15,PC,6h,60%,,11858639,Completed,First,6h,,,,,,
38,36755,Despo,PC,6h,NR,,3709601,Completed,First,6h,"December 03, 2016",,,10h,,
39,36755,DilPez19,PC,6h,80%,,10241338,Completed,First,6h,"October 13, 2019",,,,,
40,36755,JoshJ,PC,6h,NR,,5504070,Completed,First,6h,"April 05, 2018",,,,,
41,36755,Rus_Kulyasov,PC,6h,NR,,6008615,Completed,Replay,6h,,,,,,
42,36755,Tarbolin,PC,6h,NR,,7028310,Completed,First,6h,"September 12, 2018",,,,,
43,36755,Ygid,PC,6h,20%,,11918788,Completed,First,6h,"March 06, 2020",,,,,
44,36755,leonkenedystan1,Xbox One,6h,70%,,10938416,Completed,First,6h,"February 04, 2020",,,,,
45,36755,pukecloud,PC,6h,90%,,6205489,Completed,First,6h,"May 04, 2018",,,,,
46,36755,sackboy97,PC,6h,90%,,8923656,Completed,Replay,6h,June 2019,,,,,
47,36755,soulxstlr,Xbox One,6h,80%,,5863198,Completed,First,6h,,,,,,
48,36755,Private,PC,6h,90%,,7169578,Completed,First,6h,"March 30, 2020",,,8h,,
49,36755,Cosanjo,PC,6h,90%,,4249993,Completed,First,6h 46s,"March 29, 2017",,,,,
50,36755,Moist_Wrist,PC,6h 01m,70%,100 % on the save file but not all achievements,10496415,Completed,First,6h 01m 31s,"December 28, 2019",,,8h,,
51,36755,TheRedLag00n,Xbox One,6h 02m,40%,"296 deaths, 74% completion",8531101,Completed,First,6h 02m,"March 27, 2019",,,,,
