,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Completion,Main Story,Personal Notes,Completionist,Main+Extras,Co-Op,Vs.,Progress
0,37867,nealosis,PC,6h 25m,90%,,3712348,Completed,First,"September 06, 2017",6h 25m,,,,,,
1,37867,allantreebeard,PC,7h,100%,,4291696,Completed,First,,7h,,,,,,
2,37867,pie_masters,PC,7h,70%,,8897264,Completed,First,"April 18, 2020",7h,,,,,,
3,37867,Jackinator,PC,8h,100%,,10190692,Completed,First,"October 05, 2019",8h,,,,,,
4,37867,Dysun,PC,10h,80%,,4644875,Completed,First,"July 17, 2017",10h,,,,,,
5,37867,I_am_nobody,PC,10h,NR,,5033941,Completed,First,"October 23, 2016",10h,,,,,,
6,37867,Quezare_,PC,10h,90%,,11917533,Playing Completed,First,"June 06, 2020",10h,,,,,,
7,37867,ESKI514,PC,11h,NR,,5834472,Completed,First,"February 15, 2018",11h,Approximate time taken from the Steam Library counter after getting a cultural victory with Pedro (Brazil). Also beat the tutorial map before playing a real game. Beaten on Chieftain.,,,,,
8,37867,lliuttuk,PC,11h,80%,,5691913,Completed,First,"March 26, 2018",11h,,,,,,
9,37867,lisko,PC,11h 30m,90%,,6500223,Completed,First,"June 30, 2018",11h 30m,,,,,,
10,37867,PapaStalin,PC,12h,60%,,6670404,Completed,First,,12h,,,,,,
11,37867,lowdefal,PC,12h 25m,NR,,11380133,Completed,First,"April 14, 2020",12h 25m,,,,,,
12,37867,NellieTheElephant,PC,12h 30m,NR,,5719760,Completed,First,"January 24, 2018",12h 30m,,,,,,
13,37867,Flourite,Nintendo Switch,13h,100%,"Quick speed, standard map, 5 civs, culture victory",8606483,Completed,First,"April 12, 2019",13h,,,,,,
14,37867,JacobMckinley,PC,15h,40%,,5842263,Completed,First,"February 14, 2018",15h,,,,,,
15,37867,StryKan,PC,15h,NR,Odigrao jednu partiju kao Gilgame� - Sumeria,3622843,Completed,First,"November 06, 2016",15h,"Igrao divčo verziju sa torenta da probam novu Civilizaciju. Igrao kao Gilgame� - Sumerac. Počeo od antičkog perioda. Jurio naučnu pobedu. Na 3 poteza do kompletiranja izgubim od Rusa kulturnu pobedu! Uglavnom se borio i klao sa Ruzveltom - Amerikancem skoro ceo gejm, na kraju ga celog osvojio!
Zavr�io gejm na dan veridbe :)",,,,,
16,37867,deoadiuvante,PC,15h,NR,,3582439,Playing Completed,First,"October 29, 2016",15h,,64h,,,,
17,37867,mrbaggs,PC,15h,NR,,5868145,Completed,First,"August 26, 2019",15h,,,,,,
18,37867,,PC,15h 42m,NR,,5853800,Completed,First,,15h 42m,,89h,41h,,,
19,37867,Private,PC,15h 47m,NR,,7542755,Completed,First,,15h 47m,,,,,,
20,37867,cmiiller,Mac,16h,NR,,9176138,Completed Retired,Replay,"September 08, 2019",16h,,,,,,
21,37867,plpagadorfdez,PC,16h 05m,60%,Only one game.,11876013,Completed,First,"June 13, 2020",16h 05m 19s,,,,,,
22,37867,peterclo,Nintendo Switch,16h 45m,70%,,8513111,Completed,First,"March 24, 2019",16h 45m,,,,,,
23,37867,kmas,PC,17h,NR,,5663811,Completed,First,"January 14, 2018",17h,,,,,,
