,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Completion,Main Story,Personal Notes,Main+Extras,Completionist,Speedrun,Progress,Retired Notes
0,38019,Private,Emulated,6h 48m,60%,,8831817,Completed,First,"January 04, 2020",6h 48m,,,,,,
1,38019,Private,Nintendo Switch,7h 08m,80%,The main story is exceptionally short for such a large game. Most of the time sink comes from travelling and side quests,5064503,Completed,First,"June 15, 2017",7h 08m,"I'm not entirely sure where everyone gets the 40+ hours for ""main story only"" play throughs. 40-80h is easily reasonable for side quests and the like, but the main story within the game is no longer than your average AAA title.",,,,,
2,38019,,Nintendo Switch,9h 23m,NR,,9332380,Completed,First,,9h 23m,,,,,,
3,38019,etali_16,Emulated,10h,100%,,7600527,Completed,First,"December 03, 2018",10h,fucking good game and ma first zelda ever and ma secend favourite game of all time after witcher 3 ofcourse,30h,60h,,,
4,38019,,Nintendo Switch,10h 22m,NR,,10918244,Completed,First,,10h 22m,,,,,,
5,38019,,Nintendo Switch,10h 25m,NR,Went complete optional dungeons and some shrines.,4167579,Completed,First,,10h 25m,,89h 25m,,,,
6,38019,,Nintendo Switch,10h 54m,NR,,5925103,Completed,Replay,,10h 54m 34s,,20h 50m 28s,50h 24m 34s,,,
7,38019,,Wii U,11h 35m,NR,,8577312,Completed,First,,11h 35m 59s,,,,,,
8,38019,jamir30k,Wii U,12h,NR,,4375271,Completed,First,,12h,,,,,,
9,38019,spicycheese12,Nintendo Switch,12h,70%,Collecting all the korok seeds and temples,8384447,Completed,First,"February 03, 2018",12h,"I like the gameplay, but the story was too short compared to other titles that recently came out such as a link between worlds, skyward sword, or twilight princess. If you're new to the series, then you might want to pick this title up as your not missing out on too much lore, and then probably go pick up ocarina of time 3d, then majors mask 3d. Then you can be called a true Zelda fan",49h,195h,6h,,
10,38019,,Nintendo Switch,14h 26m,NR,"Divine beasts, master sword, ganon only",4647814,Completed,First,,14h 26m,,,,,,
11,38019,,Wii U,15h,NR,,4379514,Completed,First,,15h,,35h,200h,,,
12,38019,DreamEaglr,Nintendo Switch,15h,NR,,8975727,Completed,First,"June 16, 2019",15h,,80h,200h,,,
13,38019,Private,Nintendo Switch,15h,10%,,4285596,Completed,First,"April 08, 2017",15h,,,,,,
14,38019,sturdyserpent,Nintendo Switch,15h,100%,,7395375,Completed,First,,15h,,,80h,,,
15,38019,TacoLord424,Nintendo Switch,15h 32m,100%,,10756738,Completed,First,"January 02, 2020",15h 32m 12s,,,,,,
16,38019,,Nintendo Switch,16h 36m,NR,"Completed all four main dungeons, collected all memories, and collected the Master Sword",4195482,Completed,First,,16h 36m,,,,,,
17,38019,,Nintendo Switch,17h,NR,,4428980,Completed,First,,17h,,40h,,,,
18,38019,,Nintendo Switch,18h 33m,NR,"All divine beasts, Master sword, and Ganon",7180622,Completed,First,,18h 33m,,,,,,
19,38019,,Emulated,18h 46m,NR,,9012106,Completed,First,,18h 46m,,,,,,
20,38019,Doomes,Nintendo Switch,19h 07m,80%,"28 Shrines, 4 Sidequests, 0/12 Memories",4165421,Completed,First,"March 09, 2017",19h 07m,,,,,,
21,38019,,Nintendo Switch,19h 11m,NR,,11312994,Completed,First,,19h 11m,,,,,,
22,38019,,Wii U,19h 25m,NR,All quest.,5414491,Completed,Replay,,19h 25m 39s,,69h 29m 30s,275h 25m 19s,,,
23,38019,,Nintendo Switch,20h,NR,,4156728,Completed,First,,20h,,30h,,,,
