,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Completion,Main Story,Main+Extras,Personal Notes,Completionist,Speedrun,Progress,Retired Notes
0,38029,slickochet,PC,4h 23m,NR,"Easy difficulty. In game timer. Endings G,B.",5443690,Completed,Replay,"December 11, 2017",4h 23m 23s,,,,,,
1,38029,Doomes,PlayStation 4,5h 36m,90%,,5167821,Completed,First,"October 12, 2017",5h 36m 14s,,,,,,
2,38029,theplump,PlayStation 4,5h 57m,70%,Ending A,4254875,Completed,First,"March 31, 2017",5h 57m,,,,,,
3,38029,kianweic,PC,6h,NR,,8538321,Completed,First,"March 28, 2019",6h,,,,,,
4,38029,Private,PC,6h 15m,NR,,4516689,Completed,First,"June 01, 2017",6h 15m,,,,,,
5,38029,slickochet,PC,6h 18m,NR,"In game timer. Easy difficulty. Endings A, H, K.",4533208,Completed,First,"December 08, 2017",6h 18m 55s,,,,,,
6,38029,Everdred,PlayStation 4,6h 29m,70%,"Endings A, B, C, D, E, W. Switched to easy halfway through route C.",5499575,Completed,First,"December 30, 2017",6h 29m 38s,18h 45m,,,,,
7,38029,slickochet,PC,6h 41m,NR,"In game timer. Easy difficulty. Endings C, D, E, Z.",5456593,Completed,First,"December 12, 2017",6h 41m 42s,,,,,,
8,38029,vishwas,PC,6h 45m,NR,,5201928,Completed,First,"October 22, 2017",6h 45m 23s,,,,,,
9,38029,,PC,6h 54m,NR,,4247127,Completed,First,,6h 54m 25s,,,,,,
10,38029,swordclaws,PlayStation 4,7h,NR,,6660823,Completed,First,,7h,35h 30m,,,,,
11,38029,Thalaban,PlayStation 4,7h 01m,80%,Ending A,6194428,Completed,First,"May 01, 2018",7h 01m 23s,,,,,,
12,38029,Private,PC,7h 08m,50%,Ending A. I have zero interest in replaying this for the other endings.,3095316,Completed,First,"November 27, 2017",7h 08m 55s,,,,,,
13,38029,,PC,7h 30m,NR,,7073731,Completed,First,,7h 30m 21s,,,,,,
14,38029,ViMaSter,PlayStation 4,7h 53m,NR,,4289332,Completed,First,"April 09, 2017",7h 53m 57s,,,,,,
15,38029,Yekii,Xbox One,7h 55m,60%,,11324829,Completed,First,"April 06, 2020",7h 55m 19s,,,,,,
16,38029,,PlayStation 4,8h,NR,,4733749,Completed,First,,8h,,,,,,
17,38029,Bartezoo,PlayStation 4,8h,NR,,5789247,Completed,First,"February 07, 2018",8h,,,,,,
18,38029,Private,PlayStation 4,8h,NR,,4575504,Completed,First,"June 15, 2017",8h,,,,,,
19,38029,Jun,PlayStation 4,8h,NR,,8481509,Completed,First,"March 18, 2019",8h,,,,,,
20,38029,bradgy,Linux,8h 01m,80%,,10164242,Completed,First,"October 13, 2019",8h 01m 22s,,,,,,
21,38029,remedyx,PlayStation 4,8h 09m,NR,Ending a,4195993,Completed,First,"March 14, 2017",8h 09m,,,,,,
22,38029,snappums,PC,8h 09m,NR,Endings ABCDE,4215514,Completed,First,"March 25, 2017",8h 09m 55s,22h 20m,,,,,
23,38029,gabrielmop,PC,8h 10m,50%,,6085349,Completed,First,"April 23, 2018",8h 10m 32s,,,,,,
24,38029,,PC,8h 33m,NR,,7741492,Completed,First,,8h 33m 12s,,,,,,
25,38029,civoreb,PlayStation 4,8h 34m,70%,Ending A,5679554,Completed,First,"January 17, 2018",8h 34m 10s,,Fun post-apacolyptic hack and slash RPG.,,,,
26,38029,Tusk,PC,8h 37m,90%,Skipped 5 side missions and 1 secret ending. Otherwise 100%,4673218,Completed,First,"July 01, 2017",8h 37m,44h 36m,,,,,
