,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Main Story,Completion,Main+Extras,Completionist,Progress,Speedrun,Personal Notes,Retired Notes,100% Speedrun
0,38050,,PlayStation 4,8h 56m,NR,,8791801,Completed,First,8h 56m 34s,,,,,,,,
1,38050,,PlayStation 4,9h 12m,NR,,11049004,Completed,First,9h 12m 47s,,,,,,,,
2,38050,,PlayStation 4,9h 45m,NR,,6148828,Completed,First,9h 45m 54s,,,,,,,,
3,38050,Ahmed_Killer91,PlayStation 4,10h,NR,,6435776,Completed,First,10h,"June 19, 2018",46h,89h,,,,,
4,38050,Kytes,PlayStation 4,10h,NR,,6157443,Completed,First,10h,"April 22, 2018",,,,,,,
5,38050,Barch,PlayStation 4,10h 27m,NR,,9220414,Backlog Completed,Replay,10h 27m 58s,"July 31, 2019",,,10h 27m 58s /,,,,
6,38050,,PlayStation 4,10h 30m,NR,,6166106,Completed,First,10h 30m,,,,,,,,
7,38050,Doomes,PlayStation 4,10h 30m,70%,,7555002,Completed,First,10h 30m,"November 29, 2018",,,,,,,
8,38050,Swedishgamefreak,PlayStation 4,10h 30m,NR,,8033295,Backlog Completed,First,10h 30m,"January 20, 2019",,,,,,,
9,38050,ACE_V,PlayStation 4,10h 35m,100%,,6440801,Completed,First,10h 35m,"June 05, 2018",20h,50h,,,,,
10,38050,Brownbearjeww,PlayStation 4,11h 10m,100%,,8465006,Completed,First,11h 10m 38s,"March 13, 2019",,,,,,,
11,38050,Private,PlayStation 4,11h 17m,80%,,10272428,Completed,First,11h 17m 07s,"May 08, 2020",,,,,,,
12,38050,,PlayStation 4,11h 30m,NR,Just the main story with collecting 70-80% of things along the way,6170412,Completed,Replay,11h 30m,,,,,,,,
13,38050,Nossda,PlayStation 4,11h 45m,90%,,10522953,Completed,First,11h 45m,"December 02, 2019",,,,,,,
14,38050,,PlayStation 4,11h 49m,NR,,6309293,Completed,First,11h 49m 36s,,,,,,,,
15,38050,,PlayStation 4,12h,NR,,9040226,Completed,First,12h,,,,,,,,
16,38050,,PlayStation 4,12h,NR,,11602151,Completed,Replay,12h,,,,,9h 02m,,,
17,38050,Ricock,PlayStation 4,12h,NR,,7861154,Completed,First,12h,,30h,,,,,,
18,38050,happyfrog,PlayStation 4,12h,NR,"Easiest difficulty, Replay",6644425,Playing Replay Completed,Replay,12h,"July 22, 2018",,,,,,,
19,38050,sptassi,PlayStation 4,12h 15m,NR,,9364645,Completed,First,12h 15m,"February 14, 2019",,,,,,,
20,38050,HexGinnkgo,PlayStation 4,12h 27m,100%,,7258649,Completed,First,12h 27m,"May 08, 2018",17h 19m,,,,,,
21,38050,,PlayStation 4,12h 30m,NR,,7271605,Completed,Replay,12h 30m,,,,,,,,
22,38050,,PlayStation 4,12h 30m,NR,,6931431,Completed,Replay,12h 30m 42s,,,,,,,,
23,38050,Mjghost88,PlayStation 4,12h 32m,NR,,8440727,Completed,First,12h 32m 45s,"January 10, 2019",,,,,,,
24,38050,vishwas,PlayStation 4,12h 32m,NR,,7010150,Completed,First,12h 32m 48s,"September 09, 2018",,,,,,,
25,38050,,PlayStation 4,13h,NR,Recording of whole playthrough: https://www.youtube.com/playlist?list=PLAI5N5a39F7FAvYmpiQ_SetNY3750OdZR,6152382,Completed,First,13h,,,,,,,,
26,38050,,PlayStation 4,13h,NR,played it everyday after school,8477744,Completed,First,13h,,,,,,,,
27,38050,,PlayStation 4,13h,NR,,10232345,Completed,First,13h,,40h,,,,,,
28,38050,MattTheGymRat,PlayStation 4,13h,90%,Chest can really make you spend more time on this game,8939667,Completed,First,13h,"June 16, 2019",,,,,Starts slow but worth it for the time spent.,,
29,38050,treaper,PlayStation 4,13h,NR,,6155192,Completed,First,13h,"April 21, 2018",,,,,,,
30,38050,beearmy,PlayStation 4,13h 07m,80%,,9052731,Completed,First,13h 07m,"June 29, 2019",,,,,,,
31,38050,Cidbress,PlayStation 4,13h 13m,90%,,10862968,Completed,First,13h 13m 02s,,,,,,,,
32,38050,Brexigar,PlayStation 4,13h 30m,NR,"Main Story, no side quest",8116976,Completed,First,13h 30m,"January 31, 2019",,,,,,,
33,38050,Einspruch,PlayStation 4,13h 30m,60%,,6154314,Completed,First,13h 30m,"April 21, 2018",,,,,,,
34,38050,Wordingofspay,PlayStation 4,13h 30m,90%,,6212904,Completed,First,13h 30m,"May 05, 2018",,,,,,,
