,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Completion,Main Story,Speedrun,Main+Extras,Completionist,Co-Op,Vs.,Personal Notes,Progress,Retired Notes
0,4064,villakid1,Xbox One,11h 21m,NR,,10452485,Completed,Replay,"November 19, 2019",11h 21m 38s,,,,,,,,
1,4064,Tenbeat,PC,11h 30m,80%,,8570579,Completed,Replay,,11h 30m 17s,,,,,,,,
2,4064,SpartFarklesX,PlayStation 4,12h,NR,,9023167,Completed,Replay,"January 05, 2019",12h,,,,,,,,
3,4064,,PC,12h 26m,NR,,9300432,Completed,Replay,,12h 26m,12h 25m,,,,,,,
4,4064,,PC,12h 30m,NR,,11827264,Completed,Replay,,12h 30m,,,,,,,,
5,4064,,PlayStation 4,12h 36m,NR,,10493821,Completed,Replay,,12h 36m 48s,,,,,,,,
6,4064,,Xbox One,12h 56m,NR,,9219475,Completed,Replay,,12h 56m 12s,,,,,,,,
7,4064,RamiChaiben_2004192,PC,13h,NR,,11448521,Playing Completed,Replay,"April 15, 2020",13h,,,,,,,,
8,4064,,PC,13h 01m,NR,,9306552,Completed,First,,13h 01m,,,,,,,,
9,4064,Bommelbeanie,Xbox 360,13h 03m,90%,,6429843,Completed,First,"October 04, 2013",13h 03m 31s,,,,,,,,
10,4064,,PC,13h 50m,NR,,11775211,Completed,Replay,,13h 50m,,,,,,,,
11,4064,Private,PlayStation 4,14h 11m,80%,,10272426,Completed,First,"November 15, 2019",14h 11m 21s,,,,,,,,
12,4064,,PC,14h 23m,NR,,8756928,Completed,Replay,,14h 23m 13s,,,,,,,,
13,4064,,PlayStation 4,14h 30m,NR,,1035370,Completed,First,,14h 30m,,,,,,,,
14,4064,drivec,Xbox 360,14h 31m,NR,,4136587,Completed,First,,14h 31m,,,,,,,,
15,4064,,PlayStation 4,14h 55m,NR,,1077785,Completed,First,,14h 55m 49s,,,,,,,,
16,4064,,PlayStation 3,15h,NR,,759827,Completed,Replay,,15h,,,,,,,,
17,4064,,Xbox 360,15h,NR,,969674,Completed,First,,15h,,,,,,,,
18,4064,,PC,15h,NR,"A few extra quests and unlockables, but not all",4962474,Completed,Replay,,15h,,24h,,,,,,
19,4064,Akunamus,PlayStation 4,15h,NR,,11356830,Completed,Replay,"September 15, 2014",15h,,20h,,,,,,
20,4064,DonRich,PlayStation 3,15h,NR,,10388969,Completed,First,"November 09, 2019",15h,,,,,,,,
21,4064,Private,PlayStation 3,15h,100%,,625603,Completed,First,"December 10, 2013",15h,,22h,,,,,,
22,4064,gamefire,Xbox 360,15h,100%,I thought it was a little more difficult than GTA IV but I still got through it pretty quickly,528887,Completed,First,"September 23, 2013",15h,,,,,,,,
23,4064,saad65,PC,15h,NR,,10279775,Completed,First,"October 21, 2019",15h,,,,,,,,
24,4064,,Xbox 360,15h 11m,NR,,1617344,Completed,First,,15h 11m 43s,,30h 25m 45s,,,,,,
25,4064,,PC,15h 12m,NR,,8068449,Completed,Replay,,15h 12m,,,,,,,,
26,4064,,PlayStation 4,15h 15m,NR,,3280522,Completed,Replay,,15h 15m 49s,,,,,,,,
27,4064,GreenKing,PC,15h 20m,100%,,4389675,Completed,Replay,"May 06, 2017",15h 20m,,,,,,,,
28,4064,shelbx,PC,16h,NR,,6385998,Completed,First,,16h,,,,,,,,
29,4064,cabriolet6,PC,16h 05m,100%,,3883245,Completed,Replay,"January 12, 2017",16h 05m 25s,,,,,,,,
30,4064,,Xbox 360,16h 05m,NR,,5557939,Completed,First,,16h 05m 48s,,,,,,,,
31,4064,Everdred,Xbox One,16h 17m,NR,,10573272,Completed,Replay,"January 03, 2019",16h 17m,,,,,,,,
32,4064,Mackan,PC,16h 30m,NR,Preatty,11987543,Completed,First,"June 14, 2020",16h 30m,,,,,,,,
33,4064,Mackan153,PC,16h 30m,80%,,11987550,Completed,First,"June 14, 2020",16h 30m,,,,,,,,
34,4064,Wank8734,PlayStation 4,16h 33m,NR,,1187871,Completed,Replay,"March 15, 2015",16h 33m,,,,,,,,
35,4064,,PC,16h 35m,NR,,3365473,Completed,Replay,,16h 35m 01s,,18h 47m 03s,40h 06m 05s,,,,,
36,4064,,Xbox 360,16h 35m,NR,,538218,Completed,First,,16h 35m 12s,10h 05m 50s,40h 40m 21s,120h 32m 50s,,,,,
37,4064,,Xbox 360,16h 42m,NR,I beat the entire GTA V campaign in only 16 hours and change.,3166183,Completed,Replay,,16h 42m,,,,,,,,
38,4064,,PC,16h 43m,NR,,11951408,Completed,First,,16h 43m 11s,,,,,,,,
39,4064,,Xbox One,16h 50m,NR,,9479563,Completed,Replay,,16h 50m 03s,,,,,,,,
40,4064,,PlayStation 4,17h,NR,,1065237,Completed,Replay,,17h,,,,,,,,
41,4064,,PC,17h,NR,,4148216,Completed,First,,17h,,30h,300h,,,,,
42,4064,,Xbox One,17h,NR,,4288982,Completed,First,,17h,,,,,,,,
43,4064,,PC,17h,NR,,7995641,Completed,Replay,,17h,,,,,,,,
44,4064,,PlayStation 4,17h 19m,NR,,5318352,Completed,Replay,,17h 19m,,,,,,,,
45,4064,,PlayStation 4,17h 30m,NR,,1074377,Completed,First,,17h 30m 07s,,,,,,,,
46,4064,,PlayStation 3,17h 34m,NR,,608073,Completed,First,,17h 34m 46s,12h 34m 46s,23h 43m 07s,39h 15m 22s,,,,,
47,4064,,PlayStation 4,17h 38m,NR,,6941390,Completed,First,,17h 38m 12s,,,,,,,,
48,4064,,PlayStation 3,17h 45m,NR,,1357955,Completed,Replay,,17h 45m 46s,,35h 23m 15s,96h 35m 12s,,,,,
49,4064,,Xbox One,17h 53m,NR,,1917988,Completed,First,,17h 53m 36s,,,,,,,,
50,4064,Sir_Tim,PC,17h 59m,NR,,10978850,Completed,Replay,"February 12, 2020",17h 59m 09s,,,,,,,,
51,4064,,PC,18h,NR,,8382869,Completed,First,,18h,,26h,50h,,,,,
52,4064,Joshster_1,PlayStation 4,18h,70%,,3566175,Completed,First,"March 30, 2015",18h,,46h,,80h,,,,
53,4064,butters,PC,18h,NR,,6089548,Completed,Replay,,18h,,45h,82h,,,,,
54,4064,butters,Xbox 360,18h,NR,,6089552,Completed,First,,18h,,45h,82h,,,,,
55,4064,vivak25,PC,18h,NR,,12008655,Completed,First,"June 16, 2020",18h,,,,,,,,
