,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Main Story,Completion,Main+Extras,Completionist,Personal Notes,Progress,Vs.,Co-Op,Speedrun,100% Speedrun
0,4073,,PC,9h 03m,NR,,427108,Completed,Replay,9h 03m,,,,,,,,,
1,4073,,PC,9h 29m,NR,,10762016,Completed,First,9h 29m,,,,,,,,,
2,4073,,PC,9h 33m,NR,,287399,Completed,Replay,9h 33m,,,,,,,,,
3,4073,,PC,10h 24m,NR,,9352433,Completed,Replay,10h 24m 36s,,,,,,,,,
4,4073,,,11h,NR,,287379,Completed,First,11h,,,,,,,,,
5,4073,Kevisiano,PlayStation 2,11h,NR,,6952740,Replay Completed,Replay,11h,,,,,,,,,
6,4073,,iOS,12h,NR,,952443,Completed,Replay,12h,,,,,,,,,
7,4073,prymasTysiaclecia,Xbox 360,12h 26m,NR,,9296230,Completed,Replay,12h 26m,"August 03, 2019",14h 51m,,,,,,,
8,4073,Private,PC,13h 14m,NR,,8309150,Completed,Replay,13h 14m,"February 19, 2019",,,,,,,,
9,4073,Xyillo,PC,14h,NR,,9561453,Completed,First,14h,"October 20, 2006",,,,,,,,
10,4073,prymasTysiaclecia,PlayStation 2,14h 51m,NR,,8348545,Completed,Replay,14h 51m,"February 24, 2019",,,,,,,,
11,4073,,PC,15h,NR,,317319,Completed,Replay,15h,,40h,75h,100% Completion done in 75 Steam hours / 40 hours in the game statistics .,,,,,
12,4073,,PlayStation 2,15h,NR,,1082549,Completed,First,15h,,,50h,,,,,,
13,4073,Vacilastana,PC,15h 05m,100%,,4334337,Completed,Replay,15h 05m,"April 19, 2017",,,10th Anniversary Edition (Windows Store),,,,,
14,4073,,PC,15h 09m,NR,,10376071,Completed,Replay,15h 09m,,,,,,,,,
15,4073,iliasr10,PC,15h 25m,100%,,4741049,Completed,First,15h 25m 49s,,42h 12m 33s,95h 24m,,,,,,
16,4073,,Xbox 360,15h 31m,NR,,2579647,Completed,Replay,15h 31m,,,,,,,,,
17,4073,,PC,15h 50m,NR,,391293,Completed,Replay,15h 50m,,,,,,,,,
18,4073,DannosPlz,PC,16h,70%,,9345375,Completed,First,16h,"August 11, 2019",,,,,,,,
19,4073,ilCastaldi,PC,16h,NR,,8295435,Completed,First,16h,"August 14, 2018",,,,,,,,
20,4073,,PC,16h 13m,NR,,6426418,Completed,Replay,16h 13m,,,,,,,,,
21,4073,Nader_Hakami,PC,17h 19m,NR,,11914570,Completed,First,17h 19m,"June 05, 2020",,,,,,,,
22,4073,Private,PC,17h 20m,NR,,6196293,Completed,Replay,17h 20m,"July 03, 2015",,,n,,,,,
23,4073,,PC,17h 25m,NR,,10919683,Completed,Replay,17h 25m 33s,,,,,,,,,
24,4073,,Xbox 360,17h 55m,NR,,4933466,Completed,First,17h 55m,,,,,,,,,
25,4073,,PC,18h,NR,+heist and assets,6223265,Completed,Replay,18h,,,,,,,,,
26,4073,,PC,18h,NR,,8958503,Completed,Replay,18h,,,,,,,,,
27,4073,JdeRin,PC,18h,80%,,347777,Completed,First,18h,,,,,,,,,
28,4073,furai,PC,18h 09m,NR,,8598299,Completed,Replay,18h 09m,"April 11, 2019",,,,,,,,
29,4073,,PC,18h 23m,NR,,6404263,Completed,First,18h 23m,,,,,,,,,
30,4073,FrankHowley,PlayStation 2,18h 42m,70%,,345039,Completed,First,18h 42m,"July 26, 2013",,,,,,,,
31,4073,noviceforever,PC,18h 44m,NR,,9200771,Completed,First,18h 44m,"October 25, 2016",,,,,,,,
32,4073,,,19h,NR,,321868,Completed,First,19h,,,,,,,,,
33,4073,Gr1mReefer,PC,19h,NR,,12019425,Completed,Replay,19h,"May 21, 2014",,,,,,,,
34,4073,nrng97,PC,19h,NR,,9394067,Completed,Replay,19h,"August 20, 2019",,,,,,,,
