,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Completion,Main Story,Main+Extras,Completionist,Progress,Personal Notes
0,41638,Bentrooper,PC,4h 30m,NR,,12020390,Completed,First,"June 17, 2020",4h 30m,5h 50m,,,
1,41638,Doomes,PC,4h 30m,80%,Easy Difficulty. Time to start of final cutscene.,11053311,Completed,First,"February 25, 2020",4h 30m,,,,
2,41638,Kronikolizon,PC,4h 57m,80%,,8443150,Completed,First,"March 24, 2019",4h 57m,,,,
3,41638,,PlayStation 4,5h,NR,,4879765,Completed,First,,5h,,,,
4,41638,,PC,5h,NR,,5427403,Completed,First,,5h,5h 30m,6h,,
5,41638,,PC,5h,NR,,10832707,Completed,Replay,,5h,7h,7h 01s,,
6,41638,ASmallPotato,PC,5h,100%,,8671251,Replay Completed,Replay,"April 26, 2019",5h,,,,
7,41638,AidanAK47,PC,5h,40%,,9032850,Completed,First,"August 21, 2019",5h,,,,
8,41638,AwesomeNick94,PC,5h,90%,,5067071,Completed,First,"August 09, 2017",5h,,,,
9,41638,BSchwarz95,PlayStation 4,5h,100%,,9358062,Completed,First,"February 03, 2019",5h,,,,
10,41638,Batou,PC,5h,NR,,10867619,Completed,First,"January 26, 2020",5h,,,,
11,41638,CRTitan,PC,5h,NR,,10344759,Completed,First,"December 21, 2018",5h,,,,
12,41638,Degeto,PC,5h,70%,,9001059,Completed,First,"December 28, 2019",5h,,,,
13,41638,Skikkiks,PC,5h,70%,,10962268,Completed,First,"January 27, 2020",5h,,,,
14,41638,Private,PlayStation 4,5h,80%,,8159140,Custom List Completed,First,"February 10, 2019",5h,9h,10h,10h /,
15,41638,agentx213,PC,5h,NR,Entire game excluding collectible audio stones,10564989,Completed,First,"September 22, 2019",5h,5h 36m,,,
16,41638,andresag4,PC,5h,NR,,7148313,Completed,First,"September 30, 2018",5h,,,,
17,41638,Private,PC,5h,70%,,9454491,Completed,First,"August 26, 2019",5h,,,,
18,41638,lliuttuk,PC,5h,80%,,5368531,Completed,First,"October 27, 2017",5h,,,,
19,41638,overlordubiquitous,PC,5h,80%,,10787131,Completed,First,"January 10, 2020",5h,,,,
20,41638,pachomen,PC,5h,NR,,9128787,Completed,First,"July 10, 2019",5h,,,,
21,41638,woopox,Nintendo Switch,5h,NR,,10284920,Completed,First,,5h,,,,
22,41638,Private,PC,5h 05m,60%,,8665872,Completed,First,"December 03, 2017",5h 05m,,,,11/27 - 12/3
23,41638,vishwas,PC,5h 07m,NR,dead only for 3 times,5041726,Completed,First,"September 12, 2017",5h 07m,,,,
24,41638,slickochet,PC,5h 07m,NR,,5496704,Completed,First,"January 18, 2018",5h 07m 43s,,,,
25,41638,TeenJackBauer,Xbox One,5h 14m,NR,"Normal difficulty, 900G",7909215,Completed,First,"January 05, 2019",5h 14m,,,,
26,41638,Fistberg,PC,5h 15m,90%,,10799270,Completed,First,,5h 15m,,,,
27,41638,WhiteyWind,PC,5h 15m,70%,Missed some runes,7090443,Completed,First,"June 15, 2019",5h 15m,,,,
28,41638,alexisplaying,PC,5h 15m,80%,,10616164,Completed,First,"December 18, 2019",5h 15m,,,,
29,41638,500kevc,PC,5h 18m,80%,,8547740,Completed,First,"April 10, 2019",5h 18m,,,,
30,41638,,PC,5h 20m,NR,,6298161,Completed,First,,5h 20m,,,,
31,41638,aoki2,PC,5h 20m,50%,,8906866,Completed,First,"January 12, 2020",5h 20m,,,,
32,41638,Flourite,PC,5h 24m,80%,,5982142,Completed,First,"March 13, 2018",5h 24m,,,,
33,41638,Subtle_Villainy,Xbox One,5h 26m,80%,,8931104,Completed,First,"June 16, 2019",5h 26m 56s,,,,
34,41638,PlushWraith,PC,5h 29m,NR,Combat difficulty: Easy.,9473655,Completed,First,"August 29, 2019",5h 29m,,,,
35,41638,cabriolet6,PC,5h 29m,80%,,5350965,Completed,First,"November 19, 2017",5h 29m 26s,,,,
36,41638,,PC,5h 30m,NR,,8593478,Completed,First,,5h 30m,,,,
37,41638,,PC,5h 30m,NR,,11679819,Completed,First,,5h 30m,,,,
38,41638,Blinknspark,PC,5h 30m,NR,,4950939,Completed,First,"August 22, 2017",5h 30m,,,,
39,41638,Snapisnoo,PC,5h 30m,NR,,5019547,Completed,First,"August 13, 2017",5h 30m,,,,
40,41638,,PC,5h 30m,NR,,7858255,Completed,First,,5h 30m 17s,,,,
41,41638,Namaku64,PC,5h 31m,NR,,11250831,Completed,First,"October 15, 2018",5h 31m,,,,
42,41638,Potersvog,PC,5h 33m,NR,+ Final subs (extra 4 min),10182309,Completed,First,"October 03, 2019",5h 33m,,,,
43,41638,Blanks,PC,5h 35m,90%,,9278586,Completed,First,,5h 35m,,,,
44,41638,liquidblasted,PC,5h 38m,NR,,5867111,Completed,First,"February 20, 2018",5h 38m,,,,
45,41638,Pitcher_T,PlayStation 4,5h 40m,NR,,11689613,Completed,First,"June 06, 2020",5h 40m 21s,,,,
46,41638,Multi_117,PC,5h 41m,70%,,11099317,Completed,First,"May 05, 2020",5h 41m 44s,,,,
47,41638,NukeYourNanny,PC,5h 44m,90%,wow,6570559,Completed,First,"August 13, 2018",5h 44m 22s,,,,
48,41638,AdamRhodes536,Xbox One,5h 44m,NR,,10772697,Completed,First,"January 11, 2020",5h 44m 55s,,,,
49,41638,,PC,5h 45m,NR,,4882420,Completed,First,,5h 45m,,,,
50,41638,Joshster_1,PlayStation 4,5h 45m,80%,,4902294,Completed,First,"August 13, 2017",5h 45m,6h,6h 15m,,
51,41638,Lew_ser,PC,5h 45m,NR,,11542725,Completed,First,"April 23, 2020",5h 45m,,,,
52,41638,robogiraffe,PlayStation 4,5h 45m,80%,Found most of the lore stones.,8662714,Completed,First,"June 04, 2020",5h 45m,,,,
53,41638,ogromm,PlayStation 4,5h 46m,60%,,4970664,Completed,First,"August 28, 2017",5h 46m 14s,,,,
54,41638,theplump,PC,5h 48m,100%,,4900441,Completed,First,"September 13, 2017",5h 48m,,,,
55,41638,whitenoize,PC,5h 49m,80%,,10819915,Completed,First,"January 17, 2020",5h 49m,,,,
56,41638,Bouland,PC,5h 50m,70%,combat gets repetitive very quickly. good puzzles and graphics considering it's an indie title,5574957,Completed,First,"January 03, 2018",5h 50m,,,,
57,41638,evilghost,PC,5h 50m,NR,,10744425,Completed,First,"January 02, 2020",5h 50m,5h 55m,,,
58,41638,lackofwords,PC,5h 50m,NR,,10749100,Completed,First,"January 05, 2020",5h 50m 24s,,,,
59,41638,MrHands81,PC,5h 52m,50%,,6994527,Completed,First,"September 06, 2018",5h 52m,,,,
60,41638,firegamer273,PC,5h 53m,NR,,6949689,Completed,First,"August 07, 2019",5h 53m 29s,,,,
61,41638,,PC,5h 54m,NR,,11757303,Completed,First,,5h 54m,,,,
62,41638,,PC,5h 55m,NR,,8967411,Completed,First,,5h 55m,,,,
63,41638,Galvest0N,PC,5h 55m,NR,,7547601,Completed,First,"November 27, 2018",5h 55m,7h,8h,,
64,41638,melki,Nintendo Switch,5h 55m,NR,Finished,8689618,Completed,Replay,"April 25, 2019",5h 55m,,,,
65,41638,spawn_92,Xbox One,5h 55m,NR,,7850891,Completed,First,"February 07, 2019",5h 55m,,,,
66,41638,Private,PC,5h 57m,80%,,8990619,Completed,First,"June 18, 2019",5h 57m,,,,
67,41638,coleneff,PlayStation 4,5h 58m,80%,,8773678,Completed,First,"May 25, 2019",5h 58m,,,,
68,41638,,PlayStation 4,6h,NR,,4878914,Completed,First,,6h,,,,
69,41638,,PC,6h,NR,,4895915,Completed,First,,6h,8h,,,
70,41638,,PC,6h,NR,,4926271,Completed,First,,6h,,,,
71,41638,,PC,6h,NR,Got most of the story stones but not all,4967285,Completed,First,,6h,,,,
72,41638,,PC,6h,NR,,4986092,Completed,First,,6h,,,,
73,41638,,PC,6h,NR,,5416441,Completed,First,,6h,,,,
74,41638,,PC,6h,NR,,5560004,Completed,First,,6h,,,,
75,41638,,PC,6h,NR,,8095901,Completed,First,,6h,,,,
76,41638,,PC,6h,NR,,10608668,Completed,First,,6h,,,,
77,41638,Adventum,PlayStation 4,6h,90%,,10870262,Completed,First,"March 18, 2020",6h,,,,
78,41638,Bass360,PC,6h,NR,,8638833,Completed,First,"April 18, 2019",6h,,,,
79,41638,Bitghost,PC,6h,NR,,10596701,Completed,First,"December 15, 2019",6h,,,,
80,41638,ChaoticLightning,PC,6h,NR,,10987398,Completed,First,"February 13, 2020",6h,,,,
81,41638,ClassicMozilla,PC,6h,NR,,9189985,Completed,First,"July 19, 2019",6h,,,,
82,41638,CriticalMax,PC,6h,NR,,8539894,Completed,First,"March 28, 2019",6h,,,,
83,41638,CyDi,PC,6h,40%,,4890392,Completed,First,"August 08, 2017",6h,,,,
