,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Completion,Main Story,Personal Notes,Main+Extras,Completionist,Progress,Vs.,Speedrun,Co-Op,100% Speedrun
0,4248,TheAutisticGamer,PC,5h,90%,Estimate Time to Beat. Forgot what I really gave it.,6982816,Completed,Replay,"February 27, 2019",5h,Yet another replay. Playing this on Easy. Going to find some secrets and ammo drops.,,,,,,,
1,4248,VirarNeeda,PC,5h 03m,80%,Easy difficulty. Replay.,909927,Replay Completed,Replay,"August 25, 2014",5h 03m,,,,,,,,
2,4248,RoguePhos,PC,5h 07m,70%,,9321506,Completed,First,"January 22, 2012",5h 07m,,,,,,,,
3,4248,kikogolk,PC,5h 08m,100%,,42194,Completed,First,,5h 08m,,,,,,,,
4,4248,andrewl3779,PC,5h 14m,90%,,5068676,Completed,Replay,"September 18, 2017",5h 14m 39s,,,,,,,,
5,4248,Spidery7,PC,5h 30m,NR,,6228979,Completed,Replay,"July 21, 2018",5h 30m 14s,,,,,,,,
6,4248,Private,PC,5h 47m,NR,,3884441,Completed,First,,5h 47m,,,,,,,,
7,4248,,PC,5h 50m,NR,I rushed through it in an attempt to remember the story but skip the flighting,11449865,Completed,Replay,,5h 50m,,,,,,,,
8,4248,,Xbox 360,5h 50m,NR,,10635961,Completed,Replay,,5h 50m 23s,,,,,,,,
9,4248,,,6h,NR,,287566,Completed,First,,6h,,,,,,,,
10,4248,,PC,6h,NR,,462350,Completed,Replay,,6h,,,,,,,,
11,4248,,PC,6h,NR,,534471,Completed,First,,6h,,,,,,,,
12,4248,Private,PC,6h,100%,,621980,Completed,First,,6h,,,,,,,,
13,4248,Yureina,,6h,100%,,64081,Completed,First,,6h,,,,,,,,
14,4248,ivorn,PC,6h,NR,,7469210,Completed,Replay,"November 17, 2018",6h,,,,,,,,
15,4248,Rus_Kulyasov,PC,6h 12m,NR,,5834775,Completed,Replay,,6h 12m,,,,,,,,
16,4248,GRT42,PC,6h 21m,NR,,10593272,Completed,First,"December 14, 2019",6h 21m,,,,,,,,
17,4248,Journals,PC,6h 24m,NR,,10276709,Completed,First,"July 02, 2018",6h 24m,,9h 17m,11h 40m,,,,,
18,4248,cabriolet6,PC,6h 33m,80%,,4219370,Completed,First,"March 29, 2017",6h 33m 39s,,,,,,,,
19,4248,lukas525252,PC,6h 37m,NR,,8194507,Completed,First,,6h 37m,,,,,,,,
20,4248,Davegage,PC,6h 37m,NR,,11234729,Completed,Replay,"March 18, 2020",6h 37m 23s,https://www.youtube.com/watch?v=DPb_hG9gO5k,,,,,,,
21,4248,jdang,PC,6h 42m,NR,,11361742,Completed,First,"April 06, 2020",6h 42m,,,,,,,,
22,4248,,Xbox 360,6h 47m,NR,,6039462,Completed,Replay,,6h 47m 27s,,,,,,,,
23,4248,cellslayer78,Xbox,6h 48m,100%,,3809558,Completed,First,"December 26, 2016",6h 48m,,,,,,,,
24,4248,,PC,7h,NR,,634920,Completed,Replay,,7h,,,,,,,,
25,4248,,PC,7h,NR,,1025948,Completed,First,,7h,,,,,,,,
26,4248,,PC,7h,NR,,1540919,Completed,Replay,,7h,,,,,,,,
27,4248,,PC,7h,NR,,6143000,Completed,Replay,,7h,,,,,,,,
28,4248,,PC,7h,NR,,6560205,Completed,Replay,,7h,,,,,,,,
29,4248,Cking24,PC,7h,NR,,876065,Completed,First,,7h,,,,,,,,
30,4248,Pangin,PC,7h,90%,,6297665,Completed,First,"May 25, 2018",7h,,,,,,,,
31,4248,Thefiredragoon,PC,7h,100%,not sure if there was really any optional content,6162951,Completed,First,"April 23, 2018",7h,,,,,,,,
32,4248,saljun,PC,7h,NR,,7009894,Completed,First,"September 09, 2017",7h,,,,,,,,
33,4248,beearmy,Xbox 360,7h 07m,90%,,5969361,Completed,Replay,"March 11, 2018",7h 07m,,,,,,,,
34,4248,Hyuna,PC,7h 20m,100%,,2877500,Completed,First,,7h 20m,,10h,13h,,,,,
35,4248,gilchrd,PC,7h 23m,NR,,10497234,Completed,First,"February 01, 2020",7h 23m,,,,,,,,
36,4248,MrVlarien,PC,7h 24m,80%,,11356464,Completed,Replay,"April 05, 2020",7h 24m,,,,,,,,
37,4248,,PC,7h 30m,NR,,789117,Completed,First,,7h 30m,,,,,,,,
38,4248,Fran71,PC,7h 30m,NR,,189697,Completed,First,,7h 30m,,,,,,,,
39,4248,NoMorePlease,PC,7h 30m,100%,,1572581,Completed,First,"July 20, 2015",7h 30m,,,,,,,,
40,4248,adamcy_,PC,7h 30m,70%,Played steam version,10920585,Completed,First,"March 14, 2020",7h 30m,,,,,,,,
41,4248,icedemon72,PC,7h 30m,NR,,5934394,Completed,Replay,"March 05, 2018",7h 30m,,,,,,,,
42,4248,renegademrp,Xbox 360,7h 40m,NR,,510189,Completed,First,"June 12, 2014",7h 40m 21s,Have played the games multiple times,,,,,,,
43,4248,roushimsx,Xbox 360,7h 45m,NR,,42872,Completed,First,,7h 45m,,,,,,,,
44,4248,Iampurplebrid,PC,7h 47m,NR,,11059260,Completed,Replay,"February 27, 2020",7h 47m 44s,,,,,,,,
45,4248,KING72,PC,7h 48m,100%,,3378316,Completed,First,"September 02, 2016",7h 48m,,,,,,,,
46,4248,Private,PC,7h 54m,NR,,545805,Completed,Replay,"December 31, 2013",7h 54m,,,,,,,,
47,4248,NikeSh,PC,7h 54m,70%,,11413110,Completed,First,"March 20, 2020",7h 54m,,,,,,,,
48,4248,,,8h,NR,,287501,Completed,First,,8h,,,,,,,,
49,4248,,,8h,NR,,287503,Completed,First,,8h,,,,,,,,
50,4248,,PC,8h,NR,,287573,Completed,First,,8h,,,,,,,,
51,4248,,,8h,NR,,332986,Completed,Replay,,8h,,,,,,,,
52,4248,,PC,8h,NR,,11303342,Completed,First,,8h,,,,,,,,
