,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Completion,Main Story,Main+Extras,Speedrun,Completionist,Progress,Personal Notes,100% Speedrun
0,42818,BL4,PC,1h 25m,90%,,11524404,Completed,Replay,"April 22, 2020",1h 25m 07s,,,,,,
1,42818,BL4,PC,2h 13m,90%,,11908573,Completed,Replay,"June 04, 2020",2h 13m,4h 36m 08s,,,,,
2,42818,Private,PC,3h,100%,"First run; zero planning. No assist, end after epilogue, file select time; rules from speedrun community.",5743007,Completed,First,"January 26, 2018",3h 12s,18h 51m 50s,1h 23m 42s,,,,
3,42818,,PC,3h 13m,NR,,9421554,Completed,Replay,,3h 13m 18s,,,,,,
4,42818,Tarbolin,PC,3h 15m,100%,,12023366,Completed,Replay,"June 17, 2020",3h 15m,,,,,,
5,42818,,PC,3h 20m,NR,,9194300,Completed,Replay,,3h 20m,,,,,,
6,42818,Everdred,Xbox One,3h 29m,100%,"15/175 strawberries, 469 deaths. In-game time 3:15:03.",7861155,Completed,First,"December 31, 2018",3h 29m,,,,,,
7,42818,,PC,3h 30m,NR,,10757212,Completed,First,,3h 30m,,,,,,
8,42818,phendrifts,Nintendo Switch,3h 30m,100%,,10369938,Completed,Replay,"November 05, 2019",3h 30m,10h,1h 50m,,,,
9,42818,Ayu1127,PC,3h 33m,NR,,10652584,Completed,Replay,"December 25, 2019",3h 33m 44s,25h 43m 54s,,31h 47m 23s,,,
10,42818,,Nintendo Switch,3h 35m,NR,,10887299,Completed,First,,3h 35m 53s,,,,,,
11,42818,gapposai,PC,3h 40m,90%,,5924265,Completed,First,"March 03, 2018",3h 40m,,,,,,
12,42818,colimar788,Nintendo Switch,3h 40m,NR,,8491752,Completed,Replay,"March 19, 2019",3h 40m 22s,,,,,,
13,42818,,PC,3h 44m,NR,,6770641,Completed,First,,3h 44m 32s,,,,,,
14,42818,Private,Nintendo Switch,3h 48m,NR,,11161324,Completed,First,"March 15, 2020",3h 48m,,,,,,
15,42818,VonDozier,PC,3h 52m,70%,,5752192,Completed,First,"February 01, 2018",3h 52m,,,,,,
16,42818,Linkelda,Xbox One,3h 53m,100%,Played on assist mode,8309071,Completed,First,,3h 53m,,,,,,
17,42818,,PC,3h 55m,NR,,10833924,Completed,First,,3h 55m 52s,,,,,,
18,42818,,Nintendo Switch,3h 59m,NR,,5798243,Completed,Replay,,3h 59m 37s,,,,,,
19,42818,Gerby,PC,4h,70%,,7882035,Completed,First,"January 14, 2019",4h,,,,,,
20,42818,LaViel,PC,4h,NR,,5743427,Completed,First,"January 29, 2018",4h,,,,,,
21,42818,MCSorry,PC,4h,NR,Still unlocking the extra content,8274897,Playing Completed,First,"February 16, 2019",4h,17h,,,17h /,,
22,42818,Nvidius,Nintendo Switch,4h,NR,,11313366,Completed,First,"January 30, 2018",4h,,,,,,
23,42818,ShadowDragon013,Nintendo Switch,4h,100%,Played with Assist Mode,9516394,Completed,First,"October 05, 2019",4h,,,,,,
24,42818,Private,PC,4h,NR,,11024892,Playing Completed,Replay,"January 02, 2020",4h,9h,,,80h /,,
25,42818,skm742,PC,4h,NR,,5776085,Completed,First,"February 05, 2018",4h,,,,,,
26,42818,lilredkoopa,Nintendo Switch,4h 05m,NR,,7660905,Completed,First,"December 24, 2019",4h 05m 49s,,,,,,
27,42818,Yekii,Nintendo Switch,4h 07m,90%,,11784105,Replay Completed,Replay,"May 19, 2020",4h 07m 29s,,,,,,
28,42818,AidanAK47,PC,4h 11m,90%,,6452732,Completed,First,"July 01, 2018",4h 11m 16s,,,,,,
29,42818,,PC,4h 13m,NR,,7234837,Completed,First,,4h 13m 17s,,,,,,
30,42818,Tokora,Nintendo Switch,4h 20m,NR,,6963733,Completed,Replay,"September 03, 2018",4h 20m,,,,,,
31,42818,aloninhooo,PC,4h 21m,100%,,11046860,Replay Completed,Replay,"February 15, 2020",4h 21m 04s,,1h 29m 36s,,,,
32,42818,,Xbox One,4h 22m,NR,,8023371,Completed,First,,4h 22m,,,,,,
33,42818,SpeedyAj3121,Nintendo Switch,4h 27m,60%,"77 Strawberries, 845 Deaths",5732101,Completed,First,,4h 27m 23s,,,,,,
34,42818,Zednek,PC,4h 28m,90%,,9499764,Completed,First,"September 11, 2019",4h 28m 31s,7h 59m 27s,,,,,
35,42818,Manax_MX,Nintendo Switch,4h 30m,NR,,10816060,Completed,First,"December 21, 2020",4h 30m,,,,,,
36,42818,sapphirone,PC,4h 30m,NR,,5770229,Completed,First,"February 04, 2018",4h 30m,,,,,,
37,42818,,PC,4h 30m,NR,,6607201,Completed,First,,4h 30m 01s,,,,,,
38,42818,aureliena7613,PC,4h 30m,100%,,6221413,Completed,First,"May 18, 2018",4h 30m 49s,,,,,,
39,42818,Kloautomat,PC,4h 32m,NR,,10275417,Completed,First,"October 20, 2019",4h 32m,,,,,,
40,42818,Private,Xbox One,4h 34m,NR,,7902668,Backlog Completed,First,"June 11, 2020",4h 34m 18s,,,,4h 34m 18s /,,
41,42818,Private,Nintendo Switch,4h 35m,70%,"732 deaths. 29 strawberries, after chapter 1/2 didn't care to collect them.",11520995,Completed,First,"April 21, 2020",4h 35m 49s,,,,,,
42,42818,dragonh89,PC,4h 37m,100%,,10722248,Completed,First,"January 05, 2020",4h 37m,,,,,,
43,42818,colimar788,Nintendo Switch,4h 39m,100%,"All regular Strawberries, all hearts, one golden strawberry for kicks. 5125 deaths.",5805439,Completed,First,"February 07, 2018",4h 39m 15s,21h 23s,,,,,
44,42818,SuperAgentPenguin,Nintendo Switch,4h 43m,NR,,11126400,Completed,First,"September 16, 2018",4h 43m 26s,,,,,,
45,42818,,PC,4h 49m,NR,"This time was given by game, not sure if it recorded me reading cutscenes",6835055,Completed,First,,4h 49m 59s,,,,,,
46,42818,,PC,4h 50m,NR,,9485248,Completed,First,,4h 50m,,,,,,
47,42818,JohnWordsworth,PC,4h 51m,NR,Grabbed about 30 Strawberries along the way.,9146589,Completed,First,"July 13, 2019",4h 51m 53s,,,,,,
48,42818,,PC,4h 52m,NR,,8860397,Completed,First,,4h 52m 33s,,,,,,
49,42818,KingMus,PC,4h 54m,NR,,6421094,Completed,First,"June 16, 2018",4h 54m 43s,,,,,,
50,42818,,PC,4h 55m,NR,,10684296,Completed,First,,4h 55m,,,,,,
