,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Completion,Main Story,Main+Extras,Completionist,Speedrun,Personal Notes,Progress,Co-Op,Vs.,Retired Notes,100% Speedrun
0,42833,Bouland,Nintendo Switch,3h 40m,NR,includes all cinematics,5972403,Completed,Replay,"March 12, 2018",3h 40m,,,,,,,,,
1,42833,Ninpalk,Nintendo Switch,4h,NR,"Lots of coin grinding, will be faster if luigi's balloon world is used.",9294884,Completed,First,"August 02, 2019",4h,40h,60h,1h 20m 40s,"I didn't look anything up in my 100% playthrough, so finding all the moons took a while.",,,,,
2,42833,,Nintendo Switch,4h 08m,NR,,11876448,Completed,Replay,,4h 08m 41s,,,,,,,,,
3,42833,,Nintendo Switch,5h,NR,,5395983,Completed,First,,5h,,,,,,,,,
4,42833,,Nintendo Switch,5h,NR,,11548941,Completed,First,,5h,,,,,,,,,
5,42833,NickTheConsolist,Nintendo Switch,5h,NR,Absolutely amazing!,5238399,Completed,First,"October 28, 2017",5h,12h,,,,,,,,
6,42833,StanleyKoteks,Nintendo Switch,5h,90%,,8437971,Completed,First,"March 09, 2019",5h,,,,,,,,,
7,42833,Private,Nintendo Switch,5h,NR,,8934839,Completed,First,"June 11, 2019",5h,,,,,,,,,
8,42833,Private,Nintendo Switch,5h,NR,,6328296,Completed,First,,5h,,,,,,,,,
9,42833,sfamicom,Nintendo Switch,5h,NR,,10522846,Completed,First,"December 02, 2019",5h,,,,,,,,,
10,42833,ShadowSect,Nintendo Switch,5h 11m,NR,Finished Moon Kingdom. Ignored extra moons unless necessary to continue further. Main story only.,6274885,Completed,First,"June 08, 2018",5h 11m 48s,,,,,,,,,
11,42833,Doomes,Nintendo Switch,5h 17m,80%,135 Power Moons,5258066,Completed,First,"November 02, 2017",5h 17m,,,,,,,,,
12,42833,BloodyJessy,Nintendo Switch,5h 20m,100%,,8356998,Completed,First,"February 25, 2019",5h 20m,25h,70h,,,,,,,
13,42833,Private,Nintendo Switch,5h 30m,100%,Minimalist run,6211689,Completed,Replay,"May 06, 2018",5h 30m,,,,,,,,,
14,42833,Washa,Nintendo Switch,5h 36m,90%,Yet the actual 100% with all the moons and outfits is a genuinely beefy post-game which makes up most of the playtime.,10621893,Completed,First,"January 28, 2018",5h 36m 48s,13h 20m 54s,162h 57m 25s,,,,,,,
15,42833,,Nintendo Switch,5h 49m,NR,,11836530,Completed,First,,5h 49m,19h,112h,2h 13m 12s,,,,,,
16,42833,Octobles,Nintendo Switch,5h 54m,100%,,10935804,Completed,Replay,2019,5h 54m,,,,,,,,,
17,42833,,Nintendo Switch,6h,NR,,8781270,Completed,First,,6h,,,,,,,,,
18,42833,CdrSparkz,Nintendo Switch,6h,70%,,11748989,Completed,First,"May 15, 2020",6h,,,,,,,,,
19,42833,DrunkenYoYo,Nintendo Switch,6h,90%,,5385695,Completed,First,"November 05, 2017",6h,,,,,,,,,
20,42833,Pangin,Nintendo Switch,6h,70%,,6400382,Completed,First,"June 13, 2018",6h,23h,,,,,,,,
21,42833,SmokedTowers,Nintendo Switch,6h,80%,,6454989,Completed,First,"June 23, 2018",6h,,,,,,,,,
22,42833,TJ_Demon,Nintendo Switch,6h,100%,,10537761,Completed,First,"December 04, 2019",6h,,,,,,,,,
23,42833,bonay53,Nintendo Switch,6h,NR,,10980077,Completed,First,"February 12, 2020",6h,,,,,,,,,
24,42833,kneegaz,Nintendo Switch,6h,NR,,10915990,Completed,First,"January 30, 2020",6h,,,,,,,,,
