,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Completion,Main Story,Personal Notes,Main+Extras,Completionist,Progress,Co-Op
0,43056,doh60,PC,12h 18m,100%,,8883113,Completed,Replay,"June 02, 2019",12h 18m,Done on legendary mode.,,,,
1,43056,noviceforever,PC,13h 21m,NR,,11279826,Completed,First,"March 27, 2020",13h 21m 22s,,,,,
2,43056,,PlayStation 4,17h 10m,NR,,10691228,Completed,First,,17h 10m,,,,,
3,43056,slickn4,PlayStation 4,18h 57m,80%,in game time,8923740,Completed,Replay,"June 10, 2019",18h 57m,,,,,
4,43056,Roberto2310,PlayStation 4,19h 33m,100%,¥1.5 billion earned,7645940,Completed,First,"December 13, 2018",19h 33m,,,,,
5,43056,,PC,20h,NR,,11668084,Completed,First,,20h,,,,,
6,43056,CyDi,PC,20h,100%,,8357221,Completed,First,"February 25, 2019",20h,,,,,
7,43056,NeuVox,PlayStation 4,20h,80%,,5987131,Completed,First,"January 10, 2018",20h,,60h,,,
8,43056,R_Masamune,PlayStation 4,20h,100%,,8649025,Completed,First,November 2018,20h,,,,,
9,43056,ThatCristianGuy,PC,20h,100%,,10260206,Completed,First,,20h,,,,,
10,43056,biggeoffrey,PC,20h,NR,,10805560,Completed,First,"January 13, 2020",20h,,,,,
11,43056,foxman142,PC,20h,NR,,9188174,Completed,First,"July 15, 2019",20h,,,,,
12,43056,Nobody134,PC,20h 30m,NR,100% + Replay of Legend difficulty for all the achivements,8476752,Completed,First,"March 17, 2019",20h 30m,,85h 14m,163h 14m 23s,,
13,43056,Hinkelvinkel,PlayStation 4,20h 35m,80%,,5547965,Completed,First,"February 09, 2018",20h 35m,,,,,
14,43056,Everdred,Xbox One,20h 45m,90%,,4206199,Completed,First,"April 28, 2020",20h 45m 50s,,,,,
15,43056,SilveryBeing,PC,20h 48m,NR,,11121315,Completed,First,"April 12, 2020",20h 48m,,140h 57m,213h 30m,,
16,43056,SirMorokei,PC,21h 01m,90%,,10777133,Completed,First,"January 08, 2020",21h 01m,,,,,
17,43056,Akitrotro,PC,21h 10m,NR,,9236440,Completed,First,"July 26, 2019",21h 10m,,,,,
18,43056,typ12,PC,21h 16m,NR,,11656752,Completed,First,"May 05, 2020",21h 16m,,,,,
19,43056,,PlayStation 4,21h 31m,NR,,6463311,Completed,First,,21h 31m 12s,,,,,
20,43056,,PlayStation 4,22h,NR,,8537948,Completed,First,,22h,,,,,
21,43056,ArturGG,PlayStation 4,22h,NR,,10861749,Completed,First,"January 22, 2020",22h,,,,,
22,43056,LzyP4nd4,PC,22h,NR,,8273517,Completed,First,"February 16, 2019",22h,,,,,
23,43056,guachibo,PlayStation 4,22h,NR,Till a 59% completion business finished and 55 substories,4380833,Completed,First,"May 03, 2017",22h,,74h 59m,,,
24,43056,mitherx,PC,22h,NR,,10546040,Completed,First,"December 06, 2019",22h,,,,,
25,43056,,PlayStation 4,22h 08m,NR,,11428763,Completed,First,,22h 08m,,,,,
26,43056,minyase,PC,22h 11m,80%,,7944637,Completed,First,"January 04, 2019",22h 11m,,,,,
27,43056,tobesplays,PC,23h,NR,,11537178,Completed,First,,23h,,,121h,,
28,43056,chadilak,PlayStation 4,23h 20m,100%,,5023947,Completed,First,"September 14, 2017",23h 20m,,,,,
29,43056,KyrieIvi14,PC,23h 45m,80%,,11698429,Completed,First,"May 02, 2020",23h 45m,,,,,
30,43056,,PC,24h,NR,all combat style kiryu + majima,11707456,Completed,First,,24h,,,,,
31,43056,Ataricorn,PC,24h,90%,,8396890,Completed,First,"March 03, 2019",24h,,58h,,,
32,43056,Cylanes,PlayStation 4,24h,NR,,7111297,Playing Completed,First,"October 27, 2018",24h,,,,,
33,43056,legendxmyth,PlayStation 4,24h,NR,,4057734,Completed,First,"February 11, 2017",24h,,,,,
34,43056,snappums,PC,24h,NR,13.9%,9160129,Completed,First,"August 12, 2019",24h,,,,,
35,43056,rakeshra96,PlayStation 4,24h 23m,NR,,10510583,Completed,First,"December 14, 2019",24h 23m,,,,,
36,43056,HermanoFe87,PlayStation 4,24h 25m,80%,,4794747,Completed,First,"July 19, 2017",24h 25m 06s,,,,,
37,43056,theplump,PlayStation 4,24h 26m,100%,,3965224,Completed,First,"February 06, 2017",24h 26m,,,,,
38,43056,lqd5,PlayStation 4,24h 30m,NR,,4083373,Completed,First,"February 17, 2017",24h 30m,,,,,
39,43056,Private,PlayStation 4,24h 35m,80%,,5097285,Completed,First,"September 17, 2017",24h 35m,,,,,
40,43056,,PlayStation 4,25h,NR,,4215030,Completed,First,,25h,,55h,60h,,
41,43056,,PlayStation 4,25h,NR,,5485634,Completed,First,,25h,,,,,
42,43056,,PC,25h,NR,,11719014,Completed,First,,25h,,80h,150h,,
43,43056,CdrSparkz,PC,25h,NR,,11923622,Completed,First,"June 07, 2020",25h,,,,,
