,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Main Story,Completion,Progress,Completionist,Main+Extras,Personal Notes,Speedrun
0,44852,,PlayStation 4,7h 45m,NR,skipped cinematics new game+ ultimate difficulty,10348237,Completed,Replay,7h 45m,,,,,,
1,44852,JoshuaTheStarr,PlayStation 4,7h 54m,90%,,7356986,Completed,Replay,7h 54m 14s,"November 16, 2018",,,,,
2,44852,Sabin5995,PlayStation 4,8h,NR,,10180359,Completed,Replay,8h,"October 03, 2019",,,,,
3,44852,YoungHades,PlayStation 4,8h,100%,NEW GAME+ and ULTIMATE,11782775,Completed,Replay,8h,"May 11, 2020",,,,,
4,44852,Private,PlayStation 4,8h,100%,,7707102,Completed,Replay,8h,"November 12, 2018",,,,,
5,44852,Fortzon,PlayStation 4,8h 08m,NR,"NG+ on Ultimate difficulty, only main story quests completed",10528337,Replay Completed,Replay,8h 08m,"December 03, 2019",8h 08m /,,,,
6,44852,,PlayStation 4,8h 30m,NR,I didn't really play any side quests,8958944,Completed,First,8h 30m,,,,,,
7,44852,Private,PlayStation 4,8h 41m,NR,,8004684,Custom List Completed,Replay,8h 41m 10s,"January 14, 2019",8h 41m 10s /,35h,,,
8,44852,,PlayStation 4,9h,NR,,11848239,Completed,Replay,9h,,,,,,
9,44852,MarcosBellido,PlayStation 4,9h,NR,,11451574,Completed,First,9h,"April 14, 2020",,,,,
10,44852,,PlayStation 4,9h 02m,NR,,7229294,Completed,First,9h 02m,,,,15h 08m 06s,,
11,44852,,PlayStation 4,9h 15m,NR,,8932424,Completed,Replay,9h 15m,,,,,,
12,44852,vishwas,PlayStation 4,9h 22m,NR,,7157867,Completed,First,9h 22m 27s,"October 01, 2018",,,,,
13,44852,TheDanx,PlayStation 4,9h 23m,NR,New Game+ on Spectacular. Main story and Tombstone missions as well as two other side missions.,11402902,Completed,Replay,9h 23m 10s,"April 12, 2020",,,,,
14,44852,,PlayStation 4,9h 30m,NR,,7377990,Completed,First,9h 30m,,,25h,13h,,
15,44852,,PlayStation 4,9h 40m,NR,,8806050,Completed,Replay,9h 40m,,,,,,
16,44852,DreamEaglr,PlayStation 4,10h,NR,,7011923,Completed,First,10h,"September 10, 2018",,30h,15h,,
17,44852,HexGinnkgo,PlayStation 4,10h,90%,,7258648,Completed,First,10h,"October 01, 2018",,20h 44m 59s,14h,,
18,44852,HitmanSB07,PlayStation 4,10h,90%,Platinum,7093100,Completed,First,10h,"September 19, 2018",,20h,15h,,
19,44852,LocoCogo917,PlayStation 4,10h,NR,New Game+ Max Character,8521350,Replay Completed,Replay,10h,"March 18, 2019",,,,,
20,44852,Parillan,PlayStation 4,10h,NR,,8571233,Completed,First,10h,"April 07, 2019",,21h 45m,15h,,
21,44852,Shuffled,PlayStation 4,10h,NR,,7128870,Completed,First,10h,"September 25, 2018",,18h,14h,,
22,44852,rschaer,PlayStation 4,10h,NR,,7057152,Completed,First,10h,"September 15, 2018",,,30h,,
23,44852,Hallgier,PlayStation 4,10h 05m,90%,,7831351,Completed,Replay,10h 05m,"December 31, 2018",,,,,
24,44852,,PlayStation 4,10h 12m,NR,,7094350,Completed,First,10h 12m 11s,,,29h 11m 02s,12h 11m 03s,,
25,44852,LewisTheScotty,PlayStation 4,10h 30m,90%,,10934353,Playing Replay Completed,Replay,10h 30m,"February 03, 2020",,21h,15h,Game never gets old such a masterpiece.,
26,44852,,PlayStation 4,10h 31m,NR,"played on new game + mode, ignoring all side and optional quests",7533313,Completed,Replay,10h 31m 20s,,,,,,
27,44852,,PlayStation 4,10h 34m,NR,Struggled through stealth sections,9524740,Completed,First,10h 34m,,,,,,
28,44852,,PlayStation 4,10h 36m,NR,,7157173,Completed,Replay,10h 36m,,,,,,
29,44852,Doomes,PlayStation 4,10h 58m,80%,,8668927,Completed,First,10h 58m,"April 24, 2019",,,,,
30,44852,Brownbearjeww,PlayStation 4,10h 59m,80%,,8465022,Completed,First,10h 59m 47s,"March 17, 2019",,,,,
31,44852,SnakeBitten,PlayStation 4,11h,90%,Estimated time,7604770,Completed,First,11h,"December 02, 2018",,,,,
32,44852,CyDi,PlayStation 4,11h 05m,40%,,7058473,Completed,First,11h 05m,"September 15, 2018",,,,,
33,44852,xModerate,PlayStation 4,11h 10m,90%,,7028676,Completed,First,11h 10m 11s,"September 15, 2018",,,,,
