,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Completion,Main Story,Progress,Vs.,Main+Extras,Completionist,Co-Op,Retired Notes,Personal Notes
0,46121,flutie,PC,4h,NR,,11083676,Completed,First,"March 02, 2020",4h,,,,,,,
1,46121,,PC,4h 10m,NR,,5511148,Completed,First,,4h 10m,,,,,,,
2,46121,Gomidas2007,Xbox One,4h 20m,NR,,5401489,Custom List Completed,First,"December 02, 2017",4h 20m,7h 01m 58s /,2h 40m 21s,,,,,
3,46121,Wordingofspay,PC,4h 20m,80%,,5397137,Completed,First,"November 25, 2017",4h 20m,,,,,,,
4,46121,andrewl3779,PlayStation 4,4h 21m,70%,Recruit because I have the game for only a day so I gotta COMPLETE IT-,5481945,Completed,First,"December 18, 2017",4h 21m 50s,,,,,,,
5,46121,SkyBomber24,PC,4h 27m,80%,,5355723,Completed,First,"February 22, 2018",4h 27m 17s,,,,,,,
6,46121,VirarNeeda,PC,4h 27m,NR,First playthrough. Recruit difficulty.,5297219,Completed,First,"November 10, 2017",4h 27m 55s,,,,,,,
7,46121,memorized,PlayStation 4,4h 28m,NR,,5339940,Completed,First,"November 16, 2017",4h 28m,,,5h 40m,,,,
8,46121,Bahmut,PC,4h 30m,NR,,11631885,Completed,First,"May 03, 2020",4h 30m,,,,,,,
9,46121,,PlayStation 4,4h 31m,NR,Played the whole thing in one night,9366391,Completed,Replay,,4h 31m 43s,,,,,,,
10,46121,CyDi,PC,4h 48m,70%,,5312308,Completed,First,"November 12, 2017",4h 48m,,,,,,,
11,46121,kingdom,PC,4h 50m,NR,,10672951,Completed,First,"December 28, 2019",4h 50m,,,,,,,
12,46121,NukeYourNanny,PlayStation 4,4h 51m,NR,,11884565,Completed,First,"June 03, 2020",4h 51m 18s,,,,,,,
13,46121,Sparks2021,PlayStation 4,4h 52m,NR,,8962780,Completed,Replay,"June 15, 2019",4h 52m,,,,,,,
14,46121,,PC,5h,NR,,5268630,Completed,First,,5h,,,,,,,
15,46121,,PC,5h,NR,,5268666,Completed,First,,5h,,,,,,,
16,46121,,PC,5h,NR,,7468442,Completed,First,,5h,,,,,,,
17,46121,Chipzilla,PC,5h,NR,,10299021,Completed,First,"October 24, 2019",5h,,,,,,,
18,46121,Delfar,PC,5h,70%,,10424931,Completed,First,"November 13, 2019",5h,,,,,,,
19,46121,Gagerzzzz,PC,5h,60%,,5990133,Completed,First,"March 15, 2018",5h,,,,,,,
20,46121,MrFirebugJr,PlayStation 4,5h,70%,,5929716,Completed,First,"December 25, 2017",5h,,,,,,,
21,46121,Osama19K,PC,5h,NR,,9479421,Completed,First,"August 26, 2019",5h,,,,,,,
22,46121,all2surreal,PC,5h,100%,,4572384,Completed,First,"March 07, 2018",5h,,,,,,,
23,46121,avidrunner,PC,5h,NR,,7410373,Completed,First,,5h,,,,,,,
24,46121,cottboi,PlayStation 4,5h,60%,,11078724,Completed,First,,5h,,,,,,,
25,46121,crug1,PC,5h,NR,,10198823,Completed,First,"October 07, 2019",5h,,,,,,,
26,46121,Private,PC,5h,60%,,5267246,Completed,First,"November 04, 2017",5h,,,,,,,
27,46121,kianweic,PC,5h,NR,,6458155,Completed,First,"June 23, 2018",5h,,,,,,,
28,46121,master94ga,PC,5h,NR,,10351806,Completed,First,"November 06, 2019",5h,,,,,,,
29,46121,underneon,PC,5h,NR,,11541587,Completed,First,"October 19, 2019",5h,,,,,,,
30,46121,Private,PlayStation 4,5h 03m,50%,,11856207,Completed,First,"May 29, 2020",5h 03m 09s,,,,,,,
31,46121,PlushWraith,PC,5h 04m,NR,Recruit difficulty.,7401494,Completed,First,"October 29, 2019",5h 04m,,,,,,,
32,46121,,PlayStation 4,5h 06m,NR,Rushes,5270060,Completed,First,,5h 06m,,,,,,,
33,46121,ApexImperium,PC,5h 08m,NR,,10228354,Completed,First,"October 11, 2019",5h 08m,,,,,,,
34,46121,Private,PC,5h 12m,60%,,5264132,Completed,First,"November 13, 2017",5h 12m,,,,,,,
35,46121,TheRAVAGE,PC,5h 15m,NR,,10624906,Completed,First,,5h 15m,,,,,,,
36,46121,,PC,5h 15m,NR,,5495080,Completed,First,,5h 15m 36s,,,,,,,
37,46121,PiteroS,PC,5h 18m,NR,,11038667,Completed,First,"February 23, 2020",5h 18m,,,,,,,
38,46121,haln,PC,5h 18m,NR,"On Normal difficulty, didn't try to search for any momentos",11187409,Completed,First,"March 18, 2020",5h 18m,,,,,,,
39,46121,,PC,5h 20m,NR,,5337424,Completed,First,,5h 20m,,,,,,,
40,46121,Private,PC,5h 20m,70%,,10219063,Completed,First,"December 30, 2019",5h 20m,,,,,,,
41,46121,KingM,PlayStation 4,5h 22m,80%,,5283601,Completed,First,"November 10, 2017",5h 22m 23s,,,,,,,
42,46121,,PlayStation 4,5h 22m,NR,100%,6197659,Completed,First,,5h 22m 41s,,,6h 12m,11h 55m 21s,,,
