,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Completion,Main Story,Completionist,Main+Extras,Progress,Personal Notes,Retired Notes,Speedrun
0,46453,CyDi,Nintendo Switch,10h,100%,Normal/Casual | 3rd playthrough,9316953,Completed,Replay,"August 07, 2019",10h,,,,,,
1,46453,Galaron_Shuri,Nintendo Switch,10h 30m,100%,,11472712,Completed,Replay,,10h 30m,,,,,,
2,46453,Samansu,Nintendo Switch,12h,100%,Cindered Shadows DLC,10994490,Completed,First,"February 22, 2020",12h,,,,,,
3,46453,,Nintendo Switch,16h 56m,NR,Rushed,9343404,Completed,First,,16h 56m,,,,,,
4,46453,Galaron_Shuri,Nintendo Switch,17h 16m,100%,,11472684,Completed,Replay,,17h 16m,,,,,,
5,46453,slickochet,Nintendo Switch,18h 28m,NR,Normal difficulty. Casual mode. Blue house.,9213041,Completed,First,"August 01, 2019",18h 28m,,,,,,
6,46453,dagrum,Nintendo Switch,20h,90%,,9367280,Completed,Replay,"August 15, 2019",20h,130h,,,,,
7,46453,kawwumbo,Nintendo Switch,22h 14m,NR,Church of Seiros - Hard,11540672,Completed,First,"October 23, 2019",22h 14m,,,,,,
8,46453,Ninjaguy5700,Nintendo Switch,22h 34m,NR,Crimson Flower route beaten on Normal/Casual.,11357396,Completed,First,"March 30, 2020",22h 34m,,,,,,
9,46453,MrObvious,Nintendo Switch,22h 50m,NR,Golden Deer,9489111,Completed,First,"August 31, 2019",22h 50m,,,,,,
10,46453,,Nintendo Switch,23h,NR,,9245135,Completed,First,,23h,,,,,,
11,46453,Aliseyun,Nintendo Switch,23h,NR,,9279703,Completed,First,"July 28, 2019",23h,,,,,,
12,46453,kiririril,Nintendo Switch,23h,NR,,9293609,Completed,First,"August 02, 2019",23h,,35h,,,,
13,46453,,Nintendo Switch,23h 07m,NR,,9308800,Completed,First,,23h 07m,,,,,,
14,46453,,Nintendo Switch,24h,NR,,10830183,Completed,First,,24h,,,,,,
15,46453,Genowar,Nintendo Switch,24h 09m,90%,,9309908,Completed,First,"August 05, 2019",24h 09m,,,,,,
16,46453,,Nintendo Switch,24h 16m,NR,,9247715,Completed,First,,24h 16m,,,,,,
17,46453,,Nintendo Switch,24h 16m,NR,Rushed through Crimson Flower my first playthrough,11987979,Completed,First,,24h 16m 17s,,,,,,
18,46453,,Nintendo Switch,24h 38m,NR,,11841553,Completed,First,,24h 38m,,,,,,
19,46453,AkiTsk,Nintendo Switch,24h 43m,100%,Church's route,10694262,Completed,First,,24h 43m 32s,,,,,,
20,46453,,Nintendo Switch,25h,NR,,9249747,Completed,First,,25h,,,,,,
21,46453,,Nintendo Switch,25h,NR,,9287096,Completed,First,,25h,,40h,,,,
22,46453,Alpharad,Nintendo Switch,25h,70%,,11516675,Completed,First,,25h,,70h,,,,
23,46453,HotChocolatee69,Nintendo Switch,25h,100%,,9249720,Completed,First,"July 28, 2019",25h,,30h,,,,
24,46453,rlosey13,Nintendo Switch,25h,100%,,10650270,Completed,First,"December 24, 2019",25h,,100h,,,,
25,46453,sepharas,Nintendo Switch,25h,NR,,10303263,Completed,First,"July 30, 2019",25h,,,,,,
26,46453,,Nintendo Switch,25h 10m,NR,,9259329,Completed,First,,25h 10m,,,,,,
27,46453,Kuruwin,Nintendo Switch,25h 38m,NR,,10825811,Completed,First,"January 16, 2020",25h 38m,,,,,,
28,46453,,Nintendo Switch,25h 55m,NR,It is shorter then you think,10910601,Completed,First,,25h 55m 23s,,,,,,
29,46453,adrien914,Nintendo Switch,27h,NR,,9563314,Completed,First,"August 06, 2019",27h,,34h,,,,
30,46453,chadilak,Nintendo Switch,27h 02m,90%,"IGT, Black Eagles, Normal.",10197409,Completed,First,"October 20, 2019",27h 02m,,,,,,
31,46453,,Nintendo Switch,27h 23m,NR,,9422389,Completed,First,,27h 23m,,,,,,
32,46453,Campione,Nintendo Switch,27h 23m,NR,,9308858,Completed,First,"August 05, 2019",27h 23m,,,,,,
33,46453,eliasaj92,Nintendo Switch,27h 45m,80%,,10165226,Completed,First,"March 04, 2020",27h 45m,,,,,,
34,46453,tausiftt5238,Nintendo Switch,27h 50m,80%,Side with Edelgard route.,11207530,Completed,First,"March 21, 2020",27h 50m,,,,,,
35,46453,WeebNugget,Nintendo Switch,28h 16m,NR,,9314798,Completed,First,"August 07, 2019",28h 16m,,,,,,
36,46453,R4Zi3L,Nintendo Switch,28h 20m,NR,"Casual, BE path",9335503,Completed,First,"August 09, 2019",28h 20m,,,,,,
37,46453,,Nintendo Switch,28h 30m,NR,,9345621,Completed,First,,28h 30m,,,,,,
38,46453,DerSemikolon,Nintendo Switch,28h 30m,NR,Skipped many Cutscenes,9379652,Completed,First,"August 17, 2019",28h 30m,,,,,,
39,46453,rsaesha,Nintendo Switch,29h,NR,,10416654,Completed,First,"November 12, 2019",29h,,,,,,
40,46453,Private,Nintendo Switch,29h 46m,100%,Black Eagles,10862013,Completed,First,"January 22, 2020",29h 46m,,,,,,
41,46453,,Nintendo Switch,29h 50m,NR,,9264217,Completed,First,,29h 50m,,35h,,,,
42,46453,,Nintendo Switch,30h,NR,Very good would reccomend,9269045,Completed,First,,30h,,,,,,
43,46453,,Nintendo Switch,30h,NR,,9553586,Completed,First,,30h,,,,,,
44,46453,,Nintendo Switch,30h,NR,,9670079,Completed,First,,30h,,,,,,
45,46453,,Nintendo Switch,30h,NR,,11125768,Completed,First,,30h,,50h,,,,
46,46453,DreamEaglr,Nintendo Switch,30h,NR,,9280012,Completed,First,"August 01, 2019",30h,150h,50h,,,,
47,46453,dzhang101,Nintendo Switch,30h,NR,,10761893,Completed,First,"March 14, 2020",30h,,,,,,
48,46453,Private,Nintendo Switch,30h,NR,,11253523,Completed,First,"March 26, 2020",30h,,40h,,,,
49,46453,tdeverde,Nintendo Switch,30h,90%,,10627960,Completed,First,"October 21, 2019",30h,,,,,,
50,46453,kawwumbo,Nintendo Switch,30h 02m,NR,Black Eagle - Hard,11540663,Completed,First,"August 23, 2019",30h 02m,,,,,,
51,46453,Nire,Nintendo Switch,30h 05m,NR,,10586739,Completed,First,"December 31, 2019",30h 05m,,,,,,
52,46453,,Nintendo Switch,30h 07m,NR,,9338625,Completed,First,,30h 07m,,,,,,
53,46453,,Nintendo Switch,30h 11m,NR,,9326310,Completed,First,,30h 11m,,,,,,
54,46453,Elvenstein,Nintendo Switch,30h 15m,NR,Crimson Flower (Edelgard) Route. Normal/Classic.,9370993,Completed,First,"August 15, 2019",30h 15m,,,,,,
55,46453,,Nintendo Switch,30h 19m,NR,,9670026,Completed,First,,30h 19m,,,,,,
56,46453,,Nintendo Switch,30h 20m,NR,,9670061,Completed,First,,30h 20m 17s,,,,,,
57,46453,boats4goats,Nintendo Switch,30h 24m,NR,"Normal+Classic Black Eagles-""Secret"" route",9277834,Completed,First,"July 31, 2019",30h 24m,,,,,,
58,46453,,Nintendo Switch,30h 28m,NR,Didn’t realize you could buy bait or restore weapons first playthrough.,9330156,Completed,First,,30h 28m 39s,,,,,,
59,46453,kawwumbo,Nintendo Switch,30h 29m,NR,Golden Deer - Normal,11540659,Completed,First,"July 23, 2019",30h 29m,,,,,,
60,46453,,Nintendo Switch,30h 35m,NR,,9248627,Completed,First,,30h 35m,,,,,,
61,46453,,Nintendo Switch,31h,NR,,9533875,Completed,First,,31h,,,,,,
62,46453,Purdy8TV,Nintendo Switch,31h,100%,,10432586,Completed,First,"November 16, 2019",31h,,,,,,
63,46453,Weepboop,Nintendo Switch,31h 10m,100%,,10939138,Completed,First,"February 04, 2020",31h 10m,,,,,,
64,46453,,Nintendo Switch,31h 20m,NR,Dimitri Road,9247540,Completed,First,,31h 20m 18s,,,,,,
65,46453,Benku,Nintendo Switch,31h 21m,NR,,9544162,Completed,First,"September 06, 2019",31h 21m,,,,,,
66,46453,Private,Nintendo Switch,31h 24m,100%,,11398939,Completed,First,"July 27, 2019",31h 24m,,,,,,
67,46453,,Nintendo Switch,32h,NR,,10255906,Completed,First,,32h,,,,,,
68,46453,clue,Nintendo Switch,32h,NR,,10228376,Completed,First,"October 09, 2019",32h,,,,,,
69,46453,paleselan,Nintendo Switch,32h,NR,,9683589,Completed,First,"September 20, 2019",32h,,,,,,
70,46453,Captrico,Nintendo Switch,32h 08m,100%,,9321789,Completed,First,"July 31, 2019",32h 08m,,,,,,
71,46453,ClimbX,Nintendo Switch,32h 21m,NR,,9396427,Completed,First,"August 19, 2019",32h 21m,,,,,,
72,46453,xtenipurix,Nintendo Switch,32h 30m,NR,,10601566,Completed,Replay,"December 16, 2019",32h 30m,255h,34h 58s,,,,
73,46453,SleepyGoron,Nintendo Switch,32h 50m,NR,,10314857,Completed,First,,32h 50m,,,,,,
74,46453,,Nintendo Switch,32h 54m,NR,,9264243,Completed,First,,32h 54m,,,,,,
75,46453,,Nintendo Switch,33h,NR,,9325068,Completed,First,,33h,,,,,,
76,46453,cmthunbe,Nintendo Switch,33h,100%,,11611134,Completed,First,"April 30, 2020",33h,,,,,,
77,46453,Private,Nintendo Switch,33h 06m,90%,,11493636,Completed,First,"April 19, 2020",33h 06m,,,,,,
78,46453,Commander_Universe,Nintendo Switch,33h 24m,90%,Church Route,9326294,Completed,First,"August 07, 2019",33h 24m 57s,,,,,,
79,46453,,Nintendo Switch,33h 30m,NR,,9295913,Completed,First,,33h 30m 30s,160h 20m 20s,48h 22m 50s,,,,
80,46453,,Nintendo Switch,33h 47m,NR,"I didn’t do any speedruns, but it took me only ~33 hours to complete the main story",9374090,Completed,First,,33h 47m,,,,,,
81,46453,Kanon,Nintendo Switch,33h 48m,NR,Church of Seiros Route,9360293,Completed,First,,33h 48m,,,,,,
82,46453,TipsDudas,Nintendo Switch,34h,NR,,10851337,Completed,First,"January 20, 2020",34h,,,,,,
83,46453,,Nintendo Switch,34h 49m,NR,Black Eagles,10941237,Completed,First,,34h 49m,,,,,,
84,46453,jat243,Nintendo Switch,34h 51m,NR,,10399678,Completed,First,"November 12, 2019",34h 51m,,,,,,
85,46453,,Nintendo Switch,34h 55m,NR,,11636481,Completed,First,,34h 55m 22s,,,,,,
86,46453,,Nintendo Switch,34h 55m,NR,,11636482,Completed,First,,34h 55m 22s,,,,,,
87,46453,,Nintendo Switch,35h,NR,,9324777,Completed,Replay,,35h,130h,40h,,,,
88,46453,,Nintendo Switch,35h,NR,,9365582,Completed,First,,35h,,40h,,,,
89,46453,,Nintendo Switch,35h,NR,Time to beat all 4 story lines. Probably not a true 100% because I skip some menial tasks in my first and last routes.,9674733,Completed,First,,35h,117h 44m,,,,,
90,46453,,Nintendo Switch,35h,NR,Just an average for the melting pot of times,10275806,Completed,First,,35h,,,,,,
91,46453,ChromaWolf,Nintendo Switch,35h,NR,,9486821,Completed,First,,35h,,,,,,
92,46453,ClausenDJ,Nintendo Switch,35h,NR,Red Eagles storyline. Did not skip monthly events or support convos. Did skip attack animations/enemy turn animations.,9304331,Completed,First,"August 04, 2019",35h,,,,,,
93,46453,Marthisuy,Nintendo Switch,35h,NR,,9690452,Completed,First,"December 12, 2019",35h,,,,,,
94,46453,Marzanna,Nintendo Switch,35h,NR,,10679031,Replay Completed,Replay,"October 24, 2019",35h,,,,,,
95,46453,Neng,Nintendo Switch,35h,NR,,9506927,Completed,First,"September 01, 2019",35h,,,,,,
96,46453,bocaci,Nintendo Switch,35h,90%,,9235170,Completed,First,"August 04, 2019",35h,,,,,,
97,46453,mrbaggs,Nintendo Switch,35h,NR,,9332391,Completed,First,"August 09, 2019",35h,,,,,,
98,46453,swordclaws,Nintendo Switch,35h,NR,,10294263,Completed,First,"October 23, 2019",35h,,110h 01m,,,,
99,46453,tommysmiley,Nintendo Switch,35h,70%,,11199690,Completed,First,,35h,120h,,,,,
100,46453,vexandstress,Nintendo Switch,35h,NR,Edelgard Route,9654820,Completed,First,"September 15, 2019",35h,,,,,,
101,46453,zawette,Nintendo Switch,35h,NR,,11033406,Completed,First,"February 22, 2020",35h,,,,,,
102,46453,NahTho,Nintendo Switch,35h 04m,NR,,9357289,Completed,First,"August 12, 2019",35h 04m,,,,,,
103,46453,ADIPY,Nintendo Switch,35h 05m,NR,,10157140,Completed,First,"September 28, 2019",35h 05m,,,,,,
104,46453,Private,Nintendo Switch,35h 06m,90%,Edelgard Route,9242817,Completed,First,"July 28, 2019",35h 06m,,,,,,
105,46453,kawwumbo,Nintendo Switch,35h 10m,NR,Blue Lion - Hard,11540667,Completed,First,"August 23, 2019",35h 10m,,,,,,
106,46453,pichilin,Nintendo Switch,35h 10m,80%,,10855199,Completed,First,"May 02, 2020",35h 10m,,,,,,
107,46453,,Nintendo Switch,35h 20m,NR,,9519791,Completed,First,,35h 20m,,,,,,
108,46453,Doomes,Nintendo Switch,35h 27m,90%,Edelgard story path. Hard/Casual.,9347455,Completed,First,"August 11, 2019",35h 27m,,,,,,
109,46453,caseyt210,Nintendo Switch,35h 29m,80%,,10982482,Completed,First,"April 14, 2020",35h 29m,,,,,,
110,46453,Nekoo77,Nintendo Switch,35h 41m,90%,,10893517,Completed,Replay,"January 26, 2020",35h 41m,,,,,,
111,46453,,Nintendo Switch,36h,NR,,9365858,Completed,First,,36h,,,,,,
112,46453,,Nintendo Switch,36h,NR,,9415449,Completed,First,,36h,152h,,,,,
113,46453,,Nintendo Switch,36h,NR,,10720101,Completed,First,,36h,,,,,,
114,46453,Dorph,Nintendo Switch,36h,NR,,9505901,Completed,First,"August 16, 2019",36h,,,,,,
115,46453,Esoslay,Nintendo Switch,36h,NR,,9301035,Completed,First,"August 03, 2019",36h,,,,,,
116,46453,branden1011,Nintendo Switch,36h,NR,,9264225,Completed,First,"September 23, 2019",36h,,,,,,
117,46453,xtenipurix,Nintendo Switch,36h 20m,NR,,10601564,Completed,Replay,"December 16, 2019",36h 20m,,38h 31m,,,,
118,46453,Robiman26,Nintendo Switch,36h 58m,80%,"Silver Snow route. New Game +, Hard difficulty. Lot of paralogues ignored",10146357,Completed,Replay,"September 26, 2019",36h 58m,,,,,,
119,46453,MmkayKyleMmkay,Nintendo Switch,37h,90%,,10156260,Completed,First,"August 10, 2019",37h,,,,,,
120,46453,Sankis,Nintendo Switch,37h,NR,,9351100,Playing Custom List Completed,First,"August 12, 2019",37h,,,,,,
121,46453,Private,Nintendo Switch,37h,NR,,10937707,Completed,First,"February 04, 2020",37h,,,,,,
122,46453,brandondelvalle,Nintendo Switch,37h,100%,,9287144,Completed,First,"July 29, 2019",37h,115h,,,,,
123,46453,fjcym,Nintendo Switch,37h,NR,,10365645,Completed,First,"December 30, 2019",37h,,,,,,
124,46453,Private,Nintendo Switch,37h,90%,,9349601,Completed,First,"August 11, 2019",37h,,,,,,
125,46453,milchohr,Nintendo Switch,37h 05m,NR,NG+ Azure Moon route,10941970,Completed,Replay,"February 05, 2020",37h 05m,,,,,,
126,46453,Raviteja101,Nintendo Switch,37h 07m,NR,,9383227,Completed,First,"August 07, 2019",37h 07m 23s,,,,,,
127,46453,500kevc,Nintendo Switch,37h 16m,80%,,9100683,Completed,First,"August 06, 2019",37h 16m,,,,,,
128,46453,,Nintendo Switch,37h 40m,NR,,9359134,Completed,First,,37h 40m,,,,,,
129,46453,,Nintendo Switch,37h 48m,NR,,11667800,Completed,Replay,,37h 48m,,,,,,
130,46453,erenmacalino,Nintendo Switch,37h 48m,100%,,10516418,Playing Completed,First,November 2019,37h 48m,,,60h 37m /,,,
131,46453,9dbc9,Nintendo Switch,38h,90%,,10997773,Completed,First,"September 16, 2019",38h,150h,50h,,,,
132,46453,Catastrophology,Nintendo Switch,38h,NR,,9506708,Completed,First,"September 02, 2019",38h,,,,,,
133,46453,Private,Nintendo Switch,38h,100%,,9355312,Completed,First,"August 06, 2019",38h,,,,,,
134,46453,Jobius,Nintendo Switch,38h,90%,"Blue lions house, normal classic.",9239327,Replay Completed,First,"August 11, 2019",38h,,,85h /,,,
135,46453,Nightblade1,Nintendo Switch,38h 08m,NR,Crimson Flower Route,10437460,Completed,First,"December 31, 2019",38h 08m,,,,,,
136,46453,,Nintendo Switch,38h 12m,NR,,11915786,Completed,First,,38h 12m,,,,,,
137,46453,,Nintendo Switch,38h 12m,NR,,12018300,Completed,First,,38h 12m,,,,,,
138,46453,criminalcrib,Nintendo Switch,38h 12m,NR,Black Eagle House,9348912,Completed,First,"August 11, 2019",38h 12m,,,,,,
139,46453,springhh,Nintendo Switch,38h 12m,NR,,10893017,Completed,First,"January 27, 2020",38h 12m,,,,,,
140,46453,Marter,Nintendo Switch,38h 24m,70%,,9299958,Completed,First,"September 02, 2019",38h 24m,,,,,,
141,46453,Zapkaos,Nintendo Switch,38h 43m,90%,,9470113,Completed,First,"November 02, 2019",38h 43m,,,,,,
142,46453,Sacredtenshi,Nintendo Switch,38h 45m,100%,,9691783,Completed,First,"September 21, 2019",38h 45m 50s,170h 55m 12s,70h 12m 55s,,,,
143,46453,avvalentine,Nintendo Switch,38h 46m,NR,,10582485,Custom List 3 Completed,First,"January 12, 2020",38h 46m,,,,,,
144,46453,schiemann,Nintendo Switch,38h 50m,100%,,10601914,Completed,First,"June 06, 2020",38h 50m,,,,Verdant Wind path,,
145,46453,Private,Nintendo Switch,39h,100%,"Normal: Silver Snow, Hard: Azure Moon, 2/4 routes done",9113873,Completed,First,August 2019,39h,,86h,,,,
146,46453,TazGarout,Nintendo Switch,39h,NR,,10513687,Completed,First,"August 16, 2019",39h,,,,,,
147,46453,Valjean,Nintendo Switch,39h 07m,NR,"Normal Classic, Golden Deer",9235645,Completed,First,"July 29, 2019",39h 07m,,,,,,
148,46453,ctg,Nintendo Switch,39h 14m,NR,,10253413,Completed,First,"October 15, 2019",39h 14m,,,,,,
149,46453,,Nintendo Switch,39h 18m,NR,,10935450,Completed,First,,39h 18m,,,,,,
150,46453,,Nintendo Switch,39h 23m,NR,,9278479,Completed,First,,39h 23m 12s,,57h 54m 12s,,,,
151,46453,,Nintendo Switch,39h 51m,NR,,9270239,Completed,First,,39h 51m 45s,,,,,,
152,46453,,Nintendo Switch,40h,NR,,9327334,Completed,First,,40h,,47h,,,,
153,46453,,Nintendo Switch,40h,NR,,9418702,Completed,First,,40h,,,,,,
154,46453,,Nintendo Switch,40h,NR,,9450410,Completed,First,,40h,,63h,,,,
155,46453,,Nintendo Switch,40h,NR,,9450683,Completed,First,,40h,,,,,,
156,46453,,Nintendo Switch,40h,NR,,10227162,Completed,First,,40h,,,,,,
157,46453,,Nintendo Switch,40h,NR,,10278089,Completed,First,,40h,,,,,,
158,46453,,Nintendo Switch,40h,NR,,10739384,Completed,First,,40h,,,,,,
159,46453,,Nintendo Switch,40h,NR,,10941260,Completed,First,,40h,,180h,,,,
160,46453,,Nintendo Switch,40h,NR,,10993073,Completed,First,,40h,,45h,,,,
161,46453,,Nintendo Switch,40h,NR,This would involve playing all three and a half paths (3 complete replays + one branching path),11010497,Completed,First,,40h,220h,70h,,,,
162,46453,,Nintendo Switch,40h,NR,,11475871,Completed,First,,40h,,,,,,
163,46453,AidanIsAChair,Nintendo Switch,40h,90%,,9389218,Completed,First,"August 20, 2019",40h,,,,,,
164,46453,Amphar,Nintendo Switch,40h,80%,,9172270,Completed,First,"August 31, 2019",40h,,,,Crimson flower route,,
165,46453,JohnnyHendrix,Nintendo Switch,40h,NR,,11421493,Completed,First,"April 12, 2020",40h,,47h 38m,,,,
166,46453,KrissJoe,Nintendo Switch,40h,70%,,11788029,Replay Completed,First,"May 19, 2020",40h,,70h,180h /,"Finished Crimson Flowers.
Currently playing Verdant Wind.
I haven't finished this yet since it's really hard to get engaged when the story always seems to go downhill after Part 1.",,
167,46453,Lendax,Nintendo Switch,40h,70%,,9325929,Completed,First,"February 13, 2020",40h,,,,,,
168,46453,ProstUnite,Nintendo Switch,40h,90%,,11435163,Completed,First,"April 13, 2020",40h,,,,,,
169,46453,Sylvaire,Nintendo Switch,40h,NR,,10970986,Completed,First,"February 10, 2020",40h,,,,,,
170,46453,Xtremebob,Nintendo Switch,40h,NR,,10603856,Completed,First,"December 11, 2019",40h,,55h,,,,
171,46453,eyazan,Nintendo Switch,40h,NR,,11389750,Completed,First,"April 08, 2020",40h,140h,80h,,,,
