,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Completion,Main Story,Main+Extras,Completionist,Co-Op,Personal Notes,Vs.,Progress,Retired Notes,Speedrun,100% Speedrun
0,4867,GoodLoserZack,PlayStation 4,55m,NR,,3404461,Completed,First,"September 08, 2016",55m,,,,,,,,,
1,4867,,PlayStation 4,1h,NR,,11468091,Completed,First,,1h,,,,,,,,,
2,4867,,PlayStation 4,1h,NR,,11511078,Completed,First,,1h,2h,2h 30m,,,,,,,
3,4867,Allegro,PlayStation 3,1h,NR,,10949740,Completed,Replay,"February 07, 2020",1h,,,,,,,,,
4,4867,Tarbolin,PC,1h,70%,,11770554,Completed,Replay,"May 18, 2020",1h,,,,,,,,,
5,4867,Private,PlayStation 3,1h,NR,,529869,Completed,First,,1h,,,,,,,,,
6,4867,richard713,PlayStation 4,1h,NR,,4828600,Completed,First,"July 28, 2017",1h,,,,,,,,,
7,4867,steef_d_,PlayStation 4,1h,70%,,11776749,Completed,First,"April 30, 2020",1h,,,,,,,,,
8,4867,JohnnyCamilo,PlayStation 4,1h 01m,100%,,9463992,Completed,First,"April 18, 2020",1h 01m,,12h,,,,,,,
9,4867,Private,PlayStation 4,1h 03m,30%,,12002579,Completed,First,"June 15, 2020",1h 03m 44s,,,,,,,,,
10,4867,GreenDonuts,PlayStation 4,1h 10m,NR,,5995118,Completed,First,"March 16, 2018",1h 10m,,,,,,,,,
11,4867,Kyonashi,PlayStation 3,1h 10m,100%,,517035,Custom List Completed,Replay,"December 13, 2013",1h 10m,,,,,,,,,
12,4867,theorium,PlayStation 4,1h 10m,NR,,11970440,Completed,First,"April 19, 2020",1h 10m,,,,,,,,,
13,4867,Jul3,PlayStation 3,1h 10m,NR,,4590456,Completed,First,"June 18, 2017",1h 10m 49s,,,,,,,,,
14,4867,Thalaban,PlayStation 3,1h 11m,NR,,794741,Completed,First,"July 06, 2014",1h 11m,,,,,,,,,
15,4867,imaginationac,PlayStation 3,1h 11m,NR,,3920040,Completed,First,"December 19, 2018",1h 11m 23s,,,,,,,,,
16,4867,MetalreduX,PlayStation 4,1h 12m,90%,Co-op playthrough from 2nd level onward.,9047922,Completed,First,"June 28, 2019",1h 12m,,,1h 02m,,,,,,
17,4867,maikelsteneker,PlayStation 3,1h 14m,NR,,727338,Completed,Replay,"May 13, 2014",1h 14m,,,,,,,,,
18,4867,slickochet,PC,1h 14m,NR,,8862254,Completed,Replay,"July 19, 2019",1h 14m 09s,,,,,,,,,
19,4867,,PlayStation 3,1h 15m,NR,,352270,Completed,First,,1h 15m,,,,,,,,,
20,4867,,PlayStation 3,1h 15m,NR,Fantastic!,770054,Completed,First,,1h 15m,,,,,,,,,
21,4867,Forma,PlayStation 3,1h 15m,90%,,3403237,Completed,First,"September 07, 2016",1h 15m,,,,,,,,,
22,4867,Seroon,PC,1h 15m,NR,Tracked time.,9320659,Completed,First,August 2019,1h 15m,,,30m,,,,,,
23,4867,andrewgatenby,PlayStation 4,1h 15m,80%,,4296970,Completed,First,"April 17, 2017",1h 15m,,,,,,,,,
24,4867,robogiraffe,PlayStation 3,1h 15m,70%,credits,2932443,Completed,First,"December 28, 2016",1h 15m,,,,,,,,,
25,4867,,PlayStation 4,1h 15m,NR,,1541598,Completed,First,,1h 15m 30s,,,,,,,,,
26,4867,Metakirby22,PlayStation 4,1h 15m,NR,,11539338,Completed,First,"April 23, 2020",1h 15m 33s,,,,,,,,,
27,4867,KMoney,PlayStation 3,1h 17m,90%,,5471,Completed,First,"January 14, 2013",1h 17m 26s,,,,,,,,,
28,4867,Daigoro,PC,1h 19m,50%,,8927346,Completed,First,"June 10, 2019",1h 19m 06s,,,,,,,,,
29,4867,,PlayStation 4,1h 20m,NR,,1686013,Completed,First,,1h 20m,,,,,,,,,
30,4867,,PlayStation 4,1h 20m,NR,,3516532,Completed,First,,1h 20m,,,,,,,,,
31,4867,,PlayStation 4,1h 20m,NR,,11477434,Completed,First,,1h 20m,,,,,,,,,
32,4867,Pkhoward2008,PlayStation 3,1h 20m,90%,,435071,Completed,First,,1h 20m,,,,,,,,,
