,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Main Story,Personal Notes,Completion,Main+Extras,Completionist,Speedrun,100% Speedrun,Progress,Retired Notes
0,57415,Private,Xbox One,6h 11m,NR,,9248110,Completed,Replay,6h 11m,5/10 - 5/11 (shura),,,,,,,
1,57415,Nicoen,PC,7h,100%,,11646642,Completed,Replay,7h,NG+1 Purification Ending,"May 04, 2020",,,,,,
2,57415,peroxy,PC,8h,NR,Shura ending NewGame+,11357421,Completed,Replay,8h,,"April 05, 2020",,,,,,
3,57415,,PlayStation 4,8h 40m,NR,Rushed and Short Ending,8530509,Completed,Replay,8h 40m,,,,,,,,
4,57415,ShadoRift,PC,9h 48m,NR,,8688415,Backlog Completed,Replay,9h 48m 37s,,"April 30, 2019",,,,,,
5,57415,,PC,10h,NR,,8775908,Completed,First,10h,,,21h,35h,,,,
6,57415,Vesemir45,PC,10h,NR,"2nd playthrough, shura",10267836,Completed,Replay,10h,,"October 18, 2019",,,,,,
7,57415,,PlayStation 4,10h 05m,NR,,8497122,Completed,First,10h 05m 11s,,,12h 11m 22s,,,,,
8,57415,,PlayStation 4,10h 11m,NR,,8497690,Completed,First,10h 11m 33s,,,13h 14m 22s,,,,,
9,57415,,PC,10h 52m,NR,,8621352,Completed,First,10h 52m,,,,,,,,
10,57415,,PC,11h 12m,NR,only rats side quest,8571502,Completed,First,11h 12m 53s,,,,,,,,
11,57415,,PC,11h 32m,NR,,8517335,Completed,First,11h 32m 05s,,,,,,,,
12,57415,derpycookiemonster,PC,12h,NR,,8654157,Completed,First,12h,,,,44h,,,,
13,57415,,PlayStation 4,12h 08m,NR,,8519445,Completed,First,12h 08m 37s,,,,,,,,
14,57415,,PlayStation 4,12h 32m,NR,Only main bosses and some optional enemies,8512692,Completed,First,12h 32m 14s,,,,,,,,
15,57415,,PC,13h,NR,4 playthroughs to get every ending.,8837813,Completed,First,13h,,,,54h,,,,
16,57415,Lewdmajesco,PC,13h,NR,Shura ending,11668653,Completed,Replay,13h,,"May 07, 2020",,,,,,
17,57415,Venvenicio16,PC,13h 33m,NR,,10391773,Completed,First,13h 33m,,"April 18, 2019",,,,,,
18,57415,,PC,14h,NR,,11602140,Completed,First,14h,,,,,,,,
19,57415,chadilak,PC,14h 15m,90%,IGT. Immortal Severance ending.,8506481,Completed,First,14h 15m 50s,,"April 02, 2019",,,,,,
20,57415,,PC,14h 30m,NR,,8711254,Completed,First,14h 30m,,,,,,,,
21,57415,WhiteyWind,PC,14h 45m,100%,"Completed all endings, got the 40 prayer beads, got all the achievements.",11289327,Completed,First,14h 45m,"First playthrough: 14h 45m - Immortal Severance
Second playthrough: 21h 19m - Purification (NG+ 1)
Third playthrough: 24h 15m - Shura (NG+ 2)
Fourth playthrough: 31h 20m - Return (NG+ 3, farmed EXP for all skill achievement)
Each of them on the same savefile.","April 06, 2020",31h 20m,,,,,
22,57415,Moddr1n,PC,14h 56m,90%,,8423237,Completed,First,14h 56m 09s,,"April 10, 2019",,,,,,
23,57415,,PlayStation 4,15h,NR,"All main bosses for purification ending, plus few optional bosses on the way.",8576728,Completed,Replay,15h,,,,,,,,
24,57415,,PC,15h,NR,"All endings, mini bosses and bosses (multiple times) got all achievements at the end of NG+++.",8717587,Completed,First,15h,,,26h,50h,,,,
25,57415,,PC,15h,NR,,10679877,Completed,First,15h,,,23h 30m,,,,,
26,57415,,Xbox One,15h,NR,,11871082,Completed,First,15h,,,24h,45h,,,,
27,57415,CwB_Yokai,PlayStation 4,15h,100%,"Using the ""save scan"" process to make the 3 ""Good endings"" and a new game + to make the Shura ending and the farm.",10765215,Completed,First,15h,,"January 23, 2020",,57h,,,,
28,57415,,PC,15h 15m,NR,,11519764,Completed,First,15h 15m,,,18h 57m,,,,,
29,57415,,PlayStation 4,15h 25m,NR,,8471884,Completed,Replay,15h 25m 43s,,,30h 30m 15s,,,,,
30,57415,,PC,15h 37m,NR,,8840779,Completed,First,15h 37m,,,,57h,,,,
31,57415,,PC,16h,NR,Wasnt as hard as i thought,9146743,Completed,First,16h,,,,,,,,
32,57415,,PlayStation 4,16h 29m,NR,,8519403,Completed,First,16h 29m 36s,,,,,,,,
