,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Completion,Main Story,Completionist,Main+Extras,Speedrun,Personal Notes,Progress,Retired Notes,Co-Op
0,57479,Lukas_CR,PlayStation 4,1h 41m,NR,,8338637,Playing Replay Completed,Replay,"February 23, 2019",1h 41m 49s,,,,,,,
1,57479,,Xbox One,1h 51m,NR,,11479484,Completed,Replay,,1h 51m,,,,,,,
2,57479,TheLastPlayer,PlayStation 4,1h 52m,NR,,11016314,Completed,Replay,"February 19, 2020",1h 52m 47s,,,,,,,
3,57479,jbcillatwill,PlayStation 4,2h 05m,100%,,9492762,Replay Completed,Replay,"August 31, 2019",2h 05m 59s,,,,,,,
4,57479,Katz3nFr3und,PC,2h 16m,NR,,12026783,Completed,Replay,"June 18, 2020",2h 16m,68h,,,,,,
5,57479,,PC,2h 29m,NR,,10273758,Completed,Replay,,2h 29m 34s,,,,,,,
6,57479,Darkoverlord,PlayStation 4,2h 30m,NR,,11412384,Replay Completed,Replay,"April 11, 2020",2h 30m,,,,,,,
7,57479,alldressedchip,PC,2h 37m,NR,Claire A - First Playthrough - S+,11778085,Completed,Replay,,2h 37m 06s,,,,,,,
8,57479,DampestLasagna,Xbox One,2h 50m,NR,,8228702,Replay Completed,Replay,"February 08, 2019",2h 50m,,,,,,,
9,57479,galaxy435,PlayStation 4,2h 53m,NR,,10706756,Completed,Replay,"December 31, 2019",2h 53m 54s,,15h 54m 34s,,,,,
10,57479,Mikemeu,PC,2h 54m,NR,,8309112,Completed,Replay,"February 19, 2019",2h 54m 52s,,,,,,,
11,57479,Tash92,PlayStation 4,2h 55m,NR,,10666513,Completed,Replay,"December 26, 2019",2h 55m 59s,,,,,,,
12,57479,knapper,Xbox One,3h,100%,,8735169,Completed,First,"January 30, 2019",3h,,8h 02m 31s,2h 24s,,,,
13,57479,b4idie,PC,3h,100%,,10805471,Replay Completed,Replay,"January 13, 2020",3h 19s,,,,"Leon A (standard)
No saves, no item box
Total time: 03:00:19
S+ rank
(3rd playthrough ever)",,,
14,57479,,PC,3h 08m,NR,,8313934,Completed,Replay,,3h 08m 05s,,,,,,,
15,57479,citalopram,Xbox One,3h 13m,90%,,10834138,Replay Completed,Replay,"January 18, 2020",3h 13m 55s,,,,,,,
16,57479,DrSushiMonster,PC,3h 30m,NR,,8270785,Completed,Replay,,3h 30m,,,,,,,
17,57479,OnaagaB,PC,3h 30m,90%,,11822051,Playing Replay Completed,Replay,"March 01, 2019",3h 30m,,,1h 20m 31s,,,,
18,57479,,PlayStation 4,3h 32m,NR,,8384318,Completed,First,,3h 32m 19s,20h,6h 04m 36s,1h 01m 56s,,,,
19,57479,AndyHitsu,PC,3h 40m,NR,,10864338,Completed,First,"March 18, 2019",3h 40m,,32h 20m,,,,,
20,57479,Hasan1996,Xbox One,3h 40m,NR,"Main story, all puzzles, all weapons, all safes and lockers, all boss fights.",8141995,Completed,First,"January 26, 2019",3h 40m 53s,,,,Completed on assisted difficulty with aim assist turned off.,,,
21,57479,,Xbox One,3h 48m,NR,,11218641,Completed,First,,3h 48m 12s,,,,,,,
22,57479,goopsalad,Xbox One,3h 48m,100%,Claire B,8174551,Completed,Replay,"January 31, 2019",3h 48m 58s,,,,,,,
23,57479,,PC,3h 58m,NR,,8563006,Completed,First,,3h 58m 37s,,,2h 27m 47s,,,,
24,57479,Darkoverlord,PlayStation 4,4h,NR,,11440893,Completed,Replay,"April 14, 2020",4h,,,,,,,
25,57479,Ygid,PC,4h,NR,,11918816,Playing Completed,First,"February 19, 2019",4h,,,,,,,
26,57479,mrbaggs,PC,4h,NR,,9456695,Completed,Replay,"August 26, 2019",4h,,,,,,,
