,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Completion,Main Story,Main+Extras,Completionist,Personal Notes,Progress,Co-Op,Retired Notes
0,57503,Sai077,Xbox One,18h 46m,NR,Main story + EP 1 of first blade,8659719,Completed,First,"May 12, 2019",18h 46m 14s,,,,,,
1,57503,welshie1113,PlayStation 4,18h 50m,NR,,7210138,Completed,First,"October 04, 2018",18h 50m,,,,,,
2,57503,,PC,19h 57m,NR,,7450780,Completed,First,,19h 57m 25s,,,,,,
3,57503,KamikotoGasai,PC,20h,NR,,7197742,Completed,First,"October 06, 2018",20h,,,,,,
4,57503,VSemenchenko,PC,20h,NR,,7870897,Completed,First,"December 29, 2018",20h,40h,70h,,,,
5,57503,mrbaggs,PC,20h,NR,,11011616,Completed,First,"February 20, 2020",20h,,,,,,
6,57503,nsalinardi,PC,20h,90%,,11382763,Completed,First,,20h,,,,,,
7,57503,,PlayStation 4,20h 13m,NR,,10720268,Completed,First,,20h 13m,33h 43m,,,,,
8,57503,HIERBA,Xbox One,20h 34m,90%,100%,10528075,Completed,First,"January 02, 2020",20h 34m,,169h 12m,,,,
9,57503,veli0s,PC,20h 38m,NR,"main story line, little extras, read but skipped the spoken part of most quests",8038450,Completed,First,"January 14, 2019",20h 38m,,,,,,
10,57503,,PlayStation 4,20h 42m,NR,,7223395,Completed,First,,20h 42m,,,,,,
11,57503,,PlayStation 4,21h 30m,NR,,8001579,Completed,First,,21h 30m,,,,,,
12,57503,Private,Xbox One,21h 42m,NR,,7429312,Completed,First,"November 11, 2018",21h 42m 28s,,,,,,
13,57503,,PC,21h 43m,NR,,7217883,Completed,First,,21h 43m,,,,,,
14,57503,,Xbox One,22h 02m,NR,Rushed,7245156,Completed,First,,22h 02m 46s,,,,,,
15,57503,RamiChaiben_2004192,PC,22h 05m,NR,,11532323,Playing Completed,First,"April 23, 2020",22h 05m 12s,,,,,,
16,57503,VonDozier,PC,22h 30m,60%,,8138513,Completed,First,"January 27, 2019",22h 30m,,,,,,
17,57503,,PC,22h 34m,NR,,7504851,Completed,First,,22h 34m,,,,,,
18,57503,,PC,23h,NR,,11280034,Completed,First,,23h,,,,,,
19,57503,,PlayStation 4,23h 30m,NR,,7217758,Completed,First,,23h 30m,48h 29m 14s,69h 36m 25s,,,,
20,57503,,PC,23h 57m,NR,,10930307,Completed,First,,23h 57m 51s,,,,,,
21,57503,,PlayStation 4,25h,NR,,10490750,Completed,First,,25h,52h 15m,,,,,
22,57503,BeatGinger,PC,25h,90%,,7221022,Playing Completed,First,"October 09, 2018",25h,40h,60h,,,,
23,57503,,PC,26h 34m,NR,,10778367,Completed,First,,26h 34m 01s,,,,,,
24,57503,esq373,PC,26h 40m,90%,,11290683,Completed,First,"March 29, 2020",26h 40m,,,,,,
25,57503,,PlayStation 4,27h 30m,NR,,7157995,Completed,First,,27h 30m,,,,,,
26,57503,,Xbox One,28h,NR,,7193826,Completed,First,,28h,78h,150h,,,,
27,57503,500kevc,PlayStation 4,28h,40%,,8547909,Completed,First,"April 06, 2019",28h,,,You can't be goombas.,,,
28,57503,Private,PC,28h,100%,,7506809,Playing Completed,First,"November 22, 2018",28h,40h,117h,,117h /,,
29,57503,SirMorokei,PC,28h,NR,,10418820,Completed,First,"November 13, 2019",28h,,,,,,
30,57503,,PlayStation 4,28h 30m,NR,,7257544,Completed,First,,28h 30m,,,,,,
31,57503,,PC,30h,NR,,7187966,Completed,First,,30h,,,,,,
32,57503,,PC,30h,NR,,7202236,Completed,First,,30h,,,,,,
33,57503,,PC,30h,NR,,7533324,Completed,First,,30h,50h,80h,,,,
34,57503,,Xbox One,30h,NR,,7667749,Completed,First,,30h,100h,160h,,,,
35,57503,,PlayStation 4,30h,NR,,7778924,Completed,First,,30h,80h,120h,,,,
36,57503,Edward979797,PlayStation 4,30h,60%,,10916053,Completed,First,"February 17, 2020",30h,,,,,,
37,57503,Merv,PlayStation 4,30h,NR,,7229838,Completed,First,,30h,60h,,,,,
38,57503,SozSurt,PC,30h,NR,,8185215,Completed,First,"February 02, 2019",30h,80h,125h,,,,
39,57503,Tsubaki,PC,30h,20%,,7223696,Completed,First,,30h,45h,,,,,
40,57503,katrindakatrin,PlayStation 4,30h,NR,,11912735,Completed,First,"January 05, 2020",30h,,,,,,
41,57503,,PC,30h 02m,NR,,11546820,Completed,First,,30h 02m 13s,,,,,,
42,57503,Tyler3143,PC,30h 23m,NR,,9505902,Completed,First,"September 01, 2019",30h 23m 51s,,,,,,
43,57503,,PC,30h 47m,NR,,10487015,Completed,First,,30h 47m,,,,,,
44,57503,,PC,30h 50m,NR,,9660870,Completed,First,,30h 50m 30s,,,,,,
45,57503,,PlayStation 4,31h 29m,NR,,11990138,Completed,First,,31h 29m 01s,,,,,,
46,57503,,PlayStation 4,31h 30m,NR,,7269702,Completed,First,,31h 30m,,,,,,
47,57503,,PlayStation 4,31h 58m,NR,,8704557,Completed,First,,31h 58m 03s,,,,,,
48,57503,,PC,32h,NR,,7299004,Completed,First,,32h,65h,100h,,,,
49,57503,,PlayStation 4,32h,NR,,7379602,Completed,First,,32h,60h,96h,,,,
50,57503,,PC,32h,NR,,8050750,Completed,First,,32h,69h,117h,,,,
51,57503,Conwolf,PlayStation 4,32h,100%,,11359671,Playing Completed,First,"March 05, 2020",32h,,,,,,
52,57503,Everdred,Xbox One,32h,80%,Level 35 upon completion.,10619822,Completed,First,"January 03, 2020",32h,,,,,,
53,57503,fetahundenyoda,PC,32h,90%,,7973349,Completed,First,"January 07, 2019",32h,,,,,,
54,57503,,Xbox One,32h,NR,"Almost no side missions, bought level booster",11820299,Completed,First,,32h 51s,,,,,,
55,57503,Lord_Vader_710,PlayStation 4,32h 22m,NR,,11024779,Completed,First,"February 02, 2020",32h 22m,75h 53m,96h 36m,,,,
56,57503,,PlayStation 4,32h 50m,NR,,7217902,Completed,First,,32h 50m,,,,,,
57,57503,SiphonicPanda64,PC,33h,NR,"100% completion of both achievements and all outposts, forts, caves and the such.",8026724,Playing Completed,First,"January 12, 2019",33h,40h,116h,,,,
58,57503,j1m,Xbox One,33h,NR,,8121567,Completed,First,"January 25, 2019",33h,42h,64h,,,,
59,57503,,PC,33h 19m,NR,,8760787,Completed,First,,33h 19m 16s,,,,,,
60,57503,Elficzek,PC,33h 20m,70%,,9537784,Completed,First,"September 05, 2019",33h 20m 16s,,,,,,
61,57503,PimyJalmer,PlayStation 4,33h 30m,NR,,11441879,Completed,First,"April 30, 2020",33h 30m,,,,,,
62,57503,cabriolet6,PC,33h 35m,80%,,7562791,Completed,First,"November 30, 2018",33h 35m,,,,,,
63,57503,beearmy,PlayStation 4,33h 48m,70%,,8772562,Completed,First,"May 14, 2019",33h 48m,,,,,,
64,57503,jaydeeess,PC,34h,NR,,8556967,Completed,First,"April 02, 2019",34h,,,,,,
65,57503,raegazel,PlayStation 4,34h,80%,,7371666,Completed,First,"November 01, 2018",34h,,,,,,
66,57503,,PlayStation 4,34h 34m,NR,,11872187,Completed,First,,34h 34m 23s,,,,,,
67,57503,,PlayStation 4,34h 37m,NR,,8674497,Completed,First,,34h 37m 41s,,,,,,
68,57503,,Xbox One,34h 46m,NR,,11546837,Completed,First,,34h 46m 12s,,121h 57m 04s,,,,
69,57503,TacoLord424,Xbox One,34h 53m,70%,,10757160,Completed,Replay,"February 13, 2019",34h 53m,,,,,,
70,57503,,Xbox One,35h,NR,,7186143,Completed,First,,35h,70h,100h,,,,
71,57503,,PC,35h,NR,,7208924,Completed,First,,35h,,,,,,
72,57503,,PlayStation 4,35h,NR,,7232240,Completed,First,,35h,100h,175h,,,,
73,57503,,PC,35h,NR,,7450631,Completed,First,,35h,79h,,,,,
74,57503,,PlayStation 4,35h,NR,,7517418,Completed,First,,35h,70h,86h,,,,
75,57503,,Xbox One,35h,NR,,7793054,Completed,First,,35h,50h,110h,,,,
76,57503,,PC,35h,NR,,8623468,Completed,First,,35h,,,,,,
77,57503,,PC,35h,NR,,10148844,Completed,Replay,,35h,80h,110h,,,,
78,57503,,PC,35h,NR,Very long in comparison to other entries in the series,11565186,Completed,First,,35h,,,,,,
79,57503,Gallucci,PlayStation 4,35h,80%,,7313765,Completed,First,"October 23, 2018",35h,60h,,,,,
80,57503,rcren6,Xbox One,35h,90%,,8552439,Completed,First,"March 31, 2019",35h,,,,,,
81,57503,steelshot_,PC,35h 16m,NR,,8812633,Completed,First,"May 12, 2019",35h 16m 44s,50h 49m 31s,,,,,
82,57503,,PlayStation 4,35h 18m,NR,,11221408,Completed,First,,35h 18m 57s,95h 48m 12s,109h 55m 02s,,,,
83,57503,,PlayStation 4,35h 40m,NR,Platinum trophy,7507255,Completed,First,,35h 40m 39s,40h 20m 50s,,,,,
84,57503,,PlayStation 4,35h 41m,NR,,7824359,Completed,First,,35h 41m 25s,,,,,,
