,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Completion,Main Story,Main+Extras,Completionist,Personal Notes,Vs.,Progress,100% Speedrun
0,57506,Overdose_Lh,PlayStation 4,4h 28m,NR,,11709707,Completed,Replay,"May 11, 2020",4h 28m 12s,,,,,,
1,57506,Calvo,PC,7h,70%,,11490594,Completed,Replay,"April 19, 2020",7h,,,,,,
2,57506,Blurbs,PC,8h 30m,NR,,11306036,Completed,First,"March 31, 2020",8h 30m,,,,,,
3,57506,lewdmeat,PlayStation 4,8h 30m,100%,,11847045,Completed,First,"May 27, 2020",8h 30m,,,,,,
4,57506,TheAutisticGamer,PC,8h 51m,100%,I'm Too Young To Die Difficulty.,11029985,Completed,First,"April 04, 2020",8h 51m 31s,,,,,,
5,57506,,Google Stadia,9h,NR,,11514104,Completed,First,,9h,12h,20h,,,,
6,57506,final4ik,PC,9h,NR,,11237615,Completed,First,"March 24, 2020",9h,,,,,,
7,57506,ericwf123,PlayStation 4,9h 37m,90%,,11197598,Completed,First,"March 25, 2020",9h 37m 40s,,,,,,
8,57506,Kaelor,PC,10h,NR,,11348357,Completed,First,"March 28, 2020",10h,,,,,,
9,57506,King_K,Xbox One,10h,90%,,11313742,Completed,First,"March 27, 2020",10h,15h,20h,,,,
10,57506,LeToothpick,PC,10h,90%,,11259124,Completed,First,"March 26, 2020",10h,12h,16h,,,,
11,57506,PioruneeKK,Xbox One,10h,NR,Bit too arcade,11515161,Playing Completed,First,"April 17, 2020",10h,14h 30m,,,,,
12,57506,SirMick56,PC,10h,60%,,11634398,Completed,First,"May 17, 2020",10h,,,,,,
13,57506,Xensidia,PC,10h,NR,"Everything done, except for all the achievements",11295176,Completed,First,"March 27, 2020",10h,16h,,,,,
14,57506,camobot,PC,10h,80%,,11459617,Completed,First,"April 26, 2020",10h,,,,,,
15,57506,gamefreak1,PC,10h,NR,,11226095,Completed,First,"March 23, 2020",10h,,,,,,
16,57506,Private,PC,10h,NR,,11259517,Completed,First,"March 26, 2020",10h,12h,,,,,
17,57506,stefan12123434,PC,10h,100%,,11529577,Completed,First,,10h,,,,,,
18,57506,,PC,10h 20m,NR,,11221722,Completed,First,,10h 20m,,,,,,
19,57506,,PC,10h 50m,NR,easy mode with a few secrets collected,11785944,Completed,First,,10h 50m,,,,,,
20,57506,,PC,11h,NR,,11206491,Completed,First,,11h,13h 44m,,,,,
21,57506,,PC,11h,NR,,11241504,Completed,First,,11h,17h,,,,,
22,57506,,PC,11h,NR,,11246938,Completed,First,,11h,,,,,,
