,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Completion,Main Story,Main+Extras,Completionist,Personal Notes,Progress,Retired Notes
0,57507,SirMick56,PC,5h,50%,,10966129,Completed,First,"February 23, 2020",5h,,,,,
1,57507,mrbaggs,PC,5h,NR,,11473566,Completed,Replay,"April 17, 2020",5h,,,,,
2,57507,lawcash,PC,6h 19m,80%,"Don't let the first credit roll fool you, the game's not over just yet lmao",9528158,Completed,First,"September 05, 2019",6h 19m,,,,,
3,57507,lukinhasx3,PC,6h 29m,70%,,10425070,Completed,First,"November 14, 2019",6h 29m 40s,,,,,
4,57507,,PC,7h,NR,,10829560,Completed,First,,7h,,,,,
5,57507,LopperUK,PC,7h,70%,Did main missions only.,9516940,Completed,First,"September 02, 2019",7h,,,,,
6,57507,SirMorokei,PC,7h,NR,,10475790,Completed,First,"November 23, 2019",7h,,,,,
7,57507,t0nin0t,PlayStation 4,7h,40%,,10881082,Completed,First,"January 25, 2020",7h,,,,,
8,57507,,PC,7h 30m,NR,,9473669,Completed,First,,7h 30m,11h,,,,
9,57507,slickochet,PC,7h 30m,NR,,9464237,Completed,First,"September 12, 2019",7h 30m 02s,,,,,
10,57507,Mad_5oap,PC,7h 30m,80%,Bad storyline,11562398,Completed,First,"May 23, 2020",7h 30m 54s,,,,,
11,57507,Paulbroo,PC,7h 32m,NR,,10340460,Completed,First,"August 31, 2019",7h 32m,,,,,
12,57507,FancyKilerWales,PC,7h 45m,NR,,9683838,Completed,First,"September 20, 2019",7h 45m 21s,,,,,
13,57507,limitlessbritt,PC,7h 45m,60%,"Lost my save file. I had to start over again, so this time I was rushing through it",10459397,Completed,First,"December 31, 2019",7h 45m 25s,,,,,
14,57507,beearmy,PlayStation 4,7h 49m,80%,,11631678,Completed,First,"May 03, 2020",7h 49m,,,,,
15,57507,DreamEaglr,Xbox One,8h,NR,,10192661,Completed,First,"October 06, 2019",8h,12h,15h,,,
16,57507,Millwaterj,PC,8h,100%,,10803944,Completed,First,"January 10, 2020",8h,,,,,
17,57507,all2surreal,PC,8h,100%,,9173355,Completed,First,"October 12, 2019",8h,,,,,
18,57507,danya140,PC,8h,NR,,10867764,Completed,First,"January 24, 2020",8h,,,,,
19,57507,xgogo9,PC,8h 10m,90%,,9548492,Completed,First,"September 05, 2019",8h 10m,11h,,,,
20,57507,GhaliPotter,PC,8h 20m,NR,,9505439,Completed,First,"September 03, 2019",8h 20m,,,,,
21,57507,,PC,8h 30m,NR,,9600355,Completed,First,,8h 30m,,,,,
22,57507,,PC,8h 30m,NR,,11817878,Completed,First,,8h 30m,,,,,
23,57507,500kevc,PC,8h 30m,70%,,10339305,Completed,First,"November 02, 2019",8h 30m,,,,,
24,57507,Private,PC,8h 30m,NR,,11900899,Completed,First,"June 03, 2020",8h 30m,,,,,
25,57507,bmz_3,PlayStation 4,8h 30m,90%,,11463611,Completed,First,"April 16, 2020",8h 30m,,,,,
26,57507,typ12,PlayStation 4,8h 30m,NR,,11695610,Completed,First,"May 09, 2020",8h 30m,,,,,
27,57507,theplump,PlayStation 4,8h 32m,100%,,9691525,Completed,First,"September 26, 2019",8h 32m,,,,,
28,57507,MarcosBellido,PlayStation 4,8h 40m,NR,,11693964,Completed,First,"May 10, 2020",8h 40m 08s,,,,,
29,57507,jobbogamer,PC,8h 56m,NR,,11877442,Completed,First,"May 31, 2020",8h 56m,,,,,
30,57507,,PC,9h,NR,,9491780,Completed,Replay,,9h,,,,,
31,57507,,PC,9h,NR,Couple extra quests,11915909,Completed,First,,9h,,,,,
32,57507,,PC,9h,NR,,11945535,Completed,First,,9h,,,,,
33,57507,TheJoschka,Xbox One,9h,70%,,10604344,Completed,First,"December 17, 2019",9h,12h,16h,,,
34,57507,bendikts,PC,9h,NR,,9479211,Completed,First,"October 12, 2019",9h,,,,,
35,57507,mostafa631,PlayStation 4,9h,70%,,11351153,Completed,First,,9h,11h,20h,,,
36,57507,Private,PlayStation 4,9h 01m,70%,,11197660,Completed,First,"April 03, 2020",9h 01m 01s,,,,,
37,57507,,PC,9h 12m,NR,,9574728,Completed,First,,9h 12m,,,,,
38,57507,KevinWI,PC,9h 14m,80%,,9514288,Completed,First,"September 01, 2019",9h 14m,,,,,
39,57507,RyukoMatoi,PlayStation 4,9h 21m,70%,,10146447,Completed,First,"August 29, 2019",9h 21m 43s,11h 49m 07s,14h 57m 34s,,,
40,57507,Gravewalker,PC,9h 30m,60%,,9472337,Completed,First,"August 29, 2019",9h 30m,,,Ugh. The final parts were terrible. I kept dying. Improve the checkpoints.,,
