,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Main Story,Completion,Main+Extras,Completionist,Progress,Personal Notes,Retired Notes
0,60145,,PC,8h,NR,,10445387,Completed,First,8h,,,,,,
1,60145,KamikotoGasai,PC,8h,NR,,10427400,Completed,First,8h,"November 15, 2019",,,,,
2,60145,,PlayStation 4,8h 03m,NR,,10428312,Completed,First,8h 03m 56s,,,,,,
3,60145,,PlayStation 4,8h 20m,NR,,10433289,Completed,First,8h 20m,,,,,,
4,60145,LeToothpick,PC,9h,70%,,10863626,Completed,First,9h,"January 14, 2020",14h,,,,
5,60145,Slippy_DOT,PC,9h,NR,,11733574,Completed,First,9h,"January 04, 2020",,,,,
6,60145,Tentacle_Advisor,PC,9h,60%,,10603766,Completed,First,9h,"December 17, 2019",,,,,
7,60145,danya140,PC,9h,NR,,11220190,Completed,First,9h,"March 22, 2020",,,,,
8,60145,,PC,10h,NR,,10428981,Completed,First,10h,,,,,,
9,60145,,Xbox One,10h,NR,,10519987,Completed,First,10h,,,,,,
10,60145,,PlayStation 4,10h,NR,,11967288,Completed,First,10h,,23h,30h,,,
11,60145,robogiraffe,PlayStation 4,10h,80%,Jedi Knight difficulty. Took time exploring until the last 2 areas. File said 78% complete.,10638033,Completed,First,10h,"December 23, 2019",14h 10m,,,,
12,60145,,PC,10h 24m,NR,,11808317,Completed,First,10h 24m,,,,,,
13,60145,,PlayStation 4,10h 45m,NR,,10441247,Completed,First,10h 45m,,16h 30m,23h 20m,,,
14,60145,SirMorokei,PC,11h,NR,,10434124,Completed,First,11h,"November 16, 2019",,,,,
15,60145,eliasaj92,PC,11h,80%,,10351631,Completed,First,11h,"December 08, 2019",,,,,
16,60145,jcbvickers,PC,11h,60%,,10839765,Completed,First,11h,,,,,,
17,60145,,PC,11h 28m,NR,this is just my steam time,11693061,Completed,First,11h 28m,,,,,,
18,60145,slickochet,PC,11h 28m,NR,Padawan difficulty. 76% complete.,10450767,Completed,First,11h 28m 30s,"November 23, 2019",,,,,
19,60145,overclicked,PlayStation 4,11h 30m,80%,,10432389,Completed,First,11h 30m,"January 12, 2020",,,,,
20,60145,Homesick89,PC,11h 37m,NR,,10464478,Completed,First,11h 37m 34s,"November 27, 2019",,,,,
21,60145,theplump,PlayStation 4,11h 43m,100%,,10495296,Completed,First,11h 43m,"December 03, 2019",,,,,
22,60145,,PC,12h,NR,,10831122,Completed,First,12h,,,,,,
23,60145,,PC,12h,NR,,11307673,Completed,First,12h,,14h,,,,
24,60145,,PC,12h,NR,easy mode,11357285,Completed,First,12h,,,,,,
25,60145,ArturGG,Xbox One,12h,NR,,10446446,Completed,First,12h,"November 18, 2019",,,,,
26,60145,BANTER1NG,PC,12h,NR,,10648945,Completed,First,12h,"December 24, 2019",,,,,
27,60145,Beelo,PlayStation 4,12h,80%,,10529032,Completed,First,12h,"December 03, 2019",14h,17h,,,
28,60145,Beowulf94,PlayStation 4,12h,80%,,10587755,Completed,First,12h,"December 15, 2019",,,,,
29,60145,DreamEaglr,Xbox One,12h,NR,,10439563,Completed,First,12h,"November 17, 2019",15h,25h,,,
30,60145,Gunloader420,PlayStation 4,12h,70%,,11622813,Completed,First,12h,,,,,,
31,60145,I_am_nobody,PC,12h,80%,,10837894,Completed,First,12h,"January 18, 2020",,,,,
32,60145,Memtouc,PC,12h,NR,,10440360,Completed,First,12h,"November 18, 2019",,,,,
33,60145,Nader_Hakami,PC,12h,NR,,10783445,Completed,First,12h,"January 09, 2020",,,,,
34,60145,Private,PlayStation 4,12h,NR,,10325998,Completed,First,12h,"December 24, 2019",,,,,
35,60145,TechNick,PC,12h,NR,,10774797,Completed,First,12h,"April 08, 2020",,,,,
36,60145,Private,PC,12h,80%,,10466996,Completed,First,12h,"November 22, 2019",15h,,,,
37,60145,YogurtZockt,PlayStation 4,12h,NR,,10770318,Backlog Completed,First,12h,"January 14, 2020",,20h 55m 50s,20h 55m 50s /,,
38,60145,batcnr,PlayStation 4,12h,NR,,10720525,Completed,First,12h,"January 01, 2020",,,,,
39,60145,darkrepast,PC,12h,NR,,10437744,Completed,First,12h,"November 16, 2019",14h,,,,
40,60145,fetahundenyoda,PC,12h,80%,,10488571,Completed,First,12h,"November 26, 2019",,,,,
41,60145,potatoes350,PlayStation 4,12h,20%,,11789692,Completed,First,12h,"May 11, 2020",,,,,
42,60145,savepointsam,Xbox One,12h,70%,,10429137,Completed,First,12h,"January 23, 2020",,,,,
43,60145,,PC,12h 06m,NR,,11860796,Completed,First,12h 06m 34s,,,,,,
44,60145,,Xbox One,12h 13m,NR,,11664414,Completed,First,12h 13m,,,,,,
45,60145,Valjean,PC,12h 21m,NR,,10751975,Completed,First,12h 21m,"January 21, 2020",,,,,
46,60145,final4ik,PC,12h 27m,NR,,10610287,Completed,First,12h 27m,"December 18, 2019",,,,,
47,60145,Microkuru,PlayStation 4,12h 30m,NR,,10726406,Completed,First,12h 30m,"January 01, 2020",,,,,
48,60145,kiririril,PC,12h 30m,NR,Story,10438443,Completed,First,12h 30m,"November 17, 2019",,,,,
49,60145,bmartinko,PC,12h 31m,90%,Main Story Finished; 77% Completion,11676306,Completed,First,12h 31m,"May 16, 2020",,,,,
50,60145,ApexImperium,PC,12h 40m,NR,,10620019,Completed,First,12h 40m,"January 01, 2020",,,,,
51,60145,Trcgameplay,PC,12h 40m,NR,,10694145,Completed,First,12h 40m,,,,,,
52,60145,sfhillier,PC,12h 45m,NR,,11849802,Completed,First,12h 45m,,,,,,
53,60145,,PlayStation 4,12h 47m,NR,,10450280,Completed,First,12h 47m,,,,,,
54,60145,,PC,13h,NR,,10428910,Completed,First,13h,,,,,,
55,60145,,PC,13h,NR,,10432946,Completed,First,13h,,16h,,,,
56,60145,,PC,13h,NR,,10439964,Completed,First,13h,,,,,,
