,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Completion,Main Story,Main+Extras,Completionist,Personal Notes,Progress,Speedrun,Retired Notes
0,62935,SirMorokei,PC,4h 12m,70%,Main Story + Killing nearly any NPCs I encountered,10336964,Completed,First,"October 31, 2019",4h 12m,,,,,,
1,62935,,PC,5h,NR,,10477036,Completed,First,,5h,,,,,,
2,62935,DreamEaglr,Xbox One,5h,NR,,10327783,Completed,First,"October 30, 2019",5h,20h,30h,,,,
3,62935,Doomes,Xbox One,5h 07m,60%,Main Story only. Board Ending.,10699039,Completed,First,"December 30, 2019",5h 07m,,,,,,
4,62935,,PC,5h 23m,NR,"Around hour 3 decided to test if the game could be rushed by just killing important NPCs, it can.",10315696,Completed,First,,5h 23m,,,,,,
5,62935,Doomkoable,PC,5h 26m,90%,,10337525,Completed,Replay,"October 29, 2019",5h 26m,,,,,,
6,62935,modaren,Xbox One,6h 09m,NR,,10576176,Completed,First,"December 11, 2019",6h 09m,,,,,,
7,62935,irobot443,PC,6h 20m,NR,,10625269,Completed,First,"November 29, 2019",6h 20m,,,,,,
8,62935,,PC,6h 30m,NR,,10333970,Completed,First,,6h 30m,,,,,,
9,62935,Private,PC,6h 49m,70%,,10837219,Completed,First,"January 24, 2020",6h 49m 26s,,,,,,
10,62935,,PC,6h 55m,NR,,10809615,Completed,First,,6h 55m 03s,,,,,,
11,62935,cabriolet6,PC,7h 03m,80%,,10365039,Completed,First,"November 05, 2019",7h 03m 56s,,,,,,
12,62935,,PC,7h 10m,NR,,10339962,Completed,First,,7h 10m,,,,,,
13,62935,Nalynh,PC,7h 12m,NR,,10329816,Completed,First,"October 30, 2019",7h 12m,,,,,,
14,62935,,PC,7h 23m,NR,,10322878,Completed,First,,7h 23m,,,,,,
15,62935,,PC,7h 25m,NR,,10370863,Completed,Replay,,7h 25m,,,,,,
16,62935,Damnboy,PC,7h 30m,60%,,10342941,Completed,First,"November 01, 2019",7h 30m,,,,,,
17,62935,G4mer1808,PC,7h 30m,NR,,10338839,Completed,First,"November 01, 2019",7h 30m,8h 20m,,,,,
18,62935,cobraclamp,PC,7h 46m,NR,,10338651,Completed,First,"October 31, 2019",7h 46m,,,,,,
19,62935,,PC,8h,NR,,10313593,Completed,First,,8h,13h,,,,,
20,62935,,Xbox One,8h,NR,,10346088,Completed,First,,8h,12h,,,,,
21,62935,,Xbox One,8h,NR,,10413023,Completed,First,,8h,34h 08s,34h 06m 08s,,,,
22,62935,,PC,8h,NR,,11065489,Completed,First,,8h,,,,,,
23,62935,,PC,8h,NR,,11436200,Completed,First,,8h,10h 30m,,,,,
24,62935,Hiplobbe,PC,8h,80%,Rushed dialogs,10338351,Completed,First,"October 31, 2019",8h,,,,,,
25,62935,Kattey,PC,8h,70%,,10519012,Completed,First,"December 02, 2019",8h,40h,,,,,
26,62935,eliasaj92,PC,8h,100%,,10302780,Completed,First,"October 26, 2019",8h,,,,,,
27,62935,mikul1991,PC,8h,NR,,10311010,Completed,First,"October 27, 2019",8h,14h 30m,,,,,
28,62935,dusttbuster,PC,8h 10m,NR,,11529462,Completed,First,"April 30, 2020",8h 10m,,,,,,
29,62935,Elites,PC,8h 26m,NR,,10313443,Completed,First,"October 27, 2019",8h 26m,,,,,,
30,62935,Drugzrcool,Xbox One,8h 27m,NR,,10308654,Completed,First,"October 26, 2019",8h 27m,,,,,,
31,62935,AlenaChen,PC,8h 33m,80%,,10486515,Completed,First,"November 26, 2019",8h 33m,,,,,,
32,62935,,PC,8h 36m,NR,,10324362,Completed,First,,8h 36m 32s,,,,,,
33,62935,Wank8734,PC,8h 40m,80%,,10382258,Completed,First,"November 17, 2019",8h 40m,,,,,,
34,62935,500kevc,PC,8h 45m,50%,Pretty much only did the main quest line. Hard difficulty.,10287188,Completed,First,"October 27, 2019",8h 45m,,,,,,
35,62935,,Xbox One,9h,NR,,10897359,Completed,First,,9h,,,,,,
36,62935,Politishin,PC,9h,90%,,10417502,Completed,Replay,"November 11, 2019",9h,,,,,,
37,62935,vdebrais,PC,9h 05m,70%,,10503915,Completed,First,"December 15, 2019",9h 05m,,,Storyline Welles,,,
38,62935,,PC,9h 07m,NR,Board ending,10305572,Completed,First,,9h 07m,,,,,,
39,62935,K1Muted,PC,9h 17m,NR,,10307114,Completed,First,"October 27, 2019",9h 17m,,,,,,
40,62935,Proseppe,PC,9h 30m,NR,,10520212,Completed,First,"November 30, 2019",9h 30m,21h 15m,23h 45m,,,,
41,62935,,Xbox One,9h 31m,NR,,10313765,Completed,First,,9h 31m,21h 08m,,,,,
42,62935,anjelikon,PC,9h 35m,NR,,10429270,Completed,First,"October 30, 2019",9h 35m 20s,,,,,,
43,62935,BadlyHunt,PC,9h 42m,80%,,11920861,Completed,First,"November 06, 2019",9h 42m,,,,,,
44,62935,,PC,9h 58m,NR,,10312885,Completed,First,,9h 58m,,,,,,
45,62935,,PC,10h,NR,,10311336,Completed,First,,10h,12h,,,,,
46,62935,,Xbox One,10h,NR,,10315149,Completed,First,,10h,16h 15m,,,,,
47,62935,,PC,10h,NR,,10319158,Completed,First,,10h,,,,,,
48,62935,,PC,10h,NR,,10329039,Completed,First,,10h,20h,23h,,,,
49,62935,,Xbox One,10h,NR,,10337320,Completed,First,,10h,,,,,,
50,62935,,PlayStation 4,10h,NR,,10417552,Completed,First,,10h,26h,32h,,,,
51,62935,,PC,10h,NR,,10993518,Completed,First,,10h,,,,,,
52,62935,ArturGG,Xbox One,10h,NR,,10348831,Completed,First,"November 02, 2019",10h,,,,,,
53,62935,Copeland1994,Xbox One,10h,90%,,10985969,Replay Completed,Replay,"November 01, 2019",10h,,,,10h /,,
54,62935,Desser,PC,10h,60%,,10345159,Completed,First,"November 01, 2019",10h,24h,,,,,
55,62935,SirMick56,PC,10h,70%,,10308852,Completed,First,"March 01, 2020",10h,,,,,,
56,62935,TheTobster,Xbox One,10h,80%,No Hard or Supernova Run,10309835,Completed,First,"October 29, 2019",10h,24h,29h,,,,
57,62935,alexeystg,PC,10h,NR,,10486807,Completed,First,"November 25, 2019",10h,,,,,,
58,62935,bendikts,PC,10h,NR,,10362286,Completed,First,"November 08, 2019",10h,,,,,,
59,62935,exilekiller,PC,10h,NR,,10454018,Completed,First,"November 19, 2019",10h,,,,,,
60,62935,Private,PC,10h,NR,,11136192,Completed,First,"March 14, 2020",10h,15h,,,,,
