,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Main Story,Main+Extras,Completion,Completionist,Personal Notes,Progress
0,65080,,PC,6h,NR,,10180412,Completed,First,6h,9h,,,,
1,65080,Mellori,PC,6h 32m,NR,"Full game plus after credit scene, all achievements unlocked in one playthrough.",11165808,Completed,First,6h 32m,7h 50m,"April 21, 2020",7h 56m,,
2,65080,,Xbox One,6h 40m,NR,,11892063,Completed,First,6h 40m,,,,,
3,65080,PapaStalin,PC,6h 57m,70%,,11669806,Completed,First,6h 57m,,"May 10, 2020",,,
4,65080,Akitrotro,PC,7h,NR,,10761535,Completed,First,7h,,"January 06, 2020",,,
5,65080,darkarchon,PC,7h,NR,,10794669,Completed,First,7h,,"January 11, 2020",,,
6,65080,,PC,7h 05m,NR,,9099556,Completed,First,7h 05m,,,,,
7,65080,t0nin0t,PlayStation 4,7h 10m,60%,,9080277,Completed,First,7h 10m,,"June 19, 2019",,,
8,65080,Private,PC,7h 10m,70%,,8839174,Completed,First,7h 10m 47s,,"May 29, 2019",,Start: 2019-05-24 | Beat: 2019-05-29,
9,65080,cabriolet6,PC,7h 18m,80%,,10936141,Completed,First,7h 18m 53s,,"February 04, 2020",,,
10,65080,zeuswaffle19,PC,7h 23m,NR,,11139426,Completed,First,7h 23m,,"May 11, 2019",,,
11,65080,kawwumbo,Xbox One,7h 29m,NR,,11540820,Completed,First,7h 29m,,"December 23, 2019",,,
12,65080,,PC,7h 32m,NR,,11885167,Completed,First,7h 32m 53s,,,,,
13,65080,luizp21,Xbox One,7h 39m,90%,,11232317,Completed,First,7h 39m,,"March 23, 2020",,,
14,65080,,PC,7h 50m,NR,,9475071,Completed,First,7h 50m,,,,,
15,65080,raphalimam,PC,7h 56m,NR,,10986942,Completed,First,7h 56m 50s,,"March 30, 2020",,,
16,65080,Private,PC,7h 59m,80%,,10920337,Completed,First,7h 59m,,"February 02, 2020",,,
17,65080,,PC,8h,NR,,8808168,Completed,First,8h,,,,,
18,65080,,PC,8h,NR,,10485331,Completed,First,8h,8h 30m,,,,
19,65080,,PC,8h,NR,,11737234,Completed,First,8h,,,,,
20,65080,IdiotEastwood,PC,8h,70%,,8786002,Completed,First,8h,,"May 26, 2019",,,
21,65080,Mandulum,PC,8h,80%,,9135546,Completed,First,8h,,"July 12, 2019",,,
22,65080,Otchoshogun,PC,8h,80%,,11528789,Completed,First,8h,9h 30m,"April 22, 2020",,,
23,65080,SozSurt,PC,8h,NR,,8832178,Completed,First,8h,9h,"June 08, 2019",10h,,
24,65080,Private,PC,8h,NR,,10730931,Completed,First,8h,,"January 02, 2020",,,
25,65080,civoreb,PlayStation 4,8h,80%,,9321792,Completed,First,8h,,"August 07, 2019",,Solid stealth game. Good story and good characters.,
26,65080,final4ik,PC,8h,NR,,10821350,Completed,First,8h,,"January 16, 2020",,,
27,65080,Private,Xbox One,8h,70%,,10851707,Completed,First,8h,,"February 09, 2020",,,
28,65080,,PC,8h 03m,NR,,8837335,Completed,First,8h 03m,,,,,
29,65080,Spizzik,PC,8h 03m,NR,,10390653,Completed,First,8h 03m 58s,,"November 10, 2019",,,
30,65080,,PC,8h 04m,NR,,8817761,Completed,First,8h 04m,,,,,
31,65080,modaren,PC,8h 12m,NR,,8772633,Completed,First,8h 12m,,"May 14, 2019",,,
32,65080,,PlayStation 4,8h 12m,NR,,8864550,Completed,First,8h 12m 01s,,,,,
33,65080,Technex,PC,8h 15m,NR,,10988564,Completed,First,8h 15m,,"February 13, 2020",,,
34,65080,,PC,8h 15m,NR,,10985688,Completed,First,8h 15m 24s,,,,,
35,65080,TeenJackBauer,PC,8h 17m,NR,520G,10865520,Completed,First,8h 17m,,"February 01, 2020",,,
36,65080,Puralizer,PC,8h 20m,NR,,8790757,Completed,First,8h 20m,9h 30m,"May 17, 2019",12h,,
37,65080,jamsjunior,PC,8h 20m,80%,,9193888,Completed,First,8h 20m,,"September 06, 2019",,,
38,65080,Daigoro,PC,8h 22m,70%,,8873764,Completed,First,8h 22m 16s,,"May 31, 2019",,,
39,65080,Abyss,PC,8h 23m,NR,,10951805,Completed,First,8h 23m,,"February 08, 2020",,,
40,65080,Radiar,PC,8h 23m,NR,,8777658,Completed,First,8h 23m,9h 48m,"May 16, 2019",,,
41,65080,,PC,8h 25m,NR,,10918257,Completed,First,8h 25m,,,,,
42,65080,nayton,PC,8h 25m,NR,,10529645,Completed,First,8h 25m,,,,,
43,65080,ArkoSKP,PC,8h 30m,NR,,8812911,Completed,First,8h 30m,,"May 19, 2019",,,
44,65080,Lew_ser,PC,8h 30m,NR,,12023760,Completed,First,8h 30m,,"June 17, 2020",,,
45,65080,dmgash,PC,8h 30m,NR,,8879684,Completed,First,8h 30m,,"June 01, 2019",,,
46,65080,xScaryKidx,PC,8h 30m,NR,,10931406,Completed,First,8h 30m,,"February 05, 2020",,,
47,65080,Tusk,PC,8h 35m,100%,,8807346,Completed,First,8h 35m,,"May 18, 2019",,,
48,65080,coleneff,PlayStation 4,8h 35m,90%,,9700092,Completed,First,8h 35m,,"September 27, 2019",,,
49,65080,nsalinardi,PC,8h 36m,90%,,11523893,Completed,First,8h 36m 47s,,"April 26, 2020",,,
50,65080,ROBALEXXX_CP,Xbox One,8h 40m,90%,,11015649,Completed,First,8h 40m,,"February 19, 2020",,,
51,65080,FrietMan,PC,8h 45m,80%,,10991616,Completed,First,8h 45m,,"February 14, 2020",,,
52,65080,alexisplaying,PC,8h 45m,90%,,10648028,Completed,First,8h 45m,,"December 24, 2019",,,
53,65080,,PC,8h 46m,NR,,10760171,Completed,First,8h 46m,,,,,
54,65080,Private,PC,8h 47m,60%,,10871480,Completed,First,8h 47m 10s,,"February 02, 2020",,,
55,65080,Homesick89,PC,8h 47m,NR,,8878182,Completed,First,8h 47m 20s,,"June 02, 2019",,,
56,65080,lawcash,PC,8h 53m,100%,"5/13 Flowers, 4/11 gifts and 9/26 curiosities",8869399,Completed,First,8h 53m,,"June 03, 2019",,,
57,65080,teetermancan,PC,8h 54m,70%,,9253289,Completed,First,8h 54m,,"July 29, 2019",,,
58,65080,,PC,9h,NR,,8817385,Completed,First,9h,,,,,
59,65080,,PC,9h,NR,,8827522,Completed,First,9h,,,,,
60,65080,,PlayStation 4,9h,NR,,8858483,Completed,First,9h,,,,,
61,65080,,PC,9h,NR,All achievements,8875167,Completed,First,9h,9h 45m,,15h 01m,,
62,65080,,PC,9h,NR,,11120634,Completed,First,9h,,,,,
63,65080,,PC,9h,NR,,11345132,Completed,First,9h,,,,,
64,65080,2theTardis,PlayStation 4,9h,NR,,8843415,Completed,First,9h,,,,,
65,65080,Darasta,PC,9h,NR,,9620778,Completed,First,9h,,"October 10, 2019",,,
66,65080,DeWalli,Xbox One,9h,90%,,11166562,Completed,First,9h,,"March 16, 2020",,,
67,65080,Eferrous,PC,9h,NR,,11807803,Completed,First,9h,,"June 11, 2020",,,
68,65080,EnderWiggin,PC,9h,NR,,11473929,Completed,First,9h,,"January 02, 2020",,,
69,65080,Flawii,PC,9h,NR,,11433609,Completed,First,9h,,"April 13, 2020",,,
70,65080,Private,PC,9h,NR,,11506969,Completed,First,9h,,"August 20, 2019",11h,,
71,65080,J3zyk,PC,9h,80%,,8768034,Completed,First,9h,,"March 15, 2020",,,
72,65080,Madd1n0,PC,9h,NR,,8771540,Completed,First,9h,,"May 15, 2019",,,
73,65080,Radiar,PC,9h,NR,,9207143,Completed,First,9h,9h 11m,"June 23, 2019",11h 11m 11s,,
74,65080,Tsubaki,PC,9h,90%,,8788892,Completed,First,9h,12h,"May 16, 2019",,,
75,65080,Vexy,PC,9h,NR,,10721070,Completed,First,9h,,"January 01, 2020",,,
76,65080,WickedCSS,PC,9h,NR,,8898495,Completed,First,9h,,"June 08, 2019",,,
77,65080,guidodi,PC,9h,60%,,11250671,Completed,First,9h,,"March 09, 2020",,,
78,65080,kingofools,PC,9h,NR,,8957702,Completed,First,9h,,"June 14, 2019",,,
79,65080,lilipea,PC,9h,NR,,8854800,Completed,First,9h,,,,,
80,65080,lukinhasx3,PC,9h,90%,,9357747,Completed,First,9h,,"September 12, 2019",,,
81,65080,megadonx21x,Xbox One,9h,NR,,8820211,Playing Completed,First,9h,,"May 20, 2019",,,
82,65080,mrjeges,PC,9h,NR,,8773604,Completed,First,9h,,"May 15, 2019",,,
83,65080,rsaesha,PC,9h,NR,,11095424,Completed,First,9h,,"March 04, 2020",,,
