,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Completion,Main Story,Main+Extras,Completionist,Personal Notes,Co-Op,Speedrun,Progress,Vs.,Retired Notes
0,65235,Private,Nintendo Switch,8h,90%,,11246875,Completed,First,"March 26, 2020",8h,20h,240h,,,,,,
1,65235,Nvidius,Nintendo Switch,8h,NR,,11311367,Completed,First,"November 24, 2019",8h,12h,60h,,,,,,
2,65235,Reaper_We_Are,Nintendo Switch,8h 46m,NR,,10798126,Completed,First,"January 11, 2020",8h 46m 22s,,,Finished through champion battle.,,,,,
3,65235,Deegs,Nintendo Switch,9h 16m,NR,Caught Zacian and beat Hop again. This is from my 9:16 main story,11141390,Completed,Replay,"March 12, 2020",9h 16m,10h 25m,,,,,,,
4,65235,Spacelenin,Nintendo Switch,9h 30m,NR,,11960794,Playing Completed,First,"June 11, 2020",9h 30m,30h,50h,,,,,,
5,65235,TheBarbato,Nintendo Switch,10h 04m,NR,"Did a ""speedrun"" of Shield to get exclusive Pokemon needed for the Sword version.",10560051,Completed,First,"December 08, 2019",10h 04m,,,,,,,,
6,65235,,Nintendo Switch,10h 08m,NR,,10786631,Completed,First,,10h 08m 36s,,,,,,,,
7,65235,Private,Nintendo Switch,10h 40m,NR,,10547614,Completed,First,"December 06, 2019",10h 40m,28h 12m,75h 43m,,,,,,
8,65235,Mellori,Nintendo Switch,11h 38m,NR,Finished main + post game. 3h18m0s of extra time spent catching&battling wild pokemon/shopping/optional trainers,10353522,Completed,First,"December 04, 2019",11h 38m,13h 10m,,,,,,,
9,65235,Miazzma,Nintendo Switch,11h 53m,NR,,10609479,Completed,First,"November 17, 2019",11h 53m,14h,,,,,,,
10,65235,JustEpic,Nintendo Switch,11h 56m,NR,,10997451,Completed,Replay,"February 16, 2020",11h 56m,13h 24m,,,,,,,
11,65235,Godwww,Nintendo Switch,12h,NR,,11163494,Completed,First,"March 15, 2020",12h,,,,,,,,
12,65235,metaloopa,Nintendo Switch,12h,NR,,11288294,Completed,First,"March 29, 2020",12h,,,,,,,,
13,65235,,Nintendo Switch,12h 30m,NR,Getting all shinies besides legendaries,11202570,Completed,First,,12h 30m,15h,320h,,,,,,
14,65235,,Nintendo Switch,12h 35m,NR,,11024841,Completed,First,,12h 35m 42s,,,,,,,,
15,65235,,Nintendo Switch,13h,NR,,10816438,Completed,First,,13h,,,,,,,,
16,65235,ArturGG,Nintendo Switch,13h,NR,rushed,10963730,Completed,First,"February 09, 2020",13h,,,,,,,,
17,65235,Private,Nintendo Switch,13h,NR,,10834035,Completed,First,"January 18, 2020",13h,,,,,,,,
