,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Progress,Playthrough,Completion,Main Story,Main+Extras,Personal Notes,Completionist,Speedrun,100% Speedrun
0,6725,Mellori,PC,14h 39m,NR,"Some extras, ending complete.",10670618,Replay Completed,18h 14m 14s /,First,"February 29, 2020",14h 39m,18h 14m,,,,
1,6725,Private,Wii,14h 50m,20%,,1801234,Completed,,First,"September 15, 2012",14h 50m,24h 55m,,,,
2,6725,Coolgum15,PC,18h,60%,,10827734,Completed,,Replay,,18h,,I skipped half of the cutscenes,,,
3,6725,joshmonte,PlayStation 4,19h 24m,NR,,6042088,Completed,,First,"March 26, 2018",19h 24m 20s,,,,,
4,6725,linkhimura,PC,19h 35m,70%,,11223865,Completed,,First,"March 22, 2020",19h 35m,,,,,
5,6725,Jonoodle,PlayStation 3,20h,NR,,9021573,Completed,,Replay,,20h,,,40h,,
6,6725,Freak0104,Nintendo Switch,20h 05m,NR,,8762863,Completed,,First,"June 29, 2019",20h 05m,,,,,
7,6725,sl99999,Nintendo Switch,20h 39m,NR,,7508547,Completed,,Replay,"November 23, 2018",20h 39m,,,,,
8,6725,automaticfox,Wii,20h 46m,90%,,590760,Completed,,First,"March 23, 2014",20h 46m 18s,,,,,
9,6725,lRaiden,PC,21h,NR,,8607380,Completed,,First,"April 12, 2019",21h,,,,,
10,6725,rumdrools,Nintendo Switch,21h 23m,90%,,7136985,Completed,,First,"September 29, 2018",21h 23m 57s,,,,,
11,6725,SorryJorry,PlayStation 2,22h,NR,,11430613,Completed,,Replay,,22h,,,,,
12,6725,Gamu_,Nintendo Switch,22h 04m,60%,,7494165,Completed,,First,"February 24, 2019",22h 04m,,,,,
13,6725,Gamu_xp,Nintendo Switch,22h 04m,70%,,8435220,Completed,,First,"February 24, 2019",22h 04m,,,,,
14,6725,VeryFamousDroid,Nintendo Switch,22h 33m,NR,,6905724,Completed,,Replay,,22h 33m 51s,,,,,
15,6725,Soloid,PC,23h 07m,90%,,6435734,Completed,,First,"August 20, 2018",23h 07m 09s,,,,,
16,6725,Metakirby22,Nintendo Switch,23h 28m,NR,,8711167,Completed,,Replay,"May 03, 2019",23h 28m 22s,,,,,
17,6725,Haendel,PC,23h 41m,90%,,7009911,Completed,,First,"September 04, 2018",23h 41m 40s,,,,,
18,6725,TSTAB,PC,23h 47m,NR,,5535451,Completed,,Replay,"December 29, 2017",23h 47m 13s,,,,,
19,6725,SorensenxD,PlayStation 4,23h 56m,NR,,11676651,Completed,,Replay,"December 09, 2019",23h 56m,,,,,
20,6725,Minhs2,PC,24h 09m,90%,,6227666,Completed,,Replay,"May 21, 2018",24h 09m 49s,,,,,
21,6725,Turtle0,PC,24h 24m,NR,,5477190,Completed,,First,"December 21, 2017",24h 24m 24s,,,,,
22,6725,,Nintendo Switch,24h 30m,NR,,11562211,Completed,,First,,24h 30m,,,,,
23,6725,Handelaar,Nintendo Switch,24h 36m,80%,,7788693,Completed,,First,"January 12, 2020",24h 36m,,,,,
24,6725,Private,PlayStation 3,24h 46m,NR,,3919095,Completed,,First,"August 10, 2017",24h 46m 46s,,,,,
25,6725,,PlayStation 4,24h 52m,NR,,9174683,Completed,,First,,24h 52m 05s,,,,,
26,6725,,PlayStation 3,25h,NR,,4911785,Completed,,Replay,,25h,35h,,,,
27,6725,,PlayStation 4,25h,NR,,5976051,Completed,,First,,25h,,,,,
28,6725,,Nintendo Switch,25h,NR,,9381448,Completed,,First,,25h,,,,,
29,6725,ArticunoBreeze,PlayStation 3,25h,90%,,10153372,Completed,,First,,25h,,,50h,,
30,6725,LaViel,PlayStation 3,25h,100%,,1338478,Completed,,First,"May 05, 2015",25h,,,,,
31,6725,Panzuu_Maniac,PC,25h,NR,,6569820,Completed,,First,"July 11, 2018",25h,30h 45m,,,,
32,6725,Seyb,Nintendo Switch,25h,NR,,8159144,Completed,,First,,25h,,,,,
33,6725,Private,Nintendo Switch,25h 03m,100%,,11398966,Completed,,First,"April 28, 2019",25h 03m 03s,,,,,
34,6725,Private,Xbox One,25h 09m,70%,,6103005,Completed,,First,"April 09, 2018",25h 09m,,,,,
35,6725,Zephyrn,Nintendo Switch,25h 15m,NR,,8332200,Completed,,First,"February 22, 2019",25h 15m 31s,,,,,
36,6725,Private,PlayStation 4,25h 18m,NR,,4834423,Custom List Completed,,First,"August 25, 2018",25h 18m,,,,,
37,6725,beearmy,Xbox One,25h 22m,80%,,5924761,Completed,,First,"March 03, 2018",25h 22m,,,,,
38,6725,,PlayStation 4,25h 37m,NR,Got stuck couple times adding about 2h extra :D great game,9105344,Completed,,First,,25h 37m 39s,,,,,
39,6725,Bauble,Nintendo Switch,25h 53m,NR,,10410641,Completed,,First,"November 10, 2019",25h 53m 59s,,,,,
40,6725,chihuahualoco333,Wii U,25h 57m,NR,,7009143,Completed,,First,"September 06, 2018",25h 57m,,,,,
41,6725,darthjimicus,Nintendo Switch,25h 58m,NR,,8092137,Completed,,First,"January 21, 2019",25h 58m,,,,,
42,6725,DeWalli,PlayStation 4,26h,90%,,5442366,Completed,,First,"September 09, 2018",26h,,,,,
43,6725,bmz_3,Nintendo Switch,26h,90%,,11463767,Completed,,Replay,"June 06, 2018",26h,,,,,
44,6725,6HourMike,PlayStation 4,26h 05m,NR,,8384079,Completed,,First,"March 01, 2019",26h 05m 32s,,,,,
45,6725,Wolfstats,Nintendo Switch,26h 17m,90%,Main story did only few optional quests,11346202,Completed,,Replay,"April 16, 2020",26h 17m,,,,,
46,6725,,PlayStation 3,26h 23m,NR,,1679172,Completed,,First,,26h 23m 12s,,,41h 25m 14s,,
47,6725,,PlayStation 3,26h 23m,NR,,1679235,Completed,,First,,26h 23m 12s,,,,,
48,6725,no_great_name,PlayStation 2,26h 24m,NR,,3538481,Completed,,First,,26h 24m 18s,,,,,
49,6725,,PC,26h 41m,NR,,6227963,Completed,,Replay,,26h 41m 23s,,,,,
50,6725,Dxie7,Nintendo Switch,26h 42m,NR,,11821815,Completed,,First,"May 23, 2020",26h 42m,,,,,
51,6725,,Nintendo Switch,26h 50m,NR,,9197557,Completed,,First,,26h 50m 37s,,,,,
52,6725,,PC,26h 56m,NR,,9021276,Completed,,First,,26h 56m 33s,,,,,
53,6725,hfmr,Nintendo Switch,27h,NR,,11402556,Completed,,First,"April 10, 2020",27h,37h,,52h,,
