,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Completion,Main Story,Main+Extras,Completionist,Progress,Co-Op,Personal Notes
0,68149,modaren,Xbox,2h 45m,NR,540 gs,11879707,Completed,First,"May 31, 2020",2h 45m,,,,,
1,68149,Private,PC,3h 06m,40%,,11839447,Completed,First,"May 29, 2020",3h 06m 10s,,,,,
2,68149,,PC,3h 20m,NR,,11838808,Completed,First,,3h 20m,,,,,
3,68149,Everdred,Xbox One,3h 35m,70%,,11846684,Completed,First,"May 27, 2020",3h 35m,,,,,
4,68149,,PlayStation 4,3h 39m,NR,Was fast asf,11844604,Completed,First,,3h 39m 24s,,,,,
5,68149,,PC,3h 40m,NR,,11839326,Completed,First,,3h 40m,,,,,
6,68149,,Xbox One,4h,NR,,11844242,Completed,First,,4h,,,,,
7,68149,,Xbox One,4h,NR,3 man co op,11879980,Completed,First,,4h,,,,,
8,68149,,Xbox One,4h,NR,,11920690,Completed,First,,4h,7h,19h 03m,,,
9,68149,Bartezoo,Xbox One,4h,NR,,11854221,Completed,First,"May 28, 2020",4h,,,,,
10,68149,ChuckyEdward,Xbox One,4h,80%,,11977534,Completed,First,"June 12, 2020",4h,,,,,
11,68149,FancyKilerWales,Xbox One,4h,NR,,11856485,Completed,First,"May 28, 2020",4h,,,,,
12,68149,typ12,PC,4h 08m,NR,,11848841,Completed,First,"May 27, 2020",4h 08m 30s,,,,,
13,68149,otakuPower,PC,4h 09m,NR,,11881651,Completed,First,"May 31, 2020",4h 09m,,,,,
14,68149,FusionCal101,Nintendo Switch,4h 09m,40%,"Collecting every item, beating every level on every difficulty and 100% in all categories, and doing everything I can do",11877044,Completed,First,"May 29, 2020",4h 09m 25s,10h 15m 44s,15h 04m 22s,,,
15,68149,,PC,4h 12m,NR,Difficulty level usually higher than recomended,11844854,Completed,First,,4h 12m,,,,,
16,68149,,PC,4h 12m,NR,,11849790,Completed,First,,4h 12m,,,,,
17,68149,DamTheLad,PC,4h 17m,NR,,11844346,Completed,First,"May 31, 2020",4h 17m,,,,,
18,68149,EpicBro99,Xbox One,4h 19m,90%,,11845752,Completed,First,"June 06, 2020",4h 19m 46s,,,,,
19,68149,FieryOne00,Xbox One,4h 28m,NR,,11872234,Completed,First,"May 30, 2020",4h 28m,,,,,
20,68149,Baykkz,PC,4h 30m,NR,,11841321,Completed,First,"May 26, 2020",4h 30m,,,,,
21,68149,Meykr,PC,4h 30m,NR,,11848725,Completed,First,"May 27, 2020",4h 30m,,,,,
22,68149,Panther2103,PC,4h 30m,NR,,11989341,Completed,First,"June 14, 2020",4h 30m,,,,,
