,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Completion,Main Story,Progress,Personal Notes,Main+Extras,Co-Op,Completionist
0,68240,Mialsa,Nintendo Switch,27h 50m,NR,,11853759,Completed,First,"May 10, 2020",27h 50m,,,,,
1,68240,Almog12497,Nintendo Switch,30h,NR,,11403247,Completed,First,"April 10, 2020",30h,,,,,
2,68240,Handelaar,Nintendo Switch,30h,NR,,11402310,Completed,First,"April 22, 2020",30h,,,,,
3,68240,Private,Nintendo Switch,30h,NR,,11377920,Completed,First,"April 10, 2020",30h,,,,,
4,68240,Scattergood91,Nintendo Switch,30h,80%,,11774212,Completed,First,"May 18, 2020",30h,,,,,
5,68240,Son_of_a_Pitch,Nintendo Switch,30h,NR,"3 star island, kk concert, and credits. Took me 20 days.",11254021,Custom List Completed,First,"April 15, 2020",30h,60h /,,,,
6,68240,Tezzla,Nintendo Switch,30h,NR,,11555109,Completed,First,"April 25, 2020",30h,,,,,
7,68240,Private,Nintendo Switch,30h,NR,,11656952,Completed,First,"May 01, 2020",30h,,,,,
8,68240,nlcammarata,Nintendo Switch,30h,100%,,11204993,Completed,First,"May 01, 2020",30h,,Don't think I'll be actually done playing this game for a very long time - just not playing it constantly now.,,,
9,68240,Kardock,Nintendo Switch,30h 30m,80%,,11737428,Playing Completed,First,"May 14, 2020",30h 30m 30s,,,,,
10,68240,albedos_shadow,Nintendo Switch,32h,NR,,11214902,Playing Completed,First,"April 10, 2020",32h,,,,,
11,68240,kariyanine,Nintendo Switch,32h,60%,To credits rolling.,11712917,Completed,First,"May 11, 2020",32h,,,,,
12,68240,melki,Nintendo Switch,33h 25m,NR,3 Star island with K.K. and credits,11722503,Completed,First,"May 12, 2020",33h 25m,,,,,
13,68240,,Nintendo Switch,35h,NR,,11323710,Completed,First,,35h,,,,,
14,68240,,Nintendo Switch,35h,NR,,11452257,Completed,First,,35h,,,,,
15,68240,,Nintendo Switch,35h,NR,,11741821,Completed,First,,35h,,,,,
16,68240,Aquid,Nintendo Switch,35h,NR,,11395430,Playing Completed,First,"April 07, 2020",35h,,,,,
17,68240,Private,Nintendo Switch,35h,90%,,11690701,Completed,First,"May 10, 2020",35h,,,,,
18,68240,Jackineer,Nintendo Switch,35h,NR,Reached Credits and unlocked landscaping,11470182,Completed,First,"April 02, 2020",35h,,,,,
19,68240,TheDanx,Nintendo Switch,35h,NR,KK concert. Around 18 days,11601710,Backlog Completed,First,"May 17, 2020",35h,35h /,,,,
20,68240,Woyanoro,Nintendo Switch,35h,70%,,11378395,Playing Completed,First,"April 07, 2020",35h,,,,,
21,68240,key_of_zee,Nintendo Switch,35h,NR,,11821627,Completed,First,"April 15, 2020",35h,,,,,
22,68240,tausiftt5238,Nintendo Switch,35h,90%,KK slider came to my island and credit started rolling,11447663,Completed,First,"April 14, 2020",35h,,,,,
23,68240,PedAngle,Nintendo Switch,35h 10m,80%,"4 stars island rating, last 2.5M debt left",11202391,Completed,First,"May 24, 2020",35h 10m,,,103h 35m,,
24,68240,GoldenSpaceman,Nintendo Switch,35h 44m,90%,,11204666,Completed Retired,First,"April 04, 2020",35h 44m 07s,,"KK Slider Concert - ""End"" of Campaign",,,
25,68240,Private,Nintendo Switch,35h 50m,90%,??? - All Home Loans Paid + S-Rank House + 5-Star Island,11197826,Playing Backlog Custom List 2 Completed,First,"April 09, 2020",35h 50m,67h 02m 35s /,,,,
26,68240,JKPhones,Nintendo Switch,35h 59m,NR,,11223654,Completed,First,"April 10, 2020",35h 59m,,,,,
27,68240,,Nintendo Switch,36h,NR,,11336078,Completed,First,,36h,,,,,
28,68240,Private,Nintendo Switch,36h,80%,,11418668,Completed,First,"June 07, 2020",36h,,,,,
29,68240,Private,Nintendo Switch,36h 45m,NR,,11541054,Completed,First,"April 13, 2020",36h 45m,,,,,
30,68240,chadilak,Nintendo Switch,37h 13m,90%,17 real days of play. 3 Star island. K.K. Slider concert with credits.,11429349,Completed,First,"April 20, 2020",37h 13m,,,,,
31,68240,Private,Nintendo Switch,37h 23m,80%,,11463813,Completed,First,"April 16, 2020",37h 23m,,,,,
32,68240,blitzfire,Nintendo Switch,37h 42m,70%,,11518086,Completed,First,"April 21, 2020",37h 42m,,,,,
33,68240,,Nintendo Switch,40h,NR,,11392620,Completed,First,,40h,,,,,
34,68240,,Nintendo Switch,40h,NR,,11696470,Completed,First,,40h,,,,,
35,68240,,Nintendo Switch,40h,NR,,11777683,Completed,First,,40h,,,,,
36,68240,ClarkDV,Nintendo Switch,40h,NR,,11597337,Completed,First,"April 29, 2020",40h,,,,,
37,68240,Gongbanza,Nintendo Switch,40h,NR,,12001921,Completed,First,"June 15, 2020",40h,,,,,
38,68240,Kynois77,Nintendo Switch,40h,NR,,11878058,Completed,First,"May 31, 2020",40h,,,,,
39,68240,RedGyarados,Nintendo Switch,40h,90%,,11368812,Playing Completed,First,"April 06, 2020",40h,75h /,,,,
40,68240,cmthunbe,Nintendo Switch,40h,100%,,11114335,Playing Completed,First,"April 10, 2020",40h,80h /,,,,
41,68240,Private,Nintendo Switch,40h,80%,,12011875,Completed,First,,40h,,,,,
42,68240,wilson576,Nintendo Switch,40h,NR,,11378611,Completed,First,"April 05, 2020",40h,,,,,
43,68240,derock161,Nintendo Switch,41h 02m,100%,K.K Concert,11201373,Playing Custom List Completed,First,"April 13, 2020",41h 02m,139h 10m /,,,,
44,68240,Gamefreak4,Nintendo Switch,41h 24m,90%,"K.K. Concert, 3 Star Island, Credits",11202520,Playing Completed,First,"May 07, 2020",41h 24m 10s,46h 56m 24s /,,,,
