,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Completion,Main Story,Progress,Main+Extras,Completionist,Personal Notes
0,70160,MajorasMatt,Nintendo Switch,30h 45m,90%,,11943738,Completed,First,"June 03, 2020",30h 45m,,,,
1,70160,robogiraffe,Nintendo Switch,31h 15m,NR,Casual mode. Finished at level 76.,11894105,Playing Backlog Completed,First,"June 15, 2020",31h 15m,31h 15m /,,,
2,70160,sepharas,Nintendo Switch,31h 27m,NR,"Finished level 75, around 100 sidequests.",11927050,Completed,First,"June 07, 2020",31h 27m,,,,
3,70160,,Nintendo Switch,31h 38m,NR,,11897874,Completed,First,,31h 38m,,,,
4,70160,hisherwin,Nintendo Switch,32h 22m,NR,,11888928,Completed,First,"June 02, 2020",32h 22m,,,,
5,70160,,Nintendo Switch,32h 44m,NR,,11946996,Completed,First,,32h 44m,,,,
6,70160,samusaran187,Nintendo Switch,33h 31m,NR,,11956931,Completed,Replay,"June 10, 2020",33h 31m,,,,
7,70160,moeshiznit,Nintendo Switch,35h 52m,NR,,11882385,Completed,First,"June 01, 2020",35h 52m,,,,
8,70160,Luigichief,Nintendo Switch,37h 16m,NR,,11942480,Completed,First,"June 08, 2020",37h 16m,,,,
9,70160,Copeland1994,Nintendo Switch,37h 20m,90%,6/12/20,11968322,Completed,First,"June 11, 2020",37h 20m,,41h,,
10,70160,Aliseyun,Nintendo Switch,37h 30m,NR,"Main + Future Connected, few sidequests",11881357,Completed,First,"May 31, 2020",37h 30m,,,,
11,70160,YouLostYourLife,Nintendo Switch,37h 32m,NR,"Note that I played through the original once, so this is rushed. It should really be ~65 hours.",11876857,Playing Completed,First,"May 31, 2020",37h 32m 12s,,,,
12,70160,,Nintendo Switch,38h 30m,NR,,12008450,Completed,Replay,,38h 30m,,45h,,
13,70160,AkiTsk,Nintendo Switch,38h 30m,100%,Just the main story without the epilogue,12006744,Completed,First,"June 15, 2020",38h 30m,,,,
14,70160,millapede,Nintendo Switch,38h 43m,NR,"First time playing Xenoblade 1 - Main story only (no Future Connected) - Minimal exploring, grinding, and side questing.",11918670,Completed,First,"June 06, 2020",38h 43m,,,,
15,70160,Benku,Nintendo Switch,38h 51m,NR,,11922739,Completed,First,"June 06, 2020",38h 51m,,45h 31m,,
16,70160,SuperJimbo64,Nintendo Switch,39h 40m,NR,,11990548,Playing Completed,First,"June 19, 2020",39h 40m,39h 40m /,,,
17,70160,DreamEaglr,Nintendo Switch,40h,NR,,11936361,Completed,First,"June 08, 2020",40h,,70h,120h,
18,70160,cellslayer78,Nintendo Switch,40h 31m,100%,,12034006,Completed,First,"June 18, 2020",40h 31m,,,,
19,70160,jat243,Nintendo Switch,40h 36m,NR,,11999176,Completed,First,"June 15, 2020",40h 36m,,,,
20,70160,,Nintendo Switch,41h,NR,,11936777,Completed,First,,41h,,,,
21,70160,ThinnerDust,Nintendo Switch,42h 21m,NR,,11889359,Completed,First,"June 02, 2020",42h 21m,,,,
22,70160,,Nintendo Switch,42h 42m,NR,,11964623,Completed,First,,42h 42m,,,,
23,70160,,Nintendo Switch,43h,NR,,11863973,Completed,First,,43h,,,,
24,70160,,Nintendo Switch,43h 51m,NR,,11985047,Completed,First,,43h 51m,,,,
25,70160,DrakeMcHale,Nintendo Switch,45h 20m,NR,,11858473,Completed,First,"June 14, 2020",45h 20m,,,,
26,70160,,Nintendo Switch,46h 30m,NR,,11935863,Completed,First,,46h 30m,,,,
27,70160,Lapidot18,Nintendo Switch,46h 46m,NR,First time playing. Main story + did some sidequests and exploring,11925308,Completed,First,"June 07, 2020",46h 46m,,,,
28,70160,,Nintendo Switch,47h 17m,NR,Main story with probably around 5-6 hours total grinding,11968698,Completed,First,,47h 17m,,,,
29,70160,Private,Nintendo Switch,48h 02m,90%,Casual mode,11912273,Completed,First,"June 11, 2020",48h 02m,,,,
30,70160,,Nintendo Switch,48h 53m,NR,,11893232,Completed,First,,48h 53m,,,,
31,70160,Msiz416,Nintendo Switch,48h 58m,80%,,11895739,Completed,First,"June 03, 2020",48h 58m,,,,
32,70160,walhac,Nintendo Switch,49h 15m,90%,,11894450,Backlog Completed,First,"June 03, 2020",49h 15m,49h 15m /,57h 20m,,
33,70160,,Nintendo Switch,50h,NR,,11983643,Completed,First,,50h,,65h 20m,,
34,70160,,Nintendo Switch,50h 55m,NR,,12007319,Completed,First,,50h 55m,,,,
35,70160,Mitchell_Cookie,Nintendo Switch,52h 12m,NR,,11999925,Completed,First,"June 15, 2020",52h 12m,,,,
36,70160,Okeui,Nintendo Switch,52h 21m,100%,,11946766,Completed,First,"June 08, 2020",52h 21m,,,,
37,70160,,Nintendo Switch,55h 28m,NR,,11988686,Completed,First,,55h 28m,,,,
38,70160,Akkusativ,Nintendo Switch,57h 04m,100%,,11547949,Completed,First,"June 07, 2020",57h 04m,,,,
39,70160,,Nintendo Switch,57h 30m,NR,,11914697,Completed,Replay,,57h 30m,,,,
40,70160,,Nintendo Switch,57h 47m,NR,,11966604,Completed,First,,57h 47m,,,,
41,70160,Private,Nintendo Switch,63h 52m,90%,,11870323,Completed,First,"June 11, 2020",63h 52m,,,,
42,70160,Just_A_Pixel,Nintendo Switch,63h 56m,90%,,11946829,Completed,First,"June 09, 2020",63h 56m,,,,
43,70160,Betsch,Nintendo Switch,64h 15m,NR,Future Connected Mainquest only,11864441,Completed,First,"June 12, 2020",64h 15m 56s,,70h 28m 24s,,
44,70160,,Nintendo Switch,64h 23m,NR,Includes future connected,11929291,Completed,First,,64h 23m 46s,,96h 45m 26s,,
45,70160,,Nintendo Switch,65h,NR,,12035974,Completed,First,,65h,,100h,125h,
46,70160,Otorino,Nintendo Switch,68h 50m,100%,,12009016,Completed,First,"June 16, 2020",68h 50m,,,,
47,70160,,Nintendo Switch,68h 55m,NR,,11929403,Completed,First,,68h 55m,,,,
48,70160,,Nintendo Switch,70h 05m,NR,,11770476,Completed,Replay,,70h 05m,,,,
49,70160,cheme116,Nintendo Switch,75h 59m,NR,,11902226,Completed,First,"June 03, 2020",75h 59m,,,,
50,70160,JayT22,Nintendo Switch,38h 14m,NR,,11885747,Completed,First,"June 13, 2020",,,38h 14m,,
51,70160,Copeland1994,Nintendo Switch,41h,90%,6/12/20,11968322,Completed,First,"June 11, 2020",37h 20m,,41h,,
52,70160,Degeto,Nintendo Switch,42h,90%,,11970309,Completed,First,"June 15, 2020",,,42h,,
53,70160,Campione,Nintendo Switch,44h 28m,NR,,11904095,Completed,First,"June 04, 2020",,,44h 28m,,
54,70160,ECGCblu,Nintendo Switch,44h 54m,100%,,11909302,Completed,First,"June 06, 2020",,,44h 54m,,
55,70160,,Nintendo Switch,45h,NR,,12008450,Completed,Replay,,38h 30m,,45h,,
56,70160,Benku,Nintendo Switch,45h 31m,NR,,11922739,Completed,First,"June 06, 2020",38h 51m,,45h 31m,,
57,70160,edvinqu,Nintendo Switch,45h 36m,NR,,12009990,Completed,First,"June 16, 2020",,,45h 36m,,
58,70160,ThinnerDust,Nintendo Switch,50h,NR,,11924071,Completed,First,"June 07, 2020",,,50h,,
59,70160,Zorginom,Nintendo Switch,51h 47m,NR,,11981293,Completed,Replay,"June 13, 2020",,,51h 47m,,
60,70160,AragornK,Nintendo Switch,55h 11m,100%,All side quests.,11926293,Completed,First,"June 07, 2020",,,55h 11m,,
61,70160,Private,Nintendo Switch,56h,NR,,11898438,Completed,First,"June 14, 2020",,,56h,,
62,70160,Saiko_Orochi,Nintendo Switch,56h 32m,90%,,11935063,Completed,First,"June 18, 2020",,,56h 32m,,
63,70160,Tezzla,Nintendo Switch,57h,NR,,11927499,Completed,First,"June 07, 2020",,,57h,,
64,70160,walhac,Nintendo Switch,57h 20m,90%,,11894450,Backlog Completed,First,"June 03, 2020",49h 15m,49h 15m /,57h 20m,,
65,70160,suicnt,Nintendo Switch,58h 01m,100%,,11936748,Completed,First,"June 08, 2020",,,58h 01m,,
66,70160,AwDeathsmile,Nintendo Switch,59h 35m,NR,,11990850,Completed,First,"June 18, 2020",,,59h 35m,,
67,70160,phendrifts,Nintendo Switch,59h 41m,100%,,11957900,Completed,First,"June 06, 2020",,,59h 41m,,favorite game of all time
68,70160,tip,Nintendo Switch,60h,NR,,11983085,Completed,First,"June 13, 2020",,,60h,,
69,70160,chadilak,Nintendo Switch,61h 27m,100%,IGT. Main + Future Connected.,11895147,Completed,First,"June 02, 2020",,,61h 27m,,
70,70160,Cancakes,Nintendo Switch,61h 49m,90%,,11917742,Completed,Replay,"June 06, 2020",,,61h 49m,,
71,70160,Splashbruh,Nintendo Switch,62h,90%,,11561026,Completed,First,"June 09, 2020",,,62h,,
72,70160,RFPN532,Nintendo Switch,62h 23m,100%,"Finished the Main story, but not all side quest.",11997750,Completed,First,"June 14, 2020",,,62h 23m,,
73,70160,EpsilonEsper,Nintendo Switch,63h 23m,100%,"I really took it all in and grinded a lot more than I was needed, probably added about 10 hours",11922937,Completed,First,"June 06, 2020",,,63h 23m,,
74,70160,Fokkos,Nintendo Switch,63h 23m,NR,,11992544,Completed,First,"June 14, 2020",,,63h 23m,,
75,70160,commandercarr,Nintendo Switch,65h 13m,NR,,11906772,Playing Completed,First,"June 15, 2020",,65h 13m /,65h 13m,,"Leisurely playthough, tried to do as many side quests as possible, didn't worry about missable quests, party at lvl 76 after final boss."
76,70160,,Nintendo Switch,65h 20m,NR,,11983643,Completed,First,,50h,,65h 20m,,
77,70160,,Nintendo Switch,65h 21m,NR,,12006273,Completed,Replay,,,,65h 21m,,
78,70160,Private,Nintendo Switch,65h 21m,100%,,11981538,Completed,Replay,"June 13, 2020",,,65h 21m,,No missables before mechonis core. Rush to the end after.
79,70160,,Nintendo Switch,65h 21m,NR,,12006277,Completed,Replay,,,,65h 21m 28s,,
80,70160,TheAdmiral1701,Nintendo Switch,65h 39m,100%,,11914541,Completed,First,"June 05, 2020",,,65h 39m,,
81,70160,,Nintendo Switch,66h,NR,,11980925,Completed,First,,,,66h,,
82,70160,,Nintendo Switch,66h,NR,,11980935,Completed,First,,,,66h,,
83,70160,,Nintendo Switch,66h,NR,,11980936,Completed,First,,,,66h,,
84,70160,IkeClimbers,Nintendo Switch,66h 08m,90%,,11994964,Completed,Replay,"June 14, 2020",,,66h 08m,,
85,70160,EELRed,Nintendo Switch,67h 30m,NR,+Future Connected,11454559,Completed,First,"June 13, 2020",,,67h 30m,,
86,70160,,Nintendo Switch,69h 23m,NR,,11945515,Completed,First,,,,69h 23m 45s,,
87,70160,Bluziken,Nintendo Switch,69h 41m,100%,"About 80% of side quests completed, with a good amount of other stuff such as time attack, character upgrades, etc.",11984137,Completed,First,"June 13, 2020",,,69h 41m,,
88,70160,,Nintendo Switch,70h,NR,,12007302,Completed,First,,,,70h,,
89,70160,,Nintendo Switch,70h,NR,,12029018,Completed,First,,,,70h,,
90,70160,DreamEaglr,Nintendo Switch,70h,NR,,11936361,Completed,First,"June 08, 2020",40h,,70h,120h,
91,70160,Shima,Nintendo Switch,70h,100%,,11930091,Completed,First,"June 07, 2020",,,70h,,
92,70160,Betsch,Nintendo Switch,70h 28m,NR,Future Connected Mainquest only,11864441,Completed,First,"June 12, 2020",64h 15m 56s,,70h 28m 24s,,
93,70160,nebyelats,Nintendo Switch,71h 20m,100%,"59:30 in main game, 11:50 in epilogue",11568019,Completed,First,"June 07, 2020",,,71h 20m,,
94,70160,yungfalcon,Nintendo Switch,72h 20m,NR,,11859456,Completed,First,"June 14, 2020",,,72h 20m 58s,,
95,70160,grayman407,Nintendo Switch,75h 39m,100%,,11992180,Completed,First,"June 14, 2020",,,75h 39m,,
96,70160,StabbyKnife,Nintendo Switch,76h 28m,90%,,11858735,Completed,First,"June 17, 2020",,,76h 28m,,
97,70160,kevinkaywho,Nintendo Switch,80h,NR,,12035990,Completed,First,"June 17, 2020",,,80h,,
98,70160,kevon24,Nintendo Switch,80h,90%,Main Story + Extra Story,11951277,Completed,First,"June 09, 2020",,,80h,,
99,70160,aclonedjuju,Nintendo Switch,80h 12m,NR,,11857491,Completed,First,"June 16, 2020",,,80h 12m,,
100,70160,Mahoupoint,Nintendo Switch,80h 16m,NR,,11765641,Completed,First,"June 14, 2020",,,80h 16m,,
101,70160,Private,Nintendo Switch,80h 54m,NR,,11954784,Completed,First,"June 09, 2020",,,80h 54m,,
102,70160,lelek007,Nintendo Switch,81h 40m,90%,,11940661,Completed,First,"June 11, 2020",,,81h 40m,,
103,70160,Private,Nintendo Switch,82h 54m,NR,"Whole story, upto level 4 colony 6 expansion, did monster quests incl. unique monsters. Finished at level 80.",11920880,Completed,First,"June 05, 2020",,,82h 54m,,
104,70160,Sartoris,Nintendo Switch,83h 54m,100%,"All timed quests, Colony 6 at 5/5/4/4, 5 stars in all communities with the exception of C6.",11985218,Completed,Replay,"June 13, 2020",,,83h 54m,,"I didn't reach anywhere near this close to completion on my Wii playthroughs and they always took over 100 hours. Collecting for Colony 6 can still be a headache but that is the only side content that will take some time, and that's by design. Even still, every single collectible can be bought with currency from the time attack mode, so if you'd rather grind combat challenges than wandering aimlessly through late game areas that option is available from early in the game."
105,70160,,Nintendo Switch,90h,NR,,11950273,Completed,First,,,,90h,,
106,70160,Shillk,Nintendo Switch,90h,NR,Includes Future Connected,11871215,Completed,First,"June 15, 2020",,,90h,,
107,70160,jover,Nintendo Switch,90h,100%,,11950305,Completed,First,"June 10, 2020",,,90h,,
108,70160,Private,Nintendo Switch,95h 32m,NR,,11859716,Completed,First,"June 14, 2020",,,95h 32m,105h,
109,70160,,Nintendo Switch,96h 45m,NR,Includes future connected,11929291,Completed,First,,64h 23m 46s,,96h 45m 26s,,
110,70160,,Nintendo Switch,100h,NR,,12035974,Completed,First,,65h,,100h,125h,
111,70160,Twilightwind,Nintendo Switch,100h 40m,NR,All Sidequests Complete,11864458,Completed,Replay,"June 11, 2020",,,100h 40m,,
112,70160,Nice01,Nintendo Switch,90h 33m,100%,,11941848,Completed,Replay,"June 09, 2020",,,,90h 33m,
113,70160,Private,Nintendo Switch,105h,NR,,11859716,Completed,First,"June 14, 2020",,,95h 32m,105h,
114,70160,vegeta9thousand,Nintendo Switch,118h 25m,NR,,11996330,Completed,First,"June 14, 2020",,,,118h 25m,
115,70160,DreamEaglr,Nintendo Switch,120h,NR,,11936361,Completed,First,"June 08, 2020",40h,,70h,120h,
116,70160,,Nintendo Switch,125h,NR,,12035974,Completed,First,,65h,,100h,125h,
117,70160,yakumomo,Nintendo Switch,132h,90%,,12010459,Completed,First,"June 16, 2020",,,,132h,
118,70160,CourageCactus,Nintendo Switch,183h 07m,NR,"Total completion including: all quests, rebuilt colony 6, 100% collectapedia, etc",11985162,Completed,Replay,"June 13, 2020",,,,183h 07m,
119,70160,,Nintendo Switch,183h 22m,NR,"This playthrough included: maxing affinity, rebuilding colony 6, all available quests, maxing all arts, etc",11984488,Completed,Replay,,,,,183h 22m,
