,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Main Story,Main+Extras,Completionist,Personal Notes,Completion,Speedrun,Progress,100% Speedrun,Co-Op
0,7230,,,30m,NR,,402232,Completed,Replay,30m,3h,5h,Kind of a speedrun.,,,,,
1,7230,SourSpecialist,PC,30m,80%,,8570987,Completed,Replay,30m,,,,"April 05, 2019",,,,
2,7230,saljun,PC,30m,NR,,680346,Completed,Replay,30m,,,,"August 23, 2011",,,,
3,7230,DioXx00,PC,33m,NR,,9109223,Completed,Replay,33m 02s,2h,,,"July 08, 2019",,,,
4,7230,,PC,33m,NR,,8185228,Completed,Replay,33m 21s,,,,,,,,
5,7230,DioXx00,PC,33m,NR,,9111028,Replay Completed,Replay,33m 43s,3h,3h 33m 43s,,"July 08, 2018",,,,
6,7230,,PC,34m,NR,,10288416,Completed,Replay,34m 12s,,,,,,,,
7,7230,,PC,35m,NR,,2384899,Completed,Replay,35m,,,,,29m 30s,,,
8,7230,,PC,35m,NR,,3806830,Completed,Replay,35m,,,,,,,,
9,7230,,PC,37m,NR,,9245740,Completed,First,37m,,,,,,,,
10,7230,,PC,37m,NR,,6419158,Completed,Replay,37m 40s,,,,,,,,
11,7230,unicornyay,PC,38m,NR,,11891962,Replay Completed,Replay,38m 16s,,,,"June 02, 2020",38m 15s,38m 16s /,,
12,7230,MrROBINKONG,PC,38m,NR,,11149042,Completed,Replay,38m 34s,,,,"March 14, 2020",38m 33s,,,
13,7230,,PC,39m,NR,,3340714,Completed,Replay,39m,,,,,,,,
14,7230,Spooky662,PC,40m,NR,,11039866,Playing Completed,First,40m,,,,"December 21, 2019",,1h 47m /,,
15,7230,unicornyay,PC,40m,NR,,11146372,Replay Completed,Replay,40m 36s,,,,"March 13, 2020",,40m 36s /,,
16,7230,MaxMonkey,Xbox 360,41m,NR,,1904953,Completed,First,41m 25s,,,,,,,,
17,7230,,PC,42m,NR,,5905355,Completed,Replay,42m 15s,,,,,,,42m 15s,
18,7230,,PC,42m,NR,,6394084,Completed,Replay,42m 36s,,,,,,,,
19,7230,,PC,44m,NR,,10853979,Completed,Replay,44m,,,,,,,,
20,7230,Gedreo,PC,44m,NR,,2976921,Completed,First,44m,,,,,,,,
21,7230,baseballpunt,PC,44m,NR,,1381764,Completed,First,44m,,,,,,,,
22,7230,MrROBINKONG,PC,44m,NR,,11113251,Completed,Replay,44m 04s,,,,"March 07, 2020",44m 03s,,,
23,7230,,,45m,NR,,337866,Completed,First,45m,1h,,,,,,,
24,7230,,Xbox 360,45m,NR,,6273686,Completed,Replay,45m,,,,,,,,
25,7230,,Xbox One,45m,NR,,11045950,Completed,Replay,45m,,,,,,,,
26,7230,,PC,45m,NR,,11890711,Completed,First,45m,,,,,,,,
27,7230,xTechnomancer,PC,45m,NR,,8652736,Replay Completed,Replay,45m,,,,,,,,
28,7230,,PC,45m,NR,,5245182,Completed,Replay,45m 34s,,,,,,,,
29,7230,,,49m,NR,,438846,Completed,First,49m,,,,,,,,
30,7230,Pepsiisgood,PC,49m,80%,,7212388,Completed,First,49m 36s,,,,"October 08, 2018",,,,
