,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Main Story,Completion,Main+Extras,Completionist,100% Speedrun,Speedrun,Personal Notes,Co-Op,Vs.,Progress
0,7720,,,4h,NR,,290351,Completed,First,4h,,,,,,,,,
1,7720,slickochet,Nintendo Switch,4h 45m,NR,"New game+ with Special2 costumes, Chicago Typewriter, Infinite Rocket Launcher and Plagas gun.",8822280,Completed,Replay,4h 45m 57s,"July 22, 2019",,,,,,,,
2,7720,,,5h,NR,,290353,Completed,First,5h,,,,,,,,,
3,7720,,PlayStation 4,5h 02m,NR,,11651850,Completed,Replay,5h 02m 47s,,,,,,,,,
4,7720,,PlayStation 4,5h 18m,NR,,3796891,Completed,Replay,5h 18m 09s,,12h 54m 26s,18h 12m 35s,,,,,,
5,7720,,Xbox One,5h 36m,NR,,8758635,Completed,Replay,5h 36m 07s,,,,5h 36m 07s,,,,,
6,7720,the88shrimp,PC,5h 44m,100%,This speed run is how long it took be to get all steam achievements,1196623,Completed,Replay,5h 44m 26s,,,26h,,4h 23m 44s,,,,
7,7720,,PlayStation 3,5h 55m,NR,,5519915,Completed,Replay,5h 55m 17s,,,,,,,,,
8,7720,luisbambino,PlayStation 4,6h,NR,,5521823,Completed,First,6h,"December 27, 2017",,,,,,,,
9,7720,,PC,6h 02m,NR,,11144926,Completed,Replay,6h 02m 55s,,,,,,,,,
10,7720,NINJAX2X,PlayStation 4,6h 06m,NR,,8263280,Completed,Replay,6h 06m,"February 14, 2019",,,,,,,,
11,7720,mxcrps,PC,6h 18m,NR,"Professional mode, 13 deaths, replay.",1795641,Completed,Replay,6h 18m 03s,"September 09, 2015",,,,,"Professional mode, 13 deaths, replay.",,,
12,7720,,PlayStation 4,6h 40m,NR,,6520443,Completed,Replay,6h 40m,,,,,,,,,
13,7720,PlushWraith,Wii,6h 44m,NR,"Easy mode, 2 deaths. Round 3. Special outfit 2.",3266176,Completed,Replay,6h 44m 57s,"July 28, 2016",,,,,,,,
14,7720,,PC,6h 45m,NR,No new game+ perks. Third playthrough,3087059,Completed,Replay,6h 45m,,,,,,,,,
15,7720,PlushWraith,Wii,6h 47m,NR,"Easy mode, 3 deaths. Round 2. Special outfit 2.",2152469,Completed,Replay,6h 47m 13s,"November 28, 2015",,,,,,,,
16,7720,Private,PC,6h 49m,70%,Rating: 7.5/10 // Rushed it a lot.,4377467,Completed,Replay,6h 49m,"May 03, 2017",,,,,,,,
17,7720,nsalinardi,PC,7h,80%,,11383142,Completed,First,7h,,,,,,,,,
18,7720,alexbeeeeeee,PlayStation 4,7h 05m,NR,"Ashley inv, typewriter run",8379702,Replay Completed,Replay,7h 05m,"February 28, 2019",,,,,,,,
19,7720,rafax666,PlayStation 2,7h 15m,NR,,1077277,Completed,Replay,7h 15m,,,,,2h 01m,,,,
20,7720,GrindTheOcean,Nintendo GameCube,7h 30m,NR,,5642129,Completed,Replay,7h 30m,,,,,,,,,
21,7720,Private,PC,7h 31m,NR,,4055311,Completed,First,7h 31m 45s,"February 10, 2017",,,,,,,,
22,7720,yoshisixtyfour,Wii,7h 32m,100%,,621504,Completed,First,7h 32m 46s,,12h 22m 36s,,,6h 38m,played on nearly every console but Wii is still by far the best one. idk,,,
23,7720,,PlayStation 2,7h 35m,NR,,290367,Completed,Replay,7h 35m,,,,,,,,,
24,7720,,PlayStation 4,7h 42m,NR,,3858389,Completed,Replay,7h 42m 37s,,,,,5h 32m 12s,,3h 45m 13s,3h 24m 57s,
25,7720,,PlayStation 4,7h 49m,NR,,11280053,Completed,First,7h 49m 13s,,,,,,,,,
26,7720,,PlayStation 4,7h 58m,NR,,5874024,Completed,Replay,7h 58m 20s,,,,,,,,,
27,7720,kylenorman16,PC,7h 59m,NR,,2278224,Completed,Replay,7h 59m,"June 21, 2013",,,,,,,,
28,7720,OnaagaB,PlayStation 2,8h,NR,,11822053,Completed Retired,First,8h,"August 11, 2009",,,,,,,,
29,7720,TheEvilSwineReturns,Nintendo GameCube,8h,90%,,9339765,Completed,Replay,8h,"August 10, 2019",12h,25h,,,,,,
30,7720,Uncle_Kaz,PC,8h,NR,,6941375,Completed,Replay,8h,"August 29, 2018",20h,54h,,,,,,
31,7720,jakeakatheone,PlayStation 3,8h,NR,,11350675,Completed,Replay,8h,"April 04, 2016",,,,,,,,
32,7720,lRaiden,PC,8h,NR,,8418466,Completed,First,8h,"February 23, 2019",,,,,,,,
33,7720,bunu,PlayStation 2,8h 11m,NR,,10981598,Completed,First,8h 11m,"February 12, 2020",,,,,,,,
34,7720,nomorevideos,PlayStation 2,8h 11m,90%,,3376703,Completed,First,8h 11m 04s,"April 27, 2016",,,,,"Played on emulator, with cheats enabled because I'm a wuss.",,,
35,7720,PlushWraith,Wii,8h 24m,NR,"Normal mode, 9 deaths. Round 2. Special outfit 1.",11596048,Completed,Replay,8h 24m 39s,"April 29, 2020",,,,,,,,
36,7720,DeepFrost,PlayStation 4,8h 25m,NR,,8047794,Completed,Replay,8h 25m,"January 16, 2019",,32h,,,,,,
37,7720,,PlayStation 4,8h 26m,NR,,3973298,Completed,Replay,8h 26m 22s,,12h 33m 14s,14h 22m 32s,,,,,,
38,7720,Marcel1983,Xbox 360,8h 30m,100%,,434057,Completed,Replay,8h 30m,"October 04, 2013",,,,,,,,
39,7720,Ruina,PC,8h 35m,NR,,7641516,Completed,First,8h 35m,"December 05, 2018",,,,,,,,
40,7720,alexbeeeeeee,Nintendo Switch,8h 36m,100%,,8967420,Replay Completed,Replay,8h 36m,"July 30, 2019",,,,,2nd Switch Run complete!,,,
41,7720,beyondthegun,Nintendo GameCube,8h 36m,90%,Normal Mode: 10 Saves,5012127,Completed,First,8h 36m 14s,,,,,,,,,
42,7720,,PC,8h 43m,NR,,9248689,Completed,Replay,8h 43m 19s,,13h 46m 13s,,,,,,,
43,7720,Ruruja,PC,8h 45m,NR,,5311816,Completed,First,8h 45m,"November 12, 2017",,,,,,,,
44,7720,,PlayStation 4,9h,NR,,8488876,Completed,First,9h,,,,,,,,,
45,7720,TheOro44,PlayStation 2,9h,80%,,583668,Completed,Replay,9h,,,,,,"Besser als auf dem PC, schlechter als auf dem GC: qualit�tstechnisch ist die PS2 Version eher die zweite Wahl. Auch auf 360, Wii, GC, PC und PS3 verf�gbar.",,,
46,7720,moosetorpedo,PC,9h,NR,,768747,Playing Completed,Replay,9h,"June 20, 2014",,,,,,,,
47,7720,propergompa,PlayStation 4,9h,100%,,7087114,Completed,Replay,9h,"October 29, 2018",,,,,,,,
48,7720,rovingpianist,PC,9h,NR,"Main Story + = profesional run, then getting bottlecaps, all treasures side tracked",4178305,Completed,Replay,9h,"March 13, 2017",27h,45h,2h 40m,1h 33m,PLayed so many times glad to have it as first on my useless account to my stupid hobbies,,,
49,7720,RandomHobo,PlayStation 3,9h 03m,100%,,222642,Completed,Replay,9h 03m 31s,"March 31, 2013",,,,,,,,
50,7720,RamiChaiben_2004192,PC,9h 06m,NR,,11409041,Playing Completed,Replay,9h 06m 02s,"April 11, 2020",,,,,,,,
