,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Completion,Main Story,Personal Notes,Speedrun,Main+Extras,Completionist,Progress
0,869,Deadlatin33,PC,2h 09m,NR,,2529669,Completed,First,"February 06, 2016",2h 09m,Completed Main Campaign once,,,,
1,869,shoma23ss,PC,2h 15m,NR,Very enjoyable game,106584,Completed,First,"May 07, 2012",2h 15m,,,,,
2,869,slickn4,Linux,2h 23m,70%,Total time: 02:23:28.690,1986930,Completed,First,"October 22, 2015",2h 23m 28s,"Segmented times (added together with a time calculator):
33:57.905 - 1st segment
42:56.434 - 2nd segment
31:10.929 - 3rd segment
35:23.422 - 4th segment (final)",,,,
3,869,Tdoe,PC,2h 30m,NR,,2708210,Completed,First,"March 09, 2016",2h 30m,,2h 10m,,,
4,869,CapablePaper,PC,2h 32m,NR,,11292406,Completed,First,,2h 32m,,,,,
5,869,,PC,2h 40m,NR,,3319352,Completed,First,,2h 40m,,,,,
6,869,Private,PC,2h 43m,NR,,3831278,Completed,First,,2h 43m,,,,,
7,869,Everdred,Xbox One,2h 46m,90%,,7546242,Completed,Replay,"December 05, 2018",2h 46m,,,,,
8,869,Desu,PC,2h 48m,NR,Only played for the story.,192079,Completed,First,"November 10, 2012",2h 48m,,,,,
9,869,ziggystardust65,PC,2h 55m,80%,,5185567,Completed,First,"October 19, 2017",2h 55m,,,,,
10,869,,Xbox 360,3h,NR,,294374,Completed,First,,3h,"Excellent game, decent soundtrack, campaign is superb and had me on edge throughout the game, shame it only lasted 3 hours",,,,
11,869,,PC,3h,NR,,299879,Completed,First,,3h,,,,,
12,869,,PC,3h,NR,,2037850,Completed,First,,3h,,,,,
13,869,,PC,3h,NR,,5638409,Completed,Replay,,3h,,,,,
14,869,,PC,3h,NR,,10371871,Completed,First,,3h,,,,,
15,869,500kevc,PC,3h,70%,,8033913,Completed,First,"May 09, 2017",3h,,,,,
16,869,Azareth,PC,3h,NR,,2415123,Completed,First,"December 26, 2013",3h,25% Steam achievement,,,,
17,869,Azrathiel,PC,3h,NR,,3232973,Completed,First,"July 16, 2016",3h,,,,,
18,869,BadHairGaming,PC,3h,NR,,6777839,Completed,Replay,"August 06, 2018",3h,,,,,
19,869,Clawed,PC,3h,NR,,1138111,Completed Retired,First,"August 13, 2013",3h,,,,,
20,869,Cooler,PC,3h,NR,,2255225,Completed,First,"December 31, 2015",3h,,,,,
21,869,DeathMayCry,PC,3h,NR,,2347345,Completed,First,,3h,,,,,
22,869,EskimoDave,,3h,NR,,160513,Completed,First,"July 29, 2012",3h,,,,,
23,869,Irish09,PC,3h,NR,,839860,Completed,First,"July 21, 2014",3h,"Another steam summer sale and I wanted to complete. Beat it in one sitting without exploration, just straight main store line.",,,,
24,869,KawaiiGuy,Xbox One,3h,NR,,10727315,Completed,First,,3h,,,,,
25,869,MaxMonkey,PC,3h,90%,,2268920,Completed,First,"December 24, 2015",3h,,,,,
26,869,Steags,PC,3h,NR,,3794815,Completed,First,,3h,,,,,
27,869,Private,PC,3h,90%,,343938,Completed,First,"July 24, 2013",3h,,,4h,,
