,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Main Story,Completion,Co-Op,Speedrun,Main+Extras,Completionist,Vs.,Personal Notes,Progress,Retired Notes
0,9705,,PC,4h 50m,NR,,11238316,Completed,Replay,4h 50m,,,,,,,,,
1,9705,DemonKysho,PC,5h,90%,,681196,Completed,First,5h,"December 19, 2013",80h,,,,,,,
2,9705,,PlayStation 4,6h 36m,NR,defeat wall of flesh then the mechs then plantere the the golem som lunetic dude some towers and moon lord and game don,10320394,Completed,Replay,6h 36m 11s,,,,,,,,,
3,9705,,PC,7h 07m,NR,,1445935,Completed,First,7h 07m,,,,,,,,,
4,9705,,PC,7h 49m,NR,,6094195,Completed,Replay,7h 49m 43s,,,,,,,,,
5,9705,scorchll7,PC,10h,60%,,25631,Completed,First,10h,"July 14, 2012",,,,,,,,
6,9705,,Nintendo Switch,10h 04m,NR,,11956834,Completed,Replay,10h 04m 32s,,,5h 34m 12s,,,,,,
7,9705,,,10h 44m,NR,,410323,Completed,First,10h 44m 55s,,,,15h 20m 03s,100h 41m 45s,,,,
8,9705,,PC,12h,NR,,11212427,Completed,Replay,12h,,,,20h,50h,,,,
9,9705,spectation,PC,12h,100%,,435345,Playing Replay Completed,Replay,12h,"October 05, 2013",224h,,20h,,224h,"Fun multiplayer game, you can't stop finding things to use.",,
10,9705,Solario0,PC,13h,90%,,11509265,Completed,Replay,13h,"March 18, 2020",,,,90h 10m,,,,
11,9705,Anguy,PC,13h 10m,80%,,356915,Completed,First,13h 10m,"June 11, 2013",,,,,,,,
12,9705,,PC,13h 34m,NR,,8723826,Completed,Replay,13h 34m 12s,,,,,,,,,
13,9705,,PC,15h 45m,NR,,410322,Completed,First,15h 45m 10s,,,,30h 04m,100h 22m 56s,,,,
14,9705,Tyril132,PC,16h,80%,,482163,Completed,Replay,16h,,112h,,20h,30h,,,,
15,9705,zoarian,PC,17h 41m,50%,,8264477,Completed,First,17h 41m,"April 24, 2015",,,,,,,,
16,9705,,Xbox One,18h,NR,,11654980,Completed,Replay,18h,,,,38h,,,,,
17,9705,Lazer77,PC,18h,90%,,215236,Completed,First,18h,"December 29, 2012",,,,,,,,
18,9705,JustinBB7,PC,20h,NR,,10620126,Completed,First,20h,"December 15, 2019",,,,,,,,
19,9705,XxobbsxX,PC,20h,80%,,11009293,Replay Completed,Replay,20h,,13h,,30h,50h,,,227h /,
20,9705,ggpeu,PC,20h,100%,,11272170,Completed,Replay,20h,,,,29h,63h,,,,
21,9705,vengrath1,PC,20h,100%,only angler quests remaining at this poing. but fuck angler,7110301,Completed,First,20h,"November 26, 2017",,,40h,80h,,,,
22,9705,itzikala1,PC,21h,NR,,6765268,Completed,First,21h,,,,,,,,,
23,9705,reinth,PC,22h,NR,,400584,Completed,First,22h,"April 02, 2017",,,,,,,,
24,9705,a2a_REX,PC,23h,NR,,942824,Completed,Replay,23h,"September 20, 2014",,,,,,,,
25,9705,,PC,24h,NR,ranger playthrough to moon lord,8493227,Completed,Replay,24h,,,,,,,,,
26,9705,Renerte,PC,24h 21m,NR,,4956645,Completed,First,24h 21m 18s,"February 05, 2016",,,,,,,,
27,9705,,PC,24h 29m,NR,,10544790,Completed,Replay,24h 29m 03s,,,,,,,,,
28,9705,,PC,25h,NR,,570529,Completed,First,25h,,,,80h,120h 22m,,,,
29,9705,ilurker,PC,25h 42m,NR,,6512671,Completed,First,25h 42m,,,,,,,,,
30,9705,Private,PC,26h,80%,,1213023,Completed,First,26h,"March 11, 2014",,,,,,,,
31,9705,,PlayStation 3,26h 15m,NR,,10984858,Completed,Replay,26h 15m 54s,,,,,,,,,
32,9705,MrReebo,PC,26h 25m,100%,,598582,Completed,First,26h 25m 16s,"May 03, 2020",,,,,,,,
33,9705,LEGOslayer,PC,27h 25m,70%,,3234120,Completed,First,27h 25m,"July 16, 2016",,,,,,,,
34,9705,Private,PC,28h,100%,,12007513,Completed,Replay,28h,"May 21, 2020",,,,,,,,
35,9705,Razor0000,PC,28h,NR,I played two player through alot of it :P,156663,Playing Completed,First,28h,"July 23, 2012",,,,,,,,
36,9705,yoKenny,PC,28h,80%,,456357,Completed,First,28h,"October 24, 2013",,,,,,,,
37,9705,skrilla,PC,29h,70%,,3753501,Completed,First,29h,2014,,,,,,,,
38,9705,Tangerz,PC,29h 48m,70%,,216836,Completed,First,29h 48m,,,,,,,,,
39,9705,70457,PC,30h,NR,,3715843,Completed,First,30h,,,,,,,,,
40,9705,Billob,PC,30h,80%,,8959734,Completed,First,30h,"August 20, 2019",,,,,,,,
41,9705,Flourite,PC,30h,80%,,537861,Completed,First,30h,,,,100h,,,,,
42,9705,JoseSLD,PlayStation 3,30h,80%,,7840159,Custom List Completed,First,30h,"December 27, 2018",,,,,,,30h /,
43,9705,angbad,PC,30h,NR,,6047464,Completed,First,30h,,,,,,,,,
44,9705,hulasticpanda,PC,30h,70%,,6186775,Completed,First,30h,,,,,,,,,
45,9705,Jorocko,PC,32h,NR,,10198347,Completed Retired,First,32h,"October 07, 2019",,,,,,,,63/88 Achievements
46,9705,Henry_G,PC,33h,80%,,1085891,Completed Retired,First,33h,,,,,,,,,
47,9705,Private,PC,33h,80%,,661831,Completed,Replay,33h,2012,49h,,,,,,,
48,9705,etae,PC,33h,80%,,412511,Completed,First,33h,,,,,,,,,
49,9705,Private,PC,34h,NR,,641051,Backlog Completed,First,34h,"August 12, 2013",21h,,,,,,87h /,
50,9705,Harrymcdonald12,Xbox One,34h,NR,,11030761,Completed,First,34h,"December 23, 2019",,,,,,,,
51,9705,ghosttalon1,PC,35h,NR,,3324784,Completed,First,35h,"March 06, 2016",,,70h,150h,,,,
