,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Main Story,Completion,Main+Extras,Personal Notes,Progress,Completionist,Speedrun,100% Speedrun,Retired Notes
0,9859,,PC,7h 48m,NR,,500516,Completed,Replay,7h 48m 36s,,,,,,,,
1,9859,,PC,7h 57m,NR,,1795795,Completed,First,7h 57m 33s,,,,,,,,
2,9859,,PC,8h,NR,,9278326,Completed,Replay,8h,,,,,,,,
3,9859,,Xbox One,8h,NR,,11661759,Completed,Replay,8h,,,,,,,,
4,9859,Batman,PC,8h,100%,,319080,Completed,First,8h,"January 04, 2013",15h,Fantastic.,,,,,
5,9859,Beat_Ginger,PlayStation 3,8h,NR,,1627157,Completed,Replay,8h,"March 01, 2015",50h,,,,,,
6,9859,Elektra54,PC,8h,100%,,612547,Playing Custom List Completed,First,8h,,,,200h /,,,,
7,9859,FirstKnightRicky,Xbox 360,8h,100%,,589564,Replay Completed,First,8h,"January 22, 2014",,,180h /,,,,
8,9859,veru,PC,8h,NR,,5689409,Completed,Replay,8h,"January 19, 2018",68h,,,,,,
9,9859,,Xbox 360,8h 30m,NR,,3335169,Completed,Replay,8h 30m,,23h,,,,,,
10,9859,,Nintendo Switch,8h 41m,NR,,6708896,Completed,First,8h 41m,,20h,,,,,,
11,9859,,PlayStation 3,9h,NR,,624561,Completed,Replay,9h,,,,,200h,,,
12,9859,ghost5k1,PC,9h,30%,,336140,Completed,Replay,9h,"July 20, 2013",,,,,,,
13,9859,slickochet,PC,9h 09m,NR,,464554,Completed,First,9h 09m 54s,"November 07, 2013",,,,,,,
14,9859,,PC,9h 30m,NR,,11809545,Completed,Replay,9h 30m,,120h 45m,,,330h,,,
15,9859,typ12,PC,9h 51m,NR,,11994274,Completed,First,9h 51m,"June 14, 2020",,,,,,,
16,9859,denchique,PC,9h 59m,70%,,7385199,Completed,First,9h 59m 03s,"November 04, 2018",,,,,,,
17,9859,,PC,10h,NR,,295441,Completed,First,10h,,,,,,,,
18,9859,,PC,10h,NR,,328960,Completed,First,10h,,100h,,,1500h,,,
19,9859,,PC,10h,NR,,6680894,Completed,Replay,10h,,,,,,,,
20,9859,Bionic_Fox,PC,10h,NR,,2549584,Completed,First,10h,"February 09, 2016",37h,,,,,,
21,9859,SeraphGamer,Xbox 360,10h,NR,,1780991,Completed,First,10h,"January 08, 2012",32h 25m,,,,,,
22,9859,coreninsin95,Xbox 360,10h,NR,,6543294,Completed,First,10h,"December 08, 2019",,,,,,,
23,9859,Private,Xbox 360,10h,NR,,1124938,Completed Retired,First,10h,,,,,,,,
24,9859,,Xbox One,10h 15m,NR,,8588054,Completed,First,10h 15m,,,,,,,,
25,9859,codeafin,PC,10h 21m,90%,,3844982,Completed,Replay,10h 21m 13s,"April 01, 2017",,,,,,,
26,9859,Silyon,Xbox 360,10h 30m,NR,,7012183,Completed,First,10h 30m,,200h 30m,,,300h,,,
27,9859,,PC,11h,NR,,2806519,Completed,First,11h,,,,,,,,
28,9859,,Xbox One,11h,NR,,11231663,Completed,Replay,11h,,159h,,,,,,
29,9859,mttssz,PC,11h,NR,,4139166,Completed,First,11h,,30h 10m 05s,,,,,,
30,9859,,PlayStation 4,11h 30m,NR,,3568365,Completed,First,11h 30m,,,,,,,,
31,9859,sweetride27,Xbox 360,11h 35m,80%,,649261,Playing Completed,First,11h 35m,"March 01, 2014",23h 40m,,,,,,
32,9859,Excelsior,PlayStation VR,11h 49m,100%,Main quest only. No lollygagging.,5459244,Completed,First,11h 49m 01s,"June 17, 2018",,,,,,,
33,9859,amirmu,PC,11h 56m,NR,,1032078,Completed,First,11h 56m 20s,,,,,,,,
34,9859,,Xbox 360,12h,NR,,602141,Completed,First,12h,,,,,,,,
35,9859,,PC,12h,NR,,731812,Completed,Replay,12h,,50h,,,100h,,,
36,9859,,PC,12h,NR,,1038489,Completed,Replay,12h,,,,,,,,
37,9859,,Xbox 360,12h,NR,,1111381,Completed,First,12h,,,,,,,,
38,9859,,PC,12h,NR,,1367610,Completed,First,12h,,,,,,,,
39,9859,,PlayStation 3,12h,NR,,3538189,Completed,First,12h,,80h,,,,,,
40,9859,,PC,12h,NR,,10276770,Completed,Replay,12h,,100h,,,250h,,,
41,9859,Kmh,PC,12h,NR,,9248127,Completed,First,12h,"July 29, 2019",21h,,,,,,
42,9859,LuciusSF,PC,12h,NR,,9045217,Completed,First,12h,,90h,,,,,,
43,9859,LukeTheNoob,PC,12h,NR,,3018291,Completed,First,12h,,30h,,,200h,,,
44,9859,Private,PC,12h,NR,,4426903,Completed,First,12h,"May 13, 2017",,,,,,,
45,9859,colonelchibbers,PC,12h,80%,,1319160,Completed,First,12h,2014,,,,,,,
46,9859,mike1146l,PlayStation 3,12h,100%,Main story is short but the side quests are a much bigger part of the game.,69329,Completed,First,12h,,,,,,,,
47,9859,porcofumo,Xbox 360,12h,40%,,10234445,Completed,First,12h,,,,,,,,
48,9859,,,12h 10m,NR,,346885,Completed,First,12h 10m,,73h 22m,,,,,,
49,9859,shadowbreakqr,PC,12h 14m,NR,,8673877,Completed,First,12h 14m,,112h 27m,,,476h,,,
50,9859,B4sketC4se,PC,12h 16m,100%,,7910784,Completed,First,12h 16m,"December 06, 2019",,,,,,,
51,9859,HTViper,PC,12h 22m,90%,,204928,Completed,First,12h 22m,"October 02, 2013",,,,,,,
52,9859,,Xbox 360,12h 30m,NR,,3011141,Completed,First,12h 30m,,200h,,,250h,,,
