,Id,Title,Main Story,Main + Extras,Completionist,All Styles,Rating,Retired,Developer,Publisher,Playable On,Genre,NA,EU,Updated,JP
0,68240,Animal Crossing: New Horizons ,60.5,92.5,297.0,70.0,86, 5.29,Nintendo ,Nintendo ,Nintendo Switch ,," March 20, 2020 "," March 20, 2020 ", 35 Mins Ago ,
1,57503,Assassin's Creed Odyssey ,41.0,78.5,126.0,85.0,83, 2.09,Ubisoft Quebec ,Ubisoft ,"Google Stadia, PC, PlayStation 4, Xbox One ","Third-Person, Action, Open World, Role-Playing "," October 04, 2018 "," October 04, 2018 ", 1 Hour Ago ,
2,1065,BioShock ,12.0,15.5,22.0,14.0,86, 7.1,"Irrational Games, 2K Marin, 2K Australia, Digital Extremes ",2K Games ,"PC, Nintendo Switch, OnLive, PlayStation 3, PlayStation 4, PlayStation Now, Xbox 360, Xbox One ","First-Person, Action, Horror, Role-Playing, Sandbox, Shooter "," August 21, 2007 "," August 21, 2007 ", 35 Mins Ago ,
3,57686,Final Fantasy VII Remake ,33.5,42.0,81.5,43.5,88, 0.71,Square Enix ,Square Enix ,PlayStation 4 ,"Third-Person, Action, Adventure, Role-Playing "," April 10, 2020 "," April 10, 2020 ", 5 Mins Ago ," April 10, 2020 "
4,4064,Grand Theft Auto V ,31.5,47.0,79.0,43.0,89, 3.93,Rockstar North ,Rockstar Games ,"PC, PlayStation 3, PlayStation 4, Xbox 360, Xbox One ","First-Person, Third-Person, Action, Open World, Sandbox, Shooter "," September 17, 2013 "," September 17, 2013 ", 1 Hour Ago ,
5,27100,Red Dead Redemption 2 ,47.5,77.0,163.0,71.5,92, 1.56,Rockstar Studios ,Rockstar Games ,"PC, PlayStation 4, Xbox One ","Third-Person, Action, Adventure, Open World, Shooter "," October 26, 2018 "," October 26, 2018 ", 1 Hour Ago ,
6,38019,The Legend of Zelda: Breath of the Wild ,50.0,93.5,183.0,87.5,94, 1.65,Nintendo EPD ,Nintendo ,"Nintendo Switch, Wii U ","Third-Person, Action, Adventure, Open World "," March 03, 2017 "," March 03, 2017 ", 1 Hour Ago ," March 03, 2017 "
7,10270,The Witcher 3: Wild Hunt ,51.0,102.0,173.0,101.0,95, 1.73,CD Projekt RED ,"CD Projekt, Warner Bros. Interactive Entertainment ","PC, Nintendo Switch, PlayStation 4, Xbox One ","Third-Person, Action, Open World, Role-Playing "," May 19, 2015 "," May 19, 2015 ", 44 Mins Ago ," May 19, 2015 "
8,10469,Tomb Raider (2013) ,11.5,15.5,20.5,14.5,83, 1.86,"Crystal Dynamics, Eidos Montreal, Nixxes Software BV, United Front Games ",Square Enix ,"Google Stadia, PC, PlayStation 3, PlayStation 4, Xbox, Xbox 360, Xbox One ","Third-Person, Action, Adventure, Platform, Shooter "," March 05, 2013 "," March 05, 2013 ", 44 Mins Ago ," April 25, 2013 "
9,70160,Xenoblade Chronicles: Definitive Edition ,45.0,56.5,70.5,49.5,93, 0.67,Monolith Soft ,Nintendo ,Nintendo Switch ,"Third-Person, Adventure, Role-Playing "," May 29, 2020 "," May 29, 2020 ", 24 Mins Ago ," May 29, 2020 "
